	TCGA.A2.A1G0.01A.11R.A13Q.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.YFC4.1426.SM.5IFJG	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.QK.A8ZA.01A.11R.A39I.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.33.4587.01A.11R.2125.07
AKAP9	2591.27	860.08	1268.46	1806.78	1963.57	2255.7	1519.15	532.74	656.11	358.54	698.41	301.33	351.14	267.73	392.44	417.77	293.07	450.94	175.07	392.44	371.22	218.79	412.0	198.47	329.84	205.5	775.05	215.77	830.75
AUTS2	555.41	1059.11	1832.01	1806.78	1457.23	1498.22	1651.0	348.71	583.07	698.41	460.44	255.0	248.0	181.28	180.02	217.27	490.14	463.65	108.14	198.47	217.27	180.02	256.78	232.94	334.46	228.13	540.19	113.56	1104.13
BBS4	607.87	463.65	511.0	660.68	830.75	679.29	872.1	134.3	267.73	281.09	579.04	78.34	101.54	175.07	128.79	84.63	165.57	141.02	87.65	123.5	84.63	123.5	242.88	123.5	43.02	90.14	305.55	106.63	371.22
C1orf109	633.73	521.76	713.11	616.37	575.03	616.37	483.38	291.04	559.28	368.65	583.07	232.94	295.11	329.84	470.14	96.68	490.14	764.36	400.71	183.82	287.01	208.38	417.77	285.03	193.01	387.02	366.09	368.65	11112.3
CARD8	718.08	651.58	684.02	674.59	536.45	878.17	759.08	135.24	387.02	287.01	423.61	125.24	275.28	237.86	136.19	142.01	193.01	186.4	116.78	204.07	183.82	327.56	332.14	108.9	94.67	301.33	246.28	149.12	547.75
CCDC132	497.0	450.94	460.44	400.71	551.56	624.99	780.44	175.07	341.51	265.87	346.29	193.01	211.31	172.65	232.94	169.07	343.89	237.86	128.79	197.09	220.32	122.64	190.34	126.12	127.0	190.34	299.25	199.85	264.03
CLCC1	665.29	607.87	540.19	540.19	738.29	603.67	559.28	115.16	497.0	249.73	297.17	120.94	124.37	167.9	155.5	101.54	190.34	540.19	139.07	175.07	128.79	135.24	256.78	105.15	147.06	128.79	267.73	106.63	521.76
CNNM3	518.15	395.18	480.04	493.56	483.38	514.56	591.22	146.03	285.03	220.32	197.09	93.35	128.79	116.78	162.14	73.03	181.28	215.77	66.65	82.29	98.04	63.45	155.5	141.02	73.54	173.85	202.66	103.69	497.0
CTD-2368P22.1	135.24	120.1	170.25	138.1	156.59	197.09	267.73	21.47	70.51	61.25	48.52	0.89	3.76	9.06	28.45	3.63	9.06	125.24	2.27	0.84	2.23	18.03	16.39	0.0	8.92	1.2	21.32	1.38	299.25
DHX40	1216.75	698.41	974.5	1088.92	1295.13	1594.73	1008.9	363.56	543.96	371.22	543.96	275.28	236.21	258.57	466.88	212.78	356.05	555.41	116.78	309.83	187.71	215.77	457.25	249.73	281.09	277.2	490.14	226.54	947.83
FAAH	934.76	543.96	460.44	656.11	511.0	878.17	2468.49	624.99	642.59	256.78	135.24	127.0	150.17	125.24	217.27	223.41	127.0	171.45	97.36	131.51	249.73	116.78	329.84	69.03	169.07	182.55	293.07	106.63	884.29
FAM133B	642.59	583.07	583.07	723.08	718.08	642.59	723.08	241.19	473.41	309.83	454.09	262.2	414.87	186.4	356.05	214.27	267.73	432.53	301.33	277.2	283.05	228.13	379.04	221.86	190.34	384.34	387.02	289.02	718.08
FAM13B	373.81	466.88	718.08	791.35	941.27	967.76	1331.57	105.89	325.29	81.14	129.69	59.13	78.89	84.63	96.68	70.51	204.07	136.19	49.56	69.03	56.68	39.22	175.07	75.64	50.27	115.97	307.69	111.21	194.36
FAM200A	229.72	152.28	195.72	178.77	325.29	281.09	181.28	134.3	165.57	84.04	109.66	106.63	121.79	80.01	147.06	43.02	102.97	154.42	100.13	90.14	78.89	72.01	139.07	85.82	64.8	111.21	134.3	109.66	260.38
FAM90A1	15.56	12.0	12.36	13.62	73.03	44.89	99.43	0.18	3.35	3.11	20.41	0.0	3.03	2.39	0.89	1.99	2.48	2.25	1.11	0.56	1.35	1.22	4.24	4.66	0.62	2.68	5.59	2.32	82.29
FNBP1L	1617.0	1151.06	1191.69	1359.57	1457.23	1127.35	1594.73	579.04	555.41	181.28	211.31	119.26	108.9	214.27	197.09	62.56	50.98	244.57	89.51	249.73	133.36	141.02	236.21	118.43	186.4	190.34	312.0	65.72	1437.15
GALC	441.64	320.8	450.94	503.95	387.02	961.07	348.71	46.5	341.51	96.01	163.28	47.5	111.99	67.59	176.29	75.64	66.18	275.28	11.13	97.36	40.93	110.43	150.17	173.85	81.14	75.64	224.97	59.13	239.52
GATAD1	866.07	603.67	775.05	808.0	961.07	607.87	743.43	283.05	728.11	420.68	603.67	98.73	241.19	242.88	281.09	162.14	231.32	353.59	189.02	198.47	186.4	176.29	256.78	171.45	142.01	217.27	281.09	158.79	454.09
GTF2I	4869.99	3443.31	4450.27	5555.65	6471.02	6745.86	7331.05	4903.87	2720.15	3690.52	5147.73	1883.54	2664.15	1313.23	2255.7	1832.01	3280.18	2502.97	1250.98	1844.76	2148.82	1519.15	2520.38	1322.37	1819.35	1769.57	2895.31	2240.11	5831.91
HKR1	1388.16	1001.93	1135.2	1417.35	1313.23	1295.13	1857.6	191.67	466.88	480.04	540.19	95.34	214.27	165.57	191.67	59.13	182.55	403.5	218.79	52.08	153.34	132.44	392.44	167.9	106.63	66.65	332.14	86.43	947.83
KRIT1	860.08	616.37	813.63	995.0	974.5	1159.07	651.58	303.44	612.11	571.05	769.69	175.07	389.72	361.04	420.68	193.01	450.94	507.46	204.07	343.89	318.57	253.23	371.22	223.41	172.65	237.86	480.04	248.0	674.59
KRT17	2997.45	19754.96	22692.63	12943.04	13033.07	4736.79	7749.1	4953441.24	229795.93	370726.6	320506.81	971597.0	542775.98	589853.66	716197.51	701458.36	524287.0	284880.02	542775.98	565825.41	645473.24	513497.31	331809.5	546551.29	912837.43	546551.29	271387.49	506427.83	2720.15
MTERF	221.86	244.57	334.46	301.33	368.65	371.22	358.54	103.69	277.2	127.0	211.31	66.18	171.45	131.51	153.34	85.82	157.68	277.2	105.89	106.63	141.02	113.56	177.53	76.71	54.33	147.06	172.65	115.16	305.55
NBPF1	567.1	571.05	1167.14	1001.93	974.5	1757.34	1991.0	165.57	397.93	211.31	314.17	65.26	71.5	143.01	100.13	55.49	170.25	476.71	145.02	59.13	120.94	87.03	181.28	84.63	54.33	124.37	320.8	73.54	551.56
