	TCGA.E2.A1LB.01A.11R.A144.07	TCGA.LL.A740.01A.21R.A32P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.ZAJG.0626.SM.5HL8X	GTEX.13NZ8.0126.SM.5IJCT	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AMBRA1	305.55	277.2	149.12	329.84	273.37	466.88	521.76	532.74	429.54	507.46	518.15	387.02	0.0	0.48
APOD	309589.14	450134.56	932018.1	348306.01	561916.97	602247.76	338781.54	25887.07	539026.74	602247.76	696613.03	851707.37	0.0	0.87
BAZ2A	463.65	559.28	808.0	718.08	860.08	1143.1	1104.13	1286.18	1208.34	890.44	1572.76	1208.34	514.56	159.9
BRD8	651.58	616.37	480.04	460.44	312.0	1216.75	941.27	1259.69	1167.14	947.83	1605.83	1417.35	0.0	0.65
BST1	87.65	114.36	28.45	104.42	137.14	206.94	180.02	221.86	206.94	82.87	176.29	366.09	0.0	0.44
C11orf49	332.14	181.28	136.19	486.75	169.07	543.96	563.18	629.35	426.57	629.35	669.92	575.03	0.0	0.49
C5orf45	301.33	249.73	154.42	295.11	212.78	642.59	612.11	825.0	607.87	438.59	493.56	769.69	271.48	129.69
CAND2	5.92	12.55	2.51	7.69	3.72	71.0	49.21	67.59	35.25	25.72	46.18	97.36	0.0	0.39
CATSPER3	7.46	7.88	1.07	9.48	2.89	16.51	15.0	8.78	11.91	11.73	16.39	24.99	0.0	0.11
CIDEB	77.25	96.01	72.01	94.67	129.69	152.28	166.73	275.28	195.72	165.57	148.09	176.29	0.0	0.58
CLCNKB	0.0	0.95	0.33	0.99	4.39	7.46	7.69	16.15	8.06	5.41	8.92	5.5	0.0	0.0
CTDSP2	1268.46	1551.09	1977.24	1936.53	2018.8	3146.52	2796.65	3874.05	3168.41	2224.63	3874.05	2609.3	1757.34	674.59
DOC2B	78.89	10.16	2.46	80.57	68.07	126.12	122.64	108.14	111.99	63.89	121.79	140.04	0.0	0.27
EP400NL	35.76	47.84	90.77	120.1	67.59	191.67	186.4	224.97	205.5	130.6	186.4	190.34	0.0	0.82
FAHD2B	381.68	101.54	273.37	323.03	283.05	511.0	500.46	660.68	414.87	454.09	896.64	503.95	0.0	0.44
FITM1	8.32	13.32	3.53	10.47	6.62	22.43	22.43	17.25	12.36	8.0	20.26	38.4	0.0	0.25
GAPVD1	202.66	205.5	285.03	361.04	264.03	460.44	400.71	543.96	384.34	400.71	698.41	447.82	185.11	334.46
GPBP1L1	1295.13	1175.27	1037.29	1104.13	1159.07	1963.57	1594.73	1936.53	1605.83	1819.35	1819.35	2351.53	1388.16	1447.15
HDGFRP3	353.59	267.73	249.73	194.36	140.04	1183.45	575.03	860.08	400.71	723.08	842.36	1359.57	0.0	0.74
HSF4	389.72	486.75	71.5	281.09	371.22	1104.13	748.61	764.36	947.83	381.68	1023.0	1250.98	0.0	1.46
HSPBAP1	75.64	82.87	107.38	126.12	90.14	183.82	178.77	194.36	144.01	111.21	275.28	197.09	0.0	0.57
IKBKB	341.51	514.56	214.27	620.67	954.43	1111.82	896.64	1151.06	947.83	738.29	1651.0	1159.07	0.0	1.22
ITFG2	325.29	403.5	249.73	417.77	392.44	507.46	674.59	941.27	698.41	518.15	647.07	587.13	0.0	0.21
KANSL3	346.29	316.37	555.41	457.25	444.72	848.22	713.11	1023.0	723.08	532.74	764.36	775.05	343.89	228.13
KAT2A	204.07	503.95	358.54	400.71	309.83	981.29	830.75	808.0	743.43	400.71	915.51	1519.15	0.0	1.07
KIAA0430	466.88	291.04	470.14	525.39	693.58	909.17	656.11	1199.98	854.13	616.37	981.29	791.35	0.0	0.6
KIAA1239	0.0	0.0	0.0	0.34	0.35	2.48	0.21	6.67	2.36	0.21	1.57	3.06	0.0	0.0
LEAP2	8.85	12.36	4.54	22.92	13.42	43.02	32.82	41.52	28.04	16.88	38.4	35.0	0.0	0.61
LPIN3	195.72	204.07	117.6	171.45	287.01	291.04	297.17	379.04	332.14	228.13	287.01	412.0	159.9	332.14
LRFN5	1.73	3.63	1.71	3.76	2.51	31.22	25.91	80.57	48.52	14.14	128.79	61.25	0.0	0.24
MACF1	1295.13	1096.5	703.28	1151.06	1051.79	1832.01	2384.37	2875.3	2163.77	2224.63	2400.97	2303.12	0.0	0.58
MAGI1	224.97	236.21	106.63	177.53	180.02	406.31	571.05	808.0	540.19	457.25	470.14	536.45	56.68	780.44
MAML1	239.52	297.17	291.04	283.05	366.09	444.72	457.25	555.41	423.61	363.56	470.14	376.41	0.0	0.74
METTL17	728.11	665.29	343.89	718.08	567.1	796.86	1088.92	1225.22	1143.1	769.69	995.0	1023.0	0.0	1.16
MRRF	441.64	423.61	376.41	287.01	312.0	878.17	607.87	559.28	563.18	486.75	759.08	723.08	0.0	0.72
MX1	242.88	320.8	314.17	223.41	108.14	1001.93	708.18	860.08	529.06	575.03	884.29	1225.22	0.0	0.47
N4BP2L2	718.08	633.73	423.61	1096.5	954.43	1388.16	1769.57	2682.69	1832.01	1519.15	1561.89	1844.76	0.0	0.79
OGT	616.37	536.45	599.49	551.56	1008.9	1583.71	1605.83	2119.22	1639.59	1001.93	1628.26	1331.57	0.0	1.22
OR1E1	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.35	1.45	0.0	0.96	0.92	0.0	0.0
PLIN5	19.97	26.67	4.66	69.03	6.06	177.53	49.91	114.36	195.72	42.41	105.89	251.48	0.0	0.48
PRSS46	0.0	0.0	0.0	0.0	0.0	6.26	1.17	7.75	4.98	2.61	6.57	4.94	0.0	0.2
PTPN18	563.18	703.28	287.01	1059.11	307.69	909.17	1088.92	1159.07	981.29	1175.27	860.08	1151.06	0.0	0.44
RAPGEF5	167.9	135.24	92.7	172.65	191.67	483.38	412.0	236.21	387.02	260.38	287.01	647.07	0.0	0.33
RND2	3.59	10.71	2.53	12.18	3.03	102.25	81.14	172.65	100.83	74.58	71.0	191.67	0.0	0.38
RNF212	14.56	36.01	19.82	17.13	19.25	116.78	61.25	229.72	134.3	36.01	202.66	224.97	0.0	0.59
RP11-295P9.3	106.63	98.04	73.54	195.72	148.09	314.17	277.2	457.25	325.29	162.14	269.6	339.14	0.0	1.01
SEPT4	185.11	397.93	88.26	162.14	157.68	503.95	466.88	825.0	559.28	400.71	503.95	872.1	0.0	0.42
SHC1	1709.26	2148.82	1350.18	2319.15	2047.0	2739.08	2367.9	2502.97	2335.28	2303.12	2739.08	2384.37	0.0	0.8
SLC25A25	218.79	307.69	68.55	511.0	90.14	688.78	567.1	603.67	656.11	902.89	1037.29	748.61	0.0	0.23
SMARCC2	547.75	620.67	896.64	780.44	738.29	1199.98	1096.5	1572.76	1378.57	981.29	1870.53	1322.37	688.78	521.76
SPEF2	50.63	32.36	73.03	57.89	49.56	89.51	154.42	325.29	163.28	183.82	287.01	159.9	0.0	0.18
TAMM41	228.13	221.86	71.0	218.79	241.19	281.09	361.04	486.75	366.09	258.57	361.04	358.54	0.0	0.0
TAS2R50	0.0	0.0	0.0	0.0	0.36	1.3	0.0	1.46	1.45	0.69	1.33	2.46	0.0	0.09
TIAM2	58.3	74.58	47.5	121.79	99.43	151.22	178.77	249.73	178.77	144.01	218.79	229.72	0.0	0.34
TMCO6	85.22	134.3	85.22	155.5	59.97	239.52	299.25	297.17	239.52	166.73	316.37	271.48	0.0	0.33
TRIM66	47.17	38.67	30.56	36.01	66.65	99.43	90.77	159.9	110.43	90.14	80.01	74.06	0.0	0.51
TTC14	384.34	356.05	438.59	423.61	400.71	679.29	547.75	703.28	525.39	473.41	603.67	660.68	0.0	0.91
VPS13C	414.87	211.31	348.71	368.65	358.54	466.88	612.11	713.11	473.41	429.54	536.45	536.45	185.11	124.37
