	TCGA.4Z.AA7N.01A.11R.A39I.07	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.CV.7410.01A.21R.2081.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BB.7864.01A.11R.2232.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CN.5356.01A.01R.1436.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CN.A6V3.01A.12R.A34R.07	TCGA.44.3919.01A.02R.1107.07	TCGA.85.8353.01A.21R.2296.07	TCGA.22.4596.01A.01R.1201.07	TCGA.85.A4PA.01A.11R.A24Z.07	GTEX.13QJC.0826.SM.5RQKC
ABCD2	17.13	68.07	88.88	23.42	24.63	0.44	0.75	0.44	2.27	0.0	3.53	8.19	6.94	19.97	19.53	15.68
ADORA2A	320.8	842.36	420.68	23.08	251.48	20.56	24.81	5.02	40.36	11.55	46.18	162.14	181.28	305.55	759.08	135.24
AKNA	1216.75	2335.28	2351.53	100.13	1030.12	57.49	105.15	73.03	211.31	46.5	244.57	521.76	412.0	571.05	2664.15	2047.0
APBB1IP	536.45	1216.75	1417.35	299.25	511.0	15.68	6.89	3.35	65.72	1.97	65.26	312.0	178.77	420.68	1030.12	500.46
ARHGAP25	1119.56	1662.49	2701.35	536.45	915.51	30.34	20.56	19.53	187.71	63.45	161.02	363.56	366.09	486.75	1757.34	616.37
ARHGAP30	954.43	2018.8	1733.13	120.94	1001.93	27.44	48.52	50.27	134.3	16.88	148.09	457.25	327.56	551.56	2047.0	785.88
ARHGAP9	2148.82	2875.3	4607.24	170.25	1540.37	57.08	35.5	18.03	145.02	12.74	220.32	728.11	587.13	1199.98	7280.4	3614.55
ARHGDIB	14065.74	19082.0	29327.18	2502.97	11424.74	511.0	497.0	603.67	2351.53	1159.07	1369.04	8134.41	3280.18	9673.69	19348.38	4903.87
BATF	651.58	713.11	1561.89	72.01	842.36	22.43	19.68	97.36	102.97	6.94	135.24	376.41	178.77	642.59	1119.56	242.88
BIN2	500.46	1051.79	1806.78	146.03	547.75	5.23	14.78	4.9	100.13	5.11	76.17	301.33	220.32	500.46	1175.27	1143.1
BTK	796.86	1498.22	2004.85	132.44	738.29	11.04	13.42	3.53	95.34	5.77	50.98	320.8	194.36	457.25	1963.57	624.99
BTLA	211.31	607.87	928.3	35.5	177.53	2.03	1.55	0.53	18.97	0.0	14.45	59.55	25.54	82.29	412.0	540.19
C1orf228	397.93	536.45	1757.34	63.89	435.55	4.86	5.63	4.06	11.55	1.45	17.13	115.16	105.15	246.28	1991.0	303.44
