	TCGA.AK.3447.01A.01R.1766.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.G9.6364.01A.21R.1789.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.G9.6342.11A.02R.1965.07
AC093157.1	0.0	0.0	0.27	4.03	4.43	3.03	12.0	3.17	28.65	11.64	4.06	5.96	11.3	3.26	6.62	2.05	6.94	2.56	10.63	2.68	19.97	3.0	17.38	3.69	6.52	7.11	5.59	11.91	24.46	17.64	7.34	10.88	18.97	6.94	5.92	1.57	15.34	1.07	1.55	4.17	3.11	31.45	5.63	1.08	0.0
AC135178.1	5.59	0.0	0.4	37.85	54.72	27.05	55.89	29.27	75.11	100.83	34.26	35.5	111.99	43.02	42.71	21.16	63.45	44.25	100.83	28.65	93.35	44.57	88.26	46.5	45.53	46.18	43.02	50.27	220.32	101.54	79.45	52.82	80.01	58.71	80.57	21.16	63.0	16.51	16.75	30.56	38.12	293.07	45.85	26.47	29.48
AGAP6	11.47	0.0	1.19	69.52	92.7	106.63	189.02	45.85	281.09	305.55	85.22	103.69	291.04	44.25	161.02	50.63	183.82	146.03	217.27	40.36	258.57	127.89	205.5	84.63	127.0	178.77	161.02	273.37	358.54	363.56	199.85	189.02	361.04	267.73	206.94	81.14	301.33	65.72	53.19	80.57	84.04	633.73	101.54	53.57	51.71
AHSA2	45.21	0.0	1.58	199.85	242.88	447.82	947.83	104.42	1540.37	1127.35	256.78	348.71	1242.34	169.07	947.83	98.04	500.46	429.54	941.27	143.01	1794.29	309.83	921.88	262.2	420.68	713.11	660.68	1001.93	1467.37	1143.1	571.05	1044.52	1561.89	591.22	540.19	161.02	1208.34	158.79	112.77	215.77	224.97	3847.29	201.25	212.78	156.59
AMY2B	9.13	0.0	1.17	40.93	51.35	125.24	209.84	23.42	409.15	305.55	53.19	51.71	279.14	42.11	82.29	20.56	94.01	87.65	161.02	82.29	223.41	76.17	217.27	41.81	66.65	151.22	158.79	178.77	325.29	279.14	201.25	102.25	187.71	123.5	112.77	27.84	226.54	42.11	20.71	53.19	66.65	884.29	78.34	48.18	38.12
ANKMY1	37.59	0.0	0.34	143.01	114.36	167.9	232.94	194.36	237.86	295.11	177.53	146.03	242.88	169.07	180.02	94.67	182.55	181.28	204.07	100.83	366.09	185.11	161.02	122.64	212.78	229.72	159.9	218.79	269.6	209.84	214.27	153.34	269.6	205.5	226.54	134.3	215.77	150.17	150.17	182.55	120.94	293.07	102.97	150.17	102.25
AP003068.6	0.0	0.0	0.67	11.47	14.03	14.24	19.82	6.46	39.79	31.67	13.03	10.47	28.04	8.25	10.0	4.17	11.38	15.34	21.32	7.57	30.34	10.88	21.32	6.41	14.24	19.82	15.45	25.72	51.71	25.72	15.45	18.03	30.12	21.63	16.88	5.28	29.91	8.38	9.56	10.39	10.79	45.53	7.75	9.85	10.16
C1orf228	4.82	0.0	0.46	35.5	56.28	50.98	62.12	29.06	262.2	181.28	39.5	79.45	142.01	66.18	117.6	46.84	88.26	42.71	164.42	36.01	115.97	172.65	152.28	27.05	76.71	209.84	273.37	177.53	269.6	109.66	93.35	79.45	236.21	139.07	132.44	29.06	138.1	31.45	29.91	53.19	69.03	356.05	48.52	49.56	39.22
CCDC130	267.73	0.0	1.19	454.09	559.28	543.96	616.37	371.22	954.43	928.3	532.74	473.41	981.29	466.88	567.1	363.56	547.75	529.06	713.11	275.28	836.53	693.58	679.29	309.83	529.06	708.18	703.28	830.75	1167.14	854.13	693.58	559.28	974.5	769.69	674.59	346.29	791.35	392.44	305.55	444.72	423.61	1073.91	518.15	441.64	414.87
CCNL2	241.19	0.0	1.89	872.1	928.3	1540.37	2537.92	733.19	4481.23	3928.15	1295.13	1295.13	3540.14	753.83	1936.53	698.41	1651.0	2148.82	2303.12	651.58	3665.02	1498.22	2758.13	1015.93	1617.0	2720.15	2178.83	2796.65	5633.22	3874.05	2796.65	2384.37	4328.55	2178.83	2468.49	764.36	3124.78	954.43	884.29	928.3	802.41	6607.01	878.17	738.29	733.19
CEP95	75.64	0.0	0.78	246.28	246.28	312.0	525.39	206.94	775.05	830.75	320.8	441.64	698.41	205.5	612.11	162.14	460.44	351.14	665.29	305.55	854.13	387.02	583.07	224.97	301.33	454.09	387.02	825.0	825.0	753.83	624.99	454.09	651.58	540.19	551.56	246.28	540.19	248.0	193.01	273.37	301.33	1096.5	228.13	251.48	228.13
CLASRP	87.03	0.0	1.5	591.22	791.35	872.1	1350.18	463.65	1844.76	2240.11	703.28	848.22	1896.65	599.49	1111.82	497.0	1023.0	884.29	1259.69	387.02	1594.73	1250.98	1225.22	441.64	684.02	1313.23	1340.84	1745.2	2645.74	1794.29	1250.98	1447.15	1697.45	1322.37	1037.29	466.88	1769.57	679.29	450.94	483.38	514.56	2855.44	579.04	684.02	470.14
CLEC2D	6.78	0.0	0.58	71.5	33.3	84.63	123.5	29.7	189.02	221.86	72.01	95.34	214.27	40.36	97.36	37.05	48.18	49.91	119.26	108.14	147.06	56.68	94.01	31.9	73.54	84.63	43.02	180.02	185.11	111.21	175.07	143.01	107.38	82.87	43.94	38.95	101.54	36.79	31.0	47.17	31.9	173.85	27.84	56.28	72.01
CSAD	35.76	0.0	1.55	218.79	414.87	460.44	860.08	182.55	1639.59	1096.5	325.29	426.57	1135.2	237.86	543.96	163.28	642.59	507.46	764.36	204.07	2119.22	460.44	1023.0	279.14	403.5	848.22	607.87	1001.93	1697.45	1477.58	1037.29	759.08	1498.22	698.41	616.37	228.13	1437.15	218.79	159.9	271.48	177.53	2758.13	343.89	234.57	175.07
CTC-349C3.1	2.39	0.0	0.62	22.92	14.35	12.0	111.99	20.26	73.03	64.8	16.03	35.25	64.8	19.53	20.86	35.25	38.95	36.79	71.5	44.25	63.45	17.77	26.1	18.84	21.16	31.9	108.9	65.26	183.82	98.73	62.56	67.12	69.03	23.59	67.12	44.89	113.56	12.45	18.43	38.12	20.71	100.13	7.88	24.11	21.94
DMTF1	75.11	0.0	1.16	358.54	332.14	480.04	665.29	251.48	1242.34	890.44	490.14	466.88	733.19	239.52	450.94	234.57	547.75	384.34	616.37	312.0	796.86	271.48	651.58	334.46	454.09	599.49	579.04	825.0	836.53	642.59	587.13	607.87	679.29	368.65	571.05	329.84	642.59	323.03	262.2	351.14	301.33	1066.48	295.11	253.23	265.87
DPH7	209.84	0.0	0.93	371.22	387.02	400.71	830.75	297.17	995.0	1191.69	480.04	503.95	836.53	323.03	507.46	366.09	616.37	567.1	656.11	283.05	1135.2	656.11	633.73	275.28	473.41	743.43	567.1	665.29	1259.69	1001.93	1104.13	698.41	872.1	791.35	769.69	283.05	723.08	420.68	307.69	376.41	336.79	1605.83	312.0	325.29	351.14
EFHC1	42.41	0.0	0.22	102.97	105.89	182.55	269.6	191.67	327.56	463.65	172.65	193.01	403.5	112.77	264.03	98.04	214.27	197.09	320.8	162.14	312.0	229.72	299.25	185.11	115.97	256.78	269.6	251.48	285.03	265.87	183.82	301.33	271.48	228.13	242.88	105.89	392.44	120.94	141.02	212.78	105.15	473.41	96.68	118.43	91.41
ENTHD2	35.25	0.0	0.99	195.72	241.19	281.09	454.09	193.01	591.22	500.46	249.73	271.48	551.56	258.57	297.17	167.9	353.59	343.89	332.14	118.43	607.87	244.57	387.02	166.73	283.05	403.5	353.59	417.77	813.63	587.13	379.04	332.14	454.09	389.72	348.71	218.79	450.94	198.47	172.65	177.53	221.86	836.53	265.87	211.31	185.11
FAM221A	166.73	0.0	0.58	108.9	157.68	217.27	379.04	208.38	332.14	559.28	191.67	231.32	269.6	82.29	403.5	175.07	162.14	209.84	339.14	265.87	376.41	16.51	381.68	195.72	202.66	253.23	320.8	414.87	387.02	336.79	244.57	351.14	529.06	325.29	312.0	183.82	251.48	224.97	121.79	197.09	138.1	563.18	77.25	82.29	105.15
FAM71F2	0.0	0.0	0.61	6.52	13.22	19.11	31.0	3.56	22.1	82.29	17.51	13.93	45.85	5.36	15.45	4.46	31.67	23.76	37.85	12.18	64.8	7.94	22.1	10.96	40.07	16.15	27.64	46.18	81.14	53.95	47.84	28.24	33.78	13.83	40.93	14.67	35.0	14.89	8.58	8.25	8.25	127.89	6.57	8.0	5.23
GSDMB	0.0	0.0	1.1	49.56	55.1	83.45	226.54	27.44	269.6	387.02	82.87	90.77	260.38	54.33	115.97	34.75	181.28	90.14	169.07	42.11	547.75	98.04	237.86	44.89	77.79	155.5	76.17	214.27	1037.29	348.71	255.0	92.05	470.14	143.01	133.36	17.64	155.5	35.0	37.05	100.83	73.54	698.41	52.45	47.84	75.64
ING5	81.71	175.07	87.65	348.71	438.59	466.88	571.05	518.15	728.11	961.07	289.02	476.71	583.07	299.25	503.95	334.46	476.71	575.03	651.58	361.04	915.51	688.78	490.14	269.6	376.41	518.15	463.65	395.18	460.44	890.44	563.18	660.68	591.22	511.0	551.56	376.41	559.28	486.75	353.59	387.02	291.04	842.36	320.8	334.46	389.72
KIAA1407	17.25	0.0	0.29	63.89	45.21	61.68	59.13	52.08	88.26	110.43	91.41	74.06	116.78	54.72	31.45	29.27	81.14	45.21	103.69	50.98	64.34	42.11	64.8	36.79	63.45	105.89	62.12	108.14	144.01	77.79	76.17	90.14	153.34	80.57	93.35	43.32	112.77	51.35	42.71	64.34	33.78	171.45	43.63	62.12	45.53
KLK3	281.09	0.0	0.0	1005860.33	1212874.47	1163466.92	1116072.03	925580.18	751804.53	881742.8	875652.15	1063212.58	800198.39	1055868.42	1255646.43	1187913.85	1139523.1	1100706.72	659036.03	1327240.99	716197.51	1412675.8	906531.99	659036.03	919186.72	1238359.56	1327240.99	1196176.45	602247.76	845824.19	919186.72	654483.73	1063212.58	1212874.47	1238359.56	1048575.0	1345768.59	828417.36	531605.79	1472666.19	1229805.58	1019901.63	925580.18	834179.46	1063212.58
LEAP2	16.75	0.0	0.61	12.64	30.78	43.94	73.03	9.56	115.97	77.79	37.59	21.94	81.14	14.24	23.42	21.47	50.27	32.59	74.58	12.93	91.41	22.26	87.03	15.22	28.86	40.64	36.53	76.17	140.04	105.89	147.06	54.72	83.45	87.65	43.94	11.38	96.01	12.09	16.63	16.63	32.59	246.28	21.94	29.91	19.39
LENG8	52.82	0.0	1.77	1143.1	954.43	1832.01	3235.01	866.07	4328.55	3690.52	1313.23	1721.16	3794.3	1111.82	3614.55	688.78	1794.29	2400.97	2555.58	642.59	4481.23	1709.26	2434.5	1073.91	1111.82	2384.37	2061.24	3901.01	5292.48	5076.84	2645.74	2915.45	3820.7	2319.15	2319.15	902.89	2485.67	1242.34	575.03	967.76	1023.0	6250.56	947.83	1191.69	603.67
LRRC37B	18.56	0.0	0.55	126.12	116.78	147.06	195.72	88.26	231.32	177.53	121.79	97.36	206.94	102.25	146.03	105.89	170.25	149.12	193.01	103.69	242.88	84.04	121.79	115.16	119.26	187.71	146.03	246.28	260.38	262.2	255.0	163.28	212.78	139.07	148.09	108.14	172.65	113.56	63.45	105.89	102.97	400.71	123.5	111.99	82.87
LY6G5B	2.97	0.0	1.23	25.72	37.85	50.27	122.64	19.82	144.01	167.9	52.45	54.33	125.24	15.34	50.27	7.51	71.0	65.26	87.03	16.27	236.21	46.18	84.63	36.79	26.86	82.87	85.82	110.43	291.04	212.78	92.7	100.83	132.44	67.12	71.0	22.1	120.94	25.54	7.57	30.78	32.82	253.23	31.9	23.93	11.3
MAPK8IP3	18.84	0.0	1.69	202.66	251.48	426.57	629.35	187.71	1242.34	1023.0	277.2	228.13	934.76	199.85	463.65	115.16	327.56	503.95	493.56	120.94	878.17	283.05	457.25	236.21	301.33	547.75	454.09	633.73	1295.13	1233.75	764.36	780.44	928.3	438.59	579.04	143.01	693.58	267.73	108.9	275.28	176.29	1685.71	206.94	226.54	142.01
NTN5	0.0	0.0	0.41	7.06	16.51	14.89	34.75	6.89	44.57	50.63	17.9	13.52	77.79	7.11	20.86	8.38	14.35	16.51	42.11	6.52	69.52	10.63	35.5	2.92	4.43	21.32	19.39	19.82	105.15	34.26	10.08	35.76	86.43	29.48	13.32	12.93	23.25	7.28	3.76	6.78	7.75	156.59	14.56	18.7	5.54
PILRA	76.71	0.0	0.41	92.7	37.32	123.5	133.36	36.79	120.94	325.29	94.67	87.03	150.17	52.45	114.36	45.53	102.25	113.56	147.06	73.03	312.0	115.16	57.08	96.01	127.0	143.01	161.02	148.09	376.41	149.12	182.55	113.56	153.34	78.89	98.04	63.45	111.99	74.06	67.12	68.07	105.89	708.18	37.05	61.68	35.5
PILRB	31.45	0.0	1.31	283.05	521.76	802.41	1135.2	193.01	2075.59	4358.66	559.28	669.92	2061.24	361.04	1008.9	231.32	1119.56	974.5	1322.37	143.01	2591.27	854.13	1111.82	305.55	587.13	1216.75	1183.45	1806.78	2645.74	1977.24	1208.34	1051.79	1674.06	1313.23	1104.13	199.85	1721.16	297.17	191.67	414.87	366.09	5219.6	373.81	397.93	297.17
PNN	59.97	575.03	163.28	759.08	629.35	830.75	1331.57	547.75	1685.71	1199.98	748.61	878.17	1350.18	684.02	1159.07	616.37	854.13	934.76	1242.34	684.02	1151.06	674.59	1313.23	490.14	759.08	1044.52	967.76	1340.84	2004.85	1359.57	1073.91	1175.27	1487.87	769.69	1191.69	674.59	1259.69	759.08	463.65	684.02	575.03	2935.74	529.06	620.67	551.56
PTPN2	299.25	0.0	0.53	457.25	389.72	438.59	438.59	379.04	587.13	567.1	417.77	454.09	571.05	397.93	426.57	423.61	423.61	420.68	514.56	490.14	551.56	444.72	525.39	389.72	366.09	417.77	518.15	486.75	642.59	521.76	483.38	529.06	486.75	389.72	483.38	327.56	551.56	460.44	414.87	406.31	336.79	595.34	400.71	358.54	395.18
RBM5	82.29	0.0	1.22	1143.1	1175.27	1498.22	2400.97	1233.75	4268.94	2956.17	1369.04	1909.85	2935.74	909.17	1697.45	921.88	2075.59	1963.57	2915.45	961.07	2209.26	1697.45	2224.63	780.44	1259.69	2434.5	1819.35	2645.74	3820.7	3257.52	2271.4	2335.28	3060.45	1806.78	2468.49	1044.52	2178.83	1175.27	884.29	1225.22	1037.29	4038.61	1216.75	1127.35	967.76
SLC25A27	7.4	0.0	1.06	150.17	190.34	426.57	1183.45	135.24	1340.84	1175.27	118.43	366.09	1277.29	90.14	915.51	138.1	563.18	226.54	1159.07	217.27	1322.37	400.71	848.22	193.01	241.19	651.58	620.67	1051.79	2434.5	1819.35	708.18	769.69	1135.2	571.05	890.44	140.04	698.41	145.02	88.26	159.9	224.97	3491.39	156.59	105.15	82.87
SRRM5	0.42	0.0	0.37	8.92	15.34	18.29	26.67	5.19	30.78	45.85	17.64	18.29	31.45	15.11	10.96	12.0	21.32	12.64	30.56	6.21	38.95	15.45	34.75	9.34	10.39	18.7	21.78	27.84	36.27	16.63	17.13	21.63	46.5	19.53	19.82	8.65	21.16	7.88	6.73	7.4	22.75	74.58	17.0	22.43	12.93
STX16-NPEPL1	0.0	0.0	1.22	6.94	7.4	59.97	95.34	13.62	120.1	129.69	18.03	25.17	67.12	10.79	49.56	8.13	34.75	47.84	62.12	3.26	190.34	29.48	146.03	22.75	31.22	86.43	106.63	55.49	185.11	71.5	80.01	122.64	171.45	29.06	39.5	15.68	95.34	6.52	5.68	12.18	3.86	186.4	5.63	9.27	1.71
TTC18	11.13	0.0	0.22	38.4	77.25	87.03	126.12	50.27	236.21	244.57	88.88	107.38	182.55	40.93	209.84	38.95	182.55	40.64	221.86	35.76	231.32	120.94	193.01	39.5	87.03	54.33	96.68	228.13	214.27	305.55	202.66	199.85	206.94	195.72	101.54	28.45	329.84	62.12	32.59	85.22	45.85	629.35	44.25	33.06	47.84
UNC5CL	2.41	0.0	0.8	8.0	2.23	8.38	18.16	3.79	24.63	23.76	4.54	3.59	16.51	4.39	9.34	2.27	10.96	8.92	13.42	3.35	18.29	7.06	15.91	4.7	8.32	5.5	9.41	14.67	26.47	23.59	22.43	13.62	13.32	13.52	12.93	2.32	13.32	5.11	4.5	8.71	4.62	40.93	7.88	3.96	6.16
WDR27	8.99	0.0	1.04	106.63	143.01	246.28	438.59	96.01	563.18	490.14	170.25	239.52	497.0	115.16	400.71	61.25	228.13	154.42	363.56	76.17	532.74	202.66	356.05	124.37	172.65	323.03	253.23	384.34	660.68	587.13	429.54	299.25	543.96	307.69	299.25	135.24	423.61	90.77	68.07	112.77	79.45	748.61	119.26	127.0	66.65
WDR52	0.45	0.0	0.6	53.57	65.72	100.13	185.11	46.5	339.14	400.71	116.78	121.79	232.94	54.72	98.73	40.64	236.21	100.83	218.79	53.95	221.86	86.43	172.65	47.17	74.06	164.42	156.59	162.14	384.34	299.25	193.01	234.57	397.93	172.65	195.72	48.87	189.02	44.25	42.41	89.51	73.03	547.75	64.34	53.95	40.36
ZMAT1	19.97	0.0	0.65	80.57	105.89	181.28	271.48	67.12	417.77	249.73	136.19	162.14	336.79	77.79	205.5	57.08	201.25	116.78	277.2	101.54	348.71	108.9	228.13	73.03	148.09	147.06	135.24	291.04	457.25	295.11	381.68	193.01	279.14	175.07	265.87	97.36	400.71	58.3	47.17	112.77	87.65	563.18	78.89	103.69	60.82
ZNF182	15.68	0.0	0.39	61.68	56.28	59.97	75.11	48.52	99.43	71.5	75.11	71.0	94.01	55.1	53.19	49.21	67.59	47.84	94.67	58.71	113.56	62.56	79.45	48.52	59.13	87.03	62.12	53.95	96.01	77.25	66.18	78.89	98.04	62.12	77.25	56.68	92.7	43.32	38.4	50.63	45.21	137.14	54.72	52.82	44.89
ZNF26	58.71	0.0	0.4	85.22	74.58	99.43	135.24	62.56	186.4	171.45	95.34	102.97	170.25	76.71	100.83	68.07	102.25	94.01	194.36	77.79	176.29	111.99	167.9	77.79	99.43	134.3	108.14	167.9	202.66	175.07	171.45	125.24	205.5	90.77	130.6	63.45	172.65	105.15	63.0	75.64	69.52	293.07	53.95	75.11	62.12
ZNF337	34.51	0.0	0.82	175.07	199.85	201.25	297.17	158.79	426.57	332.14	201.25	172.65	353.59	224.97	163.28	166.73	217.27	170.25	325.29	153.34	384.34	134.3	237.86	159.9	162.14	301.33	246.28	271.48	423.61	400.71	314.17	242.88	414.87	215.77	256.78	139.07	260.38	138.1	121.79	176.29	136.19	612.11	253.23	220.32	162.14
ZNF692	83.45	0.0	1.11	441.64	872.1	1397.83	1551.09	703.28	2335.28	3515.68	638.15	1199.98	2004.85	624.99	1769.57	529.06	1540.37	995.0	1936.53	309.83	2758.13	1340.84	2119.22	525.39	915.51	1340.84	1378.57	1896.65	3212.66	2468.49	1883.54	2090.03	2591.27	2335.28	1781.89	514.56	2133.97	500.46	503.95	708.18	647.07	3955.48	624.99	620.67	616.37
ZNF793	30.56	0.0	0.54	69.52	84.04	77.79	110.43	54.72	132.44	117.6	80.01	89.51	109.66	50.63	76.71	57.49	80.01	78.89	130.6	72.01	143.01	59.97	86.43	90.77	59.55	78.89	62.12	141.02	165.57	94.01	120.94	105.15	142.01	85.82	98.04	50.63	148.09	49.56	38.95	62.12	71.5	163.28	69.03	36.01	38.95
