	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.86.8669.01A.11R.2403.07	TCGA.49.4510.01A.01R.1206.07	TCGA.75.6206.01A.11R.1755.07	TCGA.78.7161.01A.11R.2039.07	TCGA.44.6776.01A.11R.1858.07	TCGA.86.8674.01A.21R.2403.07	TCGA.91.6849.01A.11R.1949.07	TCGA.MP.A5C7.01A.11R.A262.07	TCGA.86.8359.01A.11R.2326.07	TCGA.86.8281.01A.11R.2287.07	TCGA.38.4625.01A.01R.1206.07	TCGA.50.5932.01A.11R.1755.07	TCGA.80.5608.01A.31R.1949.07	TCGA.MP.A4TE.01A.22R.A466.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.73.4675.01A.01R.1206.07	TCGA.73.4677.01A.01R.1206.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.73.7498.01A.12R.2187.07	TCGA.44.7671.01A.11R.2066.07	TCGA.4B.A93V.01A.11R.A39D.07	TCGA.78.7537.01A.11R.2066.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.78.7167.01A.11R.2066.07	TCGA.J2.8194.01A.11R.2241.07	TCGA.NJ.A7XG.01A.12R.A39D.07	TCGA.86.7713.01A.11R.2066.07	TCGA.55.6970.01A.11R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.QXCU.0626.SM.2TC69	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.ZT9W.0726.SM.4YCDC	GTEX.P78B.0926.SM.2I5FA	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ
ADPRH	10.08	8.25	194.36	208.38	204.07	83.45	104.42	111.21	98.04	85.22	52.82	133.36	0.0	71.5	63.0	46.5	0.29	110.43	217.27	85.22	114.36	148.09	181.28	36.53	111.21	51.35	118.43	106.63	110.43	54.33	37.32	133.36	780.44	1697.45	748.61	660.68	289.02	603.67	988.12	954.43	698.41	521.76	299.25	444.72	981.29	785.88	647.07	432.53	629.35	1127.35	629.35	414.87	429.54	555.41	397.93	620.67	819.3	307.69	226.54	764.36	974.5	438.59	915.51	708.18	1051.79	246.28	813.63	896.64	532.74	567.1	603.67	961.07	563.18	915.51	748.61	262.2	884.29	514.56	878.17	1286.18	830.75	819.3	444.72	1030.12	366.09	281.09
ANKRD1	1.51	1.08	5.68	6.62	0.48	9.93	2.32	0.67	8.0	2.36	7.57	1.04	12.0	3.06	22.1	0.0	361.04	1.35	22.26	0.75	84.04	7.57	2.01	1.41	0.22	1.62	50.27	1.08	16.39	0.0	4.82	122.64	2119.22	2739.08	2468.49	1242.34	660.68	3768.09	4450.27	629.35	2400.97	738.29	563.18	1023.0	1923.14	339.14	2400.97	5555.65	791.35	3928.15	6745.86	3901.01	860.08	629.35	1216.75	698.41	3874.05	100.83	199.85	2502.97	1225.22	212.78	2468.49	2485.67	1769.57	223.41	2520.38	1963.57	1639.59	3280.18	211.31	1628.26	2367.9	149.12	67.12	1015.93	406.31	483.38	490.14	260.38	915.51	2178.83	2777.33	3280.18	1844.76	2367.9
ANXA8L1	0.0	0.0	5.82	5.68	2.53	0.0	5.15	0.78	21.16	0.0	0.0	2.14	0.0	5.5	8.13	0.53	0.16	13.03	5.59	0.0	12.0	3.17	22.92	0.0	1.33	0.0	16.39	5.68	12.55	12.45	0.0	9.06	81.71	1551.09	303.44	381.68	271.48	703.28	2400.97	28.45	473.41	2.14	5.87	361.04	271.48	309.83	45.53	480.04	67.59	503.95	253.23	457.25	866.07	387.02	91.41	237.86	2104.58	642.59	1651.0	11.55	121.79	69.52	82.29	426.57	19.68	118.43	2.58	13.83	55.49	197.09	148.09	56.28	202.66	148.09	135.24	1104.13	314.17	205.5	121.79	4358.66	0.0	77.25	3395.89	1199.98	209.84	642.59
ARHGAP31	7.17	5.5	70.51	49.91	178.77	50.98	87.65	17.25	94.01	54.72	31.67	92.05	0.0	45.53	45.21	15.56	0.32	40.07	85.82	41.22	102.25	157.68	141.02	21.78	59.13	47.5	63.0	55.1	117.6	39.5	41.22	130.6	1617.0	1359.57	3349.13	1561.89	435.55	647.07	1044.52	353.59	1628.26	738.29	466.88	718.08	967.76	921.88	420.68	651.58	703.28	2148.82	808.0	660.68	723.08	511.0	316.37	1066.48	1023.0	1066.48	172.65	1407.55	624.99	1073.91	703.28	802.41	1769.57	291.04	808.0	1159.07	688.78	514.56	547.75	1388.16	346.29	1023.0	642.59	651.58	2061.24	348.71	2047.0	1295.13	1794.29	1037.29	1208.34	3190.46	201.25	4328.55
ASPRV1	17.13	7.82	15.56	11.91	5.36	17.77	10.79	4.43	8.58	8.25	16.03	5.87	0.0	6.57	9.7	7.69	0.36	14.35	15.34	11.38	10.79	14.35	9.41	6.89	19.53	8.32	5.36	6.06	6.46	6.26	4.62	10.0	44.89	13.72	49.56	25.17	30.78	56.68	35.25	28.45	59.55	24.28	8.71	72.52	13.03	53.95	15.68	5.96	14.14	13.32	34.26	6.36	34.26	18.43	36.27	23.25	46.5	76.71	12.45	45.85	21.78	40.36	42.11	46.18	22.1	31.0	24.99	19.25	12.74	34.26	24.81	25.72	15.56	34.26	30.56	8.13	40.36	51.35	36.27	19.68	40.07	19.82	40.36	37.05	35.76	46.84
B3GALNT1	21.47	3.32	123.5	82.29	74.58	65.26	42.41	28.86	38.95	29.27	141.02	57.89	0.0	49.91	55.1	25.17	0.28	68.07	82.87	119.26	143.01	67.59	83.45	24.11	44.89	83.45	67.59	29.06	128.79	41.22	98.04	109.66	305.55	363.56	1857.6	921.88	127.89	587.13	995.0	287.01	587.13	1199.98	84.63	429.54	1044.52	764.36	555.41	583.07	395.18	2018.8	775.05	490.14	379.04	780.44	511.0	429.54	1119.56	884.29	183.82	1051.79	543.96	429.54	1175.27	295.11	1594.73	277.2	287.01	1794.29	381.68	277.2	441.64	723.08	647.07	988.12	253.23	444.72	981.29	228.13	441.64	1159.07	1467.37	579.04	796.86	1721.16	269.6	348.71
C14orf132	0.0	0.0	13.72	77.25	119.26	96.01	64.8	16.03	58.3	20.86	27.84	47.17	0.0	21.78	46.5	12.0	0.29	47.84	35.0	50.98	121.79	105.89	90.77	9.48	61.25	47.84	38.95	31.67	38.67	38.12	23.76	54.72	555.41	1572.76	2319.15	915.51	339.14	521.76	878.17	902.89	928.3	674.59	114.36	665.29	954.43	603.67	497.0	450.94	684.02	1135.2	1277.29	1233.75	379.04	1331.57	830.75	454.09	559.28	1104.13	267.73	830.75	463.65	738.29	1674.06	743.43	1529.73	802.41	2537.92	1651.0	460.44	1183.45	1159.07	713.11	1268.46	915.51	974.5	239.52	1857.6	780.44	842.36	656.11	921.88	525.39	902.89	1427.22	555.41	503.95
C15orf59	3.35	8.58	16.39	33.78	25.17	19.53	97.36	38.67	21.16	127.89	20.86	39.22	0.0	21.32	17.51	3.38	0.29	52.45	56.68	18.84	37.05	69.52	31.45	6.84	199.85	9.48	26.67	26.86	17.9	13.03	4.66	21.16	41.52	156.59	353.59	189.02	189.02	186.4	208.38	251.48	147.06	48.87	4.43	44.25	363.56	638.15	103.69	45.85	212.78	79.45	19.82	58.3	57.89	187.71	126.12	182.55	122.64	53.95	72.01	65.26	327.56	332.14	53.95	182.55	103.69	43.94	89.51	87.03	8.58	599.49	31.45	127.89	199.85	159.9	43.63	36.79	273.37	53.95	271.48	808.0	150.17	470.14	161.02	99.43	23.42	81.14
CA5B	24.63	8.25	57.08	50.98	72.01	64.34	91.41	30.34	111.99	77.79	26.28	53.95	58.3	79.45	67.12	36.79	232.94	42.11	46.18	53.57	49.91	170.25	98.04	49.91	60.39	63.89	48.18	54.72	90.14	37.59	94.67	84.63	201.25	88.88	142.01	111.99	348.71	85.82	74.58	100.13	155.5	90.77	152.28	79.45	87.03	153.34	64.34	107.38	127.89	88.26	91.41	87.03	161.02	83.45	118.43	94.01	120.1	177.53	166.73	100.83	109.66	191.67	102.97	166.73	93.35	124.37	231.32	113.56	68.55	176.29	123.5	89.51	78.34	223.41	111.21	103.69	164.42	140.04	198.47	99.43	119.26	106.63	151.22	197.09	237.86	37.85
CACHD1	12.93	3.79	82.87	12.0	16.39	41.52	119.26	16.51	39.5	95.34	8.06	39.79	0.0	94.67	36.27	132.44	0.37	21.16	68.55	10.16	100.13	121.79	36.01	4.98	64.8	24.28	56.68	63.89	74.06	31.0	23.25	189.02	842.36	329.84	591.22	185.11	417.77	161.02	638.15	420.68	218.79	642.59	1175.27	1551.09	915.51	669.92	551.56	269.6	206.94	493.56	159.9	273.37	642.59	368.65	1359.57	1350.18	1498.22	764.36	265.87	262.2	444.72	327.56	356.05	647.07	363.56	915.51	224.97	232.94	189.02	323.03	325.29	470.14	454.09	743.43	514.56	1242.34	332.14	791.35	1111.82	363.56	457.25	698.41	480.04	1286.18	1127.35	703.28
