	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11P82.0426.SM.5HL5D	GTEX.11EQ9.0926.SM.5HL6I	GTEX.1211K.1326.SM.5FQV2	GTEX.12WSJ.0726.SM.5GCN6	GTEX.11NSD.1226.SM.5986Q	GTEX.U3ZM.0626.SM.4DXTV	GTEX.WFJO.0726.SM.4LVM8	GTEX.1122O.1626.SM.5N9CX	GTEX.ZT9W.1226.SM.57WE4	GTEX.13OVG.0926.SM.5J2OJ	GTEX.13X6H.1426.SM.5SI91	GTEX.ZZPU.1826.SM.5E43L	GTEX.YB5K.0726.SM.5LU8R	GTEX.11XUK.0726.SM.5EQMX	GTEX.PLZ6.0626.SM.3P61B	GTEX.YF7O.0826.SM.4W21F	GTEX.11EQ9.0826.SM.5986Y	GTEX.ZTSS.0726.SM.51MSN	GTEX.ZPCL.1226.SM.4WWFF	GTEX.X3Y1.1226.SM.4PQZ8	GTEX.11VI4.0626.SM.5EQLO	GTEX.11P81.0926.SM.59874	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.13111.1226.SM.5GCNC	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
ABI3BP	1605.83	1104.13	2627.46	2061.24	854.13	563.18	941.27	1388.16	995.0	819.3	521.76	836.53	1051.79	728.11	633.73	297.17	842.36	813.63	620.67	540.19	684.02	400.71	1397.83	866.07	1617.0	0.0	0.61	4639.29	12589.08	10959.3	12244.81	9025.81	6652.97	5292.48	9540.5	7130.55	6607.01	7911.95	6561.36	10296.45	10014.87	16157.44	8538.88	5479.15	5633.22	6699.25	5711.87	8022.41	3564.78	7081.29	8718.32	5147.73	8718.32
ADRA1D	64.8	5.73	46.5	23.93	4.43	3.66	10.47	16.51	16.75	5.68	5.87	6.52	1.22	6.57	3.96	5.28	3.0	2.84	4.13	14.45	5.28	4.31	4.39	14.14	13.22	0.0	0.37	26.67	260.38	215.77	323.03	215.77	201.25	163.28	325.29	89.51	190.34	122.64	183.82	193.01	170.25	130.6	118.43	161.02	114.36	204.07	185.11	155.5	208.38	221.86	115.97	99.43	189.02
AFAP1L2	384.34	423.61	299.25	262.2	206.94	113.56	309.83	295.11	217.27	156.59	194.36	204.07	150.17	101.54	171.45	82.29	175.07	162.14	132.44	249.73	175.07	249.73	217.27	194.36	236.21	0.0	0.47	417.77	571.05	571.05	813.63	547.75	733.19	314.17	1001.93	497.0	412.0	466.88	1268.46	575.03	638.15	1008.9	915.51	371.22	470.14	591.22	412.0	656.11	748.61	339.14	540.19	603.67	438.59
AIG1	703.28	941.27	679.29	796.86	532.74	441.64	486.75	587.13	387.02	450.94	447.82	409.15	633.73	432.53	486.75	450.94	376.41	463.65	567.1	532.74	432.53	529.06	525.39	543.96	830.75	0.0	0.59	753.83	934.76	928.3	2555.58	1388.16	1936.53	1487.87	3419.52	1183.45	1208.34	2224.63	988.12	2047.0	1388.16	2367.9	1950.0	1427.22	2018.8	1277.29	1427.22	1096.5	1216.75	878.17	1733.13	1331.57	1268.46
ARHGAP31	185.11	191.67	170.25	185.11	124.37	123.5	187.71	197.09	175.07	127.89	149.12	126.12	143.01	144.01	149.12	102.25	120.94	149.12	145.02	149.12	138.1	146.03	119.26	152.28	155.5	0.0	0.32	206.94	236.21	269.6	444.72	371.22	297.17	251.48	341.51	299.25	318.57	206.94	327.56	289.02	397.93	376.41	318.57	269.6	229.72	320.8	217.27	363.56	503.95	397.93	312.0	339.14	285.03
ARHGEF4	1870.53	1417.35	836.53	423.61	155.5	229.72	234.57	497.0	163.28	177.53	153.34	154.42	226.54	80.01	323.03	149.12	185.11	314.17	124.37	217.27	141.02	279.14	563.18	529.06	490.14	0.0	0.48	579.04	830.75	884.29	2573.36	1059.11	3060.45	1407.55	1806.78	884.29	1104.13	1199.98	1857.6	2090.03	1407.55	2537.92	775.05	738.29	555.41	2835.7	2417.67	1551.09	1561.89	1896.65	2032.85	1819.35	1519.15
ATP1B2	244.57	511.0	441.64	181.28	67.12	68.55	102.97	171.45	111.21	64.34	78.89	77.79	75.64	61.25	137.14	81.14	86.43	120.1	63.45	80.01	92.7	61.68	134.3	63.45	166.73	0.0	0.01	260.38	406.31	346.29	463.65	400.71	444.72	126.12	470.14	221.86	214.27	336.79	305.55	156.59	206.94	1286.18	127.89	108.14	120.1	890.44	162.14	242.88	223.41	149.12	236.21	334.46	120.94
ATP2B2	14.56	21.94	8.13	4.74	2.16	2.76	5.41	6.94	3.79	4.17	7.88	4.21	4.5	3.44	2.29	1.69	2.94	5.19	1.04	7.82	2.05	3.08	3.96	3.96	6.78	0.0	0.0	4.5	11.13	28.45	21.47	22.26	14.78	11.64	16.51	21.47	10.63	19.53	27.44	32.13	22.43	7.22	17.64	17.51	2.36	8.06	17.13	14.78	38.4	5.92	21.94	11.64	15.22
ATXN1	493.56	267.73	293.07	249.73	318.57	162.14	303.44	312.0	208.38	205.5	202.66	228.13	183.82	193.01	223.41	99.43	158.79	195.72	197.09	285.03	172.65	295.11	171.45	264.03	211.31	87.03	74.58	438.59	466.88	444.72	371.22	406.31	521.76	236.21	579.04	429.54	265.87	409.15	490.14	361.04	379.04	651.58	423.61	336.79	303.44	376.41	293.07	466.88	303.44	318.57	412.0	426.57	301.33
B9D1	409.15	180.02	232.94	218.79	111.21	215.77	157.68	165.57	125.24	164.42	171.45	96.68	120.94	134.3	363.56	186.4	229.72	312.0	171.45	140.04	178.77	96.01	153.34	256.78	172.65	0.0	0.0	279.14	460.44	358.54	791.35	392.44	389.72	599.49	414.87	703.28	447.82	679.29	450.94	733.19	638.15	651.58	738.29	323.03	603.67	703.28	808.0	536.45	417.77	674.59	638.15	651.58	607.87
