	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4769.01A.01R.1289.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.BQ.7053.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.PX3G.0826.SM.48TZS	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.ZYW4.1126.SM.5SI99	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13U4I.0526.SM.5LU59	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW
AREL1	205.5	220.32	293.07	171.45	387.02	320.8	387.02	275.28	438.59	346.29	107.38	108.9	152.28	132.44	209.84	144.01	130.6	164.42	211.31	167.9	71.0	167.9	156.59	87.03	84.63	194.36	79.45	78.89	166.73	164.42	329.84	400.71	511.0	384.34	217.27	297.17	348.71	343.89	387.02	346.29	293.07	470.14	212.78	346.29	429.54	400.71	493.56	543.96	397.93	318.57	363.56	447.82	529.06
ARID1A	620.67	518.15	638.15	450.94	295.11	511.0	301.33	473.41	490.14	358.54	151.22	214.27	543.96	291.04	387.02	366.09	173.85	417.77	312.0	384.34	291.04	329.84	412.0	412.0	95.34	373.81	314.17	84.63	271.48	329.84	738.29	1051.79	718.08	660.68	511.0	679.29	866.07	842.36	780.44	547.75	688.78	890.44	540.19	738.29	1111.82	587.13	961.07	1073.91	1008.9	878.17	872.1	1066.48	1216.75
ARID1B	503.95	432.53	435.55	285.03	217.27	267.73	237.86	318.57	361.04	141.02	92.7	64.8	228.13	87.65	125.24	178.77	115.16	189.02	156.59	146.03	120.1	138.1	161.02	171.45	84.04	232.94	145.02	78.89	97.36	137.14	532.74	587.13	620.67	497.0	381.68	507.46	463.65	503.95	532.74	420.68	444.72	638.15	400.71	500.46	493.56	612.11	595.34	567.1	708.18	1059.11	500.46	733.19	567.1
ASH1L	293.07	197.09	262.2	158.79	136.19	283.05	136.19	181.28	214.27	50.27	55.49	24.11	153.34	70.01	113.56	173.85	54.72	134.3	150.17	104.42	92.7	119.26	94.67	149.12	81.14	108.9	232.94	35.25	50.63	119.26	343.89	392.44	366.09	336.79	228.13	423.61	412.0	384.34	376.41	253.23	253.23	551.56	201.25	351.14	271.48	599.49	470.14	480.04	423.61	351.14	267.73	521.76	693.58
ATP6V0A2	406.31	120.94	135.24	73.03	131.51	165.57	97.36	148.09	115.97	94.67	57.49	52.82	94.01	73.54	93.35	77.79	55.1	77.25	107.38	108.9	82.29	93.35	88.26	94.01	42.71	62.12	63.45	59.97	117.6	105.15	226.54	180.02	279.14	172.65	128.79	194.36	343.89	198.47	236.21	186.4	143.01	202.66	142.01	208.38	177.53	258.57	181.28	217.27	185.11	194.36	142.01	206.94	220.32
BAZ2A	559.28	599.49	633.73	348.71	473.41	575.03	368.65	529.06	536.45	297.17	156.59	95.34	420.68	281.09	329.84	371.22	114.36	214.27	312.0	218.79	158.79	320.8	262.2	305.55	149.12	525.39	291.04	55.89	289.02	236.21	915.51	1216.75	1143.1	813.63	563.18	1059.11	1096.5	825.0	872.1	525.39	698.41	1594.73	660.68	1059.11	848.22	1250.98	921.88	1159.07	1111.82	872.1	698.41	1066.48	1216.75
BCORL1	81.71	120.94	195.72	105.15	100.83	137.14	94.67	139.07	145.02	99.43	30.34	34.51	157.68	48.52	70.01	138.1	27.05	109.66	57.08	73.03	75.11	121.79	62.56	72.01	23.76	114.36	56.28	41.81	68.07	84.04	164.42	194.36	120.94	140.04	112.77	144.01	244.57	158.79	153.34	96.68	120.1	135.24	123.5	143.01	212.78	202.66	151.22	212.78	176.29	229.72	173.85	232.94	348.71
BRD3	215.77	426.57	351.14	201.25	256.78	162.14	287.01	262.2	366.09	244.57	96.01	116.78	167.9	152.28	120.94	148.09	67.12	155.5	265.87	142.01	53.95	164.42	132.44	108.9	74.06	150.17	123.5	77.79	125.24	182.55	307.69	429.54	384.34	376.41	279.14	373.81	376.41	343.89	363.56	287.01	301.33	356.05	239.52	303.44	334.46	366.09	400.71	457.25	483.38	463.65	346.29	466.88	389.72
BRD4	444.72	669.92	748.61	543.96	571.05	567.1	450.94	591.22	759.08	540.19	441.64	392.44	567.1	529.06	403.5	503.95	384.34	397.93	507.46	381.68	490.14	460.44	497.0	603.67	273.37	514.56	595.34	221.86	339.14	376.41	587.13	748.61	698.41	769.69	397.93	708.18	743.43	693.58	647.07	387.02	607.87	753.83	571.05	674.59	759.08	733.19	836.53	703.28	785.88	981.29	642.59	775.05	825.0
C10orf118	183.82	221.86	170.25	84.63	129.69	269.6	88.26	136.19	142.01	21.01	52.08	14.35	68.07	28.86	55.49	62.12	47.17	31.45	61.68	63.45	41.52	62.12	25.91	51.35	83.45	43.94	143.01	15.91	43.02	32.13	273.37	256.78	283.05	229.72	189.02	329.84	329.84	244.57	323.03	181.28	187.71	406.31	176.29	260.38	248.0	460.44	325.29	366.09	271.48	253.23	197.09	366.09	301.33
C5orf42	17.25	77.79	102.97	42.41	39.5	144.01	87.03	90.77	122.64	10.47	7.51	9.93	42.11	49.21	37.05	27.25	5.23	25.72	29.7	21.63	59.13	22.59	18.84	32.59	26.28	28.65	72.01	18.56	29.27	49.91	185.11	447.82	281.09	212.78	139.07	186.4	253.23	204.07	232.94	133.36	114.36	371.22	120.94	195.72	106.63	379.04	138.1	208.38	224.97	153.34	111.21	273.37	220.32
CAAP1	239.52	332.14	400.71	236.21	291.04	264.03	249.73	318.57	318.57	138.1	251.48	130.6	220.32	183.82	242.88	295.11	376.41	336.79	267.73	327.56	239.52	339.14	318.57	206.94	204.07	211.31	212.78	202.66	314.17	318.57	379.04	435.55	420.68	384.34	476.71	454.09	356.05	379.04	463.65	381.68	320.8	476.71	334.46	384.34	591.22	450.94	595.34	884.29	490.14	432.53	708.18	633.73	514.56
CCNT2	295.11	281.09	262.2	108.14	140.04	299.25	115.97	187.71	166.73	71.0	98.04	24.63	206.94	82.29	185.11	145.02	123.5	84.63	127.0	118.43	96.68	154.42	74.58	127.89	217.27	162.14	271.48	53.95	164.42	82.87	521.76	476.71	540.19	397.93	368.65	447.82	435.55	341.51	395.18	246.28	400.71	607.87	253.23	384.34	332.14	466.88	373.81	444.72	389.72	450.94	346.29	460.44	412.0
CDC27	521.76	457.25	698.41	525.39	441.64	599.49	348.71	571.05	575.03	202.66	197.09	167.9	379.04	309.83	368.65	287.01	198.47	305.55	392.44	351.14	271.48	249.73	381.68	265.87	202.66	348.71	256.78	159.9	291.04	366.09	836.53	1191.69	647.07	547.75	854.13	718.08	909.17	759.08	896.64	612.11	616.37	1268.46	674.59	733.19	1059.11	902.89	1044.52	791.35	802.41	708.18	1037.29	1044.52	1081.39
CDK13	466.88	483.38	503.95	255.0	289.02	336.79	249.73	325.29	305.55	236.21	221.86	124.37	291.04	208.38	293.07	242.88	246.28	251.48	206.94	182.55	267.73	277.2	228.13	232.94	220.32	224.97	316.37	122.64	229.72	206.94	559.28	688.78	587.13	460.44	532.74	551.56	532.74	457.25	500.46	353.59	503.95	825.0	409.15	500.46	500.46	583.07	473.41	595.34	642.59	679.29	500.46	633.73	521.76
CEP170	262.2	660.68	384.34	221.86	287.01	271.48	224.97	381.68	241.19	127.89	68.07	48.52	279.14	121.79	154.42	141.02	84.63	226.54	82.29	79.45	107.38	100.13	59.13	208.38	150.17	197.09	140.04	44.89	134.3	77.79	607.87	466.88	591.22	412.0	753.83	599.49	629.35	518.15	500.46	698.41	420.68	769.69	438.59	525.39	723.08	698.41	493.56	457.25	638.15	591.22	371.22	684.02	587.13
CHD1	395.18	406.31	651.58	289.02	226.54	753.83	218.79	450.94	279.14	85.22	269.6	48.87	316.37	165.57	287.01	260.38	150.17	159.9	273.37	191.67	414.87	341.51	135.24	193.01	221.86	237.86	392.44	277.2	223.41	214.27	638.15	583.07	575.03	587.13	511.0	551.56	486.75	463.65	616.37	368.65	473.41	819.3	450.94	426.57	327.56	638.15	356.05	525.39	381.68	417.77	316.37	511.0	429.54
CLU	1472666.19	2729110.67	677564.08	482442.34	419990.32	1085552.95	614902.29	894051.48	517068.97	535303.41	220434.95	218912.29	546551.29	672883.8	539026.74	659036.03	402881.61	1171559.48	817012.28	614902.29	456418.21	479109.86	1383603.33	1171559.48	550352.86	731246.37	619179.28	456418.21	517068.97	958220.73	400098.69	447025.24	450134.56	459592.86	672883.8	641014.63	598087.73	389157.95	391864.76	348306.01	938500.81	217400.14	589853.66	736332.6	687022.54	417089.23	736332.6	691801.16	419990.32	682276.92	1131651.83	378516.38	539026.74
COG6	463.65	234.57	279.14	218.79	161.02	183.82	211.31	201.25	205.5	46.5	93.35	31.67	135.24	123.5	153.34	169.07	154.42	189.02	183.82	132.44	75.11	120.94	205.5	127.0	92.7	183.82	88.26	80.01	119.26	212.78	267.73	285.03	341.51	291.04	260.38	267.73	299.25	256.78	327.56	234.57	194.36	325.29	180.02	248.0	334.46	312.0	241.19	412.0	361.04	275.28	295.11	351.14	256.78
CXorf23	96.01	100.83	101.54	48.52	62.12	131.51	70.51	87.03	71.5	25.54	21.63	10.71	44.89	29.27	38.67	28.65	21.16	35.76	49.21	33.54	23.59	27.84	20.26	34.02	30.78	37.32	27.64	8.32	52.45	25.17	128.79	115.97	180.02	151.22	152.28	167.9	108.9	135.24	197.09	117.6	126.12	202.66	90.14	136.19	115.16	177.53	115.97	133.36	135.24	96.68	83.45	105.89	102.97
DLG1	536.45	620.67	688.78	454.09	679.29	638.15	470.14	432.53	633.73	248.0	244.57	162.14	287.01	191.67	351.14	400.71	260.38	540.19	473.41	358.54	212.78	301.33	269.6	320.8	346.29	312.0	348.71	187.71	371.22	454.09	808.0	819.3	954.43	796.86	679.29	884.29	902.89	813.63	981.29	583.07	603.67	1208.34	638.15	748.61	890.44	753.83	1023.0	921.88	679.29	796.86	995.0	1175.27	1073.91
DOPEY1	108.9	215.77	180.02	101.54	94.67	267.73	143.01	152.28	151.22	61.25	51.71	39.5	115.16	84.63	130.6	57.49	80.01	66.65	84.63	111.99	74.06	94.01	81.14	150.17	74.06	62.12	107.38	22.1	64.8	56.68	406.31	329.84	460.44	285.03	309.83	432.53	363.56	285.03	363.56	215.77	318.57	540.19	223.41	395.18	223.41	470.14	237.86	417.77	325.29	175.07	255.0	301.33	334.46
DYNC1LI2	1225.22	1159.07	1135.2	764.36	896.64	1277.29	633.73	1127.35	743.43	379.04	205.5	187.71	384.34	307.69	483.38	603.67	275.28	301.33	497.0	363.56	156.59	318.57	293.07	507.46	285.03	339.14	450.94	104.42	318.57	314.17	1397.83	1991.0	1639.59	1304.15	1183.45	1605.83	1594.73	1295.13	1359.57	1015.93	1001.93	2193.99	1183.45	1628.26	1674.06	2664.15	1950.0	1733.13	1674.06	1073.91	1369.04	2287.2	2335.28
EFCAB7	94.67	133.36	140.04	75.64	48.18	103.69	105.89	103.69	117.6	36.27	14.56	15.68	86.43	19.53	54.72	44.25	47.5	24.81	27.44	63.45	10.96	15.11	20.71	34.02	24.99	73.54	19.25	10.79	31.9	46.18	141.02	137.14	145.02	115.16	146.03	136.19	108.14	155.5	107.38	116.78	121.79	191.67	102.97	149.12	128.79	180.02	126.12	234.57	197.09	221.86	128.79	198.47	144.01
EIF4G3	579.04	514.56	532.74	466.88	339.14	674.59	432.53	543.96	571.05	102.97	103.69	71.0	275.28	180.02	248.0	255.0	185.11	260.38	208.38	251.48	271.48	229.72	221.86	178.77	181.28	339.14	202.66	108.9	244.57	323.03	718.08	796.86	921.88	780.44	698.41	616.37	780.44	612.11	785.88	532.74	607.87	842.36	583.07	753.83	915.51	884.29	995.0	1001.93	738.29	769.69	1208.34	1216.75	723.08
EP400	171.45	220.32	163.28	100.13	95.34	154.42	97.36	135.24	171.45	162.14	47.5	36.53	102.25	67.12	68.07	80.57	42.41	73.54	67.12	63.45	65.26	59.97	49.91	55.1	28.04	108.14	51.71	12.55	68.07	65.26	226.54	301.33	291.04	218.79	154.42	256.78	234.57	215.77	251.48	161.02	193.01	293.07	161.02	241.19	190.34	283.05	202.66	231.32	297.17	246.28	181.28	239.52	232.94
EPC2	348.71	303.44	406.31	220.32	173.85	190.34	181.28	285.03	264.03	91.41	89.51	55.1	170.25	111.99	100.83	126.12	81.71	118.43	132.44	119.26	178.77	154.42	120.1	172.65	212.78	152.28	223.41	57.89	100.13	111.21	483.38	457.25	444.72	435.55	323.03	463.65	447.82	444.72	406.31	318.57	403.5	575.03	297.17	414.87	376.41	438.59	429.54	521.76	486.75	620.67	323.03	563.18	426.57
FAM193A	193.01	307.69	271.48	241.19	244.57	264.03	275.28	264.03	429.54	211.31	90.77	106.63	156.59	98.04	98.04	134.3	95.34	123.5	149.12	114.36	173.85	169.07	116.78	134.3	84.04	152.28	107.38	52.45	102.25	120.1	387.02	426.57	395.18	353.59	281.09	387.02	412.0	363.56	363.56	285.03	376.41	423.61	314.17	438.59	281.09	318.57	341.51	353.59	381.68	454.09	314.17	414.87	392.44
FAM91A1	1242.34	277.2	320.8	228.13	277.2	318.57	336.79	368.65	361.04	180.02	251.48	135.24	289.02	156.59	295.11	412.0	293.07	316.37	379.04	275.28	289.02	327.56	189.02	327.56	277.2	303.44	283.05	191.67	356.05	339.14	470.14	366.09	486.75	379.04	325.29	457.25	454.09	387.02	503.95	366.09	325.29	466.88	314.17	341.51	343.89	521.76	420.68	463.65	447.82	403.5	309.83	511.0	406.31
