	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.B8.5552.11A.01R.1672.07	TCGA.55.7815.01A.11R.2170.07	TCGA.44.3918.01A.01R.A278.07	TCGA.44.2656.01A.02R.A278.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1
AAMP	1457.23	1259.69	1015.93	738.29	1304.15	1583.71	583.07	1001.93	1208.34	1551.09	1096.5	909.17	1295.13	2816.11	2720.15	3589.58	4419.52	3716.2	3325.99	3589.58	2240.11	3303.0	2351.53	4038.61	2434.5	2875.3	4481.23	3614.55	3372.43	2796.65	2537.92	4038.61	3716.2	3280.18	3690.52	2682.69	3665.02	3639.7	3395.89	2739.08	2915.45	3124.78	3060.45	3146.52	4575.41	3081.75	2816.11	3982.99	3982.99	2682.69	3955.48	3325.99	2777.33	3081.75	3665.02	3589.58	3325.99	3280.18	3124.78	3874.05	3280.18	1896.65	2468.49	3768.09	3515.68	2367.9	3060.45	4038.61	2875.3	3491.39	3820.7	2855.44	3060.45	3372.43	2915.45	3235.01	3467.27	3467.27	2816.11	2956.17	3190.46	3190.46	3212.66	5831.91	4512.4	3018.3	3564.78	3060.45	3768.09	2520.38	3690.52	5292.48	2956.17	3103.19	3039.3	2997.45	3235.01	4450.27	4704.07	4123.49	3768.09	3540.14	3146.52	3257.52	3467.27	3467.27	2555.58	3190.46	3303.0	3820.7	4239.45	3081.75	4481.23	4066.71	3124.78	2895.31	3639.7	3665.02	3303.0	3372.43	3614.55	4010.71	2609.3	2520.38	2796.65	2417.67	3395.89	2976.74	3742.05	2502.97	3564.78	3103.19	4239.45	3564.78	2682.69	3540.14	2573.36	2915.45	2915.45	3039.3	3349.13	3325.99	3124.78	3847.29	2816.11	3280.18	3564.78	3257.52	4328.55	4210.15	3690.52	2915.45	3039.3	3491.39	3325.99	2997.45	3742.05	3467.27	3018.3	2997.45	3982.99	3303.0	2555.58	3212.66	2485.67	2956.17	3124.78	2739.08	2855.44	2935.74	3742.05	2627.46	2976.74	2816.11
ABHD17A	438.59	339.14	412.0	334.46	429.54	536.45	258.57	96.01	89.51	176.29	55.89	35.0	63.89	1023.0	713.11	1135.2	1806.78	2271.4	1322.37	1304.15	684.02	1844.76	878.17	1359.57	629.35	1037.29	2090.03	1369.04	1397.83	1467.37	540.19	1963.57	1757.34	1340.84	1551.09	1066.48	1199.98	1923.14	1605.83	1583.71	1250.98	1487.87	981.29	866.07	2537.92	860.08	854.13	1350.18	1605.83	1250.98	1651.0	1674.06	1844.76	791.35	1508.65	1023.0	1529.73	2303.12	1519.15	1909.85	1794.29	1819.35	575.03	1674.06	1639.59	718.08	2004.85	1059.11	902.89	1697.45	1605.83	1167.14	1794.29	1143.1	1008.9	1191.69	1487.87	1313.23	1167.14	647.07	872.1	1757.34	1832.01	1359.57	2537.92	1088.92	1388.16	1721.16	1529.73	854.13	1628.26	1529.73	830.75	1551.09	2271.4	1397.83	1407.55	1561.89	1378.57	1883.54	2104.58	1487.87	1794.29	2271.4	1073.91	1388.16	909.17	674.59	1313.23	902.89	1037.29	1199.98	2367.9	1583.71	1769.57	1088.92	791.35	1806.78	1551.09	1769.57	1104.13	1001.93	473.41	543.96	2163.77	1143.1	2148.82	1437.15	1540.37	974.5	1674.06	1111.82	2451.44	1277.29	967.76	1322.37	785.88	1551.09	1104.13	669.92	2075.59	1369.04	1417.35	2163.77	1551.09	1909.85	1745.2	660.68	1540.37	1183.45	1697.45	1870.53	2384.37	2075.59	1709.26	1594.73	1950.0	1340.84	2004.85	2104.58	1397.83	1242.34	1519.15	954.43	1015.93	1350.18	1551.09	1250.98	1250.98	785.88	1151.06	872.1	1088.92	624.99
ADAT3	9.63	12.27	3.69	20.11	13.12	9.48	9.78	0.0	3.41	5.54	5.96	0.0	1.06	62.56	32.82	124.37	111.99	151.22	65.26	90.77	35.76	147.06	25.91	120.1	22.59	46.18	143.01	86.43	145.02	169.07	8.45	131.51	134.3	101.54	108.9	66.18	69.03	151.22	94.01	91.41	106.63	55.89	47.5	60.82	142.01	34.51	43.63	45.53	76.17	55.89	110.43	122.64	209.84	55.49	86.43	43.94	114.36	161.02	109.66	214.27	108.9	106.63	26.86	133.36	121.79	35.76	172.65	37.05	51.71	112.77	108.9	82.29	143.01	130.6	45.53	43.02	111.21	42.41	65.72	20.11	25.72	153.34	124.37	68.55	185.11	63.89	82.87	112.77	84.04	27.25	170.25	94.67	18.56	95.34	183.82	68.55	150.17	94.01	57.49	94.01	145.02	121.79	159.9	190.34	58.3	56.28	54.33	63.89	111.99	19.39	31.67	75.11	125.24	123.5	181.28	88.88	43.94	193.01	115.97	191.67	28.86	33.06	22.26	10.24	147.06	78.34	120.94	76.17	106.63	68.55	129.69	73.54	237.86	73.54	53.19	65.72	27.64	75.64	74.06	15.56	124.37	56.68	127.0	167.9	53.95	205.5	135.24	18.29	95.34	40.36	63.89	152.28	118.43	104.42	147.06	147.06	140.04	75.64	180.02	132.44	134.3	53.19	75.64	35.5	63.89	73.03	113.56	46.5	71.5	17.25	70.51	35.76	44.89	22.75
ADPRHL2	511.0	429.54	312.0	363.56	397.93	389.72	339.14	497.0	476.71	395.18	327.56	277.2	476.71	518.15	450.94	902.89	896.64	842.36	718.08	674.59	454.09	848.22	493.56	769.69	463.65	529.06	1143.1	728.11	665.29	934.76	532.74	769.69	698.41	607.87	708.18	547.75	603.67	934.76	684.02	651.58	575.03	595.34	567.1	656.11	921.88	647.07	490.14	733.19	884.29	665.29	703.28	728.11	679.29	563.18	718.08	642.59	728.11	836.53	791.35	967.76	693.58	693.58	669.92	693.58	633.73	490.14	660.68	665.29	713.11	728.11	669.92	514.56	642.59	518.15	454.09	780.44	698.41	656.11	559.28	575.03	599.49	802.41	642.59	848.22	928.3	567.1	848.22	764.36	688.78	497.0	665.29	896.64	599.49	878.17	728.11	579.04	642.59	738.29	713.11	848.22	753.83	656.11	830.75	890.44	647.07	480.04	511.0	656.11	713.11	651.58	620.67	656.11	890.44	780.44	723.08	563.18	738.29	595.34	759.08	708.18	529.06	708.18	480.04	493.56	780.44	583.07	813.63	698.41	759.08	493.56	708.18	612.11	825.0	713.11	551.56	743.43	511.0	563.18	603.67	612.11	854.13	684.02	802.41	830.75	866.07	872.1	934.76	620.67	813.63	703.28	802.41	698.41	842.36	791.35	802.41	769.69	764.36	909.17	748.61	698.41	656.11	660.68	612.11	616.37	647.07	759.08	674.59	587.13	587.13	759.08	848.22	660.68	656.11	595.34
AKT1S1	583.07	525.39	708.18	547.75	642.59	555.41	575.03	277.2	271.48	403.5	212.78	88.88	125.24	902.89	947.83	1023.0	1437.15	1208.34	1277.29	1467.37	674.59	1225.22	928.3	1183.45	902.89	961.07	1378.57	1295.13	988.12	1191.69	753.83	1437.15	1159.07	1059.11	1127.35	1143.1	1088.92	1583.71	1225.22	1322.37	967.76	1286.18	1199.98	1023.0	1487.87	1216.75	854.13	1378.57	1369.04	947.83	1081.39	1143.1	1427.22	1037.29	1322.37	1233.75	1216.75	1233.75	1175.27	1407.55	1199.98	1295.13	764.36	1295.13	1437.15	830.75	1151.06	1417.35	813.63	1096.5	1295.13	808.0	1242.34	915.51	1175.27	1369.04	1508.65	1388.16	1143.1	902.89	1051.79	1159.07	1225.22	1259.69	1674.06	848.22	1225.22	1175.27	1259.69	860.08	1216.75	1304.15	1183.45	1233.75	1617.0	1268.46	1044.52	1388.16	1417.35	1143.1	1498.22	1199.98	1175.27	1447.15	1233.75	1268.46	1037.29	1331.57	1044.52	1250.98	674.59	1183.45	1909.85	1447.15	1388.16	954.43	1457.23	1286.18	1407.55	1304.15	1104.13	1081.39	878.17	842.36	1709.26	848.22	1216.75	1104.13	1111.82	928.3	1331.57	1183.45	1529.73	1119.56	967.76	1697.45	947.83	1104.13	954.43	813.63	1369.04	1277.29	1259.69	1529.73	1096.5	1844.76	1407.55	941.27	1199.98	1151.06	1313.23	1104.13	1605.83	1378.57	1447.15	1259.69	1295.13	1208.34	1369.04	1159.07	1583.71	1259.69	836.53	836.53	764.36	1059.11	1457.23	1044.52	988.12	878.17	1135.2	733.19	988.12	941.27
ANAPC11	1709.26	1369.04	1561.89	860.08	1551.09	1388.16	866.07	808.0	981.29	1081.39	633.73	1378.57	1340.84	3235.01	2997.45	4210.15	6792.79	6792.79	4419.52	4066.71	2573.36	5555.65	2956.17	5006.93	3349.13	3794.3	7642.41	6337.83	4937.99	4704.07	2502.97	5366.37	6164.49	4038.61	5041.77	3235.01	3794.3	5913.33	4512.4	4639.29	3491.39	3716.2	3639.7	3060.45	6337.83	3928.15	2739.08	5147.73	5672.41	4836.35	5255.91	5711.87	5329.3	3190.46	5479.15	4736.79	5183.54	5112.16	4937.99	7081.29	4512.4	5006.93	2777.33	5555.65	5006.93	2956.17	6164.49	4512.4	3212.66	5147.73	5672.41	3639.7	5517.27	4937.99	4010.71	4736.79	4210.15	4328.55	2895.31	3639.7	3768.09	5594.3	4802.93	8134.41	8538.88	3982.99	5366.37	4481.23	7911.95	2835.7	4972.34	9540.5	3665.02	4152.18	5366.37	3928.15	4639.29	6164.49	5292.48	6121.9	7180.15	4575.41	5112.16	5403.7	4066.71	2997.45	2915.45	3982.99	6561.36	4095.0	4152.18	4358.66	6792.79	5872.48	4298.64	3018.3	4512.4	4607.24	4937.99	4836.35	4836.35	5112.16	2451.44	3235.01	5329.3	3103.19	6516.03	3901.01	5292.48	2758.13	4836.35	3235.01	7857.29	5006.93	2935.74	4802.93	2758.13	4575.41	3018.3	2701.35	6471.02	4903.87	5183.54	5594.3	6840.04	5913.33	5995.9	3847.29	5517.27	5329.3	6840.04	4358.66	4972.34	6250.56	5672.41	5219.6	5183.54	6207.38	4903.87	5791.62	4639.29	5954.47	4481.23	4419.52	3395.89	5006.93	6207.38	4123.49	3372.43	5006.93	6792.79	3874.05	4152.18	3039.3
ANKRD39	162.14	171.45	141.02	140.04	180.02	162.14	134.3	71.5	96.01	124.37	111.21	152.28	107.38	312.0	346.29	260.38	414.87	543.96	368.65	231.32	244.57	406.31	260.38	361.04	215.77	297.17	521.76	486.75	316.37	327.56	281.09	420.68	351.14	429.54	409.15	305.55	299.25	540.19	348.71	400.71	363.56	277.2	343.89	281.09	500.46	341.51	256.78	493.56	432.53	373.81	371.22	457.25	318.57	271.48	285.03	351.14	420.68	379.04	348.71	460.44	486.75	426.57	262.2	403.5	403.5	291.04	363.56	316.37	242.88	303.44	384.34	265.87	463.65	346.29	256.78	269.6	406.31	397.93	285.03	244.57	285.03	460.44	511.0	555.41	503.95	269.6	426.57	450.94	420.68	231.32	423.61	503.95	256.78	351.14	521.76	301.33	275.28	309.83	414.87	334.46	595.34	336.79	368.65	244.57	366.09	353.59	297.17	426.57	406.31	403.5	420.68	392.44	450.94	373.81	353.59	249.73	318.57	223.41	503.95	368.65	395.18	348.71	159.9	303.44	395.18	279.14	450.94	341.51	358.54	325.29	351.14	281.09	483.38	414.87	293.07	316.37	295.11	348.71	287.01	232.94	444.72	358.54	381.68	389.72	339.14	351.14	409.15	299.25	325.29	358.54	389.72	414.87	327.56	373.81	356.05	356.05	283.05	426.57	450.94	507.46	400.71	490.14	423.61	358.54	277.2	426.57	429.54	363.56	287.01	429.54	444.72	358.54	332.14	327.56
ANKRD54	341.51	251.48	253.23	289.02	307.69	258.57	206.94	314.17	316.37	281.09	173.85	167.9	171.45	336.79	414.87	438.59	775.05	624.99	486.75	373.81	368.65	567.1	327.56	493.56	379.04	426.57	866.07	642.59	379.04	514.56	363.56	532.74	656.11	454.09	518.15	379.04	620.67	759.08	417.77	555.41	460.44	579.04	480.04	435.55	599.49	486.75	379.04	599.49	633.73	638.15	791.35	624.99	525.39	447.82	500.46	536.45	503.95	620.67	713.11	514.56	583.07	521.76	343.89	575.03	507.46	173.85	441.64	571.05	521.76	547.75	514.56	423.61	575.03	536.45	493.56	348.71	444.72	620.67	429.54	403.5	392.44	607.87	423.61	796.86	651.58	392.44	616.37	543.96	583.07	363.56	567.1	785.88	460.44	620.67	587.13	454.09	480.04	547.75	507.46	500.46	616.37	503.95	785.88	595.34	435.55	412.0	353.59	514.56	463.65	447.82	536.45	536.45	860.08	507.46	532.74	181.28	514.56	583.07	532.74	454.09	450.94	403.5	356.05	373.81	518.15	447.82	559.28	466.88	647.07	417.77	457.25	470.14	647.07	638.15	329.84	379.04	409.15	397.93	403.5	363.56	728.11	366.09	620.67	651.58	591.22	426.57	525.39	384.34	718.08	420.68	532.74	514.56	684.02	616.37	591.22	555.41	713.11	629.35	660.68	616.37	480.04	595.34	432.53	529.06	417.77	633.73	748.61	476.71	476.71	607.87	497.0	480.04	429.54	444.72
ARFRP1	426.57	277.2	307.69	187.71	325.29	460.44	173.85	166.73	189.02	366.09	218.79	400.71	540.19	540.19	591.22	753.83	1167.14	1023.0	665.29	551.56	532.74	1081.39	532.74	748.61	483.38	563.18	860.08	848.22	825.0	947.83	423.61	974.5	785.88	915.51	842.36	665.29	796.86	896.64	872.1	842.36	785.88	688.78	612.11	587.13	1023.0	723.08	587.13	759.08	872.1	872.1	890.44	902.89	1008.9	624.99	854.13	802.41	1159.07	1037.29	954.43	1030.12	934.76	1059.11	514.56	842.36	656.11	420.68	890.44	718.08	698.41	713.11	921.88	575.03	1001.93	703.28	612.11	802.41	759.08	684.02	463.65	470.14	536.45	941.27	981.29	1073.91	1250.98	684.02	909.17	796.86	915.51	503.95	848.22	1066.48	551.56	1051.79	981.29	718.08	733.19	591.22	775.05	819.3	1167.14	988.12	981.29	1037.29	587.13	490.14	579.04	647.07	759.08	813.63	780.44	785.88	1096.5	878.17	890.44	493.56	830.75	1015.93	934.76	1073.91	723.08	674.59	423.61	463.65	1427.22	559.28	1286.18	830.75	866.07	642.59	890.44	753.83	1127.35	764.36	529.06	819.3	532.74	698.41	638.15	738.29	1119.56	961.07	1015.93	890.44	961.07	808.0	769.69	540.19	967.76	620.67	947.83	1015.93	1268.46	1143.1	825.0	981.29	988.12	1066.48	1233.75	743.43	941.27	902.89	642.59	612.11	759.08	947.83	988.12	642.59	813.63	819.3	928.3	764.36	785.88	543.96
ARMC5	91.41	77.25	48.87	78.34	102.25	82.29	68.07	61.68	17.51	76.71	11.13	27.64	38.95	185.11	167.9	309.83	435.55	336.79	211.31	309.83	100.13	312.0	173.85	244.57	129.69	202.66	334.46	275.28	158.79	301.33	145.02	356.05	316.37	264.03	260.38	232.94	205.5	392.44	303.44	228.13	237.86	229.72	258.57	195.72	314.17	202.66	171.45	285.03	269.6	289.02	295.11	283.05	202.66	217.27	258.57	253.23	301.33	327.56	291.04	341.51	281.09	267.73	154.42	297.17	314.17	159.9	231.32	244.57	212.78	327.56	314.17	152.28	361.04	229.72	163.28	325.29	361.04	182.55	147.06	153.34	231.32	264.03	299.25	217.27	444.72	199.85	253.23	248.0	297.17	144.01	271.48	327.56	181.28	255.0	348.71	265.87	231.32	212.78	273.37	412.0	351.14	244.57	301.33	395.18	258.57	258.57	253.23	327.56	269.6	209.84	336.79	228.13	323.03	332.14	384.34	206.94	320.8	223.41	332.14	226.54	287.01	187.71	153.34	139.07	267.73	180.02	332.14	251.48	291.04	215.77	341.51	260.38	389.72	262.2	189.02	267.73	173.85	242.88	191.67	189.02	348.71	256.78	323.03	273.37	325.29	285.03	277.2	176.29	414.87	299.25	295.11	312.0	438.59	356.05	275.28	363.56	206.94	320.8	371.22	289.02	325.29	316.37	158.79	157.68	191.67	283.05	295.11	201.25	221.86	167.9	251.48	165.57	169.07	159.9
