	TCGA.BP.5178.01A.01R.1426.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.CZ.5986.01A.11R.1672.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B0.5113.01A.01R.1420.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.139YR.0226.SM.5IFEM
AASDH	63.89	171.45	130.6	239.52	71.0	73.54	104.42	80.57	118.43	92.7	84.63	59.55	64.34	140.04	128.79	102.25	112.77	100.83	117.6	126.12	87.03	134.3	53.95	113.56	110.43	125.24	131.51	69.03	121.79	137.14	84.04	102.97	102.97	76.17	63.89	45.21	57.89	76.17	66.18	58.71	79.45	60.82	87.03
ACLY	1806.78	5594.3	4704.07	7749.1	1498.22	2061.24	2956.17	2816.11	5872.48	2997.45	3820.7	3491.39	1437.15	2956.17	4512.4	2720.15	4123.49	2271.4	3190.46	5006.93	4358.66	4095.0	3847.29	5517.27	4869.99	3690.52	5329.3	2133.97	5831.91	2935.74	1936.53	2720.15	3349.13	3212.66	381.68	769.69	1191.69	438.59	197.09	244.57	152.28	376.41	373.81
AFF1	316.37	2032.85	1111.82	1909.85	182.55	441.64	684.02	409.15	836.53	543.96	684.02	332.14	307.69	633.73	872.1	559.28	830.75	341.51	934.76	723.08	764.36	1259.69	454.09	708.18	836.53	1561.89	988.12	532.74	909.17	279.14	483.38	698.41	780.44	612.11	182.55	94.01	111.99	162.14	164.42	239.52	201.25	136.19	105.15
AFG3L2	444.72	1572.76	967.76	2537.92	466.88	473.41	961.07	1322.37	825.0	988.12	432.53	450.94	633.73	928.3	1651.0	961.07	713.11	743.43	1044.52	591.22	612.11	1457.23	733.19	1073.91	1745.2	1127.35	1030.12	728.11	988.12	435.55	764.36	1304.15	1073.91	785.88	785.88	808.0	559.28	890.44	540.19	624.99	579.04	684.02	785.88
AHCTF1	384.34	518.15	412.0	511.0	275.28	260.38	392.44	312.0	403.5	190.34	260.38	303.44	198.47	406.31	466.88	236.21	460.44	295.11	406.31	397.93	251.48	466.88	241.19	307.69	406.31	450.94	371.22	329.84	555.41	231.32	392.44	463.65	356.05	332.14	181.28	156.59	185.11	137.14	223.41	176.29	157.68	48.52	206.94
AMPD3	164.42	145.02	521.76	218.79	107.38	163.28	511.0	224.97	248.0	305.55	285.03	273.37	189.02	108.14	432.53	414.87	161.02	173.85	281.09	249.73	262.2	406.31	127.0	305.55	256.78	312.0	305.55	126.12	242.88	198.47	115.97	187.71	353.59	161.02	34.75	15.0	11.38	28.65	12.74	19.53	7.22	13.62	36.27
ANKAR	23.76	88.26	77.79	94.67	38.95	35.76	86.43	71.0	60.82	67.12	74.06	89.51	43.32	154.42	74.06	78.34	66.65	19.39	194.36	46.5	63.0	85.22	48.52	70.51	65.26	123.5	75.11	67.59	88.26	71.5	70.51	102.97	86.43	65.26	8.65	16.03	5.59	26.86	28.65	13.22	11.47	6.06	14.14
ARHGAP21	309.83	698.41	406.31	674.59	193.01	351.14	379.04	435.55	387.02	463.65	470.14	264.03	234.57	450.94	571.05	373.81	486.75	341.51	540.19	532.74	743.43	603.67	373.81	466.88	490.14	470.14	567.1	309.83	764.36	193.01	191.67	769.69	376.41	363.56	167.9	130.6	98.73	173.85	127.89	173.85	102.97	82.29	115.97
ARID2	127.0	314.17	283.05	366.09	171.45	145.02	145.02	173.85	206.94	205.5	212.78	169.07	189.02	194.36	226.54	185.11	201.25	140.04	351.14	202.66	119.26	262.2	127.89	199.85	195.72	271.48	209.84	215.77	217.27	129.69	149.12	228.13	183.82	224.97	67.12	45.21	53.57	68.07	76.17	65.26	44.57	32.59	45.85
ASAH2B	67.59	125.24	115.97	177.53	45.85	62.56	65.26	86.43	98.73	128.79	116.78	41.52	62.56	119.26	127.0	81.71	80.57	100.13	153.34	127.89	115.97	105.89	55.1	89.51	154.42	99.43	131.51	45.85	125.24	39.5	68.55	69.03	92.05	74.06	77.25	63.89	70.01	80.01	73.54	75.64	71.5	44.25	60.39
