	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.B6.A0WZ.01A.11R.A109.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.131YS.0626.SM.5EGKL	GTEX.11EMC.2026.SM.5A5JV	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.145MF.0826.SM.5QGQA	GTEX.P78B.1326.SM.3P611	GTEX.14753.1626.SM.5NQ9L	GTEX.13NYC.2626.SM.5K7VN
ATXN1L	125.24	234.57	271.48	241.19	346.29	246.28	176.29	137.14	194.36	193.01	87.65	540.19	525.39	305.55	249.73	327.56	289.02	120.94	99.43	66.18	72.52	84.04	89.51	96.68	66.65	94.01	45.85	139.07
AZI2	733.19	954.43	974.5	954.43	2287.2	1250.98	633.73	825.0	1340.84	954.43	775.05	967.76	1096.5	988.12	1199.98	1322.37	860.08	620.67	429.54	476.71	149.12	473.41	423.61	503.95	412.0	353.59	587.13	1073.91
B3GAT2	2.07	3.47	6.62	4.39	17.9	8.13	4.98	1.06	4.86	5.19	3.5	11.04	6.41	8.58	13.93	12.64	2.48	2.94	3.35	3.11	1.75	1.89	2.53	1.2	1.73	2.68	0.65	3.59
BAZ2B	185.11	351.14	480.04	191.67	616.37	260.38	212.78	144.01	187.71	334.46	291.04	1295.13	1216.75	460.44	551.56	961.07	323.03	130.6	102.97	59.55	22.92	127.89	143.01	113.56	117.6	75.64	63.0	214.27
BCL2	49.21	56.28	454.09	35.25	860.08	97.36	87.03	15.68	361.04	118.43	327.56	1457.23	1277.29	466.88	346.29	860.08	389.72	42.41	41.22	7.57	14.89	12.93	12.64	18.84	21.78	9.2	9.41	88.88
CA12	185.11	1030.12	2417.67	384.34	8191.0	172.65	279.14	343.89	4038.61	2133.97	2777.33	1806.78	10733.74	1277.29	2573.36	6207.38	4736.79	13.62	60.82	0.0	20.71	0.73	7.22	2.97	3.08	0.83	0.32	848.22
CBX1	836.53	1030.12	1617.0	1015.93	2701.35	1088.92	896.64	1159.07	1208.34	1359.57	1216.75	2351.53	2627.46	1806.78	1551.09	1674.06	1135.2	318.57	297.17	195.72	173.85	262.2	256.78	251.48	228.13	447.82	120.94	728.11
CCDC43	211.31	232.94	387.02	381.68	796.86	260.38	262.2	379.04	384.34	309.83	454.09	414.87	559.28	371.22	215.77	703.28	476.71	143.01	152.28	81.14	68.55	105.15	100.83	109.66	132.44	123.5	52.45	450.94
CCNT1	118.43	295.11	251.48	150.17	400.71	176.29	127.89	175.07	224.97	190.34	163.28	493.56	323.03	229.72	325.29	320.8	140.04	105.89	80.01	80.01	38.67	76.71	73.54	81.71	63.0	63.45	59.13	139.07
CLSTN2	12.36	28.86	507.46	23.08	2351.53	13.83	90.14	7.0	180.02	59.97	309.83	88.88	154.42	173.85	27.64	493.56	241.19	16.88	6.84	3.35	6.57	4.58	3.44	11.64	4.54	8.65	12.64	58.71
DENR	450.94	1250.98	884.29	775.05	2075.59	866.07	669.92	825.0	941.27	995.0	684.02	1487.87	1498.22	995.0	1175.27	1561.89	890.44	400.71	447.82	307.69	212.78	329.84	341.51	318.57	281.09	334.46	175.07	698.41
DIEXF	87.03	123.5	220.32	85.82	363.56	403.5	111.99	139.07	154.42	108.14	43.94	264.03	172.65	187.71	78.89	154.42	98.73	60.39	90.14	68.55	47.5	58.3	50.98	56.28	38.95	60.82	33.3	127.89
DSTYK	75.64	146.03	229.72	93.35	444.72	256.78	117.6	85.22	171.45	90.14	113.56	336.79	323.03	171.45	139.07	151.22	133.36	28.86	43.32	16.27	13.03	26.1	22.75	34.51	26.1	25.54	1.89	182.55
DYRK1A	392.44	759.08	764.36	441.64	1151.06	1008.9	420.68	454.09	470.14	616.37	426.57	1030.12	1044.52	934.76	674.59	476.71	473.41	253.23	226.54	193.01	106.63	185.11	206.94	204.07	190.34	212.78	120.94	591.22
