	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.XQ8I.2126.SM.4BOOM	GTEX.OIZH.1426.SM.3NB1O	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX
CLIP3	43.32	170.25	122.64	289.02	293.07	144.01	62.12	97.36	265.87	249.73	314.17	332.14	441.64	329.84	251.48	77.79	320.8	52.08	108.14	167.9	197.09	229.72	684.02	248.0	713.11	136.19	376.41	38.95	106.63	256.78	529.06	860.08	99.43	555.41	87.65	305.55	417.77	299.25	89.51	71.5	305.55	76.17	164.42	101.54	397.93	110.43	551.56	108.9	612.11	624.99	256.78	258.57	78.89	371.22	521.76	629.35	163.28	400.71	86.43	84.04	82.87	116.78	78.89	497.0	125.24	110.43	267.73	172.65	154.42	85.22	110.43	138.1	518.15	457.25	114.36	202.66	301.33	748.61	108.14	84.63	93.35	353.59	69.52	87.65	161.02	327.56	146.03	87.03	124.37	62.12	599.49	591.22	110.43	435.55	95.34	379.04	87.65	178.77	567.1	571.05	121.79	376.41	400.71	633.73	82.87	135.24	75.11
CLMP	19.82	87.65	53.95	154.42	170.25	43.94	11.04	100.13	118.43	114.36	148.09	209.84	209.84	157.68	131.51	28.65	208.38	44.89	90.77	99.43	91.41	125.24	297.17	256.78	559.28	85.82	412.0	10.79	69.03	151.22	327.56	543.96	51.35	1051.79	45.53	242.88	327.56	155.5	44.57	19.39	76.17	70.51	87.65	60.82	187.71	41.81	277.2	53.57	529.06	258.57	137.14	104.42	64.34	307.69	287.01	713.11	50.27	283.05	87.65	60.39	38.67	45.53	20.86	177.53	46.18	43.32	127.89	136.19	56.28	24.46	66.18	105.15	214.27	363.56	37.32	94.01	258.57	571.05	88.88	68.55	50.63	151.22	44.57	44.25	47.5	189.02	39.22	41.52	70.01	53.57	248.0	674.59	33.54	122.64	65.26	232.94	50.98	108.9	514.56	521.76	81.14	202.66	127.0	381.68	85.22	66.18	25.35
CNTLN	13.52	25.17	22.59	37.05	27.44	12.64	11.21	13.83	24.28	20.86	31.9	29.48	45.53	37.32	21.47	16.15	23.93	14.78	26.86	16.15	17.77	27.64	55.1	28.86	67.59	16.27	37.85	7.4	16.27	21.94	57.89	86.43	10.31	31.9	16.03	17.25	53.57	33.06	10.47	15.91	37.32	13.93	26.67	17.77	42.41	12.18	46.18	19.25	59.13	54.72	34.75	33.78	21.01	45.53	38.12	53.95	18.84	46.84	37.05	12.36	9.13	13.72	15.0	38.95	18.03	10.16	27.25	29.06	24.46	10.08	17.13	15.56	33.06	47.84	15.0	21.47	29.7	89.51	14.24	26.47	12.27	39.5	18.16	17.38	16.15	26.86	25.91	9.93	17.77	10.0	50.63	57.49	15.68	36.27	19.53	35.76	16.51	21.16	55.89	60.39	20.86	30.56	51.71	60.82	21.16	14.78	7.75
COPRS	575.03	909.17	563.18	669.92	660.68	444.72	532.74	476.71	713.11	698.41	571.05	872.1	896.64	738.29	688.78	460.44	785.88	414.87	466.88	624.99	559.28	825.0	1605.83	941.27	1081.39	547.75	1191.69	379.04	397.93	878.17	902.89	1119.56	571.05	1191.69	583.07	1233.75	974.5	633.73	470.14	503.95	961.07	595.34	470.14	426.57	902.89	450.94	1191.69	423.61	1183.45	988.12	748.61	571.05	470.14	575.03	988.12	1096.5	460.44	660.68	511.0	466.88	543.96	435.55	373.81	813.63	457.25	490.14	780.44	540.19	529.06	460.44	435.55	529.06	1059.11	1059.11	435.55	518.15	629.35	1135.2	454.09	540.19	460.44	836.53	486.75	395.18	629.35	728.11	642.59	334.46	412.0	551.56	915.51	1015.93	420.68	759.08	555.41	866.07	423.61	684.02	1008.9	1167.14	525.39	1135.2	791.35	1233.75	476.71	486.75	412.0
DDR2	35.25	162.14	127.0	318.57	248.0	78.89	33.06	86.43	191.67	183.82	175.07	412.0	351.14	269.6	161.02	55.89	287.01	66.18	100.13	108.9	123.5	162.14	713.11	547.75	529.06	143.01	470.14	32.13	92.7	211.31	665.29	1159.07	73.54	698.41	65.72	320.8	651.58	255.0	42.41	84.04	134.3	66.65	176.29	84.04	457.25	54.33	368.65	88.88	559.28	441.64	273.37	134.3	96.68	297.17	269.6	555.41	121.79	307.69	149.12	94.67	53.95	74.58	32.36	343.89	104.42	102.25	275.28	239.52	102.25	58.71	88.26	91.41	320.8	543.96	73.54	172.65	244.57	884.29	85.82	101.54	53.19	463.65	66.65	62.56	79.45	325.29	70.01	63.89	178.77	47.17	511.0	743.43	60.39	239.52	70.51	323.03	68.07	141.02	493.56	688.78	135.24	466.88	267.73	555.41	53.57	105.15	35.25
DIP2C	75.11	57.49	61.25	142.01	127.0	54.33	20.11	56.28	87.65	103.69	134.3	167.9	189.02	131.51	80.01	39.5	100.13	49.91	62.12	72.52	95.34	79.45	291.04	180.02	334.46	90.14	215.77	29.27	63.89	139.07	256.78	387.02	51.71	264.03	40.64	221.86	185.11	124.37	41.52	41.22	87.03	43.32	69.03	56.28	187.71	50.63	248.0	59.13	325.29	283.05	120.94	103.69	59.97	139.07	221.86	299.25	63.89	215.77	72.52	57.49	36.27	47.5	47.5	205.5	50.98	60.82	111.99	78.89	73.54	59.13	54.72	67.59	189.02	223.41	45.21	102.97	113.56	351.14	50.98	56.28	51.35	183.82	43.94	44.25	87.65	167.9	49.91	48.52	62.12	40.93	256.78	231.32	67.59	156.59	49.21	185.11	46.84	75.64	236.21	189.02	78.89	180.02	136.19	312.0	33.78	71.0	37.85
DMD	28.45	80.57	90.77	202.66	151.22	48.87	34.26	50.27	161.02	102.97	172.65	239.52	256.78	206.94	118.43	54.72	190.34	61.25	52.08	66.65	108.9	141.02	341.51	191.67	454.09	109.66	260.38	29.7	84.63	221.86	358.54	555.41	43.63	473.41	51.35	178.77	217.27	170.25	59.13	50.98	118.43	57.49	95.34	98.04	336.79	45.53	343.89	65.72	450.94	435.55	198.47	105.89	50.98	220.32	201.25	454.09	89.51	301.33	71.5	68.55	45.53	48.18	59.13	236.21	68.07	85.82	183.82	96.68	94.67	47.5	63.89	109.66	215.77	343.89	57.89	119.26	212.78	536.45	64.34	73.54	53.19	334.46	45.21	76.71	95.34	212.78	52.08	34.75	62.56	61.68	400.71	543.96	48.52	239.52	71.5	214.27	47.17	147.06	323.03	409.15	84.63	201.25	269.6	507.46	50.98	58.71	31.22
DMWD	460.44	521.76	343.89	381.68	384.34	260.38	256.78	283.05	332.14	426.57	423.61	441.64	518.15	379.04	358.54	248.0	392.44	260.38	241.19	332.14	351.14	389.72	540.19	476.71	679.29	316.37	457.25	223.41	258.57	435.55	656.11	532.74	271.48	583.07	334.46	435.55	514.56	480.04	264.03	264.03	395.18	283.05	255.0	220.32	500.46	323.03	438.59	297.17	616.37	579.04	441.64	356.05	295.11	450.94	457.25	616.37	248.0	381.68	244.57	248.0	295.11	232.94	221.86	389.72	277.2	327.56	497.0	305.55	325.29	265.87	269.6	314.17	420.68	525.39	325.29	348.71	414.87	559.28	336.79	327.56	275.28	457.25	341.51	299.25	346.29	417.77	297.17	211.31	329.84	228.13	497.0	525.39	285.03	409.15	309.83	503.95	273.37	356.05	518.15	703.28	332.14	444.72	540.19	651.58	265.87	305.55	258.57
DOCK11	22.92	42.11	36.01	63.45	61.25	38.67	18.03	37.05	52.82	55.89	54.33	66.18	96.68	67.12	50.27	37.85	57.08	36.53	49.21	31.22	43.94	37.85	142.01	102.97	178.77	34.02	82.87	14.35	29.91	77.79	98.73	176.29	32.59	142.01	20.41	91.41	123.5	47.84	32.36	27.64	70.51	20.71	43.32	42.71	85.82	31.22	120.1	52.45	125.24	94.01	59.55	70.01	34.51	78.89	108.14	199.85	41.52	85.82	50.98	28.04	26.67	22.59	17.25	86.43	62.12	41.52	52.45	64.34	65.26	25.35	48.52	35.76	81.14	171.45	30.56	55.1	65.26	157.68	27.64	44.89	17.25	78.89	32.82	25.54	49.21	77.25	31.9	31.9	65.26	24.99	152.28	124.37	24.46	71.0	20.71	86.43	51.71	43.02	117.6	169.07	45.53	112.77	85.22	118.43	64.8	43.32	23.93
DOCK3	1.2	1.33	4.78	13.22	8.06	2.03	1.58	2.27	6.94	7.22	8.65	10.39	10.79	10.88	5.96	1.48	11.21	1.36	2.46	3.56	5.02	6.06	24.99	12.0	28.65	4.06	10.24	1.69	2.58	6.67	22.1	23.08	2.18	14.45	1.89	15.34	7.75	8.19	2.14	2.48	5.87	1.19	2.89	3.26	12.83	2.32	15.8	1.71	25.91	22.1	9.63	7.34	1.75	12.36	17.13	20.56	4.28	13.42	2.05	1.89	2.63	1.55	2.12	10.08	2.41	5.5	10.79	3.63	6.11	1.22	1.95	4.06	14.14	17.64	2.34	5.23	7.11	20.11	2.89	3.17	2.36	19.68	1.91	3.11	5.15	10.47	2.18	1.77	3.69	1.35	15.34	17.25	1.57	12.09	2.41	16.27	2.58	7.11	14.78	17.13	4.9	15.8	19.11	30.78	2.63	2.73	2.34
DTX3	79.45	275.28	242.88	420.68	253.23	176.29	120.1	154.42	387.02	400.71	460.44	412.0	567.1	332.14	356.05	137.14	493.56	102.25	139.07	239.52	246.28	289.02	1051.79	336.79	981.29	218.79	507.46	78.34	127.89	395.18	743.43	825.0	142.01	620.67	166.73	665.29	486.75	379.04	118.43	114.36	348.71	96.01	162.14	132.44	480.04	153.34	395.18	201.25	708.18	536.45	429.54	291.04	139.07	409.15	417.77	669.92	178.77	361.04	128.79	87.03	172.65	141.02	88.88	412.0	198.47	214.27	299.25	249.73	234.57	112.77	172.65	166.73	497.0	514.56	195.72	291.04	291.04	669.92	169.07	151.22	162.14	547.75	121.79	162.14	204.07	417.77	262.2	129.69	166.73	127.0	616.37	555.41	137.14	444.72	127.0	447.82	164.42	206.94	684.02	934.76	161.02	432.53	669.92	703.28	157.68	197.09	120.94
EBF4	33.78	185.11	98.04	173.85	118.43	87.65	82.87	85.82	137.14	173.85	151.22	241.19	226.54	130.6	124.37	80.01	183.82	56.28	76.17	124.37	148.09	106.63	466.88	205.5	412.0	122.64	332.14	74.58	76.17	237.86	318.57	423.61	88.88	301.33	74.06	255.0	297.17	178.77	74.06	63.89	218.79	44.89	53.95	60.82	307.69	92.05	224.97	93.35	341.51	314.17	244.57	144.01	79.45	181.28	293.07	423.61	127.89	186.4	59.55	60.39	104.42	49.56	52.08	228.13	83.45	118.43	149.12	104.42	102.97	58.3	111.99	100.13	255.0	239.52	83.45	142.01	161.02	348.71	83.45	60.82	91.41	267.73	83.45	67.59	101.54	149.12	130.6	72.52	76.71	84.63	262.2	265.87	65.26	275.28	73.54	246.28	79.45	83.45	237.86	307.69	103.69	281.09	256.78	332.14	59.13	88.88	100.83
EFS	15.11	55.1	65.26	94.01	62.12	37.32	28.45	36.53	87.03	113.56	91.41	80.01	126.12	76.17	59.55	19.25	115.16	30.12	52.45	61.25	58.3	98.73	202.66	80.57	201.25	52.82	187.71	17.9	37.59	98.04	202.66	171.45	29.48	132.44	31.9	78.34	105.15	116.78	40.64	42.71	80.01	31.45	42.11	43.63	128.79	27.44	82.87	41.81	202.66	92.7	117.6	68.07	35.76	126.12	97.36	140.04	48.87	90.14	41.22	21.47	29.48	29.06	22.59	94.01	41.81	45.21	66.18	78.34	46.5	23.25	36.27	48.18	79.45	142.01	40.64	58.71	57.49	126.12	38.95	65.72	38.12	135.24	39.5	45.21	30.12	131.51	47.84	29.91	51.35	38.4	137.14	129.69	25.91	96.68	33.06	131.51	34.02	69.03	182.55	236.21	41.22	88.88	152.28	155.5	27.84	49.91	21.63
EHBP1	108.9	221.86	232.94	293.07	336.79	198.47	96.01	152.28	279.14	258.57	293.07	329.84	438.59	327.56	267.73	144.01	281.09	197.09	182.55	193.01	242.88	279.14	409.15	281.09	599.49	255.0	420.68	64.8	215.77	318.57	540.19	679.29	176.29	507.46	130.6	384.34	371.22	325.29	159.9	139.07	234.57	146.03	264.03	214.27	435.55	144.01	511.0	187.71	660.68	457.25	320.8	277.2	190.34	395.18	368.65	555.41	185.11	435.55	236.21	186.4	133.36	176.29	150.17	376.41	199.85	191.67	241.19	267.73	221.86	182.55	181.28	209.84	368.65	470.14	190.34	201.25	267.73	679.29	214.27	217.27	172.65	305.55	142.01	169.07	242.88	336.79	181.28	164.42	189.02	159.9	514.56	587.13	205.5	314.17	172.65	400.71	154.42	248.0	511.0	629.35	199.85	420.68	417.77	603.67	151.22	198.47	126.12
EPM2A	24.63	29.27	74.06	71.0	77.25	46.84	23.93	35.0	74.58	65.26	82.29	136.19	134.3	96.01	81.71	39.5	74.06	38.4	46.5	44.89	71.0	62.56	194.36	80.01	218.79	56.28	136.19	17.64	47.17	87.03	169.07	229.72	42.41	164.42	43.32	120.1	120.94	82.87	36.53	36.01	76.71	32.36	41.52	44.57	138.1	29.7	149.12	38.4	190.34	155.5	76.71	57.49	39.79	76.17	150.17	199.85	42.11	108.9	38.4	46.18	24.28	34.26	31.22	97.36	31.67	40.36	65.72	31.0	49.91	38.95	37.32	54.33	105.89	142.01	32.36	58.71	84.63	198.47	45.53	35.25	46.18	127.0	38.95	38.95	66.18	89.51	29.27	26.86	42.71	40.36	145.02	185.11	40.07	102.25	50.63	116.78	38.4	56.68	149.12	146.03	46.5	137.14	81.71	202.66	28.04	45.85	38.67
ERC1	128.79	100.83	110.43	147.06	195.72	95.34	73.54	92.7	109.66	122.64	148.09	132.44	187.71	176.29	123.5	76.17	148.09	120.1	107.38	125.24	115.97	125.24	212.78	181.28	242.88	106.63	193.01	70.51	102.25	147.06	232.94	271.48	81.14	244.57	90.14	165.57	215.77	137.14	111.99	82.87	114.36	87.65	128.79	111.99	175.07	84.63	158.79	114.36	234.57	182.55	161.02	126.12	92.7	186.4	166.73	273.37	106.63	164.42	159.9	90.77	81.14	99.43	76.17	153.34	109.66	93.35	135.24	130.6	140.04	82.87	111.99	117.6	158.79	241.19	84.63	115.16	162.14	299.25	114.36	110.43	87.03	220.32	86.43	92.7	102.25	149.12	129.69	69.03	121.79	80.01	193.01	239.52	81.71	148.09	107.38	148.09	106.63	114.36	198.47	241.19	106.63	140.04	176.29	242.88	98.04	123.5	53.95
FAHD2B	76.71	166.73	127.89	157.68	148.09	115.97	66.65	103.69	177.53	170.25	228.13	175.07	231.32	123.5	95.34	103.69	144.01	69.03	113.56	137.14	129.69	187.71	368.65	120.1	271.48	96.01	249.73	86.43	112.77	228.13	283.05	267.73	90.77	176.29	131.51	37.59	137.14	217.27	102.97	131.51	163.28	61.68	77.79	96.68	198.47	78.34	177.53	120.94	299.25	166.73	187.71	170.25	82.29	194.36	147.06	253.23	141.02	197.09	139.07	127.89	115.97	87.65	100.13	212.78	112.77	98.73	180.02	75.64	119.26	84.04	98.73	125.24	228.13	309.83	149.12	133.36	88.88	231.32	76.17	111.21	127.89	194.36	80.57	74.58	121.79	197.09	116.78	115.16	123.5	99.43	228.13	291.04	110.43	183.82	109.66	138.1	99.43	159.9	237.86	285.03	140.04	183.82	170.25	312.0	109.66	164.42	57.49
FAM124A	5.73	11.64	11.21	36.01	28.24	7.34	5.54	7.22	22.59	16.03	36.27	47.84	58.71	24.63	21.63	5.63	39.5	7.46	11.55	25.35	25.54	25.72	106.63	35.0	132.44	21.32	64.8	6.01	12.36	28.24	61.68	84.04	7.0	58.71	5.73	55.1	62.12	39.79	6.16	11.04	24.11	7.0	10.31	9.41	80.57	7.46	59.97	6.52	115.97	64.8	19.39	22.75	11.04	40.36	53.19	81.71	18.7	35.5	10.39	9.56	11.21	7.94	4.39	48.18	7.11	14.45	29.91	9.41	16.51	7.17	7.22	18.84	43.94	54.33	6.67	12.64	23.25	84.63	10.24	11.21	5.41	47.84	6.46	8.58	19.39	44.89	9.06	4.5	12.18	5.19	63.89	87.03	6.21	46.18	12.83	39.5	6.26	17.77	45.53	57.89	16.63	54.33	44.25	84.63	6.16	10.47	3.69
FAM127C	20.71	76.17	72.52	96.68	82.29	44.89	24.28	47.5	90.14	112.77	121.79	123.5	186.4	119.26	73.03	28.86	100.83	42.11	53.95	74.06	70.01	93.35	258.57	121.79	229.72	52.08	199.85	18.29	43.32	148.09	175.07	253.23	43.32	198.47	43.02	85.22	229.72	85.22	36.27	29.7	84.63	40.93	47.5	45.21	166.73	27.25	121.79	38.4	267.73	169.07	107.38	71.5	46.84	87.03	119.26	177.53	55.49	104.42	44.89	55.49	40.93	39.22	19.53	102.25	37.59	46.18	94.01	56.68	41.81	24.11	40.64	55.49	98.04	177.53	35.25	73.03	105.15	220.32	52.08	59.97	37.05	148.09	33.3	31.0	38.12	77.79	80.01	27.44	41.52	55.1	147.06	215.77	31.9	114.36	42.41	108.14	28.04	61.25	190.34	187.71	73.54	202.66	88.26	180.02	29.7	48.87	26.86
FAM53C	191.67	285.03	190.34	273.37	234.57	193.01	149.12	214.27	241.19	218.79	255.0	269.6	299.25	351.14	211.31	165.57	256.78	170.25	198.47	167.9	226.54	201.25	423.61	301.33	426.57	194.36	303.44	137.14	163.28	199.85	426.57	363.56	133.36	297.17	164.42	412.0	329.84	258.57	185.11	183.82	236.21	180.02	211.31	229.72	312.0	185.11	301.33	231.32	447.82	555.41	251.48	215.77	199.85	248.0	285.03	409.15	249.73	256.78	159.9	169.07	182.55	186.4	189.02	287.01	221.86	215.77	307.69	229.72	208.38	185.11	195.72	185.11	301.33	543.96	199.85	256.78	267.73	387.02	171.45	199.85	183.82	395.18	162.14	182.55	199.85	287.01	195.72	214.27	234.57	147.06	447.82	309.83	176.29	229.72	191.67	343.89	195.72	189.02	327.56	346.29	214.27	255.0	269.6	346.29	214.27	231.32	164.42
FAXC	0.0	27.25	39.5	111.21	87.65	10.47	14.89	7.51	78.89	89.51	94.01	175.07	212.78	101.54	65.26	10.63	99.43	8.78	13.62	49.21	58.71	70.51	323.03	111.21	239.52	75.11	229.72	10.39	7.69	77.25	140.04	299.25	11.73	239.52	17.13	148.09	205.5	87.65	7.82	10.39	83.45	9.7	32.59	31.9	185.11	13.62	156.59	14.03	283.05	159.9	92.05	50.63	10.24	85.22	178.77	209.84	16.88	120.1	5.73	10.39	11.04	13.52	13.42	147.06	7.17	28.24	84.63	25.91	48.18	13.03	8.25	43.63	108.9	212.78	15.91	57.08	96.68	248.0	33.06	17.38	13.42	201.25	8.32	19.82	42.71	115.16	17.77	6.57	8.13	9.34	176.29	198.47	12.45	114.36	16.75	133.36	10.79	64.8	198.47	171.45	26.67	132.44	67.12	190.34	10.79	12.55	8.32
FBXO17	11.73	76.71	46.5	87.65	45.85	41.22	20.26	41.52	75.11	78.34	85.22	90.14	109.66	94.67	68.55	32.59	108.9	19.25	28.65	55.1	47.17	74.58	309.83	105.89	171.45	43.02	161.02	13.72	24.46	71.0	182.55	248.0	32.82	190.34	20.26	143.01	112.77	84.04	15.34	18.56	81.71	18.29	42.41	37.85	118.43	26.67	116.78	32.36	215.77	133.36	104.42	73.03	20.11	143.01	117.6	206.94	37.32	107.38	19.82	21.16	26.47	21.47	12.64	75.11	35.0	27.25	69.52	65.26	37.05	16.27	35.5	38.12	98.04	136.19	27.25	56.68	72.01	211.31	30.34	47.5	33.06	131.51	27.64	29.27	35.5	124.37	46.5	27.84	63.0	22.43	155.5	178.77	33.54	115.97	29.7	117.6	24.46	37.59	178.77	248.0	47.5	117.6	144.01	223.41	24.99	46.84	22.59
FBXO30	39.5	47.84	56.68	82.87	92.7	44.57	34.26	52.08	72.52	57.89	85.22	108.9	104.42	98.73	70.01	40.64	83.45	65.26	55.49	55.1	60.82	69.52	149.12	93.35	154.42	64.34	111.99	45.85	50.98	74.58	155.5	173.85	38.95	140.04	40.36	115.16	87.03	80.57	58.3	49.56	65.72	48.18	68.07	57.49	81.14	44.57	131.51	47.17	161.02	120.94	68.55	59.97	49.56	102.97	108.9	165.57	52.45	115.16	63.0	55.49	37.05	45.53	47.5	100.13	64.34	53.57	68.55	72.52	83.45	47.5	49.91	61.25	96.01	156.59	50.27	59.55	87.65	190.34	43.63	47.84	49.21	115.97	41.22	57.08	58.71	81.14	49.21	38.12	60.39	36.79	166.73	149.12	53.57	99.43	60.82	94.67	56.28	70.01	132.44	121.79	58.71	95.34	92.05	170.25	50.63	59.55	35.25
FGF2	35.5	16.03	21.01	47.84	43.63	9.93	6.73	11.82	32.36	27.25	51.35	63.45	61.25	38.4	43.94	9.41	41.52	15.34	15.68	14.89	25.72	30.34	172.65	108.9	155.5	24.99	72.52	8.13	13.12	46.5	85.82	106.63	16.39	100.83	8.99	66.18	111.99	34.02	11.13	10.0	37.59	9.34	23.42	16.15	47.17	8.38	87.03	18.56	90.77	73.54	50.63	29.48	21.01	55.89	102.97	137.14	23.93	65.26	17.77	16.63	8.51	12.74	9.2	71.0	13.12	14.56	43.63	32.13	28.24	9.41	13.42	19.39	84.63	77.79	11.21	27.84	49.21	111.21	15.22	18.56	10.24	58.71	10.47	12.55	19.82	43.94	21.94	6.62	19.82	8.65	86.43	107.38	12.09	55.49	15.0	53.95	10.31	30.12	96.68	112.77	30.78	57.08	70.01	106.63	9.34	15.45	6.41
FILIP1	7.0	14.67	18.97	51.35	67.59	12.55	6.01	12.45	37.59	36.01	60.82	80.57	91.41	76.71	37.59	8.38	46.18	10.16	14.24	21.16	31.0	32.82	119.26	73.03	144.01	28.45	82.29	8.58	9.27	38.67	115.97	131.51	10.96	136.19	9.93	40.36	208.38	50.98	10.08	10.08	34.26	10.39	22.92	21.16	61.68	8.0	90.77	15.11	143.01	102.25	50.98	31.67	13.32	101.54	88.26	120.1	19.25	82.29	15.91	12.27	10.08	11.64	8.45	84.04	12.0	16.27	49.91	28.04	20.26	9.48	9.85	19.11	73.54	157.68	10.24	37.59	61.68	151.22	14.56	8.13	7.11	134.3	5.5	10.55	26.1	56.28	11.82	6.36	17.64	8.65	190.34	111.21	11.91	61.68	15.68	81.71	9.63	35.5	87.03	90.77	21.16	40.36	64.34	108.9	7.17	18.7	4.43
FXYD6	86.43	473.41	543.96	1806.78	1477.58	356.05	271.48	267.73	1359.57	1551.09	1628.26	1397.83	2573.36	1477.58	1183.45	173.85	2061.24	148.09	381.68	518.15	669.92	1216.75	3820.7	1447.15	2758.13	587.13	1977.24	114.36	305.55	1259.69	3039.3	2537.92	271.48	2537.92	165.57	2255.7	2032.85	1674.06	253.23	269.6	1059.11	183.82	460.44	435.55	2645.74	191.67	1844.76	295.11	3847.29	2209.26	1397.83	995.0	293.07	1457.23	1883.54	2271.4	420.68	2018.8	305.55	226.54	241.19	232.94	126.12	1950.0	346.29	403.5	1159.07	579.04	733.19	190.34	264.03	583.07	1896.65	2400.97	323.03	1023.0	1540.37	2485.67	395.18	329.84	201.25	2367.9	205.5	285.03	420.68	1540.37	409.15	316.37	371.22	198.47	2720.15	2739.08	212.78	1477.58	303.44	1407.55	327.56	995.0	3081.75	3060.45	438.59	2255.7	1551.09	2502.97	260.38	297.17	161.02
