	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.XQ8I.2126.SM.4BOOM	GTEX.OIZH.1426.SM.3NB1O	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX
BVES	3.99	10.55	22.43	66.18	65.26	7.4	5.63	12.55	39.79	36.79	52.82	88.26	88.26	44.57	40.93	8.32	60.39	8.78	11.38	23.93	24.81	33.54	143.01	71.5	170.25	31.67	129.69	4.74	10.31	51.71	136.19	212.78	10.71	191.67	7.34	88.26	150.17	43.32	8.06	8.78	43.94	5.77	34.26	19.68	99.43	7.22	105.15	11.73	204.07	100.83	46.5	24.11	11.21	62.12	119.26	132.44	14.78	77.25	10.71	11.73	15.34	11.04	4.28	71.0	10.47	22.59	37.59	16.75	27.05	6.84	10.24	21.01	77.79	75.11	8.25	32.82	69.52	108.14	19.11	9.56	4.9	77.25	7.46	14.78	33.06	55.49	17.13	6.62	9.2	7.0	101.54	98.04	7.0	68.07	13.42	67.12	8.13	30.34	76.71	113.56	14.14	80.01	78.89	142.01	10.71	13.32	4.66
C1orf216	43.32	59.55	63.45	145.02	97.36	44.57	60.82	66.18	111.99	90.77	97.36	105.89	177.53	105.89	92.05	49.56	129.69	36.79	50.63	82.87	63.45	112.77	234.57	199.85	232.94	64.34	178.77	28.65	46.18	112.77	183.82	204.07	58.3	181.28	40.36	173.85	163.28	101.54	50.27	52.08	108.9	66.18	58.71	55.1	164.42	62.12	157.68	59.97	209.84	123.5	113.56	70.51	52.08	103.69	163.28	175.07	67.59	98.73	58.71	57.89	63.89	47.5	24.11	120.1	52.08	55.49	96.68	81.71	74.58	39.5	72.52	60.82	167.9	202.66	52.45	79.45	96.68	181.28	57.49	71.0	49.21	139.07	45.85	42.41	82.29	115.97	105.15	39.5	67.12	50.27	172.65	172.65	39.5	94.01	61.68	153.34	56.68	77.79	150.17	220.32	53.57	151.22	128.79	204.07	81.71	70.51	47.84
C20orf194	12.45	44.25	38.4	76.17	65.72	36.79	11.47	31.22	57.49	57.89	63.45	87.65	93.35	64.34	49.56	25.54	68.55	26.47	38.67	31.0	45.53	60.82	156.59	74.58	183.82	45.21	127.89	10.63	27.05	77.25	165.57	148.09	27.64	155.5	18.29	68.07	102.97	75.11	26.28	24.81	45.53	17.13	34.02	34.51	103.69	30.34	98.73	42.71	198.47	124.37	70.01	60.39	29.27	105.89	99.43	198.47	34.51	89.51	35.25	26.1	19.82	21.94	13.62	92.7	32.82	27.64	68.07	44.25	40.07	27.05	34.02	42.11	85.22	158.79	33.3	55.89	75.64	151.22	23.76	33.3	22.1	87.65	22.75	30.78	28.04	94.01	28.04	24.63	43.02	20.86	141.02	135.24	27.64	79.45	31.0	85.22	35.5	51.71	130.6	155.5	36.01	99.43	85.22	156.59	32.13	40.36	19.39
C7orf41	145.02	187.71	161.02	253.23	236.21	138.1	61.68	121.79	190.34	130.6	223.41	221.86	279.14	221.86	161.02	102.97	183.82	144.01	154.42	111.21	149.12	162.14	406.31	234.57	358.54	169.07	208.38	87.65	158.79	215.77	366.09	470.14	108.9	400.71	96.01	271.48	249.73	275.28	135.24	131.51	176.29	83.45	132.44	127.0	307.69	140.04	348.71	181.28	376.41	269.6	283.05	133.36	94.67	303.44	327.56	429.54	172.65	273.37	190.34	202.66	129.69	144.01	149.12	327.56	120.94	129.69	183.82	189.02	161.02	120.1	149.12	135.24	379.04	397.93	104.42	142.01	218.79	414.87	86.43	137.14	137.14	244.57	85.22	118.43	132.44	236.21	134.3	134.3	197.09	67.12	412.0	426.57	180.02	285.03	115.97	305.55	150.17	198.47	329.84	463.65	159.9	295.11	307.69	486.75	97.36	220.32	62.12
CACNA1H	46.18	147.06	217.27	403.5	417.77	128.79	75.64	119.26	371.22	507.46	384.34	603.67	866.07	334.46	336.79	92.05	450.94	101.54	111.99	248.0	336.79	253.23	1304.15	567.1	1111.82	301.33	1111.82	70.51	165.57	444.72	941.27	1037.29	92.7	1008.9	141.02	616.37	733.19	454.09	82.87	139.07	381.68	122.64	164.42	111.99	743.43	138.1	500.46	140.04	1127.35	854.13	470.14	258.57	123.5	476.71	612.11	941.27	158.79	514.56	101.54	100.13	165.57	122.64	127.89	529.06	128.79	214.27	406.31	169.07	197.09	218.79	108.9	234.57	638.15	629.35	119.26	277.2	476.71	808.0	193.01	132.44	205.5	555.41	96.68	155.5	241.19	503.95	115.16	106.63	170.25	90.14	693.58	713.11	110.43	555.41	173.85	587.13	140.04	232.94	733.19	866.07	176.29	555.41	567.1	967.76	75.11	147.06	113.56
CACNA2D1	5.45	19.53	21.78	65.26	60.82	7.88	4.46	14.35	29.06	30.56	57.08	88.26	100.83	63.0	31.22	7.34	61.68	18.84	12.55	27.05	32.36	37.05	118.43	68.07	176.29	38.67	74.06	4.98	12.83	42.11	114.36	171.45	10.24	94.01	12.74	53.19	102.97	63.0	11.21	13.62	41.52	11.38	20.26	17.38	87.65	6.46	90.14	13.03	155.5	129.69	64.8	34.02	20.56	64.34	77.25	141.02	33.06	111.99	17.64	11.3	9.41	9.78	7.88	69.03	14.67	19.68	55.49	20.56	26.1	7.88	10.47	26.1	64.8	100.13	19.53	39.5	71.0	155.5	15.22	21.63	7.82	91.41	13.22	12.93	21.01	57.89	17.13	8.38	33.3	10.55	120.1	135.24	8.45	59.13	13.83	57.49	9.85	38.4	116.78	97.36	23.25	62.12	71.0	123.5	10.55	15.68	5.19
CADM4	23.93	59.55	75.11	146.03	118.43	52.82	45.21	53.19	108.9	121.79	122.64	165.57	248.0	142.01	106.63	39.22	147.06	43.63	53.95	96.68	85.82	146.03	291.04	147.06	341.51	82.29	246.28	26.1	42.41	175.07	194.36	387.02	60.82	236.21	64.34	206.94	256.78	135.24	45.21	39.79	158.79	54.72	73.54	53.57	244.57	41.81	154.42	46.18	273.37	223.41	170.25	77.25	56.68	120.94	211.31	248.0	74.58	139.07	58.3	42.71	44.25	39.5	47.17	167.9	40.07	45.53	125.24	80.01	75.11	39.22	38.95	60.82	180.02	193.01	39.5	81.14	120.1	255.0	64.34	96.01	57.08	193.01	48.18	65.72	85.82	159.9	63.89	33.54	56.28	46.5	223.41	239.52	44.57	146.03	70.01	165.57	42.71	116.78	258.57	291.04	71.5	195.72	161.02	299.25	33.78	42.41	41.52
CAMK1	85.22	480.04	239.52	392.44	275.28	273.37	323.03	293.07	435.55	363.56	381.68	327.56	435.55	323.03	327.56	201.25	521.76	145.02	176.29	301.33	229.72	432.53	684.02	473.41	536.45	239.52	620.67	180.02	236.21	460.44	536.45	529.06	262.2	599.49	220.32	426.57	536.45	346.29	212.78	189.02	466.88	185.11	234.57	237.86	500.46	201.25	403.5	229.72	769.69	438.59	412.0	251.48	221.86	384.34	376.41	463.65	256.78	299.25	226.54	126.12	248.0	173.85	187.71	320.8	239.52	267.73	327.56	343.89	260.38	149.12	226.54	285.03	466.88	518.15	265.87	258.57	305.55	457.25	194.36	297.17	218.79	441.64	198.47	197.09	199.85	343.89	318.57	187.71	177.53	197.09	529.06	460.44	167.9	307.69	220.32	384.34	195.72	301.33	450.94	665.29	277.2	525.39	429.54	466.88	258.57	242.88	178.77
CCDC69	236.21	454.09	414.87	728.11	866.07	334.46	145.02	358.54	902.89	587.13	620.67	1216.75	1268.46	842.36	733.19	327.56	780.44	273.37	348.71	429.54	497.0	612.11	1857.6	890.44	1832.01	529.06	1417.35	94.01	289.02	743.43	1819.35	2664.15	265.87	2018.8	279.14	1159.07	1572.76	808.0	295.11	186.4	808.0	194.36	376.41	283.05	1769.57	293.07	1508.65	363.56	2287.2	1794.29	780.44	536.45	246.28	915.51	1331.57	1909.85	323.03	941.27	318.57	281.09	299.25	183.82	108.14	1233.75	438.59	384.34	718.08	368.65	454.09	156.59	403.5	473.41	1183.45	1397.83	217.27	647.07	713.11	2075.59	368.65	309.83	191.67	1233.75	264.03	242.88	412.0	802.41	389.72	255.0	426.57	312.0	1295.13	1870.53	239.52	921.88	307.69	1191.69	363.56	656.11	1757.34	1551.09	521.76	1378.57	915.51	1769.57	389.72	316.37	217.27
CHRM2	0.0	0.48	24.46	58.3	68.55	1.35	0.37	1.0	43.32	40.07	119.26	117.6	153.34	100.13	54.33	1.35	85.22	0.0	1.14	29.27	33.78	35.76	228.13	64.8	239.52	37.59	136.19	0.0	1.06	135.24	164.42	177.53	0.41	187.71	0.97	65.72	150.17	56.68	0.72	1.87	44.57	0.69	22.26	21.47	100.83	0.0	112.77	10.79	165.57	86.43	81.71	45.21	7.69	59.55	106.63	154.42	11.21	94.67	0.42	0.42	0.72	2.84	0.0	87.65	0.69	11.38	75.11	6.89	29.48	1.28	0.0	28.04	88.26	161.02	0.39	33.3	74.06	181.28	21.63	2.32	0.73	202.66	0.69	4.28	19.25	78.89	3.96	0.0	0.39	0.39	161.02	197.09	0.0	103.69	7.17	67.12	0.69	50.63	194.36	244.57	14.03	148.09	62.56	149.12	0.4	1.35	0.43
