	TCGA.EW.A1IY.01A.11R.A13Q.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.R55C.0526.SM.3GIKA	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.WFON.0426.SM.3GIL4	GTEX.OHPL.0526.SM.3NM8U	GTEX.13N2G.0826.SM.5IJE6	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y9LG.0526.SM.4VBRY	GTEX.T8EM.0326.SM.3DB7F	GTEX.PW2O.0526.SM.2I3DX	GTEX.11LCK.0426.SM.5A5M8
AC015987.2	1378.57	511.0	934.76	1378.57	412.0	624.99	890.44	674.59	2163.77	2835.7	1313.23	1322.37	1059.11	2163.77	1015.93	1081.39	2417.67	656.11	2451.44	1467.37	1015.93	607.87	612.11	1044.52	1175.27	2591.27	791.35	825.0
AIMP1	1225.22	921.88	860.08	1216.75	536.45	1111.82	647.07	480.04	1191.69	1023.0	1127.35	1191.69	703.28	1286.18	866.07	429.54	1819.35	397.93	1304.15	974.5	679.29	660.68	947.83	802.41	1167.14	1709.26	579.04	981.29
ALDH1L2	132.44	8.06	26.1	13.93	20.56	20.11	17.51	23.59	46.84	214.27	50.63	60.39	39.22	41.52	11.3	9.06	120.94	2.46	37.32	175.07	24.46	12.74	14.67	9.56	165.57	105.15	34.75	96.01
AP3B1	1467.37	698.41	693.58	825.0	476.71	476.71	397.93	567.1	909.17	1242.34	825.0	713.11	559.28	967.76	543.96	323.03	1044.52	325.29	1023.0	934.76	507.46	379.04	373.81	511.0	866.07	1457.23	599.49	738.29
APOO	1015.93	236.21	309.83	400.71	189.02	122.64	307.69	197.09	381.68	547.75	486.75	473.41	262.2	309.83	348.71	163.28	656.11	112.77	532.74	389.72	287.01	249.73	194.36	239.52	466.88	698.41	256.78	299.25
ARL1	3742.05	1322.37	1023.0	1685.71	1119.56	884.29	1331.57	1096.5	1250.98	2061.24	1487.87	1745.2	775.05	1639.59	1111.82	713.11	2090.03	417.77	1519.15	1551.09	848.22	743.43	1015.93	1127.35	1757.34	2400.97	884.29	1832.01
ASUN	616.37	170.25	81.71	223.41	77.79	147.06	309.83	100.83	314.17	368.65	155.5	441.64	90.77	260.38	229.72	89.51	466.88	165.57	226.54	327.56	78.89	148.09	133.36	88.26	329.84	351.14	181.28	265.87
ATP6V1A	1104.13	934.76	902.89	1015.93	723.08	490.14	759.08	748.61	1008.9	1175.27	934.76	1051.79	808.0	1359.57	872.1	543.96	1151.06	316.37	1051.79	954.43	633.73	591.22	616.37	563.18	1081.39	1397.83	728.11	988.12
ATP6V1C1	1081.39	698.41	591.22	848.22	476.71	262.2	679.29	583.07	808.0	1044.52	529.06	884.29	753.83	1066.48	860.08	470.14	1030.12	277.2	866.07	780.44	529.06	414.87	633.73	332.14	896.64	934.76	638.15	796.86
BAG2	186.4	128.79	161.02	212.78	158.79	60.39	154.42	124.37	231.32	511.0	346.29	267.73	148.09	376.41	92.05	438.59	587.13	182.55	406.31	220.32	100.13	103.69	193.01	92.05	432.53	447.82	178.77	193.01
BTF3L4	2193.99	896.64	836.53	1295.13	551.56	1037.29	896.64	525.39	1304.15	1477.58	934.76	1407.55	813.63	1378.57	947.83	295.11	1697.45	226.54	1369.04	1088.92	616.37	486.75	848.22	563.18	1388.16	1896.65	466.88	1487.87
C2orf47	587.13	325.29	358.54	450.94	283.05	346.29	384.34	318.57	490.14	591.22	381.68	463.65	332.14	521.76	392.44	87.03	435.55	165.57	483.38	450.94	251.48	341.51	363.56	244.57	536.45	486.75	314.17	423.61
C5orf15	3614.55	769.69	1277.29	1561.89	1081.39	748.61	1369.04	1030.12	1936.53	2434.5	1199.98	890.44	1427.22	2573.36	1651.0	830.75	3124.78	587.13	1870.53	1745.2	909.17	974.5	1295.13	796.86	1697.45	3146.52	713.11	1457.23
CALU	4671.57	1175.27	1457.23	2209.26	1081.39	1467.37	1015.93	1183.45	2061.24	3349.13	1242.34	1883.54	1794.29	3081.75	1508.65	1674.06	3039.3	1151.06	2777.33	2434.5	1127.35	872.1	884.29	860.08	3589.58	2875.3	1104.13	2520.38
CCDC112	314.17	99.43	123.5	129.69	79.45	70.01	194.36	114.36	248.0	217.27	197.09	109.66	65.72	143.01	229.72	47.17	297.17	22.1	189.02	125.24	125.24	106.63	186.4	126.12	127.0	305.55	124.37	215.77
