	TCGA.KM.8639.01A.11R.2403.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.UZ.A9PR.01A.11R.A42S.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.2Z.A9JS.01A.21R.A42S.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.ZTPG.1426.SM.51MT3	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR
AL020996.1	20.11	8.78	5.28	19.25	18.84	10.39	25.91	21.01	8.58	8.71	8.78	14.14	20.26	22.1	14.45	9.85	8.65	27.44	22.43	21.78	12.93	12.64	17.9	11.13	32.82	19.68	8.0	21.78	18.56	16.27	20.26	8.45	8.45	11.73	23.08	18.84	3.03	1.36	6.01	13.62	9.34	6.73	10.31	12.45	3.26	2.58	5.06	5.02
AL079342.1	0.31	0.0	0.43	0.66	0.34	0.0	0.66	0.99	0.0	0.0	0.39	0.0	0.31	0.31	1.22	0.0	0.0	0.96	0.97	0.61	0.0	0.33	0.0	0.42	1.3	0.34	0.35	0.61	0.33	0.35	2.66	3.11	0.0	0.0	1.33	0.42	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKIB1	262.2	429.54	486.75	332.14	356.05	289.02	1369.04	543.96	607.87	525.39	583.07	423.61	1088.92	796.86	660.68	669.92	525.39	1023.0	1073.91	651.58	450.94	426.57	476.71	312.0	674.59	769.69	392.44	896.64	684.02	244.57	1127.35	2209.26	249.73	536.45	890.44	318.57	175.07	87.03	57.08	70.01	57.49	117.6	82.87	80.01	152.28	61.25	42.41	75.11
AP4M1	303.44	769.69	441.64	575.03	368.65	379.04	961.07	616.37	299.25	384.34	518.15	486.75	902.89	796.86	660.68	334.46	412.0	684.02	612.11	503.95	575.03	423.61	497.0	358.54	723.08	674.59	624.99	808.0	718.08	426.57	954.43	981.29	470.14	309.83	995.0	423.61	353.59	142.01	186.4	147.06	153.34	234.57	94.67	60.39	237.86	111.21	87.03	172.65
ATP8B2	90.14	186.4	137.14	368.65	98.04	65.72	229.72	172.65	82.29	191.67	130.6	146.03	262.2	287.01	162.14	147.06	132.44	215.77	220.32	185.11	122.64	262.2	177.53	110.43	217.27	420.68	73.54	371.22	366.09	154.42	239.52	234.57	126.12	151.22	305.55	109.66	72.01	82.29	27.44	53.19	31.0	138.1	31.45	39.22	157.68	45.85	16.51	57.08
C7orf26	525.39	457.25	301.33	358.54	325.29	301.33	791.35	400.71	379.04	295.11	423.61	432.53	819.3	559.28	651.58	221.86	231.32	536.45	409.15	429.54	299.25	403.5	273.37	273.37	518.15	518.15	463.65	748.61	559.28	486.75	633.73	420.68	232.94	314.17	591.22	429.54	358.54	265.87	314.17	339.14	265.87	318.57	289.02	237.86	297.17	303.44	221.86	336.79
CASP2	159.9	312.0	279.14	358.54	273.37	231.32	808.0	392.44	366.09	318.57	414.87	202.66	660.68	718.08	432.53	199.85	260.38	460.44	409.15	444.72	318.57	291.04	323.03	220.32	511.0	547.75	154.42	743.43	612.11	209.84	896.64	438.59	172.65	193.01	624.99	226.54	106.63	92.7	73.54	75.64	77.25	146.03	48.87	62.12	87.03	17.25	10.47	56.28
CBX6	457.25	928.3	669.92	1628.26	854.13	708.18	1233.75	967.76	1216.75	660.68	603.67	595.34	1191.69	718.08	1233.75	723.08	438.59	921.88	902.89	909.17	1030.12	612.11	514.56	314.17	1457.23	1447.15	693.58	1143.1	974.5	525.39	941.27	785.88	1159.07	830.75	947.83	743.43	896.64	57.49	341.51	88.88	27.84	99.43	74.58	242.88	142.01	44.89	8.51	72.01
CCZ1B	915.51	1457.23	896.64	842.36	1159.07	679.29	2148.82	896.64	620.67	961.07	1378.57	1151.06	2451.44	1508.65	1950.0	743.43	1313.23	2777.33	1023.0	909.17	967.76	947.83	921.88	866.07	1685.71	941.27	866.07	2224.63	2104.58	934.76	1605.83	1378.57	1397.83	1143.1	1806.78	366.09	1259.69	1001.93	688.78	466.88	532.74	660.68	406.31	819.3	738.29	878.17	400.71	269.6
CDK13	267.73	366.09	476.71	353.59	351.14	251.48	743.43	426.57	316.37	289.02	293.07	249.73	656.11	518.15	521.76	193.01	281.09	595.34	414.87	400.71	343.89	361.04	297.17	236.21	525.39	559.28	371.22	563.18	567.1	267.73	941.27	872.1	193.01	251.48	587.13	267.73	103.69	258.57	187.71	176.29	145.02	256.78	214.27	111.99	265.87	189.02	122.64	249.73
CHCHD3	1369.04	1870.53	1104.13	1199.98	1832.01	967.76	2537.92	1721.16	1030.12	1832.01	2485.67	2209.26	2209.26	2148.82	1936.53	2367.9	1359.57	2777.33	3103.19	2537.92	1242.34	1529.73	1378.57	2075.59	2384.37	1331.57	2400.97	1685.71	1733.13	1685.71	2682.69	1199.98	1583.71	2240.11	1963.57	1936.53	1651.0	842.36	961.07	660.68	555.41	698.41	503.95	1096.5	974.5	547.75	392.44	483.38
CNOT4	256.78	194.36	202.66	228.13	273.37	164.42	444.72	251.48	232.94	223.41	224.97	175.07	395.18	334.46	309.83	154.42	163.28	297.17	307.69	353.59	204.07	336.79	150.17	150.17	264.03	397.93	269.6	334.46	303.44	209.84	476.71	265.87	149.12	212.78	381.68	212.78	95.34	111.99	118.43	96.68	96.01	127.0	83.45	91.41	161.02	107.38	47.84	94.01
