	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.145MF.0826.SM.5QGQA	TCGA.49.4512.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.U8XE.1426.SM.3DB8Q	GTEX.111CU.0326.SM.5GZXO	GTEX.ZLV1.0426.SM.4WWC2	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.QDVJ.0926.SM.2I5FU	GTEX.117YX.1326.SM.5H125	GTEX.13O21.3026.SM.5J2NI	GTEX.QESD.0626.SM.2I5G4	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.PLZ6.0426.SM.5IFK2	GTEX.T8EM.0326.SM.3DB7F	GTEX.OHPM.0526.SM.2YUMJ	TCGA.77.7335.11A.01R.2045.07
HIRA	95.34	46.5	217.27	246.28	139.07	518.15	334.46	633.73	579.04	444.72	336.79	403.5	688.78	476.71	403.5	1259.69	376.41	540.19	323.03	595.34	241.19	400.71	780.44	198.47
HIVEP2	39.22	4.28	24.99	48.87	59.55	633.73	193.01	490.14	483.38	329.84	185.11	177.53	232.94	181.28	113.56	397.93	241.19	220.32	173.85	460.44	80.01	208.38	532.74	119.26
HIVEP3	12.93	3.92	46.84	11.21	108.14	791.35	128.79	339.14	669.92	426.57	163.28	231.32	186.4	117.6	195.72	224.97	149.12	223.41	58.71	1051.79	108.9	226.54	1733.13	195.72
HK1	438.59	341.51	78.89	45.21	981.29	2591.27	1685.71	3168.41	3491.39	2119.22	1508.65	1674.06	2777.33	1183.45	1119.56	4671.57	1733.13	1639.59	791.35	3515.68	1119.56	1540.37	4095.0	921.88
HMGA1	1594.73	928.3	211.31	316.37	1225.22	2758.13	1066.48	3690.52	4543.8	2193.99	708.18	1104.13	2468.49	698.41	518.15	2075.59	1073.91	988.12	941.27	5112.16	1242.34	2133.97	5479.15	780.44
HNRNPF	2287.2	974.5	2485.67	2075.59	3103.19	7911.95	3235.01	6337.83	8901.53	5403.7	2956.17	3443.31	4972.34	4575.41	2485.67	10225.32	4802.93	4152.18	3955.48	6516.03	3039.3	4010.71	9540.5	3419.52
ICOSLG	40.93	70.51	100.13	151.22	72.52	289.02	157.68	76.17	244.57	161.02	43.32	212.78	212.78	157.68	122.64	571.05	170.25	128.79	111.21	205.5	54.72	201.25	244.57	66.65
IL4R	48.52	78.89	532.74	759.08	647.07	1963.57	775.05	3039.3	4066.71	3039.3	1208.34	642.59	1388.16	1870.53	713.11	3443.31	2384.37	2271.4	1001.93	2816.11	429.54	738.29	3742.05	669.92
ITGA2	114.36	8.38	4.28	2.94	132.44	318.57	163.28	1208.34	764.36	571.05	135.24	130.6	237.86	163.28	37.85	412.0	80.01	218.79	31.22	813.63	38.4	473.41	1175.27	68.55
ITPRIPL2	120.1	24.81	37.59	49.21	122.64	866.07	289.02	403.5	633.73	409.15	267.73	320.8	358.54	463.65	202.66	802.41	343.89	348.71	169.07	1051.79	135.24	511.0	1487.87	285.03
KDM5C	140.04	53.19	376.41	162.14	260.38	1088.92	493.56	878.17	723.08	1001.93	406.31	679.29	503.95	432.53	450.94	941.27	486.75	921.88	633.73	830.75	214.27	529.06	688.78	323.03
KHSRP	674.59	215.77	1583.71	1447.15	1127.35	5329.3	2537.92	5555.65	3614.55	2573.36	1617.0	2451.44	4481.23	3081.75	1832.01	9606.86	2075.59	2935.74	3280.18	4328.55	1304.15	1651.0	7130.55	1001.93
KIAA0040	423.61	297.17	158.79	108.14	591.22	2645.74	934.76	361.04	2004.85	1844.76	909.17	830.75	532.74	748.61	642.59	1963.57	1295.13	1594.73	521.76	2209.26	555.41	854.13	3325.99	1259.69
LAMC2	1.87	2.73	6.36	1.11	660.68	3168.41	1313.23	4450.27	4450.27	3955.48	1594.73	1605.83	1286.18	947.83	738.29	3443.31	1923.14	438.59	872.1	8963.45	1277.29	2133.97	10585.95	775.05
LDOC1L	93.35	23.93	44.89	30.34	156.59	669.92	267.73	314.17	656.11	532.74	329.84	376.41	400.71	414.87	312.0	679.29	363.56	532.74	371.22	454.09	307.69	473.41	620.67	162.14
LRRC32	281.09	305.55	316.37	130.6	642.59	4769.75	1487.87	4268.94	6652.97	3168.41	2335.28	1572.76	1088.92	1313.23	796.86	7081.29	3303.0	4836.35	2682.69	6207.38	665.29	1745.2	7485.11	2835.7
LRRC41	361.04	183.82	500.46	429.54	698.41	1447.15	1167.14	1709.26	1540.37	1331.57	612.11	836.53	1059.11	679.29	791.35	3018.3	830.75	1008.9	909.17	1991.0	1015.93	1388.16	1936.53	785.88
LRRC8E	28.65	4.24	12.45	18.29	64.34	397.93	143.01	190.34	229.72	395.18	214.27	143.01	264.03	193.01	119.26	234.57	182.55	229.72	204.07	205.5	142.01	209.84	507.46	40.36
MAPK1IP1L	303.44	195.72	521.76	420.68	559.28	3060.45	1561.89	2434.5	1781.89	1088.92	878.17	1457.23	2367.9	1340.84	1159.07	3639.7	1909.85	2104.58	2075.59	2119.22	1540.37	2163.77	2875.3	1015.93
MAPKAPK2	796.86	1457.23	532.74	559.28	1583.71	3395.89	1963.57	3491.39	3349.13	2835.7	1662.49	1709.26	2287.2	1909.85	1508.65	3690.52	2451.44	2935.74	1806.78	3901.01	1467.37	2351.53	3665.02	1313.23
MICAL2	18.29	5.92	140.04	182.55	591.22	3395.89	2224.63	9215.48	2367.9	3540.14	1304.15	921.88	4419.52	1697.45	595.34	7911.95	1639.59	1674.06	878.17	4704.07	813.63	2319.15	8718.32	759.08
MICALCL	1.08	0.0	11.13	3.86	27.25	995.0	379.04	1051.79	429.54	825.0	358.54	323.03	529.06	503.95	177.53	878.17	392.44	571.05	295.11	1447.15	95.34	518.15	1583.71	57.08
