	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EA.A50E.01A.21R.A26T.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.VS.A8EG.01A.11R.A36F.07	TCGA.A6.A567.01A.31R.A28H.07	TCGA.NH.A50T.01A.11R.A28H.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.A45Z.01A.21R.A24Z.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.34.5232.01A.21R.1820.07	TCGA.CI.6623.01B.11R.1830.07	TCGA.AG.3592.01A.02R.1736.07	TCGA.F5.6861.01A.11R.1928.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ANKRD12	312.0	115.97	143.01	162.14	105.15	52.82	67.59	146.03	161.02	189.02	133.36	285.03	50.98	0.0	0.49	170.25	70.01	67.59	116.78	178.77	320.8	137.14	155.5	204.07	147.06
ANKRD37	22380.2	450.94	258.57	1498.22	96.68	224.97	187.71	1519.15	3768.09	2956.17	193.01	988.12	295.11	0.0	0.0	934.76	256.78	130.6	206.94	567.1	1286.18	713.11	5954.47	1757.34	1561.89
ARHGAP23	1088.92	921.88	1119.56	1733.13	363.56	435.55	71.0	3257.52	2335.28	2271.4	1008.9	1508.65	69.03	0.0	0.65	551.56	483.38	187.71	400.71	1498.22	4095.0	2119.22	2875.3	2609.3	2061.24
C12orf56	8022.41	30.34	95.34	120.94	10.39	20.11	0.0	392.44	267.73	121.79	126.12	167.9	2.92	0.0	0.35	176.29	0.0	12.74	25.17	432.53	193.01	183.82	320.8	395.18	842.36
CHST8	3.41	2.51	0.84	3.44	0.0	0.62	0.0	12.09	6.26	7.63	2.58	11.73	0.0	0.0	0.2	0.95	0.0	0.62	0.0	3.63	18.16	12.18	20.11	4.74	9.27
COBLL1	3325.99	409.15	258.57	507.46	145.02	126.12	132.44	551.56	642.59	748.61	483.38	791.35	473.41	0.0	0.46	441.64	236.21	246.28	199.85	921.88	1583.71	878.17	2609.3	1286.18	878.17
CRNN	971597.0	1477.58	1.58	1191.69	0.0	0.0	0.0	2171106.91	2805836.45	4107985.47	1697.45	134755.94	0.0	0.0	0.0	1397.83	7.69	0.0	0.0	3336720.86	4851500.88	834179.46	6183532.28	4558095.38	5534416.31
DSC1	24.81	4.98	1.5	3.17	0.47	0.0	0.0	8.99	11.55	8.19	3.06	67.12	0.0	0.0	0.0	2.29	0.45	0.43	0.41	406.31	2104.58	39.5	476.71	57.08	100.13
DUSP1	38966.94	4095.0	414.87	2209.26	684.02	373.81	381.68	5995.9	5112.16	9606.86	764.36	9025.81	1529.73	0.0	0.73	2573.36	447.82	647.07	693.58	7642.41	65082.31	9088.59	20593.91	6935.54	12415.75
DUSP7	21468.49	1066.48	915.51	1427.22	283.05	197.09	204.07	2758.13	1277.29	2287.2	1191.69	1936.53	131.51	289.02	1030.12	995.0	183.82	260.38	327.56	1081.39	5711.87	1183.45	2351.53	1388.16	2133.97
FAM162A	21617.82	4639.29	4358.66	5219.6	2224.63	2976.74	2255.7	4010.71	5517.27	6037.61	4328.55	4704.07	3540.14	1883.54	162.14	5441.3	1977.24	1721.16	2701.35	9945.68	13215.02	4903.87	13215.02	6792.79	8778.97
FAM213A	6037.61	2224.63	1583.71	1733.13	693.58	902.89	1044.52	2255.7	1769.57	1936.53	2796.65	2148.82	1286.18	728.11	1259.69	2417.67	480.04	583.07	1313.23	4869.99	5112.16	4038.61	4769.75	2777.33	4903.87
FEM1B	339.14	518.15	414.87	490.14	209.84	226.54	81.71	587.13	579.04	603.67	387.02	775.05	232.94	255.0	110.43	356.05	146.03	217.27	201.25	825.0	961.07	718.08	728.11	591.22	988.12
FER	69.03	58.71	67.12	79.45	48.87	29.27	40.93	115.97	127.89	141.02	64.34	81.14	44.25	0.0	0.24	31.45	34.26	40.36	33.06	83.45	197.09	70.01	183.82	104.42	177.53
