	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.ZJ.AAXU.01A.11R.A42T.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.MT.A67F.01A.11R.A30B.07	GTEX.131XE.0326.SM.5LZVO	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.X5EB.0426.SM.46MVY	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.13O3P.1026.SM.5N9E7	GTEX.111FC.1126.SM.5GZWU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.1477Z.0626.SM.5NQB7	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.X4EP.0526.SM.3P5YW
AAMDC	314.17	988.12	595.34	395.18	457.25	1088.92	1498.22	2895.31	848.22	1001.93	1023.0	1769.57	2271.4	395.18	796.86	860.08	638.15	1487.87	2915.45	1313.23	1819.35	2178.83	2047.0	2758.13	791.35	1583.71	1388.16	1781.89	3060.45	1594.73	2573.36	1674.06	1143.1	967.76	1883.54	1605.83	1819.35	813.63	579.04	1467.37
ACACB	8.78	8.65	29.7	18.84	15.22	104.42	183.82	417.77	77.25	40.64	497.0	253.23	279.14	19.68	48.52	144.01	134.3	111.21	460.44	525.39	258.57	620.67	305.55	493.56	94.67	293.07	297.17	211.31	525.39	312.0	353.59	260.38	226.54	76.71	348.71	204.07	297.17	89.51	48.87	103.69
ARHGEF6	66.18	90.14	52.08	19.11	175.07	140.04	563.18	974.5	353.59	208.38	583.07	1104.13	713.11	100.13	438.59	348.71	295.11	486.75	981.29	974.5	563.18	1437.15	1331.57	669.92	612.11	450.94	256.78	620.67	1096.5	191.67	1304.15	532.74	325.29	389.72	466.88	420.68	713.11	172.65	217.27	571.05
ARMCX4	35.0	9.34	39.22	46.5	50.98	40.07	93.35	470.14	167.9	24.81	309.83	403.5	343.89	54.33	115.97	70.51	143.01	120.94	215.77	139.07	260.38	363.56	220.32	563.18	128.79	226.54	224.97	126.12	329.84	244.57	271.48	384.34	100.13	128.79	162.14	265.87	197.09	76.17	49.21	144.01
ATP7A	47.84	31.67	28.24	43.63	45.53	31.67	129.69	107.38	81.14	45.85	134.3	153.34	152.28	48.18	48.18	91.41	75.64	72.01	167.9	85.82	100.13	189.02	170.25	120.1	82.87	148.09	158.79	131.51	143.01	79.45	130.6	117.6	104.42	105.89	175.07	82.87	123.5	57.89	76.17	73.54
B3GNT1	376.41	97.36	212.78	242.88	94.67	191.67	435.55	1023.0	156.59	251.48	743.43	688.78	738.29	185.11	239.52	612.11	353.59	507.46	1340.84	693.58	473.41	1259.69	753.83	928.3	371.22	825.0	567.1	748.61	1030.12	764.36	1081.39	466.88	583.07	271.48	660.68	612.11	909.17	575.03	371.22	381.68
C14orf132	8.45	1.95	35.5	16.39	5.19	20.26	269.6	759.08	90.77	50.98	872.1	633.73	460.44	114.36	59.13	473.41	205.5	307.69	480.04	551.56	381.68	813.63	941.27	497.0	172.65	1066.48	420.68	559.28	607.87	1295.13	909.17	307.69	267.73	115.97	583.07	698.41	1096.5	171.45	143.01	143.01
C1QTNF7	1.95	0.34	0.74	2.36	2.81	8.78	343.89	665.29	59.97	8.92	65.26	507.46	429.54	3.72	20.26	167.9	70.01	43.02	1407.55	221.86	185.11	1340.84	595.34	684.02	118.43	166.73	145.02	441.64	1023.0	389.72	679.29	231.32	187.71	163.28	417.77	205.5	409.15	50.27	31.67	55.49
CAMK2G	316.37	224.97	356.05	214.27	305.55	94.01	414.87	684.02	256.78	221.86	934.76	651.58	738.29	167.9	387.02	417.77	376.41	444.72	688.78	665.29	693.58	836.53	825.0	698.41	406.31	813.63	660.68	813.63	563.18	791.35	791.35	607.87	647.07	228.13	679.29	514.56	896.64	521.76	392.44	397.93
CAT	612.11	713.11	403.5	218.79	497.0	2645.74	4123.49	4736.79	1529.73	2682.69	4704.07	4010.71	2816.11	1844.76	1628.26	2720.15	2061.24	2148.82	5219.6	2835.7	3395.89	5831.91	4903.87	3419.52	2018.8	4972.34	3820.7	5791.62	5366.37	7331.05	5112.16	2739.08	6079.61	6250.56	6337.83	2739.08	6037.61	1936.53	2133.97	1498.22
CAV1	1208.34	10014.87	848.22	8247.98	4903.87	988.12	14262.1	34158.52	3325.99	4481.23	7382.04	29327.18	24490.61	6207.38	4802.93	8421.31	2956.17	6652.97	35609.13	8840.04	10440.2	85283.74	44145.15	21320.18	5255.91	22692.63	12676.65	24321.43	32540.65	23656.34	77396.54	21617.82	14262.1	10440.2	16843.62	9673.69	23009.42	4543.8	4671.57	6607.01
CAV2	1721.16	3325.99	651.58	2209.26	1923.14	2777.33	5112.16	10585.95	2935.74	2835.7	1268.46	6840.04	8598.28	5791.62	5041.77	2417.67	915.51	5831.91	6935.54	1183.45	3955.48	23986.58	10959.3	6983.79	2133.97	3349.13	7081.29	6516.03	5954.47	3395.89	12244.81	9151.82	4937.99	5711.87	2303.12	5441.3	4937.99	2119.22	2468.49	4419.52
CCDC115	769.69	603.67	796.86	281.09	651.58	283.05	1119.56	1685.71	612.11	583.07	1119.56	1709.26	1191.69	555.41	529.06	698.41	441.64	476.71	1757.34	1467.37	1304.15	1769.57	1397.83	1175.27	503.95	1268.46	872.1	1508.65	1407.55	1378.57	1909.85	974.5	1104.13	941.27	1487.87	878.17	1295.13	1143.1	934.76	866.07
CD99L2	336.79	163.28	201.25	99.43	162.14	397.93	909.17	2351.53	178.77	476.71	1175.27	1359.57	2047.0	217.27	363.56	559.28	967.76	909.17	1467.37	1378.57	612.11	1572.76	1304.15	928.3	536.45	651.58	616.37	1529.73	1757.34	1233.75	1286.18	529.06	941.27	389.72	1397.83	988.12	1806.78	915.51	429.54	693.58
CDK9	921.88	842.36	1151.06	1242.34	1331.57	1175.27	2004.85	2417.67	1697.45	961.07	1977.24	1963.57	2434.5	860.08	1304.15	1104.13	1781.89	1242.34	1540.37	2004.85	2047.0	1896.65	1883.54	2555.58	1651.0	1697.45	915.51	1277.29	1977.24	1651.0	2255.7	1794.29	1001.93	1304.15	2104.58	1233.75	1508.65	775.05	860.08	1233.75
CHADL	23.59	35.5	43.02	15.91	8.32	5.06	36.01	341.51	40.07	12.93	206.94	198.47	221.86	12.0	29.48	75.64	55.49	13.32	161.02	212.78	65.72	193.01	109.66	183.82	57.08	191.67	33.54	191.67	111.21	336.79	291.04	246.28	161.02	154.42	255.0	61.68	154.42	26.1	34.75	16.15
