	TCGA.AK.3447.01A.01R.1766.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	TCGA.50.8460.01A.11R.2326.07	GTEX.PLZ6.0426.SM.5IFK2	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07
ACTR8	258.57	175.07	199.85	165.57	164.42	140.04	170.25	97.36	265.87	312.0	327.56	343.89	307.69	403.5	336.79	312.0	363.56	356.05	287.01	361.04	379.04	368.65	334.46	341.51	366.09	334.46	397.93	241.19	277.2	381.68	283.05	325.29	351.14	348.71	379.04	373.81	287.01	332.14	466.88	356.05	387.02	356.05	307.69	429.54	295.11	358.54	409.15	381.68	329.84	312.0	423.61	320.8	323.03	295.11	400.71	291.04	368.65	397.93	373.81	281.09	395.18	285.03	312.0	429.54	332.14	392.44	353.59	381.68	325.29	285.03	379.04	366.09	400.71	303.44	363.56	373.81	301.33	444.72	293.07	301.33	314.17	299.25	305.55	409.15	414.87	316.37	320.8	336.79	432.53	447.82	301.33	269.6	341.51	343.89	379.04	356.05	329.84	366.09	334.46	316.37	312.0	348.71
AGO1	6.62	32.13	37.85	31.67	41.52	46.18	21.16	35.76	127.0	92.05	90.77	108.9	89.51	75.64	87.65	91.41	130.6	84.63	99.43	120.1	108.9	99.43	137.14	115.97	115.97	135.24	127.89	75.64	95.34	107.38	93.35	120.94	172.65	124.37	143.01	123.5	75.64	104.42	211.31	99.43	104.42	113.56	90.14	132.44	110.43	125.24	123.5	113.56	77.79	105.15	131.51	74.58	101.54	122.64	144.01	78.89	92.05	109.66	109.66	110.43	97.36	85.22	116.78	175.07	90.14	125.24	103.69	146.03	102.25	121.79	115.97	158.79	108.9	92.7	138.1	106.63	95.34	185.11	84.04	111.21	111.21	87.65	96.01	135.24	103.69	105.15	119.26	100.83	158.79	172.65	109.66	114.36	106.63	108.9	90.14	102.25	90.77	145.02	69.03	89.51	74.58	102.25
AKAP8	55.89	239.52	248.0	197.09	136.19	139.07	127.0	100.13	301.33	265.87	379.04	289.02	316.37	277.2	287.01	273.37	376.41	293.07	190.34	384.34	351.14	376.41	309.83	314.17	314.17	366.09	343.89	232.94	297.17	303.44	332.14	361.04	348.71	271.48	293.07	493.56	206.94	256.78	450.94	277.2	450.94	297.17	228.13	348.71	348.71	295.11	397.93	285.03	273.37	208.38	363.56	231.32	336.79	299.25	327.56	271.48	312.0	426.57	353.59	237.86	348.71	316.37	236.21	366.09	363.56	432.53	231.32	305.55	244.57	246.28	351.14	351.14	198.47	336.79	318.57	246.28	332.14	366.09	309.83	309.83	376.41	241.19	255.0	353.59	327.56	260.38	332.14	332.14	406.31	358.54	246.28	318.57	307.69	283.05	356.05	289.02	312.0	376.41	318.57	376.41	297.17	334.46
ANGEL1	198.47	91.41	134.3	120.94	136.19	135.24	126.12	190.34	202.66	136.19	336.79	199.85	195.72	161.02	273.37	218.79	332.14	186.4	147.06	358.54	305.55	220.32	389.72	241.19	218.79	285.03	242.88	232.94	327.56	253.23	283.05	228.13	366.09	281.09	264.03	563.18	157.68	208.38	483.38	293.07	358.54	204.07	181.28	356.05	249.73	264.03	532.74	242.88	177.53	289.02	293.07	142.01	303.44	275.28	389.72	223.41	277.2	438.59	327.56	173.85	283.05	165.57	194.36	325.29	381.68	470.14	204.07	376.41	180.02	142.01	275.28	441.64	181.28	271.48	303.44	228.13	287.01	417.77	228.13	285.03	267.73	197.09	176.29	312.0	271.48	241.19	293.07	269.6	339.14	457.25	260.38	242.88	264.03	277.2	314.17	223.41	341.51	403.5	223.41	264.03	285.03	249.73
ARID4B	72.52	128.79	120.94	122.64	108.14	159.9	136.19	57.89	293.07	205.5	376.41	387.02	348.71	212.78	381.68	332.14	476.71	281.09	186.4	595.34	429.54	406.31	532.74	376.41	532.74	587.13	511.0	314.17	289.02	400.71	318.57	438.59	559.28	358.54	435.55	629.35	256.78	336.79	723.08	387.02	497.0	473.41	194.36	507.46	417.77	406.31	518.15	320.8	275.28	194.36	599.49	234.57	341.51	414.87	480.04	289.02	387.02	493.56	432.53	199.85	400.71	376.41	325.29	579.04	314.17	563.18	293.07	559.28	281.09	220.32	447.82	500.46	193.01	384.34	432.53	281.09	423.61	518.15	325.29	395.18	429.54	279.14	231.32	525.39	529.06	356.05	460.44	409.15	507.46	769.69	551.56	441.64	363.56	329.84	444.72	283.05	363.56	587.13	348.71	387.02	343.89	291.04
BAZ1B	50.63	269.6	244.57	239.52	217.27	242.88	143.01	127.89	503.95	336.79	463.65	551.56	441.64	381.68	503.95	432.53	587.13	368.65	395.18	629.35	454.09	409.15	723.08	521.76	559.28	674.59	497.0	341.51	379.04	521.76	444.72	521.76	703.28	559.28	688.78	595.34	373.81	555.41	825.0	447.82	629.35	540.19	353.59	718.08	463.65	575.03	599.49	457.25	361.04	373.81	656.11	379.04	497.0	563.18	638.15	409.15	476.71	543.96	521.76	303.44	476.71	476.71	507.46	759.08	366.09	638.15	470.14	674.59	579.04	373.81	532.74	674.59	470.14	466.88	638.15	426.57	457.25	890.44	466.88	476.71	536.45	392.44	409.15	693.58	493.56	486.75	567.1	466.88	684.02	438.59	521.76	607.87	511.0	406.31	547.75	363.56	409.15	603.67	447.82	457.25	483.38	460.44
BAZ2B	21.32	83.45	75.64	106.63	106.63	127.89	81.14	63.0	281.09	208.38	450.94	476.71	269.6	267.73	444.72	358.54	583.07	249.73	223.41	624.99	384.34	389.72	728.11	384.34	507.46	633.73	583.07	339.14	314.17	470.14	351.14	536.45	698.41	454.09	607.87	603.67	414.87	392.44	842.36	493.56	665.29	470.14	223.41	514.56	412.0	483.38	723.08	343.89	242.88	237.86	723.08	255.0	346.29	480.04	559.28	371.22	483.38	547.75	417.77	232.94	447.82	457.25	381.68	753.83	403.5	674.59	332.14	642.59	348.71	212.78	555.41	785.88	256.78	387.02	532.74	299.25	480.04	748.61	420.68	376.41	518.15	309.83	297.17	698.41	470.14	366.09	571.05	417.77	647.07	967.76	432.53	642.59	470.14	343.89	540.19	305.55	389.72	764.36	409.15	351.14	447.82	368.65
BCOR	31.45	301.33	215.77	341.51	122.64	194.36	209.84	301.33	332.14	267.73	329.84	466.88	476.71	309.83	351.14	356.05	525.39	271.48	279.14	507.46	466.88	387.02	361.04	447.82	473.41	473.41	638.15	283.05	406.31	540.19	323.03	483.38	684.02	381.68	361.04	551.56	220.32	348.71	775.05	389.72	532.74	444.72	271.48	414.87	406.31	332.14	341.51	327.56	295.11	341.51	669.92	260.38	356.05	392.44	435.55	346.29	429.54	412.0	287.01	318.57	563.18	555.41	339.14	483.38	476.71	529.06	395.18	429.54	232.94	356.05	334.46	400.71	329.84	426.57	395.18	348.71	463.65	575.03	267.73	432.53	514.56	346.29	339.14	343.89	518.15	303.44	384.34	346.29	486.75	429.54	470.14	353.59	316.37	351.14	426.57	325.29	320.8	587.13	329.84	454.09	412.0	420.68
BRPF1	16.03	121.79	116.78	104.42	74.58	73.54	57.49	24.28	246.28	177.53	256.78	264.03	229.72	209.84	242.88	198.47	301.33	180.02	180.02	295.11	220.32	242.88	283.05	279.14	206.94	271.48	303.44	182.55	249.73	287.01	234.57	305.55	291.04	295.11	285.03	323.03	190.34	191.67	356.05	281.09	371.22	258.57	221.86	283.05	279.14	255.0	289.02	277.2	198.47	221.86	246.28	231.32	264.03	277.2	293.07	239.52	246.28	316.37	295.11	303.44	287.01	323.03	223.41	283.05	255.0	332.14	232.94	301.33	241.19	248.0	258.57	329.84	242.88	255.0	231.32	167.9	255.0	283.05	281.09	251.48	327.56	217.27	190.34	283.05	301.33	241.19	249.73	291.04	301.33	305.55	253.23	253.23	265.87	236.21	265.87	211.31	221.86	299.25	231.32	281.09	279.14	343.89
BTBD18	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.64	1.06	0.74	1.07	0.28	1.99	0.27	1.6	0.0	0.29	0.71	1.99	1.19	2.2	2.14	0.27	1.2	1.11	0.28	4.28	1.58	0.32	1.6	2.56	1.23	0.29	2.18	0.27	1.23	4.35	0.66	2.51	0.0	0.28	1.23	0.71	0.71	2.53	3.89	0.74	0.85	1.64	0.0	0.37	1.25	2.16	0.27	0.68	0.71	1.68	0.67	0.62	0.25	0.69	3.17	1.1	2.18	0.3	0.72	0.84	0.0	1.57	1.58	0.26	0.77	1.2	0.32	1.13	2.34	0.66	0.78	1.57	0.0	0.25	0.27	0.73	0.3	0.27	0.0	1.19	5.28	0.0	1.14	0.69	1.75	1.62	0.29	0.0	0.26	1.1	0.0	0.66	1.48
