	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.S3.AA11.01A.31R.A41B.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.E2.A1IG.11A.22R.A144.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E9.A1NA.11A.33R.A144.07	TCGA.A7.A13F.11A.42R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.XUZC.1626.SM.4BRVP	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.ZLV1.1426.SM.4WWES	GTEX.11I78.2226.SM.5PNYA	GTEX.Y5V5.2126.SM.4WWFO	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.T6MO.0326.SM.32QOK	GTEX.WRHU.0326.SM.3MJFY	GTEX.S32W.2026.SM.4AD6E	GTEX.1313W.0826.SM.5EQ4T	GTEX.QVJO.1826.SM.447C9	GTEX.132AR.0826.SM.5EGK6	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.VJWN.0726.SM.3GIJ8	GTEX.YJ8O.2226.SM.5IFHW	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.12WSB.0626.SM.59HJO	GTEX.133LE.1726.SM.5K7VQ	TCGA.D5.6922.01A.11R.1928.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.1339X.1126.SM.5J2OI	GTEX.131XE.1226.SM.5EGKF	GTEX.NPJ8.2026.SM.3TW91	GTEX.146FH.1626.SM.5NQ9H	GTEX.ZTTD.1426.SM.4YCEX	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.77.7335.11A.01R.2045.07	TCGA.BR.6705.01A.12R.1884.13	GTEX.13NZ9.1126.SM.5MR37
ANKRD52	262.2	438.59	154.42	226.54	244.57	226.54	205.5	155.5	171.45	199.85	199.85	264.03	265.87	253.23	373.81	224.97	220.32	178.77	241.19	234.57	180.02	289.02	180.02	214.27	201.25	163.28	241.19	307.69	237.86	244.57	379.04	346.29	135.24	297.17	371.22	291.04	139.07	144.01	265.87	251.48	244.57	119.26	224.97	312.0	164.42	131.51	140.04	161.02	178.77	226.54	215.77	246.28	323.03	486.75	209.84	507.46	429.54	429.54	511.0	470.14	60.39	96.68	63.45	575.03	412.0
ATP13A2	848.22	1322.37	341.51	656.11	612.11	460.44	297.17	307.69	262.2	358.54	447.82	555.41	684.02	490.14	660.68	426.57	463.65	334.46	381.68	521.76	371.22	616.37	265.87	412.0	361.04	316.37	384.34	878.17	567.1	429.54	1896.65	642.59	595.34	1167.14	1051.79	540.19	450.94	525.39	769.69	392.44	1304.15	320.8	713.11	878.17	291.04	136.19	441.64	536.45	483.38	791.35	902.89	540.19	921.88	1030.12	866.07	764.36	647.07	1081.39	688.78	607.87	629.35	277.2	279.14	1639.59	915.51
AXIN1	551.56	497.0	158.79	194.36	314.17	267.73	173.85	97.36	109.66	157.68	255.0	289.02	215.77	255.0	348.71	229.72	114.36	157.68	229.72	237.86	194.36	348.71	135.24	224.97	170.25	100.83	215.77	363.56	237.86	141.02	376.41	320.8	139.07	291.04	320.8	361.04	187.71	271.48	289.02	258.57	177.53	209.84	275.28	133.36	211.31	98.73	158.79	99.43	205.5	211.31	314.17	242.88	400.71	921.88	353.59	616.37	669.92	591.22	543.96	651.58	96.68	133.36	143.01	567.1	518.15
BRPF1	320.8	307.69	199.85	156.59	267.73	265.87	171.45	108.9	142.01	138.1	237.86	265.87	244.57	265.87	289.02	193.01	153.34	157.68	226.54	228.13	176.29	297.17	149.12	205.5	187.71	137.14	204.07	285.03	239.52	187.71	660.68	262.2	258.57	299.25	384.34	242.88	166.73	305.55	265.87	202.66	232.94	157.68	273.37	195.72	157.68	163.28	143.01	171.45	246.28	289.02	264.03	265.87	387.02	371.22	269.6	432.53	336.79	348.71	289.02	327.56	72.01	50.98	108.9	483.38	343.89
C9orf114	954.43	1304.15	536.45	665.29	866.07	656.11	547.75	414.87	353.59	500.46	543.96	825.0	769.69	651.58	1151.06	591.22	412.0	450.94	733.19	500.46	493.56	854.13	480.04	595.34	309.83	438.59	493.56	688.78	684.02	429.54	1259.69	780.44	688.78	624.99	1023.0	551.56	379.04	353.59	718.08	559.28	1001.93	540.19	764.36	981.29	307.69	454.09	348.71	511.0	543.96	529.06	748.61	356.05	1001.93	1427.22	591.22	1015.93	974.5	1685.71	1191.69	1008.9	334.46	283.05	480.04	1175.27	1529.73
CAPN10	447.82	612.11	130.6	135.24	262.2	215.77	144.01	67.12	82.87	157.68	153.34	242.88	166.73	215.77	343.89	212.78	98.73	145.02	172.65	228.13	130.6	305.55	141.02	194.36	117.6	108.14	134.3	297.17	199.85	150.17	392.44	162.14	129.69	301.33	260.38	186.4	144.01	123.5	237.86	187.71	412.0	87.65	199.85	218.79	131.51	55.89	190.34	127.0	94.67	309.83	332.14	170.25	251.48	1008.9	293.07	583.07	629.35	915.51	559.28	579.04	82.29	108.9	103.69	490.14	595.34
CD36	4123.49	309.83	53230.77	91404.92	42641.37	45701.96	98646.85	118127.7	80683.28	68793.23	68793.23	58250.19	61999.83	50011.46	22072.07	52135.28	54727.32	75280.1	82951.62	71714.63	92040.7	25887.07	98646.85	79572.48	76861.91	127486.83	92040.7	27745.15	69271.73	69271.73	13492.72	163620.18	87075.75	26800.01	29327.18	63742.91	67846.12	101420.22	45701.96	64632.75	76861.91	72715.74	73730.83	122293.5	105727.15	53230.77	124863.17	162489.97	68318.04	97288.74	77396.54	139508.13	29736.59	105.89	147462.67	587.13	848.22	1233.75	743.43	656.11	4736.79	579.04	3716.2	3820.7	713.11
CEP170B	525.39	791.35	161.02	248.0	371.22	305.55	204.07	133.36	134.3	236.21	285.03	429.54	232.94	265.87	343.89	320.8	158.79	194.36	265.87	303.44	237.86	381.68	159.9	215.77	193.01	144.01	267.73	476.71	248.0	249.73	536.45	277.2	154.42	353.59	400.71	281.09	137.14	185.11	373.81	329.84	346.29	176.29	194.36	161.02	131.51	131.51	173.85	190.34	148.09	287.01	228.13	97.36	500.46	1208.34	432.53	780.44	571.05	503.95	813.63	728.11	100.13	28.86	73.03	854.13	366.09
CLCN7	1216.75	1447.15	651.58	921.88	1023.0	780.44	612.11	555.41	571.05	647.07	753.83	878.17	791.35	842.36	954.43	802.41	555.41	688.78	748.61	836.53	796.86	872.1	525.39	684.02	679.29	547.75	748.61	1008.9	674.59	583.07	2796.65	723.08	579.04	1104.13	1617.0	529.06	389.72	830.75	450.94	764.36	575.03	348.71	764.36	1008.9	320.8	366.09	511.0	417.77	733.19	878.17	674.59	738.29	1015.93	2090.03	529.06	1331.57	1662.49	1844.76	1662.49	1806.78	493.56	540.19	417.77	1519.15	2004.85
CLK2	1250.98	2163.77	429.54	490.14	708.18	599.49	414.87	361.04	497.0	438.59	532.74	603.67	555.41	688.78	1088.92	567.1	571.05	529.06	583.07	555.41	441.64	796.86	529.06	708.18	567.1	571.05	444.72	769.69	733.19	555.41	1359.57	669.92	379.04	995.0	830.75	603.67	532.74	497.0	791.35	759.08	890.44	339.14	884.29	624.99	400.71	480.04	480.04	339.14	486.75	607.87	684.02	713.11	1081.39	1697.45	603.67	1304.15	1572.76	2240.11	1081.39	1242.34	281.09	269.6	329.84	1286.18	1674.06
