	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13113.1326.SM.5GCOI	GTEX.11NUK.1226.SM.5P9GM	GTEX.XBEC.1526.SM.4AT68	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
HMGB2	325.29	579.04	316.37	299.25	291.04	368.65	361.04	348.71	1977.24	2485.67	1457.23	1143.1	3395.89	1119.56	2591.27	1721.16	3235.01	2555.58	1781.89	2047.0	1388.16	1639.59	1277.29	2335.28	1313.23	1950.0	2287.2	2271.4	3303.0	3325.99	2537.92	1583.71	2224.63	2645.74	1936.53	1721.16	2777.33	1001.93	2451.44	1561.89	2451.44	2255.7	934.76	866.07	2271.4	2104.58	2271.4	1617.0	1199.98	1295.13	733.19	1977.24	890.44	1508.65	1487.87	3614.55	2591.27	2997.45	2133.97	2240.11	2148.82
HMGN1	995.0	1857.6	1015.93	1697.45	547.75	1044.52	890.44	1167.14	6652.97	7331.05	4937.99	4095.0	5913.33	4038.61	7331.05	5517.27	6516.03	6426.31	3589.58	4123.49	4239.45	4066.71	4152.18	6079.61	5041.77	4388.98	6294.04	6121.9	6935.54	6887.62	5913.33	4972.34	6607.01	7081.29	3419.52	5403.7	7749.1	3589.58	7130.55	4736.79	7280.4	6121.9	4836.35	5292.48	5219.6	4704.07	5366.37	2997.45	4704.07	4512.4	4671.57	4607.24	3589.58	4298.64	4038.61	7130.55	6121.9	5672.41	6426.31	6935.54	6745.86
HMGN2	5831.91	5672.41	5403.7	5594.3	6471.02	3614.55	7589.61	5594.3	21919.61	22225.61	13306.94	10014.87	20881.4	10733.74	18560.17	14065.74	22692.63	20593.91	11827.67	12943.04	12853.63	9740.98	10440.2	21617.82	13586.57	12415.75	18689.27	19892.37	22072.07	20737.16	17804.06	15392.14	20451.65	23009.42	11584.24	13033.07	22692.63	10154.69	23656.34	11504.21	21919.61	18689.27	11112.3	11345.82	17681.08	11584.24	15607.02	10959.3	11992.79	11745.96	12160.22	13306.94	10808.41	14663.09	10368.08	18178.19	15934.98	17681.08	22692.63	23492.92	22850.48
KHDRBS1	967.76	842.36	490.14	460.44	457.25	934.76	679.29	480.04	1963.57	2520.38	1721.16	1551.09	2367.9	1583.71	2351.53	1709.26	2178.83	1757.34	1551.09	1447.15	1551.09	1397.83	1369.04	2090.03	1844.76	1437.15	1923.14	1936.53	2163.77	2148.82	1832.01	1832.01	2004.85	2119.22	1268.46	1870.53	2664.15	1457.23	2255.7	1685.71	2335.28	2319.15	1572.76	1594.73	1519.15	1697.45	1757.34	1427.22	1991.0	1628.26	1605.83	1561.89	1331.57	1639.59	1519.15	2739.08	1950.0	1806.78	1870.53	2178.83	1950.0
KIAA1191	1378.57	1397.83	1359.57	1313.23	1295.13	941.27	1397.83	1073.91	2148.82	2303.12	1447.15	1322.37	1950.0	1844.76	2287.2	1359.57	1651.0	1733.13	1268.46	1508.65	1498.22	1508.65	1159.07	2075.59	1594.73	1350.18	2047.0	1832.01	2255.7	1844.76	1794.29	1991.0	1991.0	2090.03	1322.37	1407.55	2104.58	1088.92	2485.67	1519.15	2148.82	2104.58	1529.73	1159.07	1540.37	1709.26	1498.22	1467.37	1757.34	1806.78	1477.58	1467.37	1073.91	1572.76	1369.04	2193.99	2061.24	2303.12	1733.13	2119.22	2287.2
MED21	126.12	182.55	118.43	137.14	138.1	105.15	135.24	115.97	748.61	928.3	642.59	514.56	796.86	521.76	928.3	363.56	723.08	612.11	409.15	497.0	660.68	511.0	460.44	753.83	486.75	567.1	785.88	575.03	902.89	698.41	679.29	738.29	780.44	669.92	414.87	547.75	954.43	426.57	748.61	490.14	785.88	981.29	599.49	567.1	500.46	591.22	656.11	435.55	688.78	591.22	490.14	607.87	435.55	587.13	624.99	1001.93	769.69	848.22	483.38	708.18	785.88
METTL9	248.0	318.57	198.47	187.71	143.01	162.14	187.71	262.2	2682.69	2935.74	1437.15	1721.16	2303.12	1617.0	3443.31	1697.45	2075.59	2451.44	1277.29	1605.83	2032.85	1870.53	1457.23	2240.11	2090.03	1605.83	2451.44	2367.9	3325.99	2163.77	2271.4	2209.26	2468.49	2537.92	1369.04	1639.59	2895.31	1331.57	2485.67	1781.89	2720.15	2701.35	2104.58	1639.59	1417.35	1662.49	1819.35	1242.34	1883.54	2018.8	1950.0	1806.78	1350.18	1721.16	1540.37	3039.3	2451.44	2976.74	2004.85	2434.5	2573.36
MLF1	9.63	21.94	21.78	9.13	24.11	3.2	8.25	28.45	947.83	890.44	473.41	366.09	780.44	167.9	802.41	325.29	629.35	723.08	218.79	265.87	460.44	316.37	339.14	830.75	503.95	414.87	612.11	579.04	669.92	679.29	656.11	269.6	1066.48	674.59	211.31	463.65	1225.22	277.2	830.75	412.0	785.88	808.0	583.07	314.17	426.57	493.56	1208.34	220.32	420.68	336.79	314.17	571.05	358.54	323.03	444.72	1685.71	547.75	518.15	612.11	775.05	571.05
NUDT15	201.25	125.24	163.28	119.26	209.84	138.1	112.77	154.42	543.96	417.77	285.03	295.11	429.54	267.73	532.74	218.79	358.54	417.77	228.13	269.6	341.51	339.14	376.41	444.72	305.55	291.04	389.72	327.56	493.56	373.81	363.56	332.14	343.89	397.93	205.5	358.54	429.54	309.83	454.09	285.03	432.53	371.22	353.59	363.56	249.73	273.37	293.07	231.32	312.0	327.56	277.2	289.02	323.03	316.37	371.22	454.09	373.81	429.54	297.17	389.72	426.57
PAIP2	1733.13	1519.15	878.17	921.88	1104.13	1529.73	1208.34	1066.48	3372.43	3515.68	2400.97	2047.0	2701.35	1832.01	4328.55	2061.24	2701.35	2609.3	1950.0	1498.22	2303.12	2104.58	2032.85	3060.45	1651.0	2075.59	2796.65	2119.22	3491.39	2739.08	2609.3	2417.67	2485.67	2609.3	1417.35	2335.28	2935.74	1733.13	3395.89	2240.11	2682.69	3690.52	2591.27	2319.15	2193.99	2451.44	2758.13	1551.09	2335.28	2104.58	2485.67	2287.2	1617.0	3060.45	2271.4	3955.48	2976.74	3235.01	2061.24	2956.17	2573.36
