	GTEX.147F4.0926.SM.5Q5EO	GTEX.WFG8.0926.SM.3GIKJ	GTEX.11EMC.0126.SM.5EGKV	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.Q2AG.1026.SM.33HBW	GTEX.ZPIC.0626.SM.57WDY	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.QEG5.1126.SM.33HC2
ABT1	244.57	587.13	325.29	299.25	500.46	283.05	214.27	656.11	493.56	185.11	612.11	595.34	540.19	441.64	532.74	299.25
AC011484.1	0.0	0.0	5.23	2.48	19.97	0.0	0.0	7.63	5.59	0.0	18.97	14.56	4.43	19.25	20.86	1.73
ACTL10	8.38	18.16	13.32	30.12	33.78	1.64	7.0	37.05	69.03	7.17	31.0	63.89	70.51	51.35	13.03	13.72
ADRM1	2193.99	2895.31	2018.8	1745.2	2573.36	1697.45	1639.59	2701.35	2935.74	743.43	3124.78	4066.71	3820.7	2485.67	2004.85	1304.15
AKT1S1	218.79	878.17	500.46	470.14	769.69	389.72	348.71	785.88	603.67	356.05	1066.48	902.89	1427.22	890.44	1096.5	466.88
ARMC7	253.23	420.68	237.86	400.71	444.72	191.67	264.03	497.0	281.09	400.71	591.22	432.53	518.15	249.73	591.22	197.09
ATP5E	1183.45	1477.58	1781.89	2758.13	2240.11	988.12	1208.34	2520.38	3235.01	633.73	2875.3	3716.2	2796.65	2271.4	1183.45	688.78
ATP5I	4639.29	12853.63	6516.03	8598.28	9606.86	4639.29	8022.41	9474.59	11035.54	3257.52	12076.21	16960.78	8363.13	8191.0	6652.97	6250.56
ATXN10	1259.69	2485.67	1757.34	2255.7	1572.76	1417.35	896.64	2061.24	3060.45	1806.78	2178.83	4038.61	3982.99	1733.13	1111.82	1651.0
ATXN7L3	273.37	890.44	381.68	476.71	764.36	571.05	432.53	921.88	884.29	432.53	796.86	902.89	1199.98	591.22	536.45	275.28
B3GALT6	70.01	381.68	119.26	129.69	351.14	103.69	100.83	395.18	371.22	72.01	325.29	521.76	460.44	371.22	244.57	121.79
BABAM1	808.0	1477.58	1369.04	1477.58	1697.45	1119.56	1331.57	1697.45	1457.23	860.08	1896.65	1896.65	1745.2	1651.0	1662.49	1119.56
BLOC1S1	1417.35	6121.9	3146.52	4607.24	5872.48	1508.65	2271.4	5366.37	4972.34	2520.38	6792.79	6699.25	6471.02	5791.62	4671.57	3716.2
C12orf10	329.84	995.0	547.75	674.59	1322.37	480.04	400.71	1119.56	941.27	353.59	1709.26	1437.15	1769.57	884.29	1350.18	854.13
C14orf119	371.22	1896.65	1407.55	1397.83	1498.22	518.15	603.67	1857.6	2255.7	878.17	2384.37	2468.49	2018.8	2075.59	1551.09	1331.57
C14orf2	1350.18	3820.7	2148.82	2816.11	3325.99	1313.23	1286.18	4123.49	3372.43	1457.23	4010.71	5183.54	3467.27	3372.43	3716.2	2148.82
C6orf47	346.29	536.45	279.14	332.14	547.75	248.0	218.79	612.11	571.05	202.66	559.28	518.15	638.15	470.14	400.71	262.2
