	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.FD.A5BZ.01A.11R.A28M.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.FD.A3B8.01A.31R.A20F.07	TCGA.FD.A3SP.01A.31R.A22U.07	TCGA.FD.A62S.01A.11R.A30C.07	TCGA.E9.A226.01A.21R.A157.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.E2.A1IO.01A.11R.A144.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A145.01A.11R.A115.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.A7.A26F.01A.21R.A169.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.E2.A1BC.01A.11R.A12P.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A7.A26F.01A.21R.A169.07.1	TCGA.A8.A07J.01A.11R.A00Z.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.JL.A3YW.01A.12R.A239.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.BH.A0BJ.01A.11R.A056.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.AR.A1AL.01A.21R.A12P.07	TCGA.D8.A27K.01A.11R.A16F.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.F4.6703.01A.11R.1839.07	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.CQ.7072.01A.21R.A30B.07	TCGA.CV.7433.01A.11R.2132.07	TCGA.78.8648.01A.11R.2403.07	TCGA.MP.A4TC.01A.11R.A24X.07	TCGA.44.6774.01A.21R.1858.07	TCGA.44.7662.01A.11R.2066.07	TCGA.J2.8192.01A.11R.2241.07	TCGA.43.6647.01A.11R.1820.07	TCGA.18.3417.01A.01R.1443.07	TCGA.60.2724.01A.01R.0851.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.85.8582.01A.21R.2403.07	TCGA.34.5928.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.N6.A4VF.01A.31R.A28V.07
AFF4	291.04	260.38	327.56	226.54	500.46	371.22	291.04	1111.82	583.07	902.89	460.44	543.96	1175.27	947.83	1709.26	486.75	529.06	1378.57	665.29	723.08	941.27	698.41	1104.13	620.67	866.07	728.11	1051.79	363.56	612.11	457.25	1073.91	830.75	1369.04	819.3	373.81	447.82	819.3	1870.53	647.07	1044.52	819.3	500.46	780.44	480.04	332.14	728.11	373.81	529.06	450.94	264.03	713.11	543.96	490.14	220.32	275.28	309.83	260.38	713.11	532.74	379.04	392.44	587.13	620.67	366.09	299.25	358.54	281.09	503.95	307.69	674.59	497.0	147.06	236.21	633.73	361.04	438.59	587.13	848.22	921.88	1037.29	400.71
AGGF1	122.64	226.54	182.55	177.53	217.27	236.21	221.86	607.87	403.5	353.59	264.03	289.02	571.05	346.29	603.67	327.56	309.83	511.0	409.15	285.03	457.25	389.72	490.14	329.84	435.55	457.25	529.06	152.28	363.56	323.03	486.75	358.54	638.15	387.02	253.23	316.37	309.83	651.58	414.87	366.09	395.18	348.71	536.45	366.09	273.37	295.11	206.94	281.09	211.31	128.79	281.09	255.0	181.28	153.34	211.31	273.37	149.12	269.6	253.23	205.5	218.79	281.09	271.48	198.47	180.02	193.01	164.42	224.97	159.9	339.14	178.77	120.1	151.22	334.46	197.09	204.07	285.03	368.65	371.22	283.05	323.03
APPBP2	183.82	285.03	260.38	195.72	329.84	218.79	239.52	642.59	346.29	1583.71	301.33	591.22	660.68	536.45	791.35	493.56	329.84	497.0	483.38	1572.76	669.92	503.95	387.02	483.38	575.03	612.11	511.0	145.02	273.37	253.23	571.05	463.65	928.3	470.14	265.87	325.29	603.67	599.49	457.25	599.49	540.19	351.14	915.51	297.17	432.53	423.61	262.2	341.51	226.54	183.82	353.59	323.03	312.0	102.25	151.22	206.94	175.07	299.25	236.21	258.57	253.23	361.04	341.51	297.17	158.79	251.48	181.28	275.28	251.48	389.72	336.79	205.5	277.2	450.94	239.52	237.86	351.14	480.04	473.41	361.04	353.59
ARID4B	157.68	248.0	244.57	217.27	346.29	285.03	249.73	928.3	435.55	674.59	334.46	607.87	587.13	642.59	1950.0	540.19	409.15	842.36	555.41	780.44	579.04	392.44	579.04	366.09	679.29	860.08	647.07	277.2	490.14	351.14	753.83	703.28	1008.9	486.75	457.25	236.21	521.76	988.12	466.88	1023.0	842.36	543.96	928.3	366.09	295.11	460.44	368.65	316.37	217.27	116.78	376.41	305.55	234.57	242.88	156.59	189.02	215.77	297.17	273.37	327.56	285.03	289.02	239.52	318.57	241.19	277.2	293.07	323.03	361.04	547.75	258.57	130.6	153.34	406.31	368.65	281.09	409.15	486.75	665.29	575.03	368.65
ASH1L	72.01	153.34	204.07	147.06	256.78	208.38	153.34	392.44	387.02	583.07	271.48	518.15	559.28	656.11	1977.24	525.39	341.51	854.13	500.46	674.59	521.76	363.56	447.82	371.22	536.45	518.15	587.13	129.69	258.57	212.78	733.19	503.95	854.13	591.22	211.31	209.84	599.49	1447.15	283.05	866.07	988.12	289.02	764.36	214.27	211.31	361.04	205.5	293.07	199.85	102.97	309.83	229.72	143.01	125.24	119.26	151.22	112.77	356.05	208.38	202.66	195.72	198.47	287.01	189.02	128.79	201.25	195.72	267.73	239.52	358.54	244.57	115.16	106.63	312.0	429.54	269.6	287.01	366.09	603.67	460.44	183.82
BDP1	117.6	133.36	140.04	100.83	190.34	166.73	143.01	244.57	293.07	325.29	173.85	220.32	412.0	301.33	974.5	291.04	267.73	555.41	275.28	251.48	356.05	215.77	376.41	234.57	299.25	373.81	384.34	98.73	224.97	224.97	384.34	397.93	921.88	204.07	136.19	208.38	289.02	595.34	229.72	397.93	366.09	267.73	389.72	159.9	137.14	283.05	176.29	147.06	95.34	50.98	205.5	175.07	100.13	94.01	139.07	129.69	92.05	204.07	157.68	133.36	135.24	158.79	147.06	155.5	85.82	178.77	150.17	180.02	163.28	285.03	98.73	43.02	82.29	262.2	133.36	140.04	123.5	327.56	503.95	325.29	158.79
CBX5	226.54	136.19	293.07	198.47	417.77	373.81	323.03	1167.14	387.02	599.49	414.87	759.08	764.36	733.19	1508.65	603.67	329.84	785.88	441.64	476.71	616.37	587.13	660.68	688.78	555.41	575.03	435.55	228.13	595.34	423.61	693.58	426.57	738.29	444.72	470.14	441.64	521.76	954.43	423.61	679.29	651.58	395.18	878.17	679.29	429.54	579.04	429.54	180.02	260.38	353.59	518.15	246.28	283.05	283.05	201.25	532.74	507.46	363.56	529.06	220.32	239.52	406.31	483.38	395.18	366.09	289.02	295.11	414.87	305.55	381.68	441.64	287.01	143.01	500.46	361.04	358.54	356.05	769.69	669.92	638.15	620.67
CCDC117	172.65	198.47	226.54	198.47	273.37	236.21	223.41	1059.11	1437.15	384.34	450.94	381.68	1030.12	497.0	780.44	536.45	334.46	679.29	435.55	387.02	529.06	490.14	633.73	414.87	603.67	480.04	624.99	260.38	256.78	371.22	536.45	543.96	2682.69	395.18	414.87	267.73	353.59	323.03	366.09	633.73	547.75	346.29	808.0	291.04	457.25	457.25	334.46	320.8	229.72	279.14	318.57	299.25	336.79	145.02	195.72	1268.46	366.09	236.21	651.58	228.13	253.23	371.22	318.57	503.95	215.77	277.2	221.86	376.41	318.57	454.09	325.29	236.21	283.05	379.04	262.2	307.69	412.0	363.56	397.93	470.14	297.17
CCDC125	43.94	84.04	32.13	77.79	66.65	68.07	68.07	669.92	264.03	373.81	115.16	176.29	665.29	409.15	713.11	348.71	209.84	291.04	460.44	381.68	660.68	159.9	297.17	267.73	518.15	371.22	403.5	90.77	368.65	73.03	591.22	409.15	651.58	356.05	105.15	187.71	246.28	529.06	379.04	521.76	540.19	224.97	802.41	236.21	96.68	82.87	57.08	47.5	53.19	21.32	107.38	52.82	34.02	51.71	38.12	37.05	24.81	72.52	39.22	52.45	42.41	57.08	67.12	36.53	49.91	71.0	94.67	87.65	120.1	244.57	52.82	38.12	55.89	88.88	56.68	63.45	86.43	100.83	204.07	114.36	151.22
CDC23	185.11	444.72	285.03	287.01	486.75	441.64	429.54	733.19	486.75	426.57	373.81	389.72	638.15	595.34	599.49	336.79	409.15	559.28	514.56	400.71	514.56	299.25	620.67	518.15	486.75	624.99	536.45	454.09	579.04	423.61	651.58	503.95	842.36	620.67	460.44	507.46	420.68	860.08	595.34	525.39	567.1	457.25	599.49	500.46	329.84	403.5	376.41	281.09	291.04	267.73	463.65	450.94	379.04	229.72	353.59	307.69	234.57	447.82	376.41	293.07	397.93	417.77	400.71	307.69	463.65	307.69	291.04	305.55	327.56	403.5	353.59	277.2	336.79	403.5	297.17	438.59	466.88	417.77	400.71	429.54	551.56
