	TCGA.A8.A08Z.01A.21R.A00Z.07	TCGA.BH.A1FN.01A.11R.A13Q.07	TCGA.E2.A159.01A.11R.A115.07	TCGA.AR.A1AR.01A.31R.A137.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.CV.7407.01A.11R.2081.07	TCGA.55.1592.01A.01R.0946.07	TCGA.55.7727.01A.11R.2170.07	TCGA.55.7724.01A.11R.2170.07	TCGA.86.7711.01A.11R.2066.07	TCGA.60.2704.01A.11R.2045.07	TCGA.66.2742.01A.01R.0980.07	TCGA.85.8666.01A.11R.2403.07	TCGA.77.7338.01A.11R.2045.07	TCGA.56.A62T.01A.11R.A405.07	TCGA.34.2608.01A.02R.0851.07	TCGA.66.2773.01A.01R.1201.07	TCGA.63.A5MH.01A.12R.A27Q.07	TCGA.85.7844.01A.11R.2125.07	TCGA.21.1071.01A.01R.0692.07	TCGA.BR.8289.01A.11R.2343.13	TCGA.BR.6458.01A.11R.1802.13	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A3V5.01A.11R.A22U.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	GTEX.R55C.0626.SM.2TF4Q	GTEX.ZTPG.0826.SM.5DUVC	GTEX.11TT1.1126.SM.5P9GV
ABCE1	1044.52	1529.73	638.15	2485.67	934.76	836.53	665.29	638.15	1081.39	836.53	1457.23	1059.11	1127.35	890.44	698.41	1794.29	780.44	909.17	764.36	759.08	796.86	902.89	728.11	429.54	591.22	444.72	361.04	493.56	514.56	450.94	587.13	507.46	423.61	490.14	332.14	214.27	460.44	381.68	299.25	463.65	406.31	500.46	287.01	332.14	373.81	616.37	267.73	414.87	412.0	473.41	208.38	309.83	371.22	435.55	329.84	417.77	246.28	543.96	435.55	406.31	358.54	470.14	500.46	307.69	303.44	297.17	406.31	351.14	353.59	444.72	373.81	457.25	432.53	297.17	395.18	412.0	269.6	450.94	476.71	441.64	490.14	325.29	612.11	454.09	320.8	518.15	536.45	351.14	547.75	532.74	497.0	603.67	555.41	420.68	384.34	325.29	403.5	500.46	426.57	414.87	381.68	368.65	454.09	457.25	332.14	389.72	470.14	656.11	307.69	325.29	518.15	497.0	414.87	493.56	743.43	525.39	624.99	511.0
ABCF1	1233.75	1250.98	1477.58	1242.34	995.0	1119.56	1313.23	1685.71	1923.14	1001.93	1617.0	896.64	1015.93	830.75	1023.0	1551.09	967.76	1096.5	2287.2	1313.23	1359.57	1457.23	1268.46	1159.07	1143.1	651.58	842.36	1001.93	723.08	796.86	733.19	624.99	599.49	728.11	624.99	679.29	764.36	830.75	525.39	748.61	718.08	723.08	563.18	759.08	688.78	796.86	708.18	775.05	769.69	896.64	651.58	698.41	854.13	813.63	567.1	688.78	616.37	728.11	802.41	669.92	759.08	954.43	1143.1	679.29	902.89	728.11	567.1	559.28	713.11	748.61	679.29	595.34	698.41	684.02	713.11	748.61	872.1	708.18	703.28	642.59	947.83	693.58	1051.79	842.36	638.15	708.18	791.35	693.58	796.86	674.59	571.05	866.07	848.22	616.37	728.11	441.64	633.73	563.18	759.08	651.58	633.73	848.22	607.87	759.08	629.35	848.22	753.83	808.0	738.29	688.78	808.0	785.88	679.29	642.59	1059.11	1183.45	954.43	967.76
ACBD3	1175.27	1378.57	941.27	1487.87	743.43	660.68	1135.2	1081.39	1857.6	1037.29	802.41	995.0	1015.93	759.08	1183.45	571.05	759.08	909.17	830.75	928.3	1030.12	1015.93	1104.13	480.04	441.64	497.0	450.94	432.53	607.87	679.29	575.03	497.0	514.56	473.41	420.68	295.11	412.0	363.56	397.93	624.99	497.0	660.68	334.46	314.17	435.55	775.05	363.56	607.87	555.41	490.14	389.72	392.44	532.74	684.02	432.53	435.55	271.48	432.53	420.68	400.71	473.41	669.92	579.04	368.65	387.02	366.09	297.17	329.84	466.88	642.59	559.28	500.46	540.19	392.44	493.56	497.0	384.34	587.13	583.07	607.87	406.31	423.61	540.19	356.05	473.41	507.46	438.59	490.14	483.38	583.07	547.75	444.72	684.02	447.82	480.04	318.57	460.44	532.74	607.87	796.86	454.09	403.5	529.06	571.05	303.44	463.65	579.04	753.83	395.18	353.59	656.11	591.22	693.58	503.95	713.11	947.83	825.0	669.92
ADAM17	334.46	612.11	587.13	607.87	435.55	348.71	915.51	460.44	358.54	679.29	1519.15	656.11	934.76	796.86	1127.35	1151.06	764.36	1313.23	616.37	1159.07	1322.37	429.54	226.54	189.02	175.07	169.07	166.73	153.34	205.5	239.52	211.31	194.36	149.12	164.42	108.14	89.51	96.01	158.79	113.56	237.86	152.28	217.27	118.43	154.42	153.34	271.48	129.69	218.79	173.85	215.77	108.14	186.4	205.5	236.21	154.42	177.53	96.68	191.67	148.09	121.79	183.82	232.94	239.52	182.55	111.99	153.34	124.37	106.63	144.01	197.09	186.4	191.67	211.31	149.12	159.9	129.69	115.16	197.09	206.94	202.66	228.13	177.53	223.41	108.9	151.22	221.86	180.02	135.24	202.66	205.5	186.4	140.04	215.77	173.85	204.07	126.12	127.89	167.9	180.02	142.01	178.77	176.29	190.34	214.27	129.69	206.94	176.29	273.37	137.14	171.45	226.54	176.29	164.42	132.44	379.04	273.37	246.28	191.67
ADAR	4181.07	5147.73	3124.78	4268.94	2148.82	3443.31	3349.13	2485.67	3955.48	2935.74	3280.18	2701.35	2701.35	2796.65	2664.15	2061.24	1870.53	2468.49	3103.19	2935.74	2682.69	2997.45	3847.29	1487.87	1233.75	1487.87	1277.29	1066.48	1709.26	1519.15	1467.37	1286.18	1088.92	1540.37	1233.75	1151.06	1030.12	1350.18	974.5	2417.67	974.5	1896.65	1135.2	1242.34	1225.22	2319.15	1167.14	2956.17	1639.59	1199.98	1322.37	1242.34	1745.2	1844.76	1359.57	1268.46	1023.0	1159.07	1417.35	1119.56	1540.37	1745.2	2451.44	1350.18	1104.13	961.07	1066.48	1216.75	1397.83	1936.53	2163.77	1651.0	1639.59	1183.45	1378.57	1674.06	928.3	1733.13	1745.2	1745.2	1331.57	1572.76	1628.26	896.64	1151.06	1487.87	1397.83	1295.13	1529.73	1733.13	1477.58	1322.37	2434.5	1369.04	1662.49	954.43	988.12	1697.45	1417.35	2271.4	1583.71	1639.59	1304.15	1883.54	1044.52	1561.89	1844.76	1781.89	902.89	1233.75	2104.58	1685.71	2163.77	1388.16	2075.59	1572.76	1561.89	1477.58
ANKEF1	134.3	181.28	289.02	69.03	59.13	31.9	31.45	118.43	106.63	100.13	301.33	115.16	99.43	65.72	85.22	271.48	83.45	211.31	77.79	131.51	152.28	73.03	307.69	60.39	90.77	66.65	64.8	49.56	49.91	118.43	72.01	46.18	53.19	27.25	29.48	28.04	77.25	67.12	27.84	65.26	84.04	43.94	21.78	52.45	29.7	107.38	28.86	44.57	36.01	61.25	14.67	50.27	45.53	59.55	38.95	102.97	23.08	60.39	73.54	48.87	45.85	74.06	63.89	58.3	115.16	61.25	53.95	33.06	28.65	46.84	34.26	57.08	49.91	30.78	28.45	26.86	35.5	59.55	47.84	40.07	146.03	38.12	117.6	122.64	64.34	53.19	29.27	34.75	53.57	47.84	43.94	161.02	52.82	37.32	41.81	19.39	21.32	44.89	38.67	39.5	43.94	40.07	41.81	37.05	24.81	59.55	38.4	61.25	78.89	67.59	68.55	38.4	43.32	38.67	55.89	190.34	90.14	118.43
ARMC1	447.82	529.06	733.19	825.0	486.75	466.88	395.18	532.74	540.19	529.06	463.65	503.95	563.18	819.3	547.75	595.34	559.28	587.13	543.96	291.04	629.35	327.56	384.34	273.37	295.11	295.11	242.88	332.14	279.14	287.01	307.69	277.2	285.03	273.37	195.72	120.1	339.14	271.48	178.77	301.33	303.44	291.04	162.14	224.97	249.73	323.03	167.9	231.32	271.48	301.33	176.29	224.97	198.47	301.33	239.52	301.33	154.42	366.09	255.0	212.78	209.84	316.37	289.02	251.48	180.02	253.23	249.73	229.72	265.87	255.0	297.17	232.94	248.0	215.77	267.73	275.28	220.32	260.38	285.03	262.2	325.29	217.27	267.73	334.46	234.57	366.09	212.78	253.23	255.0	271.48	303.44	301.33	289.02	251.48	239.52	201.25	273.37	289.02	289.02	249.73	231.32	204.07	327.56	228.13	195.72	234.57	279.14	325.29	215.77	218.79	312.0	279.14	251.48	246.28	438.59	334.46	323.03	267.73
ATF6	684.02	543.96	368.65	775.05	420.68	400.71	323.03	435.55	454.09	414.87	426.57	454.09	587.13	341.51	406.31	271.48	351.14	305.55	332.14	371.22	420.68	483.38	493.56	256.78	291.04	248.0	237.86	236.21	277.2	303.44	289.02	251.48	246.28	283.05	226.54	269.6	251.48	305.55	201.25	318.57	229.72	316.37	172.65	215.77	221.86	389.72	218.79	334.46	277.2	264.03	221.86	226.54	295.11	327.56	195.72	273.37	195.72	242.88	303.44	209.84	253.23	303.44	356.05	287.01	224.97	212.78	214.27	214.27	246.28	305.55	361.04	244.57	309.83	202.66	231.32	305.55	202.66	271.48	277.2	281.09	351.14	251.48	329.84	208.38	271.48	309.83	277.2	218.79	291.04	314.17	251.48	334.46	351.14	251.48	258.57	180.02	275.28	287.01	301.33	376.41	260.38	248.0	258.57	279.14	190.34	323.03	312.0	420.68	206.94	260.38	353.59	291.04	291.04	231.32	351.14	358.54	409.15	291.04
B3GALNT2	403.5	327.56	503.95	571.05	170.25	279.14	265.87	231.32	234.57	316.37	665.29	444.72	363.56	395.18	738.29	351.14	366.09	341.51	348.71	409.15	371.22	483.38	373.81	191.67	133.36	50.27	96.01	105.15	99.43	314.17	111.99	87.03	58.3	75.11	39.5	23.59	117.6	120.94	60.39	98.04	199.85	147.06	40.64	138.1	54.72	157.68	78.34	131.51	95.34	175.07	45.21	127.0	102.97	108.14	58.3	176.29	29.06	109.66	127.0	75.11	99.43	104.42	137.14	215.77	115.97	100.13	74.58	29.06	64.8	116.78	115.97	66.18	129.69	67.59	86.43	55.49	54.72	87.03	85.82	128.79	220.32	92.7	199.85	74.58	169.07	127.89	78.34	67.59	76.71	116.78	85.82	145.02	155.5	50.63	108.9	31.9	63.0	84.04	69.52	122.64	87.65	78.89	80.01	96.01	59.13	170.25	108.14	120.1	89.51	117.6	146.03	102.25	81.14	95.34	161.02	267.73	119.26	117.6
BROX	1295.13	1183.45	915.51	1304.15	603.67	988.12	728.11	941.27	1143.1	902.89	961.07	660.68	830.75	624.99	902.89	379.04	511.0	738.29	525.39	555.41	848.22	808.0	723.08	309.83	358.54	503.95	441.64	271.48	366.09	470.14	514.56	409.15	371.22	432.53	376.41	208.38	450.94	303.44	320.8	332.14	346.29	454.09	305.55	318.57	441.64	547.75	231.32	463.65	373.81	454.09	307.69	291.04	435.55	463.65	395.18	507.46	269.6	409.15	204.07	314.17	363.56	454.09	518.15	441.64	358.54	334.46	397.93	389.72	353.59	486.75	483.38	409.15	387.02	397.93	406.31	392.44	279.14	480.04	529.06	493.56	412.0	325.29	460.44	400.71	373.81	463.65	325.29	351.14	441.64	521.76	441.64	356.05	629.35	412.0	420.68	346.29	363.56	460.44	551.56	708.18	346.29	309.83	389.72	432.53	305.55	376.41	444.72	435.55	279.14	368.65	567.1	417.77	571.05	287.01	432.53	647.07	575.03	329.84
