	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4769.01A.01R.1289.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.BQ.7053.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.TKQ2.1726.SM.4DXUP	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.ZF29.2026.SM.4WWB7	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.HC.7737.11A.02R.2118.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.EL.A3T6.01A.11R.A220.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.12WSG.2126.SM.5EGJ7	GTEX.U3ZN.0726.SM.4DXT5
AAAS	1008.9	1059.11	587.13	698.41	934.76	854.13	684.02	1233.75	995.0	890.44	1295.13	713.11	775.05	934.76	447.82	426.57	679.29	457.25	363.56	684.02	332.14	674.59	616.37	633.73	620.67	547.75	543.96	532.74	457.25	503.95	603.67	599.49	521.76	830.75	791.35	813.63	480.04	563.18	603.67	571.05	529.06	723.08	1119.56	934.76	1159.07	947.83	928.3	961.07	616.37	1233.75	878.17	1088.92	842.36	848.22	981.29	1225.22	954.43	808.0	1378.57	1151.06	1143.1	1304.15	854.13	656.11	1023.0	915.51	974.5	1167.14	947.83	1143.1	1096.5	1159.07	1135.2	1233.75	866.07	1096.5	1111.82	954.43	967.76	825.0
ABCA2	161.02	3018.3	902.89	713.11	1437.15	802.41	884.29	1199.98	1051.79	684.02	563.18	1073.91	785.88	444.72	325.29	291.04	567.1	148.09	193.01	457.25	120.94	571.05	395.18	389.72	616.37	444.72	395.18	595.34	444.72	307.69	674.59	486.75	400.71	872.1	1119.56	713.11	156.59	483.38	444.72	599.49	665.29	665.29	1540.37	2434.5	2664.15	2591.27	3081.75	3039.3	1073.91	4066.71	1407.55	3235.01	878.17	2682.69	2555.58	2119.22	3303.0	2758.13	2875.3	2075.59	3372.43	2997.45	1896.65	1225.22	3212.66	2835.7	3690.52	3349.13	3235.01	3372.43	2609.3	1870.53	2303.12	1909.85	791.35	866.07	1551.09	1561.89	164.42	117.6
ACIN1	1896.65	2609.3	1498.22	1191.69	1709.26	1322.37	1295.13	1417.35	1685.71	1477.58	1487.87	1583.71	1295.13	718.08	543.96	529.06	688.78	629.35	486.75	759.08	599.49	974.5	633.73	713.11	796.86	775.05	733.19	669.92	583.07	785.88	718.08	909.17	633.73	525.39	1508.65	934.76	264.03	660.68	896.64	693.58	603.67	1477.58	3742.05	3467.27	3467.27	2796.65	2976.74	2609.3	2104.58	5555.65	3540.14	3349.13	2468.49	2758.13	3325.99	4066.71	2956.17	2796.65	4512.4	4038.61	3928.15	5006.93	2664.15	2384.37	2701.35	2777.33	2796.65	4010.71	2875.3	3614.55	2895.31	3540.14	3540.14	2627.46	1977.24	2682.69	3395.89	2224.63	2777.33	2133.97
AGAP6	133.36	249.73	114.36	31.67	150.17	109.66	70.01	140.04	74.06	97.36	45.53	126.12	84.04	115.16	56.68	59.55	61.25	55.1	50.98	90.14	48.52	48.52	115.16	42.71	60.82	67.59	82.29	85.22	51.71	55.49	42.71	66.18	57.08	81.71	55.89	135.24	19.82	56.28	97.36	60.39	39.79	79.45	381.68	217.27	329.84	256.78	223.41	172.65	131.51	486.75	264.03	358.54	202.66	193.01	248.0	389.72	293.07	279.14	540.19	397.93	450.94	567.1	206.94	182.55	209.84	206.94	256.78	447.82	220.32	406.31	293.07	329.84	224.97	208.38	189.02	242.88	231.32	148.09	180.02	127.0
AHSA2	201.25	1088.92	373.81	115.16	890.44	325.29	246.28	1037.29	301.33	264.03	148.09	318.57	264.03	332.14	96.68	82.29	154.42	76.71	51.35	183.82	70.51	226.54	264.03	124.37	127.89	185.11	108.14	123.5	80.01	135.24	111.21	189.02	95.34	220.32	239.52	371.22	124.37	158.79	226.54	126.12	141.02	363.56	1457.23	1030.12	1896.65	1127.35	1066.48	1199.98	387.02	2739.08	1111.82	2148.82	1037.29	1008.9	1030.12	2434.5	1199.98	1295.13	2520.38	1487.87	1794.29	2061.24	878.17	547.75	1037.29	753.83	988.12	2591.27	954.43	2209.26	1733.13	1487.87	1286.18	1023.0	669.92	947.83	836.53	316.37	1242.34	454.09
AKAP8L	1286.18	2417.67	842.36	486.75	1104.13	1008.9	660.68	1167.14	1159.07	647.07	1167.14	884.29	633.73	387.02	497.0	403.5	595.34	314.17	346.29	599.49	490.14	579.04	486.75	351.14	412.0	728.11	551.56	753.83	417.77	438.59	366.09	785.88	323.03	490.14	441.64	651.58	307.69	785.88	723.08	583.07	384.34	878.17	2075.59	1950.0	2664.15	1583.71	1721.16	1651.0	1127.35	3168.41	1896.65	2384.37	1572.76	1819.35	1963.57	2434.5	1883.54	2018.8	2701.35	2075.59	2627.46	3303.0	1870.53	1119.56	2032.85	1628.26	2468.49	2796.65	1721.16	2520.38	2976.74	2335.28	1883.54	2287.2	1268.46	1963.57	1268.46	1369.04	2485.67	860.08
ANKRA2	283.05	651.58	279.14	175.07	409.15	269.6	242.88	279.14	323.03	234.57	133.36	234.57	281.09	183.82	189.02	151.22	199.85	262.2	185.11	260.38	194.36	307.69	220.32	249.73	336.79	297.17	283.05	108.14	251.48	299.25	228.13	327.56	220.32	297.17	281.09	217.27	172.65	220.32	234.57	206.94	209.84	450.94	693.58	642.59	551.56	633.73	525.39	529.06	503.95	961.07	642.59	866.07	511.0	532.74	476.71	738.29	575.03	651.58	743.43	555.41	647.07	915.51	624.99	348.71	514.56	490.14	567.1	915.51	665.29	878.17	486.75	486.75	642.59	490.14	441.64	819.3	450.94	420.68	785.88	397.93
ANKRD13D	595.34	1066.48	353.59	193.01	620.67	483.38	460.44	599.49	389.72	454.09	595.34	642.59	429.54	169.07	206.94	57.89	198.47	88.26	73.03	277.2	136.19	163.28	221.86	155.5	148.09	85.22	105.15	118.43	81.71	78.34	94.67	157.68	71.5	145.02	323.03	223.41	47.17	269.6	303.44	100.83	128.79	473.41	1023.0	988.12	1051.79	753.83	1001.93	642.59	563.18	1127.35	733.19	1322.37	723.08	764.36	941.27	995.0	660.68	647.07	1295.13	1427.22	1135.2	1551.09	660.68	848.22	743.43	780.44	860.08	928.3	808.0	1015.93	866.07	1378.57	785.88	629.35	379.04	486.75	500.46	409.15	753.83	460.44
ANKZF1	223.41	872.1	642.59	480.04	764.36	358.54	633.73	1096.5	239.52	356.05	356.05	638.15	417.77	339.14	215.77	164.42	295.11	209.84	162.14	384.34	190.34	351.14	193.01	253.23	348.71	332.14	314.17	283.05	209.84	389.72	258.57	414.87	198.47	232.94	379.04	334.46	159.9	376.41	417.77	281.09	297.17	470.14	1208.34	808.0	995.0	764.36	674.59	642.59	607.87	1733.13	909.17	1183.45	909.17	559.28	902.89	1233.75	713.11	836.53	1259.69	674.59	1119.56	1477.58	830.75	769.69	842.36	728.11	791.35	1183.45	748.61	1322.37	1008.9	961.07	1073.91	698.41	753.83	988.12	743.43	397.93	974.5	457.25
AP003068.6	7.51	20.56	12.18	3.03	12.74	10.88	7.69	11.64	7.88	6.16	8.71	7.46	8.99	5.63	5.02	1.25	4.94	2.76	3.08	5.36	2.61	11.13	4.1	4.06	8.38	5.19	3.44	6.46	2.14	5.77	3.99	4.7	2.92	8.0	12.64	6.36	2.84	4.78	8.25	4.78	4.7	9.2	35.0	28.65	37.59	17.38	23.42	18.97	7.0	44.25	18.84	37.32	19.97	19.68	22.92	31.67	18.84	16.27	40.64	37.85	33.3	33.54	16.39	13.12	20.26	16.27	28.86	44.57	18.16	35.76	32.82	27.64	27.25	15.45	10.31	18.7	37.32	11.82	21.32	11.3
