	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.VUSG.0126.SM.4KL1X	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.S7SE.0926.SM.2XCD6	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.X3Y1.0626.SM.3P5YS	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJ3.1026.SM.5QGQU	GTEX.T6MN.0826.SM.32PM4	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.ZYT6.0526.SM.5GIEA	GTEX.XQ8I.1126.SM.4BOO2	GTEX.QEG4.0526.SM.48TZD	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.OHPM.0526.SM.2YUMJ	TCGA.85.7710.11A.01R.2125.07	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.RD.A8N0.01A.12R.A36D.31
AGER	50.63	18.03	26.47	43.02	72.52	25.91	459592.86	502929.67	267651.2	355624.68	163620.18	25708.25	336441.4	119776.72	370726.6	191899.64	4607.24	394590.4	313910.86	242898.5	577714.63	269512.87	24832.5	220434.95	170568.48	279017.26	249727.34	239554.43	383800.28	363097.14	373305.21	482442.34	496005.67	170568.48	419990.32	191899.64	18819.27	323.03	190.34
ANAPC4	136.19	63.0	116.78	115.97	76.71	115.97	438.59	255.0	373.81	318.57	579.04	688.78	323.03	171.45	429.54	260.38	954.43	579.04	651.58	115.16	267.73	423.61	486.75	490.14	293.07	275.28	351.14	441.64	587.13	373.81	356.05	435.55	202.66	115.97	177.53	180.02	642.59	583.07	616.37
ANKRD32	23.76	19.53	24.81	10.88	38.67	9.48	62.12	51.71	37.85	55.89	102.97	122.64	42.41	25.35	40.93	26.67	145.02	92.05	128.79	28.04	19.68	69.03	435.55	26.67	24.81	36.79	48.87	40.64	85.82	29.48	61.68	36.01	39.79	13.62	20.71	20.71	85.22	158.79	130.6
ATM	90.14	66.18	59.97	27.84	54.33	169.07	454.09	248.0	486.75	279.14	872.1	669.92	316.37	185.11	400.71	143.01	616.37	490.14	612.11	186.4	289.02	343.89	872.1	251.48	178.77	214.27	226.54	341.51	285.03	194.36	514.56	251.48	368.65	189.02	258.57	121.79	1216.75	1250.98	872.1
BRD9	182.55	198.47	204.07	197.09	221.86	144.01	511.0	665.29	624.99	902.89	884.29	1268.46	575.03	283.05	603.67	483.38	1175.27	842.36	896.64	223.41	579.04	703.28	1417.35	748.61	529.06	642.59	536.45	638.15	612.11	728.11	454.09	974.5	336.79	120.94	551.56	341.51	703.28	1397.83	915.51
C1orf147	0.0	0.0	0.0	0.06	0.47	0.32	6.41	0.0	3.35	1.68	8.0	10.31	6.62	3.69	2.12	1.79	5.87	2.36	3.56	1.83	0.28	0.84	14.78	4.35	2.51	2.46	1.45	3.53	2.92	0.34	1.68	1.0	2.76	0.0	1.68	0.0	14.67	29.91	16.27
CASP2	46.84	57.49	71.5	85.82	164.42	37.85	293.07	145.02	273.37	154.42	301.33	629.35	209.84	195.72	325.29	221.86	616.37	429.54	435.55	143.01	303.44	232.94	616.37	246.28	323.03	176.29	283.05	246.28	379.04	118.43	373.81	518.15	237.86	209.84	206.94	133.36	463.65	563.18	497.0
CCDC66	35.5	9.48	47.84	40.93	17.64	31.9	208.38	68.55	169.07	156.59	466.88	454.09	186.4	59.55	186.4	66.65	395.18	293.07	395.18	65.72	114.36	194.36	348.71	275.28	107.38	126.12	139.07	226.54	287.01	154.42	186.4	131.51	95.34	80.01	158.79	75.11	316.37	543.96	529.06
CENPJ	16.63	13.62	10.55	4.62	18.97	12.45	67.59	44.25	102.97	98.04	246.28	202.66	36.27	22.43	67.59	45.53	143.01	169.07	185.11	15.68	51.71	120.1	127.89	101.54	98.73	53.19	94.67	109.66	143.01	66.18	90.77	76.17	27.25	33.06	47.5	25.91	155.5	262.2	204.07
CNTRL	36.79	14.45	54.33	67.59	78.34	24.28	277.2	132.44	143.01	182.55	447.82	540.19	204.07	124.37	237.86	94.01	813.63	441.64	403.5	115.16	150.17	395.18	620.67	178.77	80.57	142.01	224.97	170.25	368.65	187.71	162.14	204.07	105.15	60.82	163.28	88.26	591.22	555.41	392.44
DDHD1	12.74	14.35	13.22	7.22	14.24	23.25	100.83	98.73	135.24	109.66	406.31	255.0	73.54	90.14	153.34	49.56	169.07	241.19	113.56	32.13	88.26	137.14	220.32	66.18	64.34	92.05	90.77	115.16	161.02	108.14	115.97	62.12	92.05	114.36	98.73	53.57	229.72	312.0	248.0
ERCC3	303.44	258.57	229.72	172.65	169.07	273.37	660.68	559.28	642.59	718.08	1015.93	1066.48	669.92	395.18	738.29	583.07	1143.1	808.0	961.07	291.04	642.59	698.41	1191.69	791.35	616.37	466.88	599.49	819.3	896.64	555.41	642.59	981.29	417.77	303.44	559.28	379.04	1066.48	842.36	718.08
EXOC1	99.43	44.57	82.87	75.64	98.04	43.63	409.15	305.55	361.04	323.03	791.35	638.15	412.0	194.36	435.55	228.13	591.22	665.29	738.29	142.01	366.09	409.15	567.1	483.38	258.57	279.14	518.15	368.65	529.06	325.29	409.15	351.14	208.38	92.05	275.28	205.5	660.68	674.59	660.68
FAM111A	111.99	45.53	78.34	142.01	64.34	69.52	830.75	406.31	796.86	603.67	1191.69	1250.98	503.95	185.11	521.76	447.82	947.83	842.36	1183.45	98.04	599.49	497.0	1073.91	748.61	470.14	307.69	651.58	595.34	1030.12	348.71	728.11	490.14	389.72	115.97	334.46	220.32	961.07	890.44	941.27
FAM192A	703.28	780.44	718.08	633.73	575.03	775.05	1819.35	1159.07	1437.15	1151.06	2468.49	2319.15	1639.59	902.89	1259.69	1508.65	1844.76	1991.0	1781.89	642.59	1331.57	1757.34	3212.66	1923.14	1508.65	1277.29	1551.09	1572.76	2573.36	1628.26	1359.57	1806.78	902.89	624.99	1378.57	866.07	2047.0	1844.76	1896.65
FAM208A	169.07	75.11	154.42	127.0	124.37	202.66	802.41	612.11	647.07	476.71	1350.18	934.76	460.44	346.29	665.29	551.56	974.5	967.76	967.76	237.86	435.55	559.28	954.43	728.11	532.74	551.56	723.08	624.99	748.61	457.25	603.67	651.58	353.59	329.84	371.22	555.41	934.76	1081.39	1066.48
FBXO4	153.34	114.36	135.24	226.54	159.9	48.87	158.79	142.01	141.02	156.59	275.28	351.14	99.43	64.8	215.77	206.94	320.8	323.03	239.52	23.59	147.06	316.37	373.81	217.27	140.04	164.42	241.19	172.65	256.78	144.01	146.03	336.79	111.99	30.12	144.01	133.36	307.69	316.37	379.04
