	TCGA.KM.8639.01A.11R.2403.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KN.8418.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8432.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8336.01A.11R.2315.07	TCGA.KO.8417.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8329.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.KN.8435.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KN.8429.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	TCGA.B0.5117.01A.01R.1420.07	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.B2.3923.01A.02R.1325.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B2.3923.01A.02R.A277.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.BQ.7056.01A.11R.1965.07	TCGA.MH.A857.01A.11R.A355.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.DW.7840.01A.11R.A32Z.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.1497J.0726.SM.5Q5D1
AFF4	450.94	202.66	158.79	438.59	460.44	318.57	224.97	612.11	551.56	503.95	620.67	466.88	660.68	316.37	414.87	591.22	432.53	309.83	808.0	358.54	728.11	358.54	497.0	279.14	480.04	444.72	647.07	759.08	376.41	105.89	796.86	255.0	232.94	241.19	185.11	297.17	316.37	113.56	214.27	251.48	305.55	175.07	171.45	341.51
AHCYL2	1844.76	1044.52	698.41	2351.53	2976.74	1096.5	1369.04	1721.16	2627.46	1427.22	1896.65	1572.76	1733.13	1199.98	2485.67	1896.65	2255.7	1857.6	2796.65	954.43	1950.0	281.09	1397.83	1096.5	2682.69	1127.35	2627.46	2004.85	258.57	633.73	1143.1	237.86	220.32	237.86	209.84	165.57	1015.93	197.09	166.73	138.1	242.88	111.21	152.28	78.34
AIMP1	819.3	836.53	441.64	1143.1	743.43	796.86	703.28	1369.04	872.1	791.35	884.29	1088.92	981.29	733.19	748.61	921.88	743.43	688.78	1159.07	759.08	1259.69	764.36	974.5	629.35	967.76	743.43	1369.04	1151.06	743.43	665.29	1167.14	629.35	660.68	567.1	457.25	563.18	988.12	187.71	348.71	693.58	638.15	201.25	890.44	688.78
ALG2	674.59	1135.2	435.55	1477.58	1159.07	1331.57	1143.1	1340.84	1561.89	1286.18	1369.04	1378.57	1662.49	1561.89	1561.89	1447.15	1340.84	1159.07	1457.23	1066.48	1175.27	728.11	450.94	1437.15	1259.69	551.56	1794.29	1561.89	1081.39	842.36	1397.83	503.95	514.56	525.39	547.75	366.09	1066.48	785.88	872.1	633.73	480.04	723.08	500.46	571.05
ANKMY2	780.44	420.68	269.6	688.78	529.06	563.18	947.83	759.08	802.41	559.28	555.41	728.11	575.03	480.04	559.28	647.07	674.59	406.31	1081.39	412.0	595.34	698.41	669.92	409.15	480.04	656.11	941.27	1008.9	379.04	353.59	1313.23	493.56	397.93	348.71	454.09	221.86	595.34	147.06	301.33	339.14	441.64	262.2	199.85	119.26
API5	1037.29	941.27	708.18	1286.18	1175.27	902.89	743.43	1529.73	1540.37	1037.29	1477.58	1359.57	1572.76	995.0	1295.13	1397.83	1378.57	785.88	1733.13	902.89	1572.76	1059.11	2178.83	1015.93	1477.58	1191.69	1191.69	1605.83	775.05	738.29	1551.09	555.41	579.04	559.28	603.67	616.37	1088.92	262.2	679.29	476.71	536.45	521.76	567.1	612.11
APOOL	209.84	102.25	58.71	297.17	208.38	87.65	67.12	376.41	329.84	214.27	483.38	232.94	287.01	123.5	186.4	193.01	258.57	52.82	351.14	170.25	444.72	75.64	507.46	85.22	289.02	195.72	231.32	674.59	56.68	103.69	444.72	46.5	36.01	31.22	37.32	55.1	229.72	31.45	23.93	42.41	41.52	23.76	19.53	99.43
ARHGAP5	743.43	825.0	599.49	1304.15	1119.56	890.44	559.28	2178.83	1407.55	1096.5	1407.55	1437.15	1359.57	1135.2	1119.56	1159.07	1350.18	1001.93	1697.45	915.51	1769.57	1151.06	1104.13	733.19	780.44	612.11	1295.13	1617.0	376.41	343.89	1745.2	387.02	336.79	454.09	277.2	406.31	802.41	98.73	209.84	341.51	397.93	147.06	221.86	234.57
ARL1	1806.78	1896.65	1331.57	2502.97	1870.53	1617.0	1685.71	2645.74	2520.38	1806.78	3018.3	2555.58	3039.3	1529.73	2627.46	2997.45	2701.35	2104.58	2915.45	2004.85	2739.08	2018.8	1651.0	2319.15	2855.44	2485.67	4388.98	2573.36	1819.35	2555.58	2627.46	1001.93	1923.14	1397.83	1268.46	1896.65	2193.99	988.12	1733.13	1583.71	1508.65	1407.55	1044.52	684.02
ARL14EP	341.51	444.72	323.03	693.58	224.97	483.38	368.65	842.36	629.35	384.34	503.95	684.02	616.37	521.76	559.28	575.03	532.74	450.94	785.88	432.53	713.11	384.34	915.51	483.38	728.11	329.84	860.08	718.08	371.22	400.71	808.0	166.73	155.5	232.94	178.77	287.01	483.38	78.34	164.42	183.82	175.07	112.77	248.0	183.82
