	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.UY.A9PA.01A.11R.A38B.07	TCGA.YF.AA3M.01A.11R.A42T.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.DK.A1AA.01A.11R.A13Y.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.G2.AA3D.01A.11R.A39I.07	TCGA.LT.A8JT.01A.11R.A36F.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.DK.A6AW.01A.11R.A30C.07	TCGA.XF.AAN2.01A.11R.A42T.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.GD.A2C5.11A.11R.A180.07	TCGA.GD.A3OP.11A.11R.A220.07	TCGA.K4.A54R.11A.11R.A26T.07	TCGA.BH.A1EN.01A.11R.A13Q.07	TCGA.EK.A2RJ.01A.11R.A18M.07	GTEX.ZTPG.1626.SM.5DUX2	GTEX.X4XY.1726.SM.46MVO	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	TCGA.62.A46O.01A.11R.A24H.07	TCGA.35.3615.01A.01R.0946.07	TCGA.86.7955.01A.11R.2187.07	TCGA.49.4486.01A.01R.1206.07	TCGA.38.4631.01A.01R.1755.07	TCGA.73.4677.01A.01R.1206.07	TCGA.62.A471.01A.12R.A24H.07	TCGA.69.8253.01A.11R.2287.07	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3
ANLN	915.51	269.6	301.33	480.04	158.79	525.39	426.57	24.46	31.9	368.65	1015.93	1044.52	164.42	206.94	387.02	125.24	108.9	624.99	180.02	878.17	265.87	457.25	490.14	323.03	314.17	34.51	13.03	432.53	1159.07	173.85	69.52	3.03	21.47	4.66	5.15	1208.34	42.11	713.11	35.0	890.44	55.89	791.35	49.91	417.77	60.39	121.79	78.89	145.02
ASF1B	1208.34	480.04	708.18	165.57	123.5	444.72	878.17	98.04	55.1	206.94	1191.69	1015.93	204.07	551.56	967.76	181.28	400.71	981.29	356.05	748.61	612.11	543.96	748.61	1745.2	368.65	74.06	18.16	231.32	273.37	193.01	97.36	10.0	15.8	8.85	4.43	483.38	65.26	279.14	100.13	529.06	48.87	486.75	52.45	536.45	312.0	358.54	70.51	125.24
ASPM	277.2	146.03	111.21	159.9	63.89	137.14	115.16	12.09	18.7	73.03	189.02	226.54	53.57	67.12	102.97	49.21	73.54	309.83	67.59	248.0	199.85	99.43	127.0	78.34	80.57	10.31	0.37	58.71	153.34	65.26	37.32	2.58	5.11	3.5	1.33	255.0	21.94	122.64	18.03	81.71	18.29	206.94	47.17	69.52	24.46	39.79	14.24	21.94
ATAD2	497.0	248.0	122.64	237.86	124.37	229.72	896.64	51.71	134.3	218.79	559.28	327.56	116.78	123.5	366.09	112.77	170.25	723.08	104.42	656.11	429.54	251.48	283.05	346.29	176.29	87.03	82.29	316.37	269.6	125.24	56.28	54.72	94.67	28.24	47.5	660.68	50.27	305.55	83.45	353.59	93.35	366.09	60.39	334.46	69.52	94.01	65.26	77.25
ATAD5	78.34	37.32	20.71	22.43	6.46	32.36	106.63	8.65	17.38	16.15	58.3	62.56	18.16	21.16	56.28	19.53	26.86	47.17	12.55	53.57	83.45	31.9	28.65	69.03	21.94	7.69	4.94	7.63	30.12	26.67	8.99	1.51	2.94	6.31	1.57	96.68	8.92	43.94	8.85	53.95	5.82	65.26	9.63	38.12	11.73	21.47	9.78	9.2
AURKB	3614.55	607.87	1208.34	1044.52	155.5	1242.34	1819.35	191.67	59.97	575.03	3901.01	796.86	325.29	647.07	813.63	361.04	698.41	1081.39	647.07	1529.73	2193.99	363.56	921.88	1883.54	262.2	65.26	7.4	193.01	503.95	409.15	172.65	13.93	16.75	9.56	7.34	769.69	66.18	529.06	77.25	1259.69	72.01	1447.15	95.34	567.1	249.73	420.68	127.0	273.37
BCL2L12	1073.91	1023.0	1709.26	1697.45	316.37	603.67	988.12	441.64	175.07	660.68	1044.52	373.81	343.89	836.53	836.53	371.22	1008.9	703.28	791.35	890.44	1286.18	665.29	406.31	1388.16	551.56	269.6	341.51	271.48	1277.29	332.14	218.79	356.05	265.87	172.65	229.72	400.71	435.55	529.06	457.25	1844.76	262.2	703.28	441.64	559.28	503.95	547.75	226.54	215.77
BIRC5	1651.0	708.18	967.76	848.22	231.32	507.46	1216.75	69.03	90.77	277.2	2591.27	902.89	135.24	518.15	1268.46	175.07	587.13	1015.93	269.6	1023.0	1437.15	521.76	536.45	1268.46	327.56	40.93	9.48	232.94	518.15	226.54	121.79	17.51	18.97	2.14	8.78	928.3	142.01	780.44	100.83	2520.38	90.14	1467.37	93.35	244.57	591.22	368.65	58.71	142.01
BLM	417.77	218.79	223.41	318.57	15.34	221.86	438.59	65.26	61.68	78.34	262.2	164.42	69.52	157.68	195.72	99.43	190.34	237.86	87.65	161.02	802.41	158.79	111.21	514.56	112.77	27.05	11.55	57.08	107.38	42.71	36.27	4.54	17.13	6.16	5.59	373.81	36.79	105.89	59.97	202.66	49.21	361.04	34.02	145.02	53.19	59.97	30.56	36.27
BRIP1	113.56	40.07	72.01	17.13	16.27	45.53	139.07	5.45	11.3	40.64	107.38	43.32	16.75	36.01	61.68	16.27	29.27	68.55	18.29	115.97	77.25	44.25	28.65	94.01	27.64	11.64	5.59	41.81	30.34	23.93	7.75	8.0	8.85	1.57	7.22	100.13	7.69	53.19	5.41	26.1	7.94	50.98	4.82	60.39	14.56	9.85	3.69	13.52
BUB1	346.29	232.94	316.37	293.07	59.97	348.71	543.96	43.63	37.32	147.06	525.39	547.75	108.9	181.28	361.04	128.79	253.23	334.46	98.04	656.11	1008.9	194.36	480.04	688.78	171.45	29.27	15.68	197.09	228.13	110.43	31.22	1.53	10.96	5.11	3.11	775.05	30.78	299.25	22.43	466.88	40.64	406.31	45.53	178.77	102.97	81.71	25.72	81.14
BUB1B	583.07	158.79	226.54	193.01	35.5	303.44	334.46	30.78	35.5	92.05	429.54	325.29	77.79	133.36	172.65	83.45	115.16	373.81	50.63	334.46	454.09	241.19	325.29	450.94	128.79	23.93	7.0	132.44	147.06	126.12	58.3	2.14	10.39	0.37	6.31	954.43	31.67	358.54	21.63	206.94	37.32	567.1	49.91	124.37	48.87	41.52	22.59	67.59
C11orf82	99.43	198.47	158.79	217.27	22.1	165.57	190.34	36.53	39.22	57.08	198.47	81.14	35.0	46.5	106.63	49.21	60.39	101.54	36.01	50.98	218.79	63.0	176.29	150.17	47.5	25.91	37.59	32.82	223.41	66.18	25.54	1.95	18.7	9.48	16.63	132.44	5.77	106.63	6.94	111.99	13.22	116.78	11.64	47.17	51.35	25.35	11.38	9.63
C17orf53	211.31	149.12	136.19	142.01	18.7	123.5	232.94	19.25	19.25	65.72	293.07	195.72	30.34	98.73	114.36	27.44	122.64	146.03	74.58	148.09	111.21	89.51	75.64	232.94	52.45	18.03	18.56	29.06	152.28	40.07	60.82	8.99	3.66	17.25	4.94	215.77	23.76	186.4	27.44	189.02	54.72	173.85	44.57	56.68	17.77	36.01	20.86	37.85
C5orf34	85.22	35.5	92.7	16.88	13.83	26.28	64.34	19.11	14.14	24.28	98.73	41.22	17.51	31.9	61.25	29.7	47.84	48.87	23.08	66.65	51.71	39.79	52.45	38.12	21.78	18.43	4.62	34.75	100.13	18.97	15.22	1.77	8.38	4.74	2.68	132.44	11.04	64.8	14.24	134.3	10.88	140.04	13.62	51.71	13.32	11.13	22.59	12.83
CCNA2	780.44	236.21	392.44	305.55	68.55	361.04	616.37	32.13	62.56	169.07	878.17	599.49	147.06	193.01	547.75	170.25	262.2	638.15	128.79	629.35	518.15	346.29	476.71	769.69	236.21	27.44	9.56	183.82	301.33	199.85	102.97	6.52	6.52	27.64	12.0	591.22	60.82	638.15	52.08	842.36	86.43	579.04	67.59	279.14	260.38	244.57	41.52	154.42
CCNB2	1806.78	1378.57	1950.0	1605.83	108.9	733.19	1268.46	113.56	77.25	325.29	1605.83	1199.98	248.0	493.56	511.0	220.32	493.56	1477.58	420.68	1350.18	1457.23	660.68	896.64	1540.37	536.45	59.13	14.67	309.83	642.59	327.56	180.02	8.45	14.14	7.34	10.16	848.22	110.43	728.11	117.6	688.78	101.54	723.08	164.42	363.56	392.44	269.6	80.57	214.27
CCNF	480.04	143.01	138.1	244.57	44.89	334.46	316.37	111.99	102.97	110.43	454.09	149.12	121.79	162.14	400.71	220.32	159.9	376.41	92.05	191.67	571.05	148.09	190.34	559.28	128.79	64.8	65.72	84.04	132.44	115.16	65.72	5.45	12.09	7.11	6.52	187.71	48.87	265.87	53.95	209.84	61.25	144.01	46.5	318.57	21.16	85.22	18.29	59.55
CDC25A	392.44	82.29	140.04	169.07	17.0	78.89	118.43	16.88	29.7	64.34	144.01	267.73	50.98	51.71	145.02	51.71	131.51	128.79	64.8	173.85	248.0	95.34	79.45	248.0	34.26	29.48	14.24	99.43	121.79	60.82	19.82	3.69	5.5	2.68	6.41	139.07	5.96	74.58	10.0	115.97	9.56	83.45	5.96	117.6	34.75	45.53	29.27	20.11
CDC25C	497.0	127.0	131.51	62.56	15.8	175.07	194.36	18.56	22.26	34.02	346.29	144.01	36.01	90.14	123.5	36.79	99.43	177.53	65.26	201.25	299.25	79.45	153.34	269.6	50.27	7.28	2.07	71.5	50.27	20.41	15.22	0.0	1.03	0.96	1.16	205.5	27.05	67.12	18.7	142.01	23.08	87.65	31.22	93.35	52.45	72.01	12.55	34.51
CDC45	642.59	182.55	896.64	426.57	50.27	348.71	902.89	77.25	52.82	169.07	728.11	329.84	100.83	647.07	713.11	105.15	341.51	555.41	119.26	295.11	579.04	420.68	318.57	915.51	87.03	31.45	3.5	251.48	271.48	146.03	59.13	3.35	10.79	18.03	6.73	2271.4	31.45	429.54	53.95	813.63	24.99	819.3	26.28	312.0	98.73	170.25	34.26	66.18
CDC7	435.55	100.13	185.11	88.88	46.5	57.89	229.72	25.17	56.28	60.82	206.94	126.12	55.49	47.17	113.56	87.65	90.77	164.42	89.51	209.84	161.02	94.01	194.36	112.77	167.9	18.16	16.15	38.67	201.25	92.7	40.64	4.46	8.71	8.58	2.48	563.18	55.89	186.4	23.93	96.68	19.11	141.02	52.08	63.0	39.5	19.53	29.91	14.78
CDCA2	387.02	169.07	114.36	66.18	22.59	82.87	155.5	8.58	15.0	47.17	493.56	194.36	51.71	33.06	96.68	15.34	51.71	187.71	87.03	173.85	176.29	69.52	105.89	275.28	24.99	10.96	8.0	56.68	136.19	44.89	26.1	1.01	2.34	2.18	1.57	118.43	14.56	161.02	11.64	73.03	26.1	161.02	24.81	92.7	32.59	32.59	10.88	20.26
CDCA3	1259.69	775.05	679.29	748.61	134.3	796.86	981.29	102.97	58.3	426.57	1806.78	665.29	156.59	802.41	503.95	217.27	414.87	1023.0	414.87	848.22	1159.07	660.68	490.14	1175.27	181.28	55.49	12.74	165.57	669.92	236.21	171.45	7.4	3.63	10.39	3.5	1151.06	73.03	629.35	98.73	872.1	77.25	1030.12	78.34	607.87	293.07	420.68	158.79	265.87
CDCA5	703.28	521.76	447.82	780.44	84.04	273.37	532.74	46.18	43.63	208.38	1733.13	529.06	81.14	253.23	921.88	135.24	232.94	454.09	145.02	595.34	1119.56	239.52	329.84	902.89	76.71	31.45	10.24	190.34	603.67	156.59	84.04	12.27	13.83	6.46	11.47	470.14	54.72	339.14	41.22	848.22	48.18	718.08	43.63	205.5	96.68	117.6	57.08	106.63
