	TCGA.ZF.A9RD.01A.11R.A42T.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.DS.A1OD.01A.11R.A14Y.07	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.VS.A8Q9.01A.12R.A37O.07	TCGA.Q1.A6DV.01A.11R.A32P.07	TCGA.C5.A1M5.01A.11R.A13Y.07	TCGA.ZJ.AAXF.01A.31R.A42T.07	TCGA.DS.A0VN.01A.21R.A10U.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.C5.A1MH.01A.11R.A14Y.07	TCGA.LP.A4AU.01A.32R.A32Y.07	TCGA.VS.A9V3.01A.11R.A42T.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A1BJ.01A.11R.A13Y.07	TCGA.BI.A0VR.01A.11R.A10U.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.BB.4227.01A.01R.1873.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.BB.A6UM.01A.12R.A34R.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.94.8490.01A.11R.2326.07	TCGA.NK.A5D1.01A.11R.A26W.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
B3GNTL1	145.02	112.77	60.39	171.45	69.03	144.01	205.5	493.56	169.07	90.14	119.26	185.11	116.78	88.26	279.14	205.5	78.89	105.15	204.07	115.16	167.9	147.06	195.72	166.73	120.1	54.72	55.49	36.79	94.67	56.28	64.8	147.06	67.12	50.98	111.99	55.1	37.59	67.12	53.95	30.34	106.63	72.52	190.34	48.52	100.13	75.11	56.68	49.91	54.72	52.45	87.03	27.84	57.08	43.94	94.01	85.82	47.5	65.72	53.57	47.17	96.01	42.71	55.1	52.82	77.79	57.89	45.53	35.5	51.35	209.84	152.28	53.57	22.59
BANP	136.19	269.6	228.13	127.0	201.25	267.73	299.25	403.5	246.28	248.0	242.88	169.07	267.73	356.05	470.14	363.56	447.82	348.71	307.69	287.01	221.86	255.0	351.14	244.57	529.06	172.65	176.29	122.64	211.31	173.85	145.02	244.57	199.85	169.07	198.47	191.67	104.42	170.25	236.21	111.99	139.07	114.36	199.85	154.42	218.79	155.5	194.36	122.64	147.06	146.03	83.45	163.28	173.85	177.53	208.38	106.63	215.77	101.54	161.02	187.71	223.41	93.35	217.27	175.07	248.0	193.01	255.0	205.5	115.16	242.88	279.14	199.85	162.14
BLM	194.36	183.82	180.02	120.1	120.94	356.05	199.85	483.38	236.21	303.44	135.24	237.86	273.37	161.02	264.03	146.03	218.79	285.03	212.78	212.78	297.17	314.17	214.27	167.9	199.85	45.53	96.68	56.28	103.69	70.51	109.66	187.71	52.08	75.64	172.65	170.25	81.71	66.65	62.56	32.13	87.03	93.35	39.79	142.01	96.01	58.71	135.24	63.45	71.0	75.11	129.69	55.49	128.79	99.43	105.15	109.66	140.04	133.36	110.43	127.89	115.16	45.85	86.43	152.28	273.37	114.36	56.68	69.03	39.5	226.54	301.33	45.85	17.64
BRD8	429.54	1111.82	232.94	638.15	470.14	733.19	1437.15	2895.31	1135.2	1066.48	836.53	759.08	612.11	529.06	748.61	836.53	848.22	928.3	518.15	642.59	981.29	988.12	2520.38	775.05	1467.37	152.28	476.71	246.28	432.53	291.04	373.81	392.44	256.78	312.0	660.68	376.41	361.04	532.74	343.89	423.61	511.0	500.46	480.04	309.83	327.56	392.44	368.65	239.52	260.38	476.71	329.84	251.48	480.04	420.68	395.18	395.18	490.14	336.79	320.8	329.84	525.39	153.34	466.88	409.15	780.44	397.93	376.41	379.04	320.8	346.29	1733.13	205.5	275.28
BRICD5	78.89	15.68	108.14	20.71	29.06	275.28	246.28	366.09	384.34	133.36	412.0	71.0	115.16	229.72	211.31	241.19	281.09	133.36	114.36	141.02	486.75	115.97	221.86	79.45	115.16	2.41	6.31	1.0	76.17	5.82	4.54	34.51	1.51	44.89	57.49	3.76	17.25	23.76	35.76	102.25	69.52	24.46	206.94	9.78	10.71	17.51	34.02	24.99	6.84	20.71	13.32	15.91	91.41	16.75	10.08	22.43	2.53	7.28	18.7	36.79	139.07	5.36	61.68	37.59	136.19	25.35	26.86	10.31	21.47	157.68	232.94	36.79	14.03
BUD13	256.78	237.86	175.07	500.46	218.79	441.64	343.89	281.09	587.13	329.84	414.87	420.68	450.94	325.29	258.57	363.56	320.8	420.68	265.87	327.56	444.72	379.04	368.65	423.61	339.14	180.02	287.01	186.4	281.09	226.54	253.23	231.32	144.01	242.88	153.34	149.12	190.34	260.38	264.03	163.28	187.71	228.13	281.09	297.17	297.17	248.0	189.02	255.0	269.6	201.25	185.11	190.34	293.07	376.41	267.73	191.67	155.5	244.57	246.28	299.25	212.78	194.36	260.38	277.2	262.2	198.47	255.0	253.23	273.37	454.09	441.64	156.59	293.07
C10orf137	198.47	215.77	206.94	127.89	136.19	353.59	320.8	336.79	507.46	332.14	291.04	277.2	327.56	275.28	316.37	403.5	291.04	275.28	318.57	318.57	376.41	336.79	518.15	295.11	409.15	170.25	148.09	103.69	212.78	103.69	89.51	183.82	69.03	149.12	186.4	129.69	88.88	175.07	158.79	115.97	198.47	151.22	125.24	106.63	91.41	136.19	178.77	189.02	164.42	204.07	149.12	82.29	229.72	187.71	154.42	144.01	129.69	123.5	189.02	167.9	112.77	75.11	220.32	153.34	269.6	159.9	162.14	142.01	115.16	248.0	507.46	66.65	112.77
C16orf59	258.57	143.01	255.0	223.41	193.01	444.72	281.09	698.41	384.34	301.33	511.0	392.44	444.72	348.71	279.14	267.73	629.35	329.84	318.57	285.03	435.55	303.44	486.75	426.57	633.73	25.35	94.67	47.5	81.14	78.34	48.18	211.31	25.35	69.52	197.09	180.02	75.64	113.56	76.71	40.64	157.68	65.72	78.89	74.58	109.66	92.7	148.09	73.54	44.25	105.89	163.28	52.08	105.15	138.1	47.17	197.09	92.7	112.77	118.43	119.26	246.28	25.72	106.63	99.43	460.44	126.12	96.68	109.66	50.98	457.25	753.83	45.53	7.51
C21orf59	575.03	1359.57	921.88	559.28	463.65	1359.57	1037.29	507.46	1832.01	872.1	1167.14	921.88	988.12	1757.34	1498.22	1225.22	728.11	802.41	890.44	902.89	1617.0	1059.11	1191.69	1159.07	890.44	493.56	493.56	684.02	813.63	775.05	656.11	1015.93	480.04	688.78	708.18	884.29	698.41	713.11	647.07	457.25	616.37	620.67	1151.06	633.73	854.13	612.11	674.59	802.41	759.08	802.41	1233.75	540.19	785.88	409.15	575.03	507.46	400.71	802.41	738.29	599.49	1183.45	497.0	563.18	796.86	1030.12	555.41	607.87	748.61	1175.27	1304.15	688.78	1295.13	769.69
C4orf21	45.53	62.12	36.79	81.14	72.52	253.23	153.34	363.56	265.87	202.66	126.12	116.78	181.28	95.34	60.82	165.57	212.78	76.17	199.85	147.06	111.21	94.01	547.75	118.43	346.29	12.93	42.41	15.56	54.33	25.35	43.02	63.45	16.75	14.67	53.19	55.1	19.25	42.41	47.84	36.01	54.72	59.55	29.91	30.78	37.59	27.25	55.1	43.94	14.89	55.89	58.71	22.26	58.71	38.12	41.81	31.22	47.84	41.81	33.78	47.5	68.07	11.13	31.9	43.63	132.44	32.82	46.18	28.45	14.14	105.15	249.73	9.7	5.19
CALML4	295.11	198.47	228.13	291.04	135.24	447.82	486.75	981.29	1151.06	579.04	406.31	249.73	819.3	182.55	318.57	255.0	253.23	262.2	397.93	305.55	567.1	275.28	620.67	186.4	460.44	53.57	91.41	39.79	119.26	73.54	46.84	223.41	80.01	105.15	134.3	118.43	67.59	183.82	94.67	96.01	143.01	133.36	139.07	126.12	91.41	68.55	145.02	127.89	84.04	114.36	129.69	53.57	105.15	121.79	103.69	96.01	138.1	63.45	96.68	110.43	169.07	58.71	108.14	128.79	307.69	155.5	75.64	111.21	60.82	438.59	444.72	46.18	121.79
