	TCGA.ZF.A9RD.01A.11R.A42T.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.DS.A1OD.01A.11R.A14Y.07	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.VS.A8Q9.01A.12R.A37O.07	TCGA.Q1.A6DV.01A.11R.A32P.07	TCGA.C5.A1M5.01A.11R.A13Y.07	TCGA.ZJ.AAXF.01A.31R.A42T.07	TCGA.DS.A0VN.01A.21R.A10U.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.C5.A1MH.01A.11R.A14Y.07	TCGA.LP.A4AU.01A.32R.A32Y.07	TCGA.VS.A9V3.01A.11R.A42T.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A1BJ.01A.11R.A13Y.07	TCGA.BI.A0VR.01A.11R.A10U.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.BB.4227.01A.01R.1873.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.BB.A6UM.01A.12R.A34R.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.94.8490.01A.11R.2326.07	TCGA.NK.A5D1.01A.11R.A26W.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
CATSPER2	44.25	77.25	35.76	78.89	68.55	221.86	135.24	98.73	84.04	124.37	127.0	63.45	121.79	13.32	63.89	130.6	34.75	80.57	111.21	116.78	149.12	88.26	264.03	36.53	167.9	23.59	21.78	10.0	63.45	28.24	36.53	67.59	12.64	24.28	59.13	29.27	13.52	83.45	65.72	76.17	46.84	89.51	80.57	12.18	29.7	33.3	65.72	23.25	43.02	74.58	27.25	20.11	33.06	29.7	47.17	30.78	5.68	5.45	19.68	19.97	42.41	28.04	100.13	22.1	102.97	65.26	24.11	58.3	2.58	59.55	211.31	57.08	16.75
CCAR1	785.88	1369.04	941.27	830.75	703.28	1199.98	1008.9	1639.59	1417.35	1295.13	878.17	1369.04	1111.82	941.27	1350.18	1023.0	860.08	1135.2	1304.15	1096.5	1159.07	1709.26	1183.45	1008.9	1127.35	305.55	703.28	642.59	1066.48	872.1	825.0	1008.9	497.0	575.03	934.76	723.08	559.28	860.08	961.07	688.78	733.19	961.07	1081.39	854.13	642.59	518.15	743.43	1066.48	934.76	825.0	1073.91	500.46	967.76	753.83	764.36	813.63	842.36	540.19	753.83	988.12	1340.84	624.99	878.17	748.61	656.11	796.86	728.11	728.11	679.29	981.29	1447.15	441.64	624.99
CCDC150	45.53	55.1	38.95	49.21	63.45	181.28	85.82	171.45	236.21	143.01	115.97	85.22	91.41	108.14	202.66	80.01	145.02	100.83	154.42	63.45	182.55	115.97	409.15	58.3	480.04	3.06	15.56	6.94	50.27	21.47	22.43	50.63	5.96	16.75	63.45	26.28	20.41	29.27	16.27	29.7	36.53	68.07	19.82	33.54	2.81	15.11	22.92	19.82	28.45	40.64	53.95	18.43	59.13	16.51	32.13	17.25	26.67	14.89	18.43	14.03	34.02	6.31	21.47	34.02	102.97	46.84	14.67	18.84	7.46	74.06	182.55	18.56	2.32
CCDC57	514.56	397.93	287.01	341.51	223.41	961.07	612.11	3060.45	2255.7	764.36	830.75	476.71	934.76	567.1	1127.35	612.11	293.07	387.02	660.68	518.15	1242.34	529.06	941.27	708.18	579.04	87.65	285.03	102.25	314.17	73.54	242.88	316.37	185.11	267.73	764.36	256.78	255.0	171.45	253.23	176.29	457.25	267.73	1757.34	244.57	540.19	226.54	329.84	316.37	156.59	241.19	409.15	122.64	323.03	241.19	343.89	149.12	334.46	287.01	309.83	438.59	669.92	172.65	271.48	176.29	674.59	291.04	285.03	262.2	356.05	1322.37	995.0	194.36	389.72
CCDC77	171.45	476.71	129.69	117.6	143.01	1096.5	183.82	346.29	223.41	277.2	226.54	255.0	260.38	283.05	206.94	220.32	271.48	373.81	279.14	242.88	193.01	457.25	438.59	454.09	559.28	149.12	125.24	60.82	177.53	162.14	169.07	68.07	72.52	91.41	232.94	122.64	134.3	98.04	143.01	65.72	128.79	88.88	100.83	147.06	147.06	130.6	156.59	94.01	47.84	144.01	110.43	74.06	156.59	154.42	103.69	158.79	147.06	130.6	176.29	111.99	157.68	65.72	138.1	127.89	312.0	123.5	147.06	111.21	152.28	318.57	397.93	73.03	61.68
CDCA3	1397.83	1183.45	854.13	466.88	318.57	3212.66	947.83	890.44	1225.22	1023.0	791.35	1417.35	599.49	1066.48	860.08	947.83	1259.69	1191.69	1023.0	693.58	947.83	1119.56	2367.9	1674.06	1605.83	220.32	470.14	236.21	457.25	316.37	743.43	647.07	283.05	277.2	791.35	693.58	432.53	246.28	432.53	97.36	638.15	303.44	202.66	351.14	454.09	260.38	473.41	262.2	199.85	346.29	450.94	246.28	500.46	480.04	212.78	493.56	500.46	529.06	514.56	309.83	679.29	136.19	190.34	616.37	842.36	289.02	303.44	348.71	107.38	967.76	2240.11	221.86	161.02
CDK3	110.43	76.17	93.35	105.15	100.83	466.88	435.55	423.61	316.37	275.28	327.56	127.89	258.57	122.64	262.2	209.84	220.32	122.64	169.07	183.82	158.79	119.26	194.36	116.78	178.77	9.63	17.13	19.97	141.02	18.97	31.67	75.64	16.51	35.0	77.25	16.51	20.26	55.89	69.52	69.52	127.0	42.11	193.01	24.11	44.25	22.92	71.0	59.97	26.1	65.72	37.05	14.78	58.71	20.11	33.3	54.33	34.51	24.11	24.63	39.79	87.03	25.72	41.22	19.68	241.19	84.04	29.7	24.81	19.68	253.23	373.81	22.92	3.2
CDT1	339.14	928.3	454.09	287.01	1030.12	555.41	780.44	764.36	620.67	1159.07	607.87	769.69	543.96	791.35	371.22	775.05	915.51	1073.91	514.56	603.67	473.41	529.06	518.15	540.19	1359.57	93.35	325.29	137.14	154.42	100.83	211.31	269.6	190.34	148.09	497.0	486.75	177.53	149.12	223.41	40.36	208.38	332.14	167.9	277.2	189.02	155.5	325.29	94.67	84.04	218.79	229.72	159.9	206.94	460.44	144.01	215.77	293.07	376.41	148.09	202.66	325.29	133.36	212.78	361.04	830.75	303.44	209.84	148.09	108.14	341.51	660.68	212.78	49.21
CFDP1	2682.69	2119.22	1277.29	684.02	1340.84	2240.11	1991.0	1104.13	2209.26	2384.37	1397.83	2417.67	2664.15	1936.53	808.0	1388.16	1199.98	1733.13	2018.8	2255.7	1096.5	2061.24	1369.04	1111.82	1757.34	1427.22	802.41	718.08	1088.92	1037.29	764.36	1498.22	941.27	769.69	1896.65	1001.93	638.15	796.86	1378.57	563.18	1605.83	698.41	1250.98	884.29	1143.1	813.63	1397.83	1030.12	743.43	848.22	1331.57	934.76	896.64	890.44	738.29	1030.12	1127.35	915.51	1119.56	718.08	2367.9	848.22	738.29	842.36	1427.22	1407.55	825.0	921.88	1066.48	2004.85	3847.29	1208.34	575.03
CHEK1	265.87	297.17	201.25	559.28	785.88	555.41	303.44	368.65	1008.9	400.71	400.71	591.22	511.0	429.54	432.53	571.05	748.61	612.11	371.22	414.87	583.07	555.41	450.94	796.86	583.07	205.5	454.09	206.94	301.33	204.07	406.31	199.85	199.85	149.12	237.86	379.04	157.68	255.0	285.03	81.14	149.12	251.48	185.11	638.15	293.07	187.71	241.19	169.07	127.0	267.73	186.4	195.72	540.19	521.76	197.09	327.56	226.54	264.03	454.09	307.69	226.54	239.52	299.25	332.14	291.04	314.17	237.86	253.23	115.97	376.41	473.41	125.24	35.5
CHTF18	791.35	325.29	473.41	629.35	351.14	1685.71	1044.52	1073.91	813.63	1044.52	1639.59	1359.57	1242.34	954.43	791.35	591.22	1369.04	1151.06	764.36	651.58	1295.13	941.27	1781.89	624.99	1388.16	88.26	214.27	185.11	314.17	139.07	299.25	373.81	129.69	189.02	480.04	825.0	100.13	221.86	190.34	148.09	318.57	182.55	473.41	429.54	231.32	246.28	466.88	283.05	248.0	277.2	620.67	185.11	215.77	293.07	220.32	414.87	191.67	253.23	309.83	211.31	525.39	158.79	209.84	316.37	791.35	348.71	130.6	214.27	90.14	802.41	1519.15	111.21	14.45
CLASRP	559.28	836.53	825.0	738.29	693.58	4066.71	1051.79	5147.73	1304.15	1519.15	1467.37	1143.1	1286.18	1143.1	1127.35	1350.18	1167.14	1322.37	1268.46	1151.06	2255.7	1059.11	3325.99	1397.83	2133.97	170.25	279.14	327.56	995.0	426.57	346.29	753.83	232.94	406.31	813.63	403.5	318.57	785.88	559.28	854.13	713.11	708.18	1225.22	497.0	587.13	334.46	567.1	616.37	713.11	599.49	896.64	414.87	769.69	629.35	476.71	441.64	507.46	511.0	293.07	409.15	830.75	329.84	303.44	738.29	941.27	703.28	373.81	395.18	346.29	890.44	2255.7	339.14	620.67
COQ9	1417.35	1191.69	860.08	1781.89	1250.98	1111.82	1605.83	2434.5	1268.46	1427.22	1757.34	1388.16	1519.15	1175.27	1583.71	884.29	954.43	1159.07	1350.18	1096.5	1594.73	1447.15	1572.76	684.02	1167.14	638.15	961.07	607.87	1135.2	753.83	718.08	1199.98	575.03	1519.15	1051.79	1015.93	896.64	1304.15	1447.15	595.34	1233.75	1023.0	3665.02	866.07	713.11	921.88	896.64	836.53	660.68	909.17	1081.39	679.29	775.05	759.08	579.04	1167.14	995.0	808.0	921.88	866.07	1350.18	536.45	890.44	902.89	1457.23	1023.0	896.64	981.29	1216.75	1388.16	1896.65	1457.23	679.29
CPSF1	1407.55	819.3	1199.98	2573.36	954.43	4512.4	1909.85	3768.09	2400.97	3443.31	2451.44	2240.11	2573.36	1844.76	2520.38	2271.4	3303.0	2758.13	1628.26	2209.26	3794.3	2701.35	3168.41	1844.76	2816.11	941.27	1127.35	708.18	2047.0	836.53	1277.29	1540.37	1001.93	1167.14	1583.71	2537.92	647.07	954.43	1628.26	1794.29	2701.35	961.07	1662.49	1183.45	785.88	1037.29	1697.45	1844.76	1331.57	1963.57	2163.77	1819.35	1277.29	1745.2	1151.06	974.5	1417.35	1268.46	1242.34	1467.37	2271.4	769.69	848.22	1331.57	1870.53	1781.89	1250.98	1594.73	674.59	2075.59	3847.29	583.07	808.0
CTD-2369P2.10	11.21	10.39	10.96	11.82	1.41	10.31	18.43	60.82	24.99	17.0	32.13	13.93	12.36	10.63	22.92	7.11	27.25	9.48	11.04	13.93	11.64	16.15	33.06	15.0	31.9	4.28	3.56	2.58	12.93	5.45	6.57	3.26	5.96	2.36	11.55	7.34	3.03	8.45	8.65	3.99	10.08	6.78	17.0	3.06	3.92	5.96	13.22	5.23	4.62	8.38	10.96	7.11	7.0	4.66	3.5	4.46	6.67	5.11	5.19	6.94	14.67	2.2	4.62	8.06	12.36	7.57	3.82	8.58	3.14	13.93	18.84	6.73	2.92
DDX11	256.78	988.12	387.02	208.38	255.0	2193.99	334.46	2434.5	1551.09	1104.13	1628.26	860.08	796.86	848.22	848.22	872.1	713.11	902.89	1051.79	693.58	995.0	693.58	3491.39	842.36	1331.57	153.34	167.9	86.43	486.75	283.05	348.71	279.14	124.37	171.45	432.53	267.73	269.6	371.22	195.72	90.77	271.48	234.57	665.29	366.09	143.01	140.04	275.28	327.56	144.01	361.04	249.73	94.67	209.84	244.57	307.69	314.17	277.2	305.55	293.07	234.57	426.57	63.0	187.71	258.57	518.15	358.54	289.02	172.65	120.1	753.83	1437.15	299.25	206.94
DHODH	185.11	171.45	108.14	100.83	82.29	138.1	202.66	145.02	228.13	158.79	237.86	191.67	120.94	228.13	156.59	194.36	204.07	165.57	237.86	177.53	175.07	201.25	264.03	194.36	271.48	93.35	146.03	92.7	113.56	118.43	125.24	176.29	51.71	92.05	197.09	151.22	85.82	156.59	155.5	39.5	201.25	105.89	134.3	132.44	234.57	142.01	91.41	98.04	108.9	106.63	169.07	83.45	137.14	130.6	59.55	170.25	128.79	95.34	91.41	166.73	104.42	65.72	62.56	115.16	156.59	176.29	71.5	100.83	111.99	285.03	346.29	127.0	120.1
DHRS13	316.37	123.5	190.34	412.0	647.07	283.05	1242.34	397.93	684.02	679.29	299.25	190.34	532.74	255.0	191.67	532.74	583.07	260.38	384.34	595.34	285.03	241.19	1037.29	444.72	466.88	111.99	264.03	165.57	180.02	144.01	103.69	241.19	73.54	229.72	221.86	265.87	141.02	165.57	121.79	99.43	220.32	172.65	555.41	181.28	156.59	162.14	124.37	80.57	141.02	167.9	111.99	164.42	273.37	171.45	129.69	161.02	167.9	224.97	108.14	139.07	251.48	114.36	70.01	127.89	414.87	277.2	82.29	182.55	85.22	466.88	2148.82	66.65	334.46
DNASE1	101.54	102.97	171.45	84.04	368.65	403.5	279.14	283.05	262.2	157.68	384.34	211.31	165.57	293.07	271.48	420.68	241.19	220.32	155.5	135.24	273.37	224.97	368.65	129.69	220.32	21.01	82.87	48.18	122.64	52.08	76.71	104.42	51.35	59.13	96.68	84.63	171.45	122.64	103.69	129.69	186.4	48.87	264.03	47.84	105.15	137.14	151.22	53.95	78.34	167.9	100.13	44.25	103.69	29.06	96.68	139.07	77.79	82.29	49.91	106.63	297.17	81.71	75.11	91.41	209.84	90.77	133.36	100.13	72.52	180.02	283.05	151.22	78.89
DND1	2.84	3.92	1.89	1.53	4.9	3.5	13.03	21.16	6.62	4.17	9.34	1.99	5.54	10.16	6.21	4.5	4.86	8.85	7.34	6.21	7.28	3.5	14.89	2.97	13.62	0.0	2.58	1.71	5.15	0.0	0.62	4.28	2.53	3.89	2.84	0.0	1.69	3.69	4.28	6.73	2.81	3.86	8.65	5.36	2.16	1.71	1.87	1.97	2.53	4.54	2.16	1.48	2.32	3.76	1.69	9.63	1.1	2.18	0.0	1.45	7.06	3.92	2.32	3.76	5.68	5.82	2.58	1.58	0.0	1.58	1.73	0.0	1.0
DSCC1	129.69	95.34	116.78	123.5	111.99	185.11	199.85	223.41	234.57	463.65	166.73	143.01	57.08	267.73	161.02	223.41	356.05	177.53	169.07	199.85	97.36	198.47	133.36	314.17	262.2	65.72	76.17	43.32	105.15	96.01	102.25	120.1	44.89	45.21	180.02	258.57	37.05	86.43	104.42	10.39	149.12	57.89	38.4	80.57	124.37	64.34	102.97	78.89	30.56	103.69	91.41	66.65	96.68	111.21	55.1	74.58	87.65	54.72	116.78	76.17	68.55	15.68	66.18	61.25	167.9	105.89	65.72	63.89	62.56	115.97	145.02	35.76	31.9
DTNB	348.71	480.04	169.07	251.48	447.82	575.03	620.67	255.0	435.55	343.89	305.55	371.22	384.34	438.59	343.89	633.73	543.96	571.05	289.02	547.75	291.04	463.65	595.34	620.67	327.56	237.86	248.0	159.9	201.25	241.19	173.85	175.07	119.26	224.97	279.14	341.51	251.48	217.27	116.78	366.09	229.72	309.83	860.08	329.84	417.77	205.5	198.47	269.6	348.71	262.2	256.78	176.29	255.0	237.86	251.48	195.72	218.79	152.28	145.02	190.34	199.85	320.8	189.02	265.87	336.79	353.59	204.07	198.47	242.88	351.14	633.73	150.17	314.17
EDC4	1417.35	954.43	848.22	2875.3	400.71	1051.79	1437.15	1651.0	961.07	872.1	1233.75	1073.91	1088.92	934.76	825.0	1104.13	791.35	947.83	974.5	1037.29	813.63	708.18	1407.55	647.07	1427.22	366.09	603.67	463.65	796.86	412.0	543.96	830.75	579.04	688.78	866.07	665.29	518.15	819.3	1096.5	693.58	1135.2	490.14	954.43	624.99	791.35	583.07	775.05	813.63	559.28	579.04	791.35	665.29	764.36	1008.9	713.11	1096.5	674.59	802.41	693.58	633.73	902.89	406.31	543.96	507.46	1088.92	723.08	748.61	555.41	563.18	1340.84	1651.0	1519.15	791.35
EME1	86.43	187.71	112.77	121.79	100.83	303.44	171.45	567.1	183.82	211.31	181.28	139.07	212.78	134.3	181.28	120.1	185.11	187.71	323.03	116.78	234.57	211.31	363.56	269.6	149.12	14.24	40.64	21.32	63.0	19.25	48.52	187.71	24.81	33.78	111.21	91.41	21.47	38.67	85.82	18.84	100.13	40.36	28.65	45.21	91.41	28.86	61.25	37.59	26.1	58.3	70.01	32.82	50.98	55.1	26.67	105.15	80.01	34.26	51.35	87.03	139.07	28.86	48.52	63.0	208.38	82.87	35.76	35.0	12.45	159.9	563.18	20.11	4.21
ENOSF1	339.14	733.19	529.06	612.11	679.29	1030.12	775.05	1183.45	1397.83	1359.57	1191.69	848.22	1340.84	1030.12	1135.2	967.76	1457.23	1313.23	563.18	688.78	1757.34	1781.89	854.13	764.36	915.51	249.73	480.04	273.37	819.3	460.44	409.15	651.58	256.78	226.54	629.35	723.08	612.11	536.45	454.09	656.11	376.41	620.67	884.29	480.04	679.29	819.3	379.04	397.93	612.11	518.15	656.11	136.19	423.61	106.63	269.6	438.59	503.95	423.61	323.03	195.72	713.11	392.44	299.25	371.22	450.94	423.61	392.44	316.37	389.72	450.94	884.29	136.19	193.01
ERCC3	642.59	813.63	647.07	620.67	426.57	1111.82	785.88	1081.39	934.76	836.53	753.83	473.41	718.08	514.56	748.61	830.75	854.13	819.3	878.17	764.36	679.29	802.41	1617.0	1407.55	1350.18	381.68	518.15	314.17	638.15	414.87	470.14	543.96	353.59	497.0	698.41	507.46	423.61	551.56	896.64	521.76	1081.39	466.88	503.95	473.41	521.76	547.75	555.41	547.75	607.87	555.41	497.0	493.56	587.13	567.1	514.56	620.67	599.49	363.56	521.76	616.37	480.04	438.59	543.96	624.99	629.35	567.1	684.02	435.55	490.14	1313.23	1167.14	363.56	346.29
FAM192A	1909.85	1909.85	1757.34	2303.12	1651.0	2573.36	2193.99	2537.92	2417.67	2664.15	2047.0	1572.76	2997.45	2178.83	2018.8	1639.59	1757.34	2384.37	2018.8	1857.6	1936.53	2835.7	2061.24	1685.71	1697.45	872.1	1388.16	1008.9	1709.26	1313.23	1268.46	1991.0	1111.82	1397.83	1870.53	1551.09	1369.04	1561.89	2739.08	961.07	1857.6	1467.37	2537.92	1037.29	1183.45	1322.37	1685.71	1250.98	947.83	1151.06	1378.57	1304.15	1340.84	1088.92	1183.45	2119.22	1388.16	1233.75	1617.0	1331.57	1991.0	896.64	1322.37	1551.09	2367.9	1617.0	1286.18	1286.18	1143.1	1208.34	2875.3	599.49	633.73
FAM229A	19.68	42.71	25.17	54.72	29.06	101.54	81.71	237.86	181.28	93.35	90.14	77.25	113.56	144.01	115.16	69.03	102.25	38.12	75.64	87.03	65.26	31.45	262.2	53.57	187.71	2.51	9.27	4.06	48.52	7.46	9.34	15.0	7.57	17.0	55.49	28.86	8.06	37.05	43.94	16.63	38.4	28.86	82.87	13.42	9.7	19.25	19.11	41.22	30.56	24.81	39.79	14.35	23.25	11.04	21.16	9.13	14.67	12.45	7.17	14.45	72.52	7.94	20.11	18.16	146.03	17.9	7.17	12.83	14.78	28.65	98.04	3.0	9.78
FAM73B	204.07	267.73	318.57	329.84	679.29	417.77	444.72	819.3	435.55	348.71	547.75	555.41	348.71	441.64	381.68	819.3	693.58	514.56	381.68	341.51	368.65	483.38	624.99	275.28	403.5	178.77	332.14	175.07	307.69	148.09	119.26	141.02	88.88	327.56	183.82	145.02	384.34	406.31	325.29	444.72	253.23	287.01	414.87	171.45	189.02	273.37	316.37	197.09	156.59	249.73	163.28	120.94	271.48	242.88	211.31	269.6	141.02	232.94	152.28	232.94	157.68	126.12	318.57	159.9	497.0	151.22	220.32	361.04	209.84	376.41	567.1	500.46	327.56
FANCA	412.0	791.35	387.02	400.71	429.54	1286.18	860.08	1651.0	1015.93	1081.39	1037.29	769.69	583.07	860.08	830.75	1437.15	674.59	890.44	684.02	616.37	1340.84	967.76	1388.16	156.59	1923.14	87.65	258.57	132.44	291.04	116.78	253.23	339.14	137.14	199.85	339.14	283.05	99.43	253.23	248.0	209.84	197.09	229.72	273.37	234.57	171.45	123.5	312.0	162.14	177.53	193.01	287.01	161.02	346.29	212.78	301.33	256.78	217.27	334.46	156.59	164.42	384.34	69.03	226.54	271.48	669.92	281.09	161.02	142.01	97.36	503.95	1250.98	228.13	39.79
FANCI	579.04	454.09	503.95	368.65	988.12	890.44	825.0	1104.13	995.0	1059.11	547.75	738.29	1233.75	463.65	579.04	921.88	1313.23	660.68	733.19	896.64	780.44	579.04	1286.18	463.65	928.3	193.01	497.0	253.23	303.44	224.97	563.18	403.5	281.09	181.28	660.68	738.29	275.28	392.44	256.78	88.88	486.75	356.05	130.6	473.41	435.55	231.32	426.57	228.13	173.85	241.19	289.02	161.02	497.0	518.15	336.79	511.0	647.07	595.34	371.22	460.44	287.01	134.3	366.09	500.46	890.44	275.28	253.23	223.41	138.1	536.45	1313.23	293.07	128.79
FANCL	599.49	759.08	262.2	463.65	417.77	1277.29	830.75	629.35	1191.69	954.43	708.18	518.15	1216.75	679.29	497.0	1268.46	607.87	669.92	733.19	629.35	961.07	934.76	1111.82	507.46	629.35	163.28	224.97	88.26	291.04	171.45	124.37	339.14	110.43	206.94	563.18	183.82	171.45	178.77	244.57	177.53	353.59	316.37	336.79	197.09	291.04	182.55	297.17	204.07	144.01	289.02	226.54	189.02	221.86	173.85	189.02	228.13	186.4	332.14	126.12	265.87	244.57	111.99	241.19	269.6	616.37	167.9	195.72	226.54	181.28	353.59	785.88	166.73	81.71
FLJ00104	9.2	29.91	24.28	3.72	22.92	44.57	26.86	147.06	52.45	31.45	80.57	33.78	16.03	48.87	40.36	72.01	30.56	42.11	39.5	33.54	72.01	37.32	106.63	22.26	74.58	3.0	19.11	7.17	34.26	10.96	17.9	13.32	4.7	12.74	21.63	13.42	18.84	43.63	19.97	10.71	16.51	17.13	34.75	10.63	9.78	18.7	17.9	11.82	12.83	18.16	6.89	11.04	16.51	15.8	17.38	19.82	9.78	11.91	6.26	8.99	36.01	9.2	16.63	12.55	27.44	20.41	15.68	11.38	8.38	43.02	43.32	10.08	16.27
FOXRED1	295.11	303.44	366.09	638.15	343.89	432.53	329.84	473.41	909.17	521.76	651.58	633.73	780.44	466.88	555.41	713.11	583.07	679.29	356.05	426.57	669.92	813.63	490.14	406.31	438.59	173.85	547.75	297.17	429.54	220.32	226.54	316.37	212.78	480.04	318.57	271.48	265.87	476.71	483.38	273.37	212.78	454.09	825.0	368.65	361.04	423.61	295.11	220.32	348.71	309.83	297.17	178.77	379.04	518.15	348.71	480.04	151.22	172.65	392.44	400.71	395.18	248.0	497.0	373.81	420.68	392.44	299.25	426.57	197.09	507.46	698.41	232.94	149.12
FP15737	73.54	78.34	79.45	51.71	78.34	80.01	275.28	417.77	165.57	237.86	166.73	6.78	94.67	142.01	81.71	299.25	108.9	87.03	181.28	105.89	141.02	94.01	109.66	36.01	152.28	48.52	37.05	32.59	127.89	20.11	77.79	85.22	56.28	50.98	15.34	41.52	39.5	45.53	40.64	146.03	36.27	72.01	124.37	42.71	0.0	62.56	113.56	75.64	42.11	120.94	23.76	11.82	67.12	28.45	59.97	36.79	48.87	90.14	80.01	57.89	64.34	43.02	58.3	61.25	61.25	37.32	17.25	47.5	32.59	69.52	119.26	34.51	205.5
FUS	8658.09	4450.27	5112.16	6079.61	3491.39	9606.86	6607.01	11267.44	9344.14	9344.14	8538.88	12415.75	7589.61	8479.89	5954.47	5791.62	5555.65	4671.57	7749.1	5711.87	7180.15	7180.15	13399.51	6652.97	7803.01	2796.65	3982.99	3515.68	4543.8	4298.64	5041.77	4607.24	2520.38	3955.48	3443.31	5751.61	3515.68	4802.93	3325.99	3419.52	2895.31	3742.05	5219.6	4328.55	3690.52	3419.52	5555.65	3742.05	3820.7	3820.7	7433.4	4704.07	5147.73	4607.24	3349.13	4869.99	3982.99	4836.35	4575.41	5711.87	5791.62	2417.67	3742.05	6207.38	5913.33	3639.7	3955.48	3665.02	2468.49	8598.28	14867.79	2119.22	3212.66
GINS2	693.58	457.25	363.56	177.53	318.57	1208.34	941.27	723.08	718.08	796.86	406.31	703.28	547.75	389.72	241.19	371.22	493.56	441.64	607.87	511.0	444.72	423.61	397.93	612.11	764.36	84.04	131.51	106.63	120.1	107.38	123.5	376.41	80.57	94.67	397.93	356.05	112.77	118.43	237.86	39.79	220.32	132.44	118.43	181.28	293.07	105.15	187.71	115.16	45.21	130.6	307.69	92.7	178.77	152.28	90.77	161.02	215.77	198.47	140.04	204.07	291.04	66.65	139.07	212.78	698.41	193.01	99.43	128.79	74.58	395.18	995.0	100.13	25.35
H2AFX	1001.93	1216.75	1104.13	3168.41	2664.15	3325.99	1709.26	1225.22	2935.74	1225.22	2104.58	2627.46	2119.22	2434.5	1594.73	1583.71	2609.3	2240.11	708.18	1104.13	2875.3	1794.29	2591.27	2720.15	1909.85	379.04	1583.71	575.03	1427.22	769.69	1467.37	1059.11	647.07	961.07	674.59	941.27	808.0	796.86	1709.26	612.11	723.08	642.59	1119.56	1259.69	1073.91	860.08	1066.48	633.73	532.74	1111.82	743.43	423.61	1397.83	2240.11	884.29	406.31	551.56	1540.37	909.17	1037.29	1819.35	559.28	775.05	1709.26	2224.63	791.35	748.61	1143.1	703.28	1709.26	1369.04	2796.65	493.56
HAT1	1617.0	1447.15	1081.39	1030.12	1037.29	1498.22	1519.15	1191.69	1806.78	1844.76	988.12	1427.22	1295.13	1322.37	1001.93	1151.06	2591.27	1639.59	1819.35	1551.09	1088.92	1477.58	1417.35	1286.18	1651.0	890.44	836.53	854.13	928.3	860.08	836.53	890.44	651.58	848.22	1437.15	1051.79	802.41	890.44	830.75	647.07	2148.82	1104.13	540.19	1151.06	785.88	791.35	1008.9	1001.93	884.29	830.75	995.0	1111.82	896.64	1081.39	780.44	1286.18	808.0	819.3	1286.18	1208.34	842.36	603.67	1104.13	674.59	1769.57	748.61	808.0	860.08	928.3	1674.06	1639.59	775.05	1467.37
