	TCGA.EW.A1J5.01A.11R.A13Q.07	TCGA.A8.A08C.01A.11R.A00Z.07	TCGA.A7.A13G.01A.11R.A13Q.07	TCGA.BH.A0DP.01A.21R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.A8.A099.01A.11R.A00Z.07	TCGA.A2.A0YD.01A.11R.A109.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.A2.A0T5.01A.21R.A084.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.BH.A0BD.01A.11R.A034.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A8.A093.01A.11R.A00Z.07	TCGA.BH.A1FL.01A.11R.A13Q.07	TCGA.BH.A1FJ.01A.11R.A13Q.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.E2.A15J.01A.11R.A12P.07	TCGA.E2.A15G.01A.11R.A12D.07	TCGA.E9.A249.01A.11R.A169.07	TCGA.C8.A274.01A.11R.A16F.07	TCGA.BH.A28Q.01A.11R.A16F.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.A1.A0SE.01A.11R.A084.07	TCGA.AR.A1AV.01A.21R.A12P.07	TCGA.OL.A6VQ.01A.12R.A41B.07	TCGA.A2.A0D3.01A.11R.A115.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.AO.A0J8.01A.21R.A034.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.AR.A24P.01A.11R.A169.07	TCGA.B6.A0RP.01A.21R.A084.07	TCGA.AQ.A1H3.01A.31R.A13Q.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.XBED.1126.SM.48TCF	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.PWOO.1026.SM.48TCN	GTEX.XBED.0926.SM.48TCE	GTEX.12WSL.1326.SM.5LZVW	GTEX.14C5O.1726.SM.5RQI9	GTEX.S3XE.0826.SM.4AD4U	GTEX.1211K.1026.SM.5EQ4B	GTEX.QDVJ.0826.SM.48U1S	GTEX.S4Q7.0526.SM.4AD5N	GTEX.O5YT.0726.SM.3MJHA	GTEX.13CF3.1526.SM.5J2NB	GTEX.11EM3.0726.SM.5GZZM	GTEX.145ME.0626.SM.5O99Q	GTEX.RUSQ.0926.SM.47JWU	GTEX.QDVN.1126.SM.48TZ7	GTEX.Q2AH.1026.SM.48TZI	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.DD.A1EA.01A.11R.A131.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.LG.A9QC.01A.11R.A37K.07	TCGA.DD.AACA.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.XR.A8TE.01A.11R.A36F.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.DD.A73E.01A.12R.A32O.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A4NF.01A.11R.A27V.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.AADD.01A.11R.A41C.07	TCGA.EP.A26S.01A.11R.A16W.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.G3.A3CK.01A.11R.A213.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.FV.A4ZQ.01A.11R.A266.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.SJXC.1226.SM.4DM78	GTEX.ZZPU.0426.SM.5GZYH
ABL2	406.31	295.11	204.07	239.52	129.69	281.09	400.71	262.2	208.38	164.42	130.6	316.37	289.02	224.97	236.21	285.03	176.29	191.67	217.27	318.57	198.47	185.11	186.4	251.48	329.84	229.72	232.94	236.21	339.14	281.09	267.73	409.15	169.07	212.78	185.11	348.71	217.27	312.0	258.57	74.06	169.07	400.71	156.59	172.65	136.19	229.72	165.57	114.36	171.45	211.31	144.01	152.28	287.01	161.02	201.25	129.69	98.04	42.11	65.26	130.6	47.17	84.04	47.84	54.33	67.12	84.04	62.56	39.79	96.68	49.21	190.34	58.3	74.58	117.6	102.25	76.17	94.01	75.64	117.6	89.51	96.01	40.93	65.26	98.73	140.04	111.21	30.56	71.0	82.29	111.21	79.45	57.89	88.88	63.89	156.59	66.18	63.45	23.08	29.06
ACBD3	1447.15	1806.78	1617.0	1359.57	1191.69	2209.26	1781.89	1697.45	848.22	775.05	633.73	1794.29	1832.01	1030.12	1697.45	1096.5	1183.45	2537.92	1304.15	1477.58	1175.27	1023.0	1250.98	1977.24	1487.87	1697.45	1331.57	1794.29	1208.34	1487.87	1331.57	2367.9	1407.55	1208.34	1159.07	1407.55	1487.87	1407.55	1977.24	490.14	323.03	397.93	343.89	363.56	406.31	476.71	426.57	363.56	376.41	351.14	463.65	406.31	358.54	351.14	395.18	301.33	314.17	271.48	460.44	802.41	511.0	381.68	441.64	343.89	392.44	507.46	400.71	295.11	473.41	316.37	1015.93	571.05	575.03	480.04	571.05	486.75	507.46	441.64	460.44	486.75	733.19	251.48	363.56	563.18	633.73	521.76	303.44	587.13	426.57	830.75	486.75	547.75	579.04	406.31	791.35	368.65	529.06	177.53	283.05
ADIPOR1	4450.27	4481.23	4512.4	3847.29	3901.01	4869.99	4152.18	3540.14	3372.43	3419.52	3874.05	4010.71	5076.84	2915.45	5076.84	3665.02	3257.52	6207.38	3955.48	3395.89	3665.02	3467.27	3146.52	4328.55	3325.99	3742.05	3690.52	4239.45	2758.13	4450.27	2855.44	4123.49	3280.18	3018.3	3564.78	3847.29	3081.75	4038.61	6294.04	1628.26	1388.16	1498.22	1295.13	1508.65	1369.04	1674.06	1447.15	1437.15	1250.98	1350.18	1378.57	1407.55	1407.55	1322.37	1561.89	1322.37	1304.15	2133.97	2997.45	3639.7	2502.97	2976.74	3081.75	2224.63	2627.46	2384.37	2163.77	1551.09	2485.67	2555.58	3716.2	2178.83	2855.44	2018.8	3168.41	2434.5	2997.45	1769.57	2591.27	2434.5	3589.58	1806.78	2956.17	2720.15	3768.09	2855.44	2976.74	3060.45	2367.9	4066.71	2417.67	2645.74	2777.33	1721.16	4010.71	1417.35	2451.44	1378.57	2133.97
AHCTF1	1066.48	1051.79	753.83	743.43	551.56	1066.48	708.18	738.29	872.1	718.08	503.95	915.51	947.83	460.44	808.0	665.29	748.61	1051.79	698.41	890.44	808.0	684.02	759.08	1023.0	974.5	638.15	791.35	954.43	733.19	796.86	921.88	1529.73	684.02	748.61	665.29	878.17	551.56	830.75	1331.57	438.59	642.59	543.96	503.95	713.11	583.07	583.07	607.87	547.75	536.45	470.14	473.41	500.46	403.5	624.99	669.92	444.72	480.04	285.03	371.22	928.3	547.75	497.0	429.54	343.89	587.13	384.34	371.22	128.79	271.48	373.81	753.83	466.88	392.44	384.34	748.61	346.29	551.56	389.72	403.5	466.88	587.13	348.71	559.28	346.29	651.58	713.11	291.04	688.78	438.59	629.35	457.25	429.54	420.68	220.32	642.59	258.57	271.48	183.82	208.38
ANGEL2	1259.69	1044.52	967.76	791.35	660.68	934.76	1135.2	878.17	775.05	708.18	363.56	785.88	775.05	563.18	941.27	813.63	878.17	1151.06	791.35	1159.07	656.11	748.61	808.0	995.0	1015.93	723.08	656.11	825.0	743.43	1088.92	860.08	2075.59	802.41	723.08	842.36	848.22	884.29	954.43	1167.14	255.0	579.04	314.17	373.81	466.88	381.68	507.46	414.87	318.57	332.14	429.54	429.54	358.54	358.54	536.45	395.18	460.44	381.68	199.85	323.03	603.67	307.69	334.46	395.18	279.14	285.03	301.33	389.72	221.86	281.09	332.14	575.03	297.17	414.87	476.71	595.34	332.14	457.25	397.93	325.29	332.14	429.54	228.13	414.87	379.04	426.57	575.03	226.54	587.13	429.54	426.57	361.04	395.18	414.87	242.88	511.0	301.33	271.48	232.94	215.77
ANKEF1	295.11	181.28	379.04	175.07	220.32	325.29	147.06	182.55	166.73	140.04	116.78	289.02	134.3	167.9	163.28	346.29	164.42	148.09	279.14	194.36	146.03	136.19	198.47	258.57	291.04	198.47	218.79	189.02	144.01	251.48	189.02	620.67	156.59	178.77	217.27	189.02	115.16	128.79	226.54	121.79	24.81	19.68	24.99	22.43	26.86	32.59	30.34	32.13	17.9	17.9	30.34	24.63	5.63	18.16	22.26	27.44	19.39	72.01	35.5	148.09	7.82	54.72	35.0	86.43	19.25	43.32	74.58	63.45	35.25	68.07	71.0	34.51	66.65	43.94	58.3	64.8	151.22	57.49	40.93	80.57	24.99	16.15	24.46	40.07	108.9	59.13	33.06	65.26	67.12	35.5	52.45	69.03	59.55	54.33	101.54	84.63	75.11	33.3	85.22
ARV1	1331.57	1617.0	1794.29	1359.57	1378.57	1819.35	1066.48	1572.76	1313.23	1437.15	830.75	1233.75	1191.69	836.53	1477.58	1208.34	1208.34	2047.0	1487.87	1167.14	1073.91	1081.39	1477.58	1519.15	1037.29	511.0	947.83	1001.93	819.3	1628.26	1037.29	1427.22	1447.15	967.76	1119.56	981.29	1216.75	1143.1	1529.73	366.09	371.22	406.31	473.41	463.65	348.71	241.19	435.55	450.94	363.56	376.41	343.89	336.79	457.25	309.83	332.14	476.71	432.53	708.18	836.53	791.35	563.18	503.95	1242.34	447.82	684.02	285.03	599.49	358.54	511.0	647.07	872.1	463.65	620.67	466.88	796.86	395.18	532.74	660.68	791.35	688.78	543.96	293.07	656.11	769.69	665.29	698.41	559.28	1037.29	647.07	896.64	693.58	769.69	718.08	373.81	743.43	429.54	543.96	316.37	480.04
ASH1L	941.27	1183.45	1023.0	624.99	420.68	1037.29	954.43	848.22	529.06	387.02	262.2	947.83	848.22	429.54	954.43	764.36	902.89	819.3	753.83	1304.15	647.07	703.28	587.13	708.18	934.76	571.05	599.49	902.89	579.04	866.07	890.44	2434.5	693.58	563.18	651.58	1008.9	656.11	896.64	1183.45	283.05	551.56	450.94	429.54	514.56	514.56	334.46	595.34	457.25	400.71	373.81	450.94	376.41	454.09	486.75	660.68	438.59	579.04	70.51	177.53	348.71	126.12	177.53	102.97	153.34	134.3	211.31	173.85	61.25	140.04	142.01	269.6	117.6	185.11	236.21	275.28	201.25	231.32	228.13	164.42	166.73	249.73	68.07	110.43	223.41	392.44	224.97	78.34	178.77	193.01	223.41	161.02	114.36	139.07	102.97	392.44	107.38	108.9	84.04	97.36
ATF6	928.3	1088.92	854.13	713.11	579.04	848.22	842.36	819.3	547.75	403.5	409.15	753.83	775.05	476.71	836.53	665.29	567.1	974.5	775.05	698.41	708.18	607.87	575.03	612.11	825.0	629.35	642.59	1167.14	529.06	802.41	753.83	1467.37	620.67	595.34	718.08	703.28	669.92	713.11	954.43	195.72	387.02	356.05	327.56	392.44	312.0	255.0	409.15	332.14	318.57	387.02	381.68	343.89	334.46	332.14	406.31	334.46	356.05	246.28	339.14	603.67	607.87	403.5	341.51	366.09	297.17	536.45	301.33	232.94	255.0	379.04	679.29	447.82	281.09	303.44	473.41	435.55	329.84	441.64	336.79	483.38	387.02	563.18	371.22	400.71	500.46	373.81	258.57	409.15	397.93	536.45	256.78	277.2	358.54	299.25	830.75	165.57	417.77	187.71	329.84
BCL2L11	620.67	316.37	341.51	363.56	373.81	543.96	381.68	426.57	753.83	293.07	334.46	426.57	764.36	242.88	587.13	490.14	684.02	713.11	353.59	718.08	1044.52	679.29	603.67	309.83	599.49	417.77	281.09	679.29	409.15	500.46	684.02	318.57	384.34	376.41	902.89	603.67	688.78	785.88	269.6	205.5	181.28	187.71	130.6	165.57	120.94	175.07	158.79	193.01	62.56	197.09	118.43	107.38	156.59	106.63	143.01	275.28	115.16	103.69	120.1	228.13	147.06	152.28	92.05	143.01	100.83	283.05	144.01	204.07	102.97	142.01	90.14	96.01	217.27	441.64	189.02	329.84	190.34	154.42	138.1	87.65	187.71	275.28	120.1	115.97	299.25	170.25	146.03	155.5	90.77	139.07	139.07	161.02	149.12	283.05	346.29	161.02	171.45	158.79	187.71
