	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.EW.A424.01A.11R.A24H.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.TMMY.0726.SM.33HBE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13N11.1126.SM.5KM41	GTEX.1117F.2426.SM.5EGGH
AASDHPPT	961.07	356.05	309.83	314.17	674.59	426.57	748.61	267.73	830.75	384.34	323.03	392.44	291.04	438.59	447.82	642.59	406.31	571.05	490.14	660.68	603.67	414.87	265.87	343.89	293.07	529.06	616.37	629.35	224.97	384.34	450.94	629.35	713.11	309.83	733.19	457.25	303.44	567.1	358.54	607.87	511.0	563.18	457.25	141.02	575.03	536.45	718.08	480.04	743.43	392.44	665.29	287.01	941.27	599.49	679.29	669.92	463.65	356.05	612.11	638.15	728.11	633.73	802.41	414.87	830.75	583.07	579.04	738.29	974.5	718.08	473.41	435.55	1936.53	463.65	1088.92	718.08	703.28	688.78	603.67	450.94	409.15	551.56	759.08	954.43	426.57	1073.91	166.73	521.76	490.14	426.57	599.49	1111.82	409.15	154.42	376.41	265.87	229.72	195.72	271.48	232.94	466.88
ACAP2	708.18	189.02	92.05	441.64	229.72	287.01	493.56	169.07	764.36	256.78	113.56	273.37	183.82	312.0	197.09	316.37	323.03	312.0	220.32	283.05	473.41	368.65	191.67	447.82	234.57	253.23	215.77	595.34	99.43	191.67	204.07	406.31	249.73	209.84	356.05	521.76	186.4	239.52	199.85	412.0	153.34	334.46	301.33	94.01	312.0	145.02	540.19	140.04	567.1	242.88	417.77	173.85	651.58	392.44	575.03	460.44	343.89	138.1	293.07	339.14	460.44	486.75	620.67	205.5	607.87	503.95	368.65	500.46	547.75	521.76	521.76	172.65	836.53	432.53	389.72	493.56	559.28	336.79	514.56	336.79	466.88	229.72	450.94	674.59	176.29	483.38	177.53	406.31	181.28	303.44	769.69	688.78	109.66	53.95	89.51	70.01	49.91	52.08	48.87	146.03	260.38
ACTR6	1151.06	341.51	395.18	651.58	599.49	624.99	567.1	571.05	733.19	571.05	497.0	514.56	503.95	1008.9	693.58	854.13	669.92	500.46	423.61	638.15	1104.13	470.14	400.71	607.87	417.77	743.43	563.18	878.17	599.49	587.13	473.41	620.67	825.0	518.15	954.43	417.77	444.72	723.08	688.78	616.37	409.15	733.19	713.11	279.14	698.41	486.75	733.19	543.96	909.17	587.13	723.08	392.44	1295.13	785.88	718.08	1008.9	669.92	373.81	529.06	748.61	1015.93	796.86	1208.34	575.03	1073.91	743.43	679.29	836.53	796.86	620.67	616.37	591.22	1477.58	603.67	981.29	802.41	708.18	1088.92	748.61	848.22	595.34	555.41	791.35	1008.9	1407.55	825.0	441.64	633.73	1081.39	457.25	1051.79	1051.79	316.37	151.22	264.03	305.55	262.2	275.28	178.77	327.56	275.28
ADAM17	376.41	223.41	80.57	389.72	334.46	346.29	301.33	181.28	616.37	265.87	239.52	231.32	212.78	242.88	287.01	301.33	414.87	325.29	246.28	262.2	400.71	265.87	161.02	307.69	363.56	202.66	297.17	314.17	128.79	215.77	423.61	346.29	209.84	269.6	376.41	463.65	336.79	384.34	218.79	529.06	361.04	473.41	314.17	100.83	283.05	139.07	450.94	275.28	514.56	426.57	426.57	198.47	521.76	412.0	490.14	470.14	493.56	172.65	397.93	447.82	406.31	698.41	551.56	314.17	323.03	363.56	638.15	466.88	633.73	279.14	620.67	320.8	307.69	511.0	603.67	236.21	674.59	583.07	466.88	191.67	381.68	285.03	447.82	665.29	164.42	500.46	258.57	325.29	301.33	327.56	336.79	660.68	98.73	124.37	105.89	136.19	19.39	54.33	23.59	281.09	297.17
AKAP11	536.45	153.34	38.12	215.77	151.22	214.27	226.54	186.4	181.28	218.79	71.0	165.57	141.02	236.21	175.07	214.27	277.2	269.6	76.17	205.5	420.68	234.57	76.71	242.88	80.01	169.07	373.81	698.41	60.39	152.28	164.42	339.14	255.0	88.26	320.8	246.28	108.14	185.11	115.97	348.71	92.7	307.69	185.11	40.64	251.48	99.43	563.18	107.38	599.49	189.02	325.29	105.89	665.29	381.68	529.06	514.56	351.14	90.14	303.44	289.02	444.72	426.57	490.14	144.01	703.28	417.77	480.04	698.41	387.02	366.09	361.04	92.05	1183.45	395.18	248.0	493.56	633.73	392.44	376.41	395.18	356.05	220.32	511.0	567.1	120.94	403.5	96.01	514.56	150.17	260.38	848.22	651.58	67.12	38.4	81.14	63.89	30.12	29.06	38.67	166.73	199.85
ANKRD13C	316.37	190.34	90.77	197.09	255.0	191.67	336.79	180.02	361.04	189.02	142.01	249.73	164.42	175.07	165.57	287.01	346.29	206.94	154.42	181.28	329.84	209.84	105.15	191.67	195.72	231.32	189.02	193.01	96.01	189.02	185.11	198.47	190.34	205.5	299.25	255.0	195.72	281.09	215.77	295.11	158.79	234.57	202.66	92.7	191.67	138.1	329.84	132.44	368.65	214.27	309.83	134.3	466.88	285.03	371.22	323.03	264.03	211.31	232.94	239.52	353.59	267.73	438.59	181.28	334.46	332.14	265.87	295.11	339.14	325.29	191.67	194.36	665.29	246.28	473.41	473.41	460.44	267.73	361.04	267.73	253.23	246.28	312.0	457.25	170.25	334.46	129.69	220.32	242.88	172.65	373.81	389.72	101.54	55.1	70.01	60.82	53.95	54.33	48.18	178.77	201.25
AP4E1	189.02	26.1	36.27	63.0	72.52	77.25	99.43	37.05	137.14	66.18	71.5	86.43	57.08	125.24	60.39	67.12	164.42	64.34	67.59	87.65	105.89	79.45	49.21	72.52	32.59	56.28	62.12	105.89	36.79	55.1	64.34	118.43	51.71	87.03	98.73	66.65	38.67	67.12	62.12	100.83	43.63	91.41	85.82	38.12	83.45	54.33	124.37	56.28	134.3	73.03	105.89	50.63	199.85	80.01	143.01	126.12	103.69	48.18	80.01	76.17	143.01	129.69	124.37	52.08	102.97	139.07	166.73	143.01	72.01	91.41	85.82	69.03	234.57	152.28	51.71	108.14	165.57	144.01	59.97	92.05	89.51	86.43	104.42	253.23	34.75	122.64	68.55	74.58	55.49	128.79	143.01	96.68	38.4	14.67	39.5	30.12	31.45	28.45	15.56	171.45	80.01
APPL1	988.12	358.54	158.79	423.61	493.56	457.25	571.05	353.59	698.41	223.41	87.65	305.55	301.33	466.88	363.56	514.56	728.11	483.38	460.44	688.78	759.08	420.68	297.17	387.02	297.17	476.71	358.54	1225.22	221.86	339.14	454.09	521.76	490.14	460.44	665.29	384.34	309.83	490.14	267.73	629.35	271.48	536.45	395.18	138.1	884.29	339.14	915.51	285.03	872.1	403.5	624.99	244.57	1073.91	684.02	698.41	825.0	575.03	251.48	579.04	563.18	842.36	708.18	808.0	323.03	848.22	854.13	743.43	775.05	753.83	633.73	559.28	279.14	1950.0	521.76	854.13	438.59	802.41	796.86	633.73	463.65	507.46	791.35	780.44	902.89	303.44	780.44	239.52	423.61	420.68	463.65	842.36	785.88	152.28	58.3	151.22	127.89	70.01	89.51	44.25	251.48	339.14
ARHGAP5	1119.56	466.88	171.45	529.06	651.58	444.72	624.99	181.28	896.64	500.46	155.5	607.87	371.22	587.13	454.09	567.1	503.95	718.08	366.09	406.31	1487.87	206.94	291.04	1023.0	356.05	466.88	571.05	1540.37	96.01	406.31	420.68	703.28	941.27	251.48	842.36	723.08	283.05	688.78	356.05	961.07	312.0	934.76	381.68	84.63	872.1	353.59	1697.45	341.51	1794.29	733.19	1015.93	269.6	2148.82	1127.35	1572.76	1605.83	1250.98	316.37	947.83	988.12	1397.83	1487.87	1781.89	536.45	1662.49	1991.0	1151.06	1388.16	2119.22	1143.1	1242.34	470.14	2090.03	718.08	1963.57	1457.23	1923.14	1551.09	1023.0	679.29	688.78	1104.13	1397.83	1437.15	543.96	2875.3	269.6	1250.98	775.05	802.41	1304.15	1685.71	277.2	98.73	209.84	147.06	144.01	104.42	96.01	348.71	540.19
ARIH1	909.17	480.04	248.0	400.71	493.56	651.58	536.45	334.46	753.83	336.79	414.87	567.1	420.68	813.63	476.71	579.04	718.08	423.61	406.31	748.61	684.02	830.75	381.68	521.76	825.0	403.5	497.0	1066.48	336.79	490.14	543.96	595.34	320.8	536.45	860.08	525.39	567.1	802.41	480.04	785.88	384.34	532.74	525.39	366.09	728.11	314.17	909.17	525.39	915.51	607.87	674.59	392.44	1295.13	890.44	1015.93	902.89	743.43	555.41	791.35	651.58	1081.39	1066.48	1216.75	616.37	1044.52	1044.52	743.43	669.92	836.53	860.08	1073.91	414.87	1447.15	796.86	1135.2	909.17	1001.93	954.43	1369.04	559.28	902.89	743.43	878.17	1051.79	307.69	941.27	423.61	1059.11	450.94	753.83	954.43	1233.75	209.84	115.16	256.78	244.57	521.76	277.2	154.42	536.45	825.0
