	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.EJ.5518.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.ZG.A9LY.01A.11R.A41O.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.TP.A8TT.01A.12R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.FC.7708.01A.11R.2118.07	TCGA.HC.7818.01A.11R.2118.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.A76X.01A.11R.A33R.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.KK.A7AP.01A.12R.A33R.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07
ABCC9	159.9	20.11	8.0	49.21	12.09	175.07	6.52	106.63	4.54	152.28	38.95	20.11	44.57	151.22	77.79	115.16	13.22	39.5	33.3	49.91	108.14	40.93	116.78	33.54	38.67	51.71	23.08	67.59	31.0	58.71	68.07	64.34	15.34	21.32	18.43	30.56	32.59	78.89	29.06	57.49	60.39	23.42	23.59	102.97	1.53	17.38	149.12	48.87	26.1	37.59	13.83	167.9	140.04	90.77	4.74	25.17	40.36	45.21	40.36	50.63	16.15	142.01	27.44	71.0	6.46	12.83	34.02	37.85	24.99	13.03	36.53	13.72	90.77	23.76	187.71	18.7	178.77	37.85	10.08	26.67	52.82	13.32	11.04	52.45	43.32	44.57	19.68	43.32	19.53	3.69	22.92	37.32	90.14	82.87	13.03	64.8	16.51	40.07	15.11	18.84	14.45	113.56	40.64	116.78	65.72	218.79	77.79	111.21	212.78	55.49	52.08	209.84
ARHGAP31	101.54	19.82	16.75	59.13	25.54	89.51	8.19	120.1	11.55	88.88	31.9	31.67	42.41	126.12	56.28	93.35	14.78	41.52	36.27	35.5	55.49	35.76	107.38	41.22	55.89	119.26	31.0	50.27	38.67	62.12	62.12	73.03	22.26	40.64	31.45	46.18	30.34	94.67	19.11	77.25	63.0	40.07	46.5	57.89	16.39	19.97	96.68	63.89	25.72	30.34	18.16	120.1	117.6	83.45	11.38	35.5	59.55	94.01	26.28	36.53	26.86	101.54	28.86	81.14	14.35	25.72	26.1	30.12	25.35	23.76	19.82	14.67	80.57	33.54	110.43	33.3	120.94	39.79	15.22	22.43	54.33	17.9	11.3	70.01	42.41	53.95	27.05	84.04	37.59	9.48	62.56	24.81	78.34	81.71	14.35	59.55	32.13	38.95	16.88	35.25	17.38	72.01	46.5	76.71	49.91	125.24	71.0	68.55	127.89	61.25	24.99	108.14
ARHGEF6	161.02	43.63	34.02	81.14	35.5	159.9	27.25	121.79	17.13	151.22	54.72	51.35	54.72	183.82	145.02	135.24	55.49	105.89	61.25	102.97	106.63	82.87	145.02	50.98	92.05	101.54	49.91	84.04	61.25	114.36	135.24	164.42	45.53	62.56	43.94	53.95	59.55	166.73	50.98	135.24	114.36	80.57	58.3	111.99	14.14	42.11	143.01	85.82	45.21	63.0	44.25	102.25	172.65	112.77	22.1	56.28	111.99	194.36	61.68	126.12	53.57	148.09	81.71	98.73	31.0	67.12	66.18	54.72	58.71	57.49	63.45	30.78	194.36	59.97	183.82	50.63	186.4	57.89	29.06	44.89	105.89	43.94	44.25	62.12	77.79	57.49	51.35	97.36	49.91	32.59	55.89	60.82	120.94	131.51	26.86	100.13	52.45	70.01	30.34	46.84	48.87	137.14	85.82	113.56	78.89	218.79	169.07	80.01	201.25	131.51	59.97	228.13
CALCRL	198.47	48.87	27.84	147.06	37.32	279.14	30.12	414.87	25.35	211.31	83.45	88.26	92.7	769.69	215.77	423.61	31.67	50.98	96.68	65.72	264.03	104.42	435.55	84.04	170.25	743.43	99.43	153.34	48.18	94.67	152.28	217.27	57.08	104.42	59.13	109.66	94.01	193.01	43.94	170.25	124.37	82.87	71.0	127.89	43.94	29.06	215.77	163.28	82.29	47.84	38.95	358.54	239.52	242.88	24.99	97.36	267.73	334.46	56.28	81.71	33.06	406.31	221.86	159.9	24.81	53.19	43.02	58.71	41.52	38.67	46.5	71.5	136.19	72.01	291.04	135.24	332.14	60.82	28.24	30.56	116.78	32.13	17.25	209.84	95.34	57.89	97.36	281.09	54.33	19.11	116.78	40.07	260.38	212.78	24.11	214.27	108.9	161.02	29.06	33.06	33.06	265.87	102.25	248.0	83.45	559.28	289.02	199.85	291.04	232.94	82.29	295.11
CD34	633.73	133.36	332.14	551.56	100.83	460.44	87.65	1304.15	134.3	426.57	212.78	301.33	148.09	1044.52	616.37	1662.49	182.55	287.01	381.68	327.56	540.19	486.75	669.92	480.04	486.75	1561.89	312.0	493.56	171.45	503.95	819.3	571.05	171.45	432.53	348.71	297.17	264.03	647.07	223.41	1088.92	599.49	466.88	283.05	463.65	234.57	275.28	525.39	336.79	244.57	180.02	287.01	651.58	1331.57	915.51	90.77	262.2	1259.69	1242.34	303.44	381.68	180.02	769.69	397.93	403.5	127.89	329.84	299.25	262.2	187.71	182.55	175.07	156.59	1088.92	392.44	759.08	387.02	808.0	232.94	212.78	267.73	332.14	112.77	190.34	703.28	395.18	457.25	400.71	759.08	237.86	111.21	473.41	291.04	759.08	540.19	151.22	647.07	412.0	514.56	124.37	206.94	162.14	660.68	291.04	579.04	450.94	1286.18	579.04	642.59	872.1	1191.69	316.37	1151.06
CXorf36	197.09	28.04	65.26	169.07	40.36	120.1	21.32	339.14	26.86	176.29	87.03	97.36	57.49	351.14	148.09	412.0	46.5	70.01	101.54	72.52	163.28	100.83	236.21	96.68	145.02	473.41	72.52	109.66	50.27	198.47	346.29	206.94	43.63	124.37	90.77	145.02	111.99	169.07	65.72	208.38	124.37	119.26	86.43	152.28	55.1	77.25	155.5	152.28	85.82	52.08	69.03	224.97	389.72	221.86	22.1	82.29	262.2	289.02	82.87	140.04	49.91	229.72	118.43	155.5	48.87	87.65	80.57	83.45	55.49	58.3	68.55	82.29	291.04	154.42	190.34	100.83	208.38	74.58	50.63	70.51	169.07	30.34	40.93	242.88	101.54	231.32	85.82	176.29	62.56	22.26	136.19	81.14	265.87	154.42	32.36	164.42	122.64	158.79	41.81	40.07	54.72	212.78	101.54	253.23	74.06	387.02	154.42	167.9	316.37	193.01	84.63	384.34
CYYR1	239.52	38.12	76.71	157.68	37.59	181.28	24.46	334.46	34.02	157.68	76.71	70.51	61.25	423.61	180.02	343.89	61.25	87.03	120.94	96.01	220.32	115.16	273.37	136.19	134.3	423.61	94.67	116.78	57.49	251.48	287.01	166.73	55.49	144.01	97.36	96.01	99.43	190.34	84.04	297.17	137.14	92.7	92.7	183.82	39.22	56.68	187.71	135.24	74.06	57.49	63.0	303.44	371.22	190.34	27.05	88.26	232.94	297.17	100.83	131.51	58.71	237.86	110.43	186.4	52.08	91.41	80.57	63.0	52.08	49.21	66.65	69.52	287.01	111.21	223.41	120.94	220.32	76.71	46.5	51.35	138.1	24.46	41.81	190.34	110.43	163.28	111.99	212.78	73.54	26.1	120.1	77.79	228.13	208.38	34.02	211.31	120.1	165.57	37.05	44.25	36.53	242.88	111.99	241.19	115.97	444.72	226.54	223.41	351.14	271.48	138.1	381.68
DPYSL2	438.59	97.36	117.6	183.82	74.06	356.05	69.03	403.5	49.56	356.05	156.59	110.43	139.07	412.0	271.48	414.87	167.9	205.5	208.38	303.44	205.5	223.41	305.55	236.21	164.42	381.68	142.01	234.57	136.19	450.94	387.02	329.84	69.52	138.1	178.77	153.34	152.28	231.32	161.02	457.25	271.48	155.5	120.1	368.65	48.18	143.01	406.31	215.77	161.02	136.19	147.06	441.64	579.04	273.37	41.52	126.12	267.73	299.25	185.11	289.02	135.24	366.09	190.34	299.25	48.87	111.21	162.14	148.09	104.42	115.97	209.84	70.01	555.41	182.55	536.45	126.12	454.09	145.02	96.68	83.45	218.79	66.18	82.87	224.97	251.48	209.84	107.38	305.55	185.11	40.07	154.42	217.27	348.71	420.68	69.03	229.72	126.12	164.42	68.07	91.41	97.36	309.83	154.42	256.78	255.0	642.59	253.23	323.03	665.29	309.83	183.82	656.11
EBF1	100.83	21.47	21.32	54.33	19.39	72.01	6.01	87.03	13.22	59.55	39.22	24.46	30.78	112.77	43.63	104.42	26.28	25.35	46.18	41.52	65.72	70.51	59.55	28.86	36.27	111.21	18.7	104.42	30.56	55.89	75.11	76.17	12.36	29.7	33.54	28.65	36.01	61.25	35.76	113.56	31.22	29.06	23.08	74.06	7.51	20.56	83.45	67.59	28.04	14.35	31.0	69.52	118.43	87.03	10.55	24.81	88.88	105.15	26.1	43.94	19.82	79.45	48.87	68.07	10.24	17.64	22.75	20.56	26.47	11.47	45.53	19.97	111.99	31.67	68.07	36.53	78.34	59.13	15.68	50.63	44.57	8.85	18.97	47.5	59.97	56.68	28.65	85.82	21.47	4.62	33.3	38.4	56.28	59.97	7.82	59.55	54.33	34.75	12.0	17.64	16.03	45.85	20.11	78.34	29.91	109.66	55.1	53.57	105.15	51.35	31.0	145.02
ELK3	363.56	111.99	83.45	221.86	100.13	521.76	65.72	450.94	53.19	323.03	175.07	161.02	185.11	603.67	320.8	476.71	176.29	159.9	182.55	191.67	271.48	190.34	514.56	163.28	214.27	432.53	129.69	204.07	108.14	273.37	343.89	291.04	94.01	212.78	120.1	208.38	126.12	351.14	139.07	348.71	297.17	202.66	146.03	297.17	57.49	108.14	409.15	253.23	149.12	133.36	135.24	389.72	511.0	323.03	68.07	185.11	277.2	466.88	134.3	271.48	165.57	409.15	289.02	271.48	59.97	183.82	97.36	144.01	155.5	177.53	128.79	145.02	400.71	185.11	371.22	166.73	397.93	124.37	78.34	127.0	249.73	173.85	100.13	264.03	182.55	143.01	165.57	312.0	162.14	112.77	244.57	102.97	423.61	279.14	158.79	295.11	127.89	251.48	83.45	126.12	97.36	329.84	193.01	318.57	155.5	624.99	429.54	251.48	503.95	287.01	157.68	555.41
