	GTEX.ZP4G.1726.SM.4WWCM	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.14E6E.1526.SM.5RQIG	GTEX.13CF2.1826.SM.5N9GK	GTEX.14BMV.2426.SM.5S2PP	GTEX.1211K.1726.SM.5FQUJ	GTEX.ZPCL.1826.SM.57WF1	GTEX.139T6.1326.SM.5IFFO	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YEC3.2426.SM.5IFJR	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.13QBU.1826.SM.5IJG3	GTEX.XPVG.1826.SM.4B64X	GTEX.11ONC.1926.SM.5GU75	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZYFC.2226.SM.5NQ96	GTEX.117YW.2026.SM.5N9BH	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8477.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.KK.A59Z.01A.12R.A26U.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.HC.7745.01A.11R.2118.07	TCGA.BR.A44T.01A.32R.A24K.31	GTEX.145MO.2226.SM.5Q5BN	GTEX.139YR.1926.SM.5LZXM	GTEX.Y5V6.1326.SM.4VDTF	GTEX.11EI6.2426.SM.5PNVS	TCGA.EL.A3H5.01A.11R.A206.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.11ZTS.1126.SM.5LU9X	GTEX.111VG.0526.SM.5N9BW	GTEX.1313W.2826.SM.5P9G1
ABCC3	3349.13	7537.18	5633.22	6471.02	1104.13	224.97	6699.25	4181.07	5403.7	4512.4	5517.27	6792.79	2451.44	5594.3	5366.37	7911.95	6381.92	2004.85	5555.65	4512.4	24.63	29.48	82.29	236.21	7.94	25.17	48.87	47.17	48.52	81.71	193.01	143.01	493.56	1119.56	624.99	361.04	500.46	40.36	1467.37	88.88	738.29	159.9	24.99
ACADS	5147.73	6426.31	6471.02	6840.04	1674.06	1159.07	5041.77	4181.07	5112.16	4802.93	5954.47	3820.7	3419.52	6699.25	4481.23	6079.61	5913.33	1467.37	5672.41	5006.93	656.11	854.13	713.11	5517.27	2240.11	1662.49	3190.46	1487.87	423.61	454.09	551.56	660.68	518.15	384.34	909.17	723.08	2075.59	299.25	199.85	808.0	830.75	450.94	293.07
ADAT3	305.55	157.68	366.09	665.29	56.68	157.68	316.37	285.03	353.59	273.37	299.25	163.28	169.07	536.45	384.34	346.29	441.64	116.78	426.57	373.81	76.17	84.63	80.57	118.43	141.02	86.43	97.36	28.45	102.25	120.94	65.26	141.02	102.97	182.55	248.0	493.56	118.43	231.32	36.27	122.64	114.36	141.02	49.91
ADH6	511.0	1167.14	647.07	791.35	60.82	30.12	392.44	371.22	514.56	277.2	277.2	136.19	293.07	819.3	384.34	379.04	651.58	82.29	624.99	363.56	28.86	6.78	23.59	3.59	1.28	69.52	10.96	1233.75	24.11	15.91	35.76	2.1	13.52	22.59	88.26	83.45	13.03	171.45	0.0	0.09	10.39	4.1	12.55
ADTRP	3742.05	6840.04	5831.91	10296.45	209.84	180.02	3955.48	4181.07	5791.62	3665.02	3639.7	1923.14	1617.0	1111.82	3847.29	5076.84	5555.65	633.73	1806.78	2875.3	36.01	14.45	8.78	7.11	438.59	603.67	275.28	94.67	460.44	37.85	35.25	62.12	5.19	29.48	193.01	127.0	299.25	24.28	199.85	4.35	34.51	5.73	15.34
AGPAT2	3564.78	8718.32	5006.93	10225.32	1594.73	2047.0	5041.77	4575.41	3874.05	3690.52	3928.15	4419.52	2209.26	4181.07	5711.87	4358.66	3716.2	1467.37	5329.3	4010.71	981.29	1111.82	825.0	1674.06	2502.97	3395.89	3589.58	941.27	836.53	2997.45	1313.23	819.3	1001.93	842.36	2271.4	2627.46	1583.71	1143.1	1508.65	1508.65	1388.16	1508.65	830.75
AIFM3	3614.55	3168.41	6337.83	4512.4	866.07	285.03	4575.41	2178.83	3742.05	2485.67	5006.93	4836.35	2645.74	4639.29	4038.61	4181.07	5041.77	1832.01	3589.58	4210.15	16.27	24.28	19.68	36.27	62.12	83.45	92.7	84.63	12.27	34.51	12.74	37.32	65.26	69.52	28.86	12.93	6.89	33.3	26.86	33.06	45.21	55.89	44.57
ALPI	587.13	1008.9	616.37	1950.0	18.97	0.0	607.87	1135.2	884.29	450.94	299.25	206.94	170.25	934.76	836.53	848.22	486.75	85.82	753.83	529.06	2.78	0.0	0.0	0.0	0.0	0.47	0.0	4.31	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AMN	5594.3	6381.92	10014.87	11664.82	1167.14	265.87	10014.87	6607.01	7130.55	7966.99	7803.01	3614.55	2796.65	7433.4	6250.56	7433.4	8421.31	1340.84	8078.22	7130.55	18.84	8.0	16.03	13.03	178.77	8.38	152.28	7382.04	85.22	7.4	20.56	17.25	38.95	258.57	507.46	198.47	143.01	17.77	7.57	57.08	48.87	24.81	15.8
ANO9	2434.5	2555.58	3443.31	4298.64	878.17	285.03	4152.18	2485.67	3395.89	2956.17	3982.99	4066.71	1745.2	3768.09	3589.58	3928.15	4769.75	1519.15	3540.14	3540.14	17.13	14.45	19.68	110.43	73.03	236.21	45.53	66.65	15.22	83.45	123.5	234.57	295.11	1127.35	277.2	521.76	275.28	70.01	127.0	109.66	423.61	486.75	151.22
AOC1	12415.75	17804.06	9808.75	27174.14	366.09	368.65	12943.04	15180.22	15180.22	9740.98	7803.01	2664.15	6983.79	19214.73	11827.67	13033.07	12676.65	928.3	14765.09	9025.81	8.65	2.92	2.81	89.51	2.18	8.65	12.45	51775.15	75.64	7.11	0.64	244.57	642.59	178.77	94.01	128.79	215.77	26.1	23.42	1.03	17.38	11.82	37.59
ARL14	1498.22	3081.75	1991.0	3955.48	366.09	215.77	1651.0	2104.58	2255.7	1304.15	947.83	981.29	748.61	3303.0	2104.58	2664.15	1721.16	660.68	2178.83	1909.85	3.82	0.0	0.0	4.35	8.99	7.82	12.45	0.0	4.5	0.0	0.0	1.41	3.2	119.26	543.96	171.45	108.14	13.93	1.16	0.0	0.0	27.64	0.0
ASL	3491.39	4869.99	4671.57	3540.14	988.12	1561.89	4388.98	2627.46	4010.71	2976.74	4671.57	3614.55	2468.49	4512.4	3395.89	4123.49	4869.99	1896.65	4066.71	3639.7	420.68	521.76	599.49	878.17	1467.37	728.11	848.22	1498.22	947.83	1059.11	842.36	854.13	642.59	599.49	1023.0	1044.52	995.0	480.04	473.41	1191.69	1059.11	693.58	656.11
