	TCGA.E9.A2JT.01A.22R.A18M.07	GTEX.13OVG.1026.SM.5KLZ3	GTEX.WEY5.1126.SM.4LMIE	GTEX.1399S.1526.SM.5P9JC	GTEX.13PL7.0526.SM.5J2MQ	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.1211K.1326.SM.5FQV2	GTEX.14DAR.0726.SM.5RQIA	GTEX.XUZC.0326.SM.4BOO8	GTEX.SIU7.1326.SM.4BRWW	GTEX.13RTK.0626.SM.5Q5EK	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.VQ.A927.01A.12R.A414.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
ALDH5A1	224.97	41.52	37.85	39.79	65.26	52.82	52.08	37.85	40.36	37.05	40.07	59.55	403.5	336.79	204.07	107.38	121.79	112.77	279.14	146.03	214.27	195.72	84.63	236.21	130.6	127.0	116.78	180.02	170.25	176.29	155.5	166.73
ANP32A	4328.55	748.61	941.27	1059.11	1001.93	1242.34	1023.0	1208.34	1268.46	995.0	733.19	1008.9	2875.3	3212.66	1857.6	1286.18	2485.67	2417.67	1639.59	1806.78	1651.0	1437.15	1313.23	1977.24	2915.45	2485.67	3124.78	2816.11	2351.53	2451.44	3168.41	2777.33
AOAH	303.44	27.44	12.74	10.79	9.06	16.15	7.94	13.62	45.85	24.46	29.91	17.64	281.09	241.19	249.73	101.54	130.6	114.36	137.14	73.03	52.82	71.0	35.76	53.19	183.82	183.82	231.32	260.38	141.02	293.07	205.5	244.57
C19orf38	95.34	4.58	3.32	11.73	12.0	4.39	6.73	2.68	14.03	8.51	13.52	8.78	47.84	90.14	67.59	21.01	38.95	45.85	41.81	20.41	28.04	21.01	6.62	20.86	53.19	64.8	61.25	43.32	38.4	140.04	92.05	130.6
CCL5	5791.62	33.06	38.12	53.19	121.79	166.73	37.59	37.59	95.34	57.89	155.5	57.89	2451.44	1322.37	2520.38	450.94	1721.16	612.11	299.25	1135.2	361.04	629.35	149.12	171.45	1030.12	995.0	1697.45	1540.37	1651.0	2591.27	1977.24	2417.67
CCR2	373.81	2.39	2.34	30.34	3.66	13.03	6.89	4.98	25.54	12.93	23.76	9.34	64.8	111.99	99.43	59.55	71.0	46.84	12.36	27.05	63.0	16.27	2.34	14.78	90.77	64.8	120.94	118.43	79.45	113.56	153.34	79.45
CCR5	503.95	2.18	2.14	10.08	3.96	11.82	3.26	4.9	12.74	9.85	25.35	5.92	182.55	163.28	220.32	33.78	159.9	39.22	33.78	74.06	37.05	47.17	7.63	20.11	78.34	51.35	100.13	99.43	82.29	169.07	127.0	91.41
CD2	2956.17	14.03	15.22	25.91	34.26	66.65	8.92	10.63	43.02	16.63	58.3	23.59	1697.45	518.15	1030.12	143.01	679.29	318.57	166.73	260.38	142.01	217.27	34.75	94.67	447.82	295.11	460.44	532.74	473.41	1340.84	642.59	928.3
CD3G	1159.07	0.0	3.41	6.26	3.0	7.0	4.39	2.48	9.63	4.46	11.47	4.74	525.39	143.01	334.46	41.22	149.12	100.13	47.84	75.64	34.02	54.72	8.78	25.35	96.68	79.45	124.37	136.19	163.28	281.09	141.02	206.94
CD6	1242.34	8.58	4.78	8.58	12.09	26.67	7.34	2.61	14.89	18.84	26.47	7.06	1286.18	248.0	599.49	93.35	293.07	187.71	60.39	116.78	109.66	140.04	15.22	93.35	177.53	153.34	177.53	206.94	214.27	587.13	271.48	353.59
