	GTEX.ZF29.1926.SM.5S2P1	GTEX.117YW.1826.SM.5PNY5	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.139YR.0226.SM.5IFEM	GTEX.14753.1626.SM.5NQ9L	GTEX.VUSG.0126.SM.4KL1X	GTEX.132NY.1226.SM.5PNVF	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.XQ3S.0926.SM.4BOPI	GTEX.OIZI.1026.SM.3NB1K	GTEX.Y3IK.0626.SM.4WWE4	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.OHPM.0526.SM.2YUMJ	TCGA.CG.5734.11A.01R.1602.13	GTEX.ZYY3.1726.SM.5EGH3
AC226150.4	92.7	1.77	13.93	16.88	33.54	2.94	30.56	16.51	21.16	11.82	13.62	0.0	46.18	48.18	37.32	50.27	36.53	47.84	29.48	7.63	116.78	50.63	66.18	65.72	23.59	38.4	82.29	74.06	53.95	21.63	51.71	158.79	44.89	0.0	41.81	78.34	14.67	19.11	36.53	79.45	50.63	45.53	18.29	68.55	39.22	88.26	7.28	128.79	39.22	86.43	35.76	98.73	163.28	18.56	67.12	103.69	44.89	63.89	45.53	0.0	9.93
AKAP8	441.64	164.42	162.14	137.14	143.01	98.04	199.85	136.19	198.47	100.13	217.27	104.42	497.0	223.41	470.14	285.03	301.33	454.09	325.29	140.04	684.02	878.17	426.57	303.44	285.03	361.04	420.68	435.55	476.71	221.86	339.14	392.44	334.46	209.84	435.55	444.72	169.07	301.33	217.27	603.67	397.93	353.59	242.88	450.94	285.03	325.29	223.41	595.34	397.93	470.14	332.14	265.87	579.04	285.03	473.41	473.41	295.11	532.74	327.56	289.02	109.66
ALKBH8	177.53	36.27	11.3	21.32	29.91	20.11	38.12	39.79	35.25	19.11	23.42	32.36	103.69	92.05	129.69	100.83	78.89	136.19	80.57	31.22	116.78	71.0	71.0	75.64	36.01	136.19	111.21	113.56	66.65	61.25	142.01	104.42	113.56	31.67	111.99	120.94	5.96	44.25	120.1	116.78	127.89	86.43	67.12	87.65	43.63	133.36	65.72	140.04	143.01	92.7	105.89	78.34	110.43	73.54	116.78	102.25	82.29	115.16	105.15	18.84	12.18
ANAPC4	603.67	231.32	104.42	115.16	136.19	63.0	116.78	120.94	140.04	55.49	115.97	217.27	228.13	232.94	490.14	283.05	285.03	426.57	255.0	187.71	486.75	123.5	454.09	353.59	199.85	438.59	454.09	540.19	305.55	206.94	532.74	423.61	348.71	273.37	507.46	409.15	115.16	189.02	463.65	753.83	414.87	346.29	193.01	381.68	223.41	417.77	438.59	500.46	718.08	414.87	273.37	441.64	454.09	373.81	463.65	480.04	376.41	447.82	180.02	149.12	180.02
ANKRD49	713.11	60.39	29.7	82.87	92.7	15.22	86.43	108.9	131.51	73.54	75.11	53.95	127.89	169.07	277.2	218.79	169.07	309.83	98.04	98.73	358.54	291.04	217.27	226.54	155.5	285.03	295.11	339.14	173.85	111.99	420.68	215.77	320.8	152.28	336.79	287.01	246.28	231.32	379.04	291.04	366.09	327.56	166.73	181.28	158.79	291.04	111.21	450.94	373.81	329.84	209.84	258.57	642.59	117.6	303.44	236.21	97.36	301.33	149.12	211.31	111.21
AP4E1	165.57	42.41	14.67	31.67	24.46	15.56	25.91	27.84	36.53	17.38	51.71	26.47	70.51	72.52	76.17	69.03	56.28	94.01	87.65	33.54	111.99	108.9	72.01	88.26	47.84	88.26	81.71	61.68	74.06	34.75	103.69	57.08	132.44	34.75	69.52	83.45	12.83	74.06	94.67	77.25	87.03	77.79	82.87	76.71	54.72	91.41	59.13	100.83	145.02	86.43	68.55	55.1	127.89	53.95	95.34	85.22	77.79	75.11	64.34	27.64	20.11
ASB8	802.41	193.01	224.97	244.57	309.83	242.88	267.73	346.29	348.71	258.57	353.59	244.57	470.14	480.04	514.56	518.15	493.56	529.06	555.41	131.51	616.37	473.41	460.44	466.88	239.52	493.56	497.0	426.57	642.59	384.34	529.06	591.22	521.76	186.4	551.56	454.09	152.28	358.54	547.75	559.28	511.0	414.87	420.68	412.0	480.04	698.41	358.54	679.29	629.35	547.75	490.14	518.15	638.15	397.93	591.22	483.38	392.44	493.56	417.77	281.09	229.72
ATG14	441.64	77.25	65.72	64.8	49.56	37.32	56.28	48.87	49.56	50.98	53.19	51.71	111.21	155.5	256.78	152.28	85.82	185.11	165.57	51.35	244.57	316.37	182.55	172.65	150.17	152.28	212.78	215.77	198.47	66.18	224.97	226.54	180.02	149.12	363.56	172.65	108.14	150.17	215.77	281.09	239.52	164.42	169.07	156.59	204.07	356.05	127.0	379.04	312.0	220.32	135.24	169.07	241.19	123.5	332.14	279.14	175.07	214.27	74.06	47.5	32.59
C10orf137	547.75	70.01	46.18	74.58	57.89	31.0	81.14	96.68	131.51	21.32	56.28	78.34	139.07	92.7	299.25	299.25	158.79	301.33	107.38	96.68	260.38	127.0	215.77	232.94	105.89	260.38	301.33	291.04	187.71	121.79	289.02	258.57	241.19	96.68	379.04	228.13	70.01	94.67	332.14	343.89	289.02	147.06	134.3	187.71	172.65	256.78	171.45	400.71	366.09	269.6	209.84	260.38	384.34	120.1	307.69	248.0	223.41	309.83	109.66	78.89	73.03
C2CD5	703.28	339.14	101.54	93.35	110.43	57.89	82.87	102.25	125.24	32.59	84.63	102.97	264.03	346.29	476.71	376.41	221.86	403.5	343.89	130.6	473.41	195.72	384.34	447.82	126.12	457.25	514.56	595.34	307.69	131.51	555.41	466.88	507.46	145.02	624.99	480.04	64.34	199.85	503.95	713.11	521.76	341.51	190.34	470.14	161.02	612.11	438.59	733.19	848.22	460.44	325.29	473.41	514.56	351.14	463.65	563.18	480.04	518.15	173.85	239.52	275.28
