	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07
TAOK1	423.61	476.71	567.1	435.55	454.09	303.44	400.71	88.88	387.02	256.78	339.14	271.48	76.17	262.2	229.72	38.12	98.73	59.55	74.06	28.65
TCFL5	236.21	215.77	198.47	314.17	221.86	249.73	228.13	153.34	163.28	173.85	108.14	176.29	164.42	256.78	127.0	100.83	105.89	71.5	87.65	69.03
TET2	166.73	98.73	281.09	193.01	226.54	77.79	75.64	42.11	190.34	92.7	156.59	133.36	38.67	114.36	108.9	10.39	32.59	16.27	21.16	9.85
TEX10	269.6	295.11	262.2	224.97	316.37	194.36	271.48	86.43	228.13	264.03	237.86	244.57	172.65	242.88	182.55	115.16	142.01	66.65	135.24	57.89
THAP6	327.56	363.56	366.09	406.31	414.87	214.27	239.52	164.42	423.61	236.21	343.89	295.11	52.82	244.57	202.66	31.0	66.18	116.78	115.97	40.64
THOC1	723.08	486.75	981.29	813.63	802.41	341.51	460.44	507.46	500.46	518.15	647.07	633.73	318.57	363.56	348.71	45.85	154.42	503.95	366.09	84.63
TM9SF3	2271.4	3103.19	3690.52	2609.3	3768.09	1628.26	2319.15	896.64	1991.0	1250.98	1857.6	1322.37	563.18	2032.85	1781.89	525.39	651.58	379.04	633.73	493.56
TMEM123	5183.54	4704.07	4736.79	5147.73	3901.01	4038.61	5076.84	1733.13	2895.31	3395.89	2645.74	3103.19	607.87	2032.85	2104.58	454.09	808.0	2796.65	3190.46	1457.23
TMEM131	497.0	595.34	769.69	480.04	647.07	376.41	351.14	183.82	511.0	379.04	341.51	403.5	253.23	400.71	457.25	158.79	218.79	130.6	246.28	159.9
TMEM167A	1977.24	1745.2	1594.73	1963.57	2018.8	1073.91	1561.89	915.51	1427.22	796.86	1397.83	866.07	327.56	1135.2	1467.37	688.78	616.37	974.5	775.05	674.59
TMEM57	764.36	429.54	780.44	753.83	1175.27	785.88	591.22	612.11	647.07	457.25	353.59	518.15	256.78	555.41	454.09	163.28	190.34	239.52	392.44	316.37
TRA2A	1896.65	2119.22	2004.85	2855.44	1733.13	1757.34	2758.13	1159.07	2104.58	1529.73	1745.2	2319.15	1104.13	848.22	1350.18	262.2	555.41	616.37	684.02	289.02
TRAPPC13	547.75	583.07	579.04	595.34	503.95	486.75	476.71	320.8	555.41	389.72	450.94	435.55	108.9	423.61	334.46	105.89	100.83	297.17	193.01	84.63
TRIP4	748.61	638.15	733.19	743.43	551.56	514.56	674.59	575.03	579.04	490.14	514.56	395.18	480.04	536.45	486.75	301.33	483.38	389.72	358.54	159.9
TRMT11	228.13	251.48	249.73	269.6	303.44	166.73	269.6	94.67	246.28	231.32	158.79	251.48	63.89	187.71	187.71	66.65	157.68	101.54	178.77	158.79
TTC37	1001.93	909.17	1073.91	733.19	1059.11	669.92	1111.82	260.38	748.61	500.46	728.11	698.41	157.68	684.02	473.41	49.56	55.89	212.78	202.66	61.68
U2SURP	1242.34	1225.22	1427.22	1331.57	1313.23	819.3	785.88	371.22	1159.07	733.19	896.64	796.86	242.88	830.75	842.36	29.48	87.03	299.25	269.6	61.25
UBE4A	295.11	400.71	500.46	603.67	660.68	470.14	571.05	140.04	346.29	281.09	392.44	228.13	98.73	271.48	218.79	69.03	165.57	143.01	149.12	163.28
USP24	376.41	414.87	460.44	555.41	743.43	316.37	376.41	187.71	429.54	395.18	239.52	371.22	98.73	351.14	287.01	66.18	100.83	127.89	143.01	88.26
USP3	733.19	1008.9	836.53	819.3	830.75	703.28	743.43	543.96	660.68	532.74	547.75	529.06	392.44	447.82	466.88	241.19	470.14	275.28	406.31	248.0
USP45	130.6	110.43	144.01	133.36	173.85	105.89	139.07	55.89	136.19	127.89	59.55	167.9	35.0	99.43	104.42	25.17	23.59	27.05	32.59	24.11
USP48	693.58	684.02	802.41	813.63	947.83	638.15	656.11	493.56	567.1	669.92	392.44	665.29	323.03	753.83	325.29	139.07	154.42	178.77	289.02	155.5
USP8	612.11	915.51	941.27	780.44	981.29	511.0	728.11	406.31	733.19	599.49	607.87	607.87	208.38	698.41	511.0	57.89	123.5	285.03	312.0	105.15
VPS33A	417.77	447.82	395.18	417.77	476.71	389.72	400.71	346.29	323.03	332.14	297.17	224.97	305.55	277.2	314.17	223.41	325.29	297.17	287.01	159.9
WAC	1697.45	1883.54	2163.77	1950.0	1896.65	1268.46	1909.85	1044.52	1936.53	1477.58	1561.89	1519.15	713.11	1397.83	1605.83	420.68	529.06	323.03	521.76	343.89
WDR35	143.01	123.5	293.07	199.85	186.4	102.97	175.07	75.64	175.07	127.0	134.3	173.85	43.32	140.04	125.24	50.27	79.45	16.39	19.39	13.93
WDR82	1259.69	1208.34	1304.15	1037.29	1427.22	884.29	1119.56	633.73	1119.56	1015.93	830.75	860.08	743.43	961.07	1037.29	674.59	981.29	236.21	414.87	299.25
WDR92	164.42	212.78	241.19	181.28	159.9	193.01	249.73	155.5	204.07	167.9	180.02	183.82	145.02	146.03	105.89	80.57	99.43	81.14	88.26	79.45
XIAP	612.11	723.08	785.88	599.49	669.92	536.45	540.19	435.55	595.34	447.82	518.15	403.5	389.72	511.0	460.44	82.87	162.14	277.2	607.87	73.03
XRCC4	236.21	303.44	205.5	314.17	172.65	201.25	242.88	142.01	258.57	128.79	205.5	133.36	83.45	180.02	158.79	61.25	84.63	92.05	107.38	33.78
XRN1	277.2	228.13	265.87	239.52	291.04	120.1	130.6	40.36	197.09	103.69	251.48	193.01	37.59	150.17	141.02	16.88	33.06	63.89	64.8	43.02
YAP1	796.86	1233.75	1081.39	1313.23	1407.55	981.29	1183.45	432.53	848.22	684.02	1096.5	529.06	368.65	251.48	547.75	297.17	279.14	166.73	381.68	211.31
YTHDC1	1369.04	1350.18	1745.2	1508.65	1639.59	1044.52	928.3	708.18	1397.83	1111.82	1143.1	1191.69	579.04	921.88	981.29	258.57	543.96	301.33	358.54	269.6
ZBTB1	603.67	473.41	620.67	718.08	629.35	483.38	514.56	262.2	470.14	289.02	397.93	432.53	198.47	409.15	271.48	78.89	117.6	90.77	154.42	59.13
ZBTB39	90.14	45.53	63.45	78.89	73.03	65.72	73.54	20.86	52.82	36.79	28.24	46.5	35.5	53.19	38.12	20.26	35.76	15.34	29.06	15.11
ZC3H15	1369.04	1572.76	1594.73	1407.55	1407.55	1175.27	1191.69	884.29	1467.37	1208.34	1540.37	967.76	441.64	1096.5	1135.2	221.86	262.2	583.07	785.88	246.28
ZFP2	36.53	65.26	74.06	32.59	64.8	63.45	60.82	23.76	61.68	35.25	13.83	58.3	16.03	4.9	24.63	4.06	15.45	10.63	7.57	1.41
ZFP69B	27.25	49.56	72.52	47.17	38.4	38.12	40.64	11.91	45.53	17.51	18.03	17.38	10.0	14.89	28.45	4.43	8.0	7.0	11.55	6.94
ZHX1	559.28	293.07	579.04	651.58	693.58	490.14	480.04	190.34	567.1	423.61	591.22	540.19	151.22	432.53	395.18	67.59	79.45	325.29	363.56	169.07
ZNF184	193.01	275.28	221.86	212.78	232.94	130.6	185.11	123.5	223.41	153.34	107.38	173.85	44.57	137.14	128.79	11.04	28.45	33.06	43.02	9.27
ZNF2	85.22	77.79	77.79	105.15	87.65	65.26	78.89	76.17	105.89	65.72	62.12	66.18	34.75	107.38	61.68	34.02	57.89	26.86	36.79	9.13
ZNF207	3146.52	2739.08	2935.74	2573.36	2915.45	2417.67	2520.38	1844.76	2720.15	2537.92	2224.63	1936.53	1242.34	2004.85	1883.54	748.61	1277.29	748.61	1175.27	791.35
ZNF248	173.85	146.03	162.14	150.17	186.4	151.22	169.07	85.22	189.02	119.26	127.89	169.07	51.71	60.82	90.14	44.25	67.12	27.05	75.11	22.43
ZNF267	318.57	231.32	177.53	299.25	348.71	166.73	177.53	58.71	201.25	143.01	173.85	212.78	56.28	140.04	164.42	23.25	49.56	30.56	73.03	11.21
ZNF311	48.87	56.68	109.66	57.08	94.67	52.45	55.49	56.28	55.1	23.08	33.54	4.39	28.86	15.56	18.7	8.06	23.76	11.82	4.31	7.63
ZNF35	187.71	150.17	152.28	186.4	155.5	137.14	125.24	127.89	143.01	95.34	81.14	79.45	50.27	169.07	115.97	40.93	47.5	13.12	36.79	16.39
ZNF490	66.65	82.29	105.15	109.66	94.67	55.89	70.51	24.46	88.26	36.01	61.68	39.5	12.83	61.68	23.08	12.64	17.77	17.77	9.34	3.5
ZNF555	107.38	104.42	144.01	166.73	116.78	123.5	78.34	74.58	90.14	76.17	73.03	67.12	21.78	87.65	63.0	20.41	29.7	30.78	40.36	11.3
ZNF596	159.9	67.12	162.14	171.45	120.1	137.14	142.01	49.21	116.78	66.18	72.52	76.17	37.85	69.03	27.64	16.39	16.75	26.28	14.35	13.62
ZNF625-ZNF20	82.29	62.56	127.0	127.0	118.43	94.67	105.89	96.68	111.21	58.3	41.22	68.07	26.86	74.06	51.71	10.63	33.78	18.43	13.42	0.0
ZNF713	74.58	60.39	194.36	79.45	57.49	42.11	114.36	18.84	122.64	34.26	46.84	58.71	20.26	50.98	43.32	5.82	21.32	3.82	7.22	5.63
ZNF721	599.49	507.46	595.34	543.96	753.83	379.04	293.07	273.37	616.37	423.61	460.44	423.61	125.24	435.55	387.02	102.97	82.29	133.36	217.27	57.89
