	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07
EYA3	191.67	368.65	316.37	343.89	353.59	164.42	199.85	120.94	211.31	175.07	173.85	214.27	111.21	185.11	136.19	90.14	172.65	44.57	94.67	55.89
FAM172A	371.22	384.34	483.38	343.89	260.38	293.07	273.37	132.44	325.29	204.07	218.79	169.07	76.17	218.79	206.94	54.33	64.8	46.84	83.45	39.79
FAM21A	536.45	638.15	759.08	595.34	764.36	470.14	743.43	361.04	780.44	366.09	392.44	204.07	287.01	466.88	202.66	277.2	341.51	239.52	403.5	144.01
FAM49B	1844.76	1457.23	2163.77	1950.0	1991.0	884.29	1350.18	974.5	1135.2	947.83	1111.82	1233.75	638.15	1037.29	1104.13	629.35	890.44	249.73	334.46	214.27
FAM8A1	511.0	684.02	563.18	583.07	738.29	463.65	848.22	297.17	559.28	703.28	514.56	780.44	115.16	301.33	466.88	110.43	152.28	223.41	466.88	334.46
FBXW2	748.61	915.51	1295.13	1233.75	1191.69	842.36	842.36	941.27	921.88	656.11	1111.82	579.04	575.03	647.07	463.65	476.71	363.56	193.01	387.02	285.03
FPGT	265.87	466.88	500.46	599.49	728.11	346.29	339.14	231.32	503.95	283.05	256.78	295.11	101.54	389.72	242.88	62.56	77.79	94.67	154.42	60.82
GCC2	490.14	525.39	733.19	866.07	785.88	412.0	514.56	165.57	728.11	343.89	503.95	466.88	67.59	473.41	273.37	34.75	63.0	75.11	71.0	21.63
GNRHR	4.5	2.23	6.78	6.36	7.63	1.38	0.96	0.83	4.58	0.66	2.32	2.63	0.0	3.99	0.71	0.0	0.34	0.59	0.65	0.0
GOLGA4	1487.87	1794.29	1119.56	1639.59	1936.53	718.08	2303.12	693.58	1304.15	785.88	1651.0	1304.15	260.38	607.87	915.51	105.89	140.04	529.06	392.44	127.89
GXYLT1	183.82	214.27	185.11	212.78	262.2	127.0	211.31	42.41	141.02	107.38	142.01	132.44	56.68	96.01	178.77	41.52	44.89	77.25	83.45	36.53
HBP1	2193.99	2133.97	3235.01	2075.59	1745.2	1594.73	1733.13	1685.71	2209.26	1733.13	1397.83	1662.49	698.41	1844.76	1233.75	529.06	708.18	457.25	728.11	579.04
HBS1L	1159.07	1605.83	1832.01	1477.58	1119.56	921.88	1088.92	656.11	1135.2	1477.58	612.11	872.1	273.37	1175.27	791.35	172.65	176.29	172.65	432.53	356.05
HEATR5B	277.2	309.83	483.38	529.06	540.19	265.87	353.59	193.01	470.14	301.33	341.51	305.55	92.05	348.71	218.79	76.71	71.5	74.06	77.79	56.68
HMG20A	616.37	575.03	493.56	612.11	642.59	470.14	460.44	299.25	500.46	356.05	493.56	438.59	169.07	426.57	511.0	144.01	318.57	224.97	277.2	226.54
HNRNPK	12329.98	13681.08	15934.98	13586.57	12676.65	11112.3	12853.63	10585.95	13586.57	13492.72	8718.32	10154.69	5479.15	9409.14	8901.53	4836.35	6037.61	2682.69	5147.73	3928.15
HNRNPLL	669.92	813.63	890.44	647.07	669.92	409.15	529.06	403.5	579.04	547.75	514.56	497.0	241.19	420.68	563.18	215.77	220.32	120.1	249.73	107.38
INO80D	107.38	82.87	142.01	105.89	105.89	62.56	69.52	20.86	88.26	43.02	67.12	72.01	29.48	59.13	71.0	14.14	31.67	21.32	19.82	8.19
IPP	178.77	358.54	379.04	384.34	441.64	246.28	323.03	198.47	339.14	194.36	127.0	209.84	94.01	305.55	251.48	81.71	112.77	68.07	194.36	67.59
IREB2	457.25	417.77	567.1	447.82	521.76	242.88	403.5	121.79	397.93	277.2	400.71	253.23	108.9	376.41	301.33	64.8	122.64	106.63	105.15	115.16
KCTD20	651.58	775.05	915.51	743.43	693.58	532.74	769.69	287.01	642.59	575.03	457.25	389.72	318.57	486.75	575.03	291.04	334.46	226.54	389.72	256.78
KIAA0368	1242.34	1407.55	1909.85	1304.15	1508.65	1111.82	1617.0	947.83	1250.98	1233.75	954.43	1208.34	599.49	928.3	551.56	486.75	438.59	293.07	529.06	226.54
KIAA0556	346.29	403.5	571.05	460.44	279.14	366.09	583.07	154.42	423.61	215.77	236.21	312.0	162.14	265.87	242.88	165.57	158.79	31.45	112.77	32.36
KIAA1033	583.07	403.5	830.75	579.04	511.0	293.07	493.56	89.51	409.15	209.84	518.15	314.17	73.03	303.44	285.03	84.63	156.59	132.44	206.94	77.79
KIDINS220	500.46	518.15	775.05	669.92	775.05	406.31	511.0	156.59	651.58	444.72	473.41	525.39	153.34	457.25	559.28	132.44	133.36	82.87	118.43	76.17
KLHL15	80.01	86.43	95.34	92.7	105.89	50.63	101.54	30.78	81.71	76.17	44.57	80.57	19.97	71.5	56.28	19.11	29.27	55.49	30.34	69.52
KLHL5	624.99	848.22	420.68	1233.75	1551.09	547.75	395.18	417.77	638.15	679.29	299.25	656.11	180.02	392.44	358.54	226.54	186.4	287.01	941.27	336.79
LA16c-431H6.6	1.51	0.33	2.39	3.03	2.32	1.75	2.56	0.57	0.34	0.0	1.33	0.39	0.0	0.68	0.0	0.0	0.68	0.0	0.0	0.0
LIMCH1	1008.9	1583.71	1259.69	1127.35	1111.82	1037.29	507.46	511.0	1216.75	660.68	660.68	607.87	62.12	323.03	728.11	116.78	74.06	34.75	68.55	41.22
LIN54	177.53	127.89	183.82	176.29	181.28	94.01	122.64	63.89	198.47	142.01	162.14	107.38	30.12	145.02	145.02	17.64	21.47	34.51	43.63	22.26
LPP	412.0	624.99	1023.0	540.19	669.92	351.14	299.25	204.07	463.65	406.31	256.78	376.41	66.18	320.8	318.57	50.98	92.7	40.93	186.4	34.51
LRRC58	423.61	339.14	429.54	351.14	412.0	215.77	224.97	75.11	307.69	232.94	224.97	215.77	72.01	273.37	318.57	39.22	69.52	70.01	62.56	28.86
LYRM2	693.58	934.76	796.86	1331.57	967.76	808.0	1143.1	387.02	759.08	708.18	521.76	490.14	189.02	660.68	633.73	109.66	145.02	143.01	164.42	60.82
LZIC	647.07	961.07	947.83	921.88	1073.91	620.67	854.13	536.45	532.74	665.29	325.29	579.04	387.02	915.51	336.79	155.5	176.29	511.0	460.44	191.67
MED17	693.58	775.05	638.15	753.83	967.76	674.59	941.27	540.19	579.04	743.43	473.41	529.06	258.57	299.25	371.22	190.34	389.72	237.86	267.73	94.01
MFN1	587.13	525.39	915.51	559.28	769.69	341.51	633.73	242.88	500.46	351.14	447.82	312.0	156.59	417.77	490.14	62.56	85.82	129.69	172.65	81.71
