	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.XF.AAN3.01A.11R.A42T.07	GTEX.14C38.2626.SM.5RQI4	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.49.4506.01A.01R.1206.07	TCGA.95.7043.01A.11R.1949.07	TCGA.50.5066.01A.01R.1628.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.R55G.0826.SM.2TC5U	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.11TT1.1626.SM.5EQL7	GTEX.Y8E4.0526.SM.4V6GC	GTEX.XBED.0826.SM.47JYC	GTEX.13OW8.1726.SM.5L3GO	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.22.4591.01A.01R.1201.07	TCGA.77.8009.01A.11R.2187.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.AJ.A3BG.01A.11R.A19W.07	TCGA.A5.A3LP.01A.11R.A22K.07
ABAT	454.09	94.01	63.45	373.81	387.02	387.02	211.31	1286.18	656.11	44.89	830.75	185.11	1832.01	2739.08	872.1	1487.87	2591.27	305.55	2591.27	1369.04	1369.04	2682.69	2502.97	2915.45	1769.57	172.65	1519.15	497.0	1268.46	460.44	3168.41	1015.93	1037.29	2537.92	1199.98	1081.39	320.8	2351.53	1096.5	2240.11	1359.57	723.08	1628.26	2148.82	8479.89	3168.41	2573.36	16611.71	514.56	9740.98	3665.02	5594.3	18178.19	3467.27	5112.16	10154.69	51.35	101.54	56.68	9.93	194.36	49.91	145.02	159.9	75.64	246.28	43.63	137.14	54.33	111.99	77.79	79.45	164.42	140.04	21.47	136.19	112.77	17.77	33.54	141.02	115.97	134.3
ABCA6	38.67	48.18	3.69	35.25	13.72	31.0	37.05	29.06	114.36	19.97	43.63	34.26	514.56	603.67	264.03	414.87	1242.34	323.03	1674.06	1096.5	480.04	642.59	718.08	759.08	536.45	260.38	579.04	571.05	1208.34	291.04	497.0	571.05	480.04	551.56	543.96	1037.29	289.02	708.18	244.57	514.56	1183.45	435.55	532.74	540.19	1417.35	1870.53	1769.57	3639.7	426.57	2816.11	1806.78	1030.12	2018.8	2287.2	543.96	2417.67	54.72	171.45	28.24	26.47	15.34	67.59	118.43	115.16	84.63	199.85	89.51	163.28	75.11	136.19	29.48	127.0	60.82	363.56	27.64	46.18	14.78	15.8	38.12	169.07	3.03	9.48
ACOX2	30.78	57.08	4.5	145.02	389.72	518.15	301.33	1066.48	536.45	511.0	525.39	376.41	2047.0	3124.78	872.1	3491.39	4512.4	1551.09	2351.53	4769.75	3690.52	4066.71	3874.05	3146.52	2193.99	7966.99	2816.11	3146.52	8078.22	1844.76	1407.55	1794.29	2555.58	1950.0	2573.36	974.5	1572.76	3303.0	2193.99	3235.01	2209.26	1175.27	2209.26	3235.01	13306.94	3467.27	3820.7	19082.0	2384.37	8538.88	7280.4	9279.58	11745.96	21320.18	3372.43	7911.95	33.06	432.53	366.09	90.14	177.53	110.43	165.57	435.55	764.36	218.79	111.99	248.0	186.4	441.64	232.94	1008.9	163.28	144.01	125.24	66.18	36.27	10.16	17.64	277.2	55.1	138.1
ACSM5	4.03	1.06	4.46	866.07	728.11	603.67	251.48	915.51	633.73	327.56	587.13	400.71	1286.18	1819.35	796.86	1199.98	3419.52	62.56	921.88	3039.3	339.14	1769.57	1651.0	1508.65	1832.01	466.88	536.45	125.24	872.1	105.89	1909.85	2004.85	915.51	2255.7	1259.69	122.64	514.56	2627.46	1487.87	1909.85	3039.3	961.07	2178.83	1167.14	7857.29	1709.26	1175.27	6840.04	1844.76	8598.28	5441.3	7749.1	18560.17	36357.37	6037.61	7857.29	7.69	125.24	0.0	8.13	8.58	55.89	81.71	19.11	54.72	98.73	11.82	55.49	163.28	30.34	48.87	48.52	15.11	122.64	5.06	10.24	11.38	1.81	34.02	88.88	1.62	79.45
ADH1A	0.0	6.52	6.89	0.0	2.18	1.01	0.83	0.0	0.44	2.56	0.0	0.66	4704.07	7695.57	366.09	4038.61	10084.54	1806.78	10733.74	17681.08	8718.32	13306.94	9344.14	6792.79	7911.95	1819.35	1498.22	22380.2	5076.84	3325.99	7230.1	6561.36	8840.04	11504.21	9151.82	1322.37	2148.82	12853.63	269.6	8305.36	13399.51	1199.98	3614.55	13306.94	85876.94	31650.8	53973.86	267651.2	684.02	163620.18	80683.28	85876.94	307450.64	39510.91	68318.04	93974.69	28.45	2.63	0.0	0.0	107.38	1.5	5.06	5.15	12.45	6.46	5.23	14.45	41.52	10.0	26.86	11.3	2.86	22.59	5.36	10.16	120.94	0.0	0.0	12.93	0.0	0.0
ADH6	6.73	4.54	17.64	14.35	26.67	81.14	27.05	21.16	48.87	11.04	281.09	16.03	1340.84	928.3	981.29	651.58	2855.44	764.36	3372.43	9151.82	2367.9	2047.0	928.3	1519.15	1467.37	521.76	607.87	3982.99	698.41	1191.69	656.11	1628.26	941.27	2627.46	2956.17	2591.27	684.02	2193.99	2075.59	2303.12	3665.02	483.38	3467.27	3690.52	14867.79	3564.78	5517.27	31650.8	3395.89	18689.27	8078.22	8901.53	32767.0	15499.21	3467.27	12076.21	2.71	7.69	11.3	6.46	35.25	10.47	7.57	0.0	8.25	11.91	3.23	12.36	6.73	8.85	11.47	1.58	3.41	23.08	0.8	9.56	39.22	3.63	3.38	2.53	11.21	3.92
AK3	395.18	825.0	941.27	633.73	633.73	703.28	819.3	432.53	1051.79	483.38	638.15	343.89	1277.29	1417.35	1572.76	1369.04	1104.13	693.58	1487.87	2004.85	599.49	961.07	1175.27	1378.57	1857.6	575.03	1216.75	2047.0	947.83	878.17	1233.75	1350.18	1417.35	1529.73	1417.35	575.03	483.38	775.05	1135.2	1437.15	2061.24	1259.69	1313.23	1519.15	2303.12	1313.23	1883.54	2351.53	1950.0	3467.27	2271.4	1540.37	3847.29	1259.69	1977.24	4869.99	540.19	981.29	420.68	947.83	825.0	1250.98	1225.22	830.75	769.69	1073.91	579.04	1037.29	830.75	381.68	417.77	759.08	660.68	872.1	346.29	669.92	555.41	395.18	825.0	1250.98	392.44	547.75
ALDH5A1	228.13	237.86	10.08	287.01	158.79	140.04	232.94	503.95	346.29	371.22	376.41	197.09	493.56	587.13	320.8	934.76	921.88	229.72	633.73	769.69	567.1	665.29	579.04	620.67	503.95	231.32	567.1	460.44	679.29	441.64	753.83	775.05	323.03	591.22	638.15	325.29	417.77	748.61	249.73	540.19	819.3	316.37	665.29	679.29	2148.82	1104.13	1388.16	2018.8	420.68	2796.65	961.07	1313.23	2537.92	2032.85	1175.27	1832.01	43.32	124.37	60.39	155.5	108.9	41.52	159.9	155.5	129.69	291.04	149.12	403.5	158.79	234.57	197.09	242.88	463.65	217.27	63.45	204.07	74.58	143.01	73.54	120.1	143.01	164.42
ALDH7A1	175.07	289.02	172.65	1397.83	1909.85	1685.71	1529.73	3190.46	3257.52	1561.89	3146.52	866.07	420.68	4268.94	2777.33	3982.99	4095.0	1896.65	4239.45	5147.73	3235.01	6250.56	3395.89	2855.44	1651.0	1397.83	4575.41	3491.39	4181.07	2591.27	1008.9	5041.77	1628.26	1950.0	1457.23	1183.45	3395.89	6381.92	2645.74	3443.31	3124.78	915.51	3955.48	2855.44	8778.97	3325.99	5041.77	11909.94	4328.55	10440.2	4704.07	6250.56	13492.72	5711.87	5995.9	10659.59	1819.35	830.75	1081.39	373.81	1088.92	830.75	1304.15	3190.46	529.06	688.78	1417.35	3768.09	1151.06	2417.67	603.67	1340.84	551.56	1088.92	178.77	1936.53	1437.15	88.88	1111.82	1151.06	1015.93	1870.53
ASPDH	0.0	20.11	22.92	47.17	111.21	115.16	19.25	497.0	25.91	11.47	10.0	82.87	1111.82	2104.58	209.84	490.14	1628.26	56.28	2319.15	4450.27	186.4	1583.71	723.08	1457.23	1757.34	32.82	642.59	376.41	4268.94	638.15	819.3	954.43	753.83	1685.71	909.17	1397.83	255.0	2004.85	575.03	1096.5	1721.16	595.34	1806.78	2367.9	17317.18	4010.71	8778.97	18950.18	4575.41	14971.21	12943.04	4066.71	7331.05	31870.96	1991.0	5403.7	0.0	3.35	0.0	11.04	8.58	0.0	0.0	9.13	6.06	2.2	5.87	2.86	0.0	16.15	0.71	8.65	8.19	18.7	8.32	13.72	9.34	11.13	2.29	13.22	0.0	0.0
