	TCGA.C8.A27A.01A.11R.A169.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FV.01A.11R.A13Q.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.A7.A3J0.01A.11R.A213.07	TCGA.D8.A1JB.01A.11R.A13Q.07	TCGA.AR.A252.01A.11R.A169.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.AR.A24R.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A1KC.01B.11R.A157.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.SIU8.0926.SM.5SI87	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
GDAP1	1183.45	1467.37	1378.57	15075.35	2451.44	403.5	329.84	872.1	684.02	7230.1	1457.23	1096.5	54.33	0.0	0.28	57.49	59.13	158.79	76.71	248.0	115.16	49.91	12.18	39.79	69.03	17.0	35.76	57.89	120.94	44.25	22.1	34.02	15.45	27.84	23.42	58.3
GNAO1	387.02	211.31	688.78	961.07	791.35	33.54	51.35	633.73	11.21	323.03	248.0	271.48	11.38	0.0	0.32	43.02	20.11	132.44	84.04	72.52	332.14	58.71	71.5	81.14	24.28	127.0	60.82	110.43	92.7	23.59	29.27	30.12	12.55	172.65	21.78	84.63
GOLGA7	6250.56	2367.9	1745.2	872.1	961.07	1259.69	1225.22	6561.36	1127.35	3018.3	6471.02	2032.85	1135.2	1844.76	2976.74	647.07	780.44	967.76	934.76	1159.07	981.29	607.87	246.28	444.72	665.29	555.41	703.28	738.29	500.46	988.12	417.77	825.0	961.07	473.41	796.86	563.18
GPRIN1	226.54	269.6	153.34	172.65	223.41	55.49	125.24	289.02	118.43	214.27	157.68	414.87	28.86	0.0	0.28	5.23	13.42	28.45	14.24	28.24	24.81	21.16	12.27	11.82	25.17	5.87	18.56	13.03	6.11	29.06	16.27	3.76	42.41	5.5	8.25	24.63
GRIN1	119.26	15.0	16.39	28.24	53.57	18.43	88.26	139.07	2.71	10.79	0.84	95.34	0.0	0.0	0.26	10.0	8.13	9.48	5.06	22.75	18.97	0.0	19.39	3.72	0.93	0.74	2.78	45.21	1.36	13.83	34.02	19.39	0.41	6.57	0.64	1.73
GUF1	514.56	753.83	1044.52	444.72	713.11	480.04	400.71	791.35	476.71	825.0	555.41	514.56	224.97	0.0	0.22	139.07	159.9	285.03	229.72	312.0	303.44	94.01	55.1	139.07	42.71	119.26	139.07	165.57	175.07	133.36	144.01	70.01	40.36	132.44	85.22	115.97
GZF1	281.09	392.44	429.54	323.03	194.36	237.86	186.4	412.0	277.2	470.14	426.57	264.03	167.9	0.0	0.42	150.17	108.9	162.14	172.65	100.83	154.42	145.02	178.77	89.51	158.79	115.16	177.53	118.43	224.97	78.34	125.24	173.85	153.34	147.06	162.14	129.69
HIST1H1C	7749.1	3146.52	1561.89	3716.2	3928.15	4239.45	5479.15	10733.74	5517.27	3168.41	7382.04	9606.86	1268.46	0.0	0.74	866.07	647.07	1159.07	836.53	819.3	429.54	1662.49	1709.26	444.72	2287.2	2133.97	1457.23	567.1	2645.74	271.48	1001.93	2335.28	684.02	1651.0	1159.07	1233.75
HIST1H1T	7.17	6.78	11.55	6.67	5.96	3.99	3.59	40.93	5.54	3.96	6.78	1.19	2.25	0.0	0.0	1.48	0.0	0.0	0.0	0.0	0.0	0.0	3.17	0.0	0.0	0.0	0.0	3.63	0.0	0.0	0.0	0.0	3.92	0.0	0.0	0.0
HIST1H2AC	3443.31	4152.18	10296.45	6207.38	5403.7	4450.27	1733.13	9409.14	1551.09	5913.33	17317.18	3081.75	796.86	0.0	0.41	150.17	351.14	842.36	157.68	638.15	271.48	759.08	836.53	854.13	769.69	559.28	1208.34	376.41	332.14	189.02	595.34	848.22	896.64	312.0	728.11	669.92
