	TCGA.C8.A27A.01A.11R.A169.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FV.01A.11R.A13Q.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.A7.A3J0.01A.11R.A213.07	TCGA.D8.A1JB.01A.11R.A13Q.07	TCGA.AR.A252.01A.11R.A169.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.AR.A24R.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A1KC.01B.11R.A157.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.SIU8.0926.SM.5SI87	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
MMP26	2.36	2.05	0.0	6.46	21.32	0.0	0.0	2.14	0.0	0.0	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MRPL27	2720.15	3124.78	934.76	1519.15	1832.01	1977.24	1388.16	5147.73	1540.37	1081.39	2193.99	5913.33	884.29	0.0	0.0	1199.98	1191.69	1977.24	1417.35	1561.89	1313.23	624.99	595.34	723.08	392.44	703.28	480.04	547.75	854.13	1001.93	708.18	813.63	616.37	674.59	808.0	813.63
MYEOV2	3419.52	6037.61	5954.47	4512.4	2367.9	3060.45	3794.3	8421.31	4607.24	8598.28	4769.75	11664.82	2400.97	0.0	0.71	3039.3	6561.36	3639.7	4450.27	3325.99	2701.35	1674.06	1781.89	2018.8	1208.34	2682.69	1037.29	2090.03	1605.83	1936.53	2032.85	1883.54	1832.01	1709.26	2119.22	1015.93
MYT1	195.72	164.42	180.02	180.02	175.07	30.56	87.03	206.94	68.55	406.31	90.77	117.6	0.75	0.0	0.01	5.73	1.3	2.14	0.45	0.0	5.92	4.13	2.51	2.39	5.45	5.87	0.45	1.41	2.68	3.66	1.28	2.43	0.38	4.58	0.0	0.0
NECAB3	819.3	2384.37	947.83	2367.9	915.51	547.75	305.55	1331.57	743.43	1662.49	2287.2	2645.74	309.83	0.0	0.31	915.51	616.37	759.08	486.75	866.07	1088.92	323.03	460.44	262.2	397.93	1143.1	356.05	1242.34	1487.87	483.38	379.04	406.31	234.57	1037.29	595.34	486.75
NEURL	693.58	158.79	123.5	866.07	738.29	61.25	182.55	447.82	127.89	878.17	511.0	1242.34	8.78	0.0	0.31	5.36	5.28	105.15	1.93	2.78	5.23	132.44	176.29	23.08	139.07	3.79	96.01	44.89	28.45	18.7	70.51	58.71	16.51	28.65	144.01	34.51
NPY1R	57.49	16383.0	77.79	208.38	6426.31	214.27	312.0	20737.16	1583.71	18.56	13.22	2384.37	511.0	0.0	0.15	2.81	22.59	33.54	2.84	20.26	97.36	15.34	19.11	7.82	6.46	9.56	28.04	18.7	40.64	13.32	13.22	93.35	50.98	43.02	20.86	14.35
NRXN1	116.78	81.14	363.56	68.07	343.89	7.4	19.11	197.09	2.01	167.9	202.66	169.07	1.11	0.0	0.07	11.04	1.36	3.63	3.41	7.11	1.46	6.01	10.96	2.32	2.32	0.0	10.16	85.82	6.21	3.35	1.33	4.17	21.47	4.28	23.25	8.19
OR2B6	29.06	14.24	61.68	8.06	4.43	4.74	3.29	38.12	6.57	15.68	12.93	16.15	1.5	0.0	0.0	0.0	0.0	0.52	0.0	0.88	0.0	0.0	0.24	0.0	4.24	0.0	0.0	0.66	0.27	0.0	0.4	0.0	0.0	0.0	1.11	0.28
OSCP1	265.87	540.19	928.3	878.17	395.18	368.65	334.46	915.51	412.0	432.53	412.0	466.88	191.67	0.0	0.0	1096.5	226.54	684.02	656.11	651.58	961.07	161.02	728.11	163.28	125.24	242.88	255.0	514.56	381.68	223.41	105.15	175.07	104.42	211.31	102.97	81.14
P4HTM	1216.75	995.0	1081.39	2502.97	3018.3	791.35	759.08	2133.97	1015.93	1304.15	1844.76	1519.15	473.41	0.0	0.72	1487.87	466.88	1417.35	571.05	1313.23	2468.49	525.39	967.76	915.51	536.45	1119.56	559.28	866.07	1059.11	450.94	525.39	660.68	191.67	656.11	540.19	320.8
PDXP	426.57	291.04	1001.93	389.72	466.88	237.86	264.03	718.08	248.0	361.04	529.06	669.92	135.24	0.0	0.42	119.26	134.3	98.73	120.94	185.11	185.11	45.85	61.25	114.36	101.54	45.21	34.75	106.63	26.1	77.25	72.01	28.45	105.89	98.73	59.13	32.36
PET112	753.83	307.69	332.14	363.56	262.2	211.31	301.33	629.35	379.04	559.28	312.0	872.1	336.79	0.0	0.0	199.85	180.02	258.57	341.51	403.5	312.0	136.19	106.63	115.97	67.12	161.02	111.99	118.43	202.66	198.47	183.82	127.89	68.55	224.97	120.94	134.3
PPAPDC1B	6337.83	8191.0	3467.27	2400.97	2895.31	1159.07	1369.04	16269.83	1397.83	10512.82	9606.86	10733.74	1457.23	0.0	0.97	830.75	1159.07	1304.15	674.59	2664.15	1540.37	1268.46	819.3	1594.73	503.95	723.08	373.81	583.07	791.35	450.94	647.07	575.03	368.65	813.63	463.65	500.46
PRRT1	237.86	119.26	166.73	379.04	175.07	161.02	110.43	346.29	129.69	90.77	301.33	69.52	54.33	0.0	0.53	149.12	33.3	40.36	48.18	70.51	156.59	88.88	198.47	309.83	113.56	57.08	58.71	137.14	109.66	18.84	132.44	81.71	99.43	54.33	85.82	73.54
PSKH2	1.77	0.0	2.76	7.06	0.66	0.65	0.0	7.4	2.41	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTPRN2	915.51	599.49	4671.57	2119.22	2835.7	71.5	312.0	1745.2	9.93	4388.98	2816.11	1250.98	74.58	0.0	0.21	438.59	80.01	339.14	105.15	536.45	567.1	307.69	122.64	125.24	43.94	22.59	92.7	226.54	159.9	18.43	176.29	217.27	37.85	43.32	108.9	35.0
RBM48	305.55	269.6	444.72	373.81	212.78	323.03	305.55	387.02	256.78	283.05	215.77	293.07	287.01	0.0	0.0	134.3	158.79	157.68	172.65	334.46	348.71	58.71	130.6	165.57	125.24	153.34	89.51	187.71	102.97	100.13	135.24	96.01	199.85	136.19	109.66	108.14
RGL2	1259.69	3280.18	2485.67	2502.97	1733.13	1427.22	791.35	3395.89	1417.35	3124.78	2573.36	1857.6	1350.18	0.0	0.99	902.89	599.49	1437.15	733.19	1991.0	2335.28	954.43	1870.53	1304.15	1651.0	830.75	647.07	1242.34	1159.07	483.38	890.44	1066.48	1369.04	454.09	1104.13	595.34
RHBG	62.56	38.95	2.92	4.78	0.37	27.25	5.45	90.14	10.31	158.79	49.21	61.68	0.41	0.0	0.21	2.05	0.93	14.78	0.0	1.81	8.25	0.99	4.74	0.43	0.43	0.0	1.04	4.24	0.49	0.0	0.0	2.61	0.0	0.0	0.0	0.0
RNF170	796.86	348.71	665.29	249.73	376.41	341.51	327.56	1498.22	511.0	1151.06	1594.73	379.04	269.6	423.61	260.38	163.28	153.34	289.02	336.79	454.09	406.31	108.9	67.12	202.66	39.79	153.34	135.24	234.57	279.14	108.14	109.66	159.9	43.63	186.4	105.15	133.36
RNF25	587.13	738.29	392.44	579.04	567.1	525.39	575.03	1044.52	633.73	536.45	450.94	764.36	591.22	476.71	198.47	500.46	441.64	624.99	361.04	521.76	708.18	356.05	164.42	339.14	379.04	248.0	547.75	351.14	389.72	486.75	368.65	299.25	432.53	368.65	368.65	301.33
RP11-1102P16.1	1.46	7.4	4.1	0.65	0.31	0.31	4.46	6.52	2.97	0.0	3.11	11.73	0.37	0.0	0.0	3.63	0.0	5.45	2.01	0.0	8.06	0.0	3.59	0.0	0.0	1.93	0.0	4.98	7.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-723O4.6	76.17	41.81	4.06	119.26	29.91	7.69	14.56	113.56	31.22	103.69	41.22	100.13	1.87	0.0	0.05	41.81	12.0	47.5	3.26	43.63	28.65	9.48	16.27	15.22	2.48	4.74	22.59	22.92	37.85	1.71	8.45	20.86	9.78	5.19	4.35	8.38
RUNDC3A	947.83	1135.2	1617.0	3018.3	3146.52	18.84	57.89	1001.93	25.54	2351.53	2976.74	1628.26	18.29	0.0	0.39	31.9	13.42	28.86	23.42	21.16	11.13	19.39	7.06	20.11	53.57	13.22	16.15	74.58	14.14	27.84	39.5	6.52	0.54	26.67	14.67	0.93
SARM1	819.3	41.52	158.79	753.83	981.29	226.54	423.61	819.3	178.77	624.99	351.14	202.66	301.33	0.0	0.46	85.22	98.04	381.68	281.09	264.03	339.14	60.39	37.32	178.77	24.99	62.12	64.8	130.6	190.34	75.11	54.33	51.35	25.35	122.64	37.85	56.68
SAYSD1	1359.57	660.68	1037.29	921.88	518.15	551.56	414.87	1216.75	318.57	1104.13	1883.54	708.18	269.6	0.0	0.27	249.73	275.28	316.37	242.88	480.04	376.41	145.02	116.78	158.79	114.36	195.72	163.28	127.89	180.02	204.07	181.28	164.42	193.01	150.17	170.25	156.59
SBK1	353.59	232.94	312.0	177.53	141.02	88.88	134.3	493.56	157.68	301.33	116.78	633.73	18.29	0.0	0.33	60.82	17.0	89.51	51.35	70.01	138.1	16.51	102.25	14.67	102.97	32.59	30.34	262.2	36.79	19.11	8.38	16.75	50.98	36.27	64.8	10.0
SCAMP5	1199.98	429.54	988.12	1143.1	954.43	381.68	387.02	2148.82	764.36	808.0	1467.37	974.5	232.94	0.0	0.06	108.14	31.22	114.36	105.89	150.17	341.51	67.12	43.32	108.14	14.14	33.3	51.71	107.38	81.71	42.11	72.01	57.89	13.62	64.8	63.89	69.52
SCRT1	26.86	0.34	447.82	23.08	16.63	0.0	0.39	39.79	0.66	88.88	4.35	6.01	0.0	0.0	0.06	0.07	0.0	0.29	1.22	0.3	0.36	0.0	0.34	0.84	0.58	0.08	0.09	5.19	0.09	1.33	0.06	0.33	0.33	0.68	0.06	0.09
SEPT3	665.29	444.72	769.69	48.52	103.69	64.8	72.52	656.11	197.09	409.15	559.28	607.87	6.36	0.0	0.2	13.72	41.52	18.03	30.12	8.45	55.89	16.75	46.5	9.7	7.63	3.86	64.8	101.54	24.46	49.21	38.95	9.85	9.2	149.12	20.11	31.67
SLC1A4	1286.18	1259.69	1199.98	1322.37	775.05	486.75	525.39	1477.58	521.76	2224.63	1111.82	1104.13	293.07	0.0	0.41	131.51	55.89	267.73	173.85	277.2	371.22	34.51	49.91	69.03	38.95	76.17	116.78	124.37	128.79	47.17	90.14	55.49	25.54	241.19	29.7	88.26
SLC25A10	896.64	1685.71	486.75	967.76	674.59	660.68	638.15	748.61	633.73	703.28	447.82	848.22	198.47	0.0	0.0	265.87	86.43	291.04	178.77	197.09	366.09	75.64	126.12	89.51	58.3	100.13	77.79	142.01	163.28	141.02	62.12	37.85	40.93	106.63	66.18	40.36
SLC27A4	1088.92	1388.16	426.57	651.58	866.07	599.49	332.14	1350.18	547.75	1015.93	403.5	974.5	241.19	0.0	0.2	169.07	236.21	336.79	223.41	279.14	323.03	110.43	141.02	181.28	139.07	251.48	151.22	208.38	195.72	271.48	211.31	154.42	124.37	217.27	215.77	177.53
SLC39A3	813.63	1397.83	825.0	1044.52	1242.34	981.29	733.19	1594.73	934.76	1143.1	1583.71	1167.14	674.59	0.0	0.0	595.34	518.15	693.58	559.28	785.88	688.78	376.41	201.25	432.53	241.19	400.71	514.56	368.65	529.06	500.46	438.59	400.71	242.88	563.18	381.68	332.14
SLC8A2	158.79	123.5	583.07	26.67	698.41	1.1	3.38	217.27	6.11	353.59	87.65	0.0	0.77	0.0	0.2	7.4	0.96	3.0	0.74	1.48	2.25	12.55	1.35	0.59	2.89	3.63	0.39	5.41	3.76	15.45	2.48	1.68	5.92	2.05	2.39	0.0
SMIM19	4802.93	4123.49	2537.92	1208.34	1119.56	2255.7	1277.29	6294.04	1427.22	6561.36	6037.61	2627.46	1322.37	0.0	0.51	3419.52	1167.14	1340.84	1977.24	2956.17	1447.15	819.3	253.23	941.27	329.84	624.99	698.41	1111.82	1159.07	1183.45	1104.13	733.19	226.54	1143.1	718.08	579.04
SOX12	718.08	866.07	503.95	400.71	414.87	414.87	297.17	759.08	454.09	764.36	629.35	884.29	256.78	166.73	412.0	206.94	74.06	155.5	64.8	275.28	170.25	61.68	146.03	181.28	153.34	163.28	45.53	255.0	201.25	92.7	82.87	115.97	164.42	49.56	134.3	66.65
SPR	1605.83	1417.35	1721.16	2627.46	1674.06	748.61	1388.16	2047.0	2193.99	2720.15	1350.18	2004.85	748.61	0.0	0.08	521.76	567.1	483.38	607.87	480.04	612.11	307.69	397.93	269.6	202.66	454.09	212.78	426.57	432.53	420.68	361.04	208.38	242.88	336.79	353.59	368.65
SPTBN4	204.07	95.34	265.87	423.61	395.18	53.19	47.5	356.05	93.35	281.09	400.71	381.68	1.95	0.0	0.37	11.64	23.08	24.46	5.15	44.89	57.89	5.59	6.46	54.33	16.15	7.0	17.51	17.64	28.65	14.89	14.45	12.36	8.19	11.13	8.25	14.89
SVOP	45.85	0.0	420.68	39.5	71.0	0.0	2.14	115.16	0.0	486.75	277.2	24.28	0.38	0.0	0.0	0.59	0.0	0.18	0.24	0.53	8.25	0.0	0.0	1.33	0.0	1.0	0.24	28.24	0.23	1.68	0.57	11.3	0.0	0.66	0.0	0.0
SYNGAP1	363.56	255.0	387.02	323.03	217.27	133.36	170.25	748.61	285.03	256.78	532.74	171.45	228.13	0.0	0.77	242.88	87.65	293.07	262.2	190.34	607.87	136.19	406.31	312.0	208.38	346.29	162.14	379.04	218.79	57.08	166.73	244.57	356.05	170.25	205.5	241.19
SYT1	237.86	3540.14	2119.22	9.78	409.15	1023.0	37.05	2591.27	432.53	1304.15	1233.75	1950.0	4.46	0.0	0.31	12.27	12.64	58.71	1.35	204.07	5.5	79.45	11.47	25.72	15.0	7.57	29.7	343.89	42.41	23.93	14.45	79.45	17.25	4.24	22.26	33.06
TADA2B	532.74	547.75	400.71	633.73	429.54	392.44	423.61	878.17	503.95	693.58	329.84	297.17	361.04	0.0	0.25	314.17	211.31	265.87	180.02	241.19	500.46	148.09	195.72	205.5	99.43	295.11	198.47	316.37	295.11	343.89	131.51	96.01	111.21	392.44	251.48	201.25
TBC1D9	1561.89	5633.22	12329.98	10084.54	2758.13	4419.52	5147.73	9344.14	4769.75	4972.34	11112.3	5672.41	447.82	0.0	0.48	500.46	493.56	518.15	490.14	934.76	480.04	457.25	647.07	460.44	1073.91	466.88	567.1	921.88	796.86	400.71	1037.29	836.53	791.35	954.43	454.09	665.29
TCEA3	2193.99	3419.52	2271.4	3325.99	1498.22	1950.0	1286.18	3467.27	1119.56	2018.8	1583.71	2997.45	2434.5	0.0	0.58	928.3	514.56	529.06	679.29	2178.83	723.08	318.57	1628.26	830.75	239.52	813.63	264.03	2178.83	3901.01	476.71	583.07	1651.0	412.0	769.69	669.92	595.34
TFAP2A	1540.37	3146.52	3467.27	2209.26	1832.01	2255.7	728.11	3491.39	341.51	4123.49	4419.52	5255.91	293.07	389.72	403.5	82.87	8.65	51.71	37.59	69.52	147.06	58.3	47.5	4.21	7.11	10.88	3.82	25.72	22.43	13.22	5.45	5.5	1.55	3.5	0.54	2.56
THAP4	1304.15	1674.06	1151.06	2193.99	1617.0	769.69	1081.39	1674.06	1167.14	1111.82	759.08	1397.83	947.83	0.0	0.74	1781.89	1397.83	785.88	785.88	928.3	1175.27	738.29	647.07	728.11	1008.9	785.88	507.46	791.35	947.83	1388.16	603.67	718.08	688.78	909.17	1073.91	638.15
THSD4	417.77	1135.2	1104.13	1639.59	490.14	713.11	567.1	1175.27	343.89	1023.0	629.35	708.18	37.05	0.0	0.35	260.38	169.07	353.59	129.69	373.81	193.01	249.73	271.48	151.22	59.55	81.14	708.18	854.13	228.13	234.57	115.16	423.61	98.04	70.01	368.65	291.04
TM2D2	10296.45	3982.99	2875.3	674.59	896.64	1540.37	1081.39	13776.25	1023.0	5329.3	4512.4	14065.74	748.61	0.0	0.69	785.88	579.04	718.08	780.44	629.35	921.88	633.73	299.25	351.14	1143.1	368.65	381.68	486.75	890.44	902.89	454.09	591.22	718.08	819.3	693.58	466.88
TMEM145	825.0	368.65	759.08	1977.24	1175.27	108.14	102.97	896.64	176.29	1617.0	1331.57	389.72	5.77	0.0	0.46	4.54	2.71	5.28	6.67	0.0	0.73	12.83	0.67	15.56	5.96	2.86	0.1	7.0	0.23	2.29	6.31	4.13	5.11	3.53	0.0	0.62
TMEM198	303.44	127.89	84.63	441.64	536.45	100.13	84.63	246.28	117.6	665.29	236.21	339.14	41.81	0.0	0.49	21.78	9.13	46.5	50.98	35.5	64.8	16.39	7.69	25.72	2.76	26.86	16.88	24.28	24.81	11.73	19.39	6.46	2.76	25.17	11.3	14.78
TMEM199	775.05	796.86	651.58	684.02	947.83	693.58	612.11	902.89	571.05	915.51	896.64	1119.56	441.64	0.0	0.0	460.44	403.5	642.59	346.29	450.94	532.74	264.03	249.73	267.73	217.27	346.29	289.02	363.56	320.8	536.45	256.78	260.38	242.88	346.29	363.56	305.55
TMEM229B	728.11	201.25	190.34	346.29	559.28	182.55	379.04	764.36	473.41	273.37	123.5	211.31	514.56	0.0	0.0	55.89	29.48	99.43	66.18	183.82	269.6	65.26	57.08	46.5	13.62	34.26	28.45	46.18	59.97	32.82	23.76	16.27	5.32	19.82	68.07	17.9
TRUB2	1216.75	974.5	780.44	890.44	1081.39	599.49	607.87	974.5	896.64	1127.35	497.0	941.27	371.22	0.0	0.0	376.41	246.28	299.25	384.34	356.05	444.72	134.3	100.83	155.5	95.34	221.86	149.12	217.27	285.03	361.04	197.09	136.19	115.97	299.25	187.71	153.34
UBIAD1	438.59	379.04	616.37	381.68	376.41	309.83	348.71	647.07	275.28	237.86	289.02	206.94	214.27	176.29	87.65	153.34	141.02	186.4	134.3	208.38	239.52	109.66	61.68	85.22	104.42	115.97	152.28	126.12	154.42	264.03	63.45	84.63	122.64	143.01	129.69	101.54
UNC13A	246.28	59.97	366.09	503.95	684.02	2.12	38.95	320.8	4.17	525.39	460.44	0.36	0.78	0.0	0.27	4.9	2.84	0.93	2.23	5.28	3.66	0.72	5.63	1.08	0.0	9.2	10.79	15.45	8.13	5.92	5.82	0.64	2.73	20.26	0.0	6.67
USP18	1286.18	320.8	146.03	493.56	217.27	579.04	723.08	4671.57	718.08	98.73	234.57	463.65	348.71	0.0	0.0	158.79	120.94	384.34	148.09	381.68	473.41	72.52	151.22	150.17	36.27	80.57	120.94	136.19	186.4	130.6	90.14	102.25	47.84	80.57	72.52	131.51
USP41	748.61	52.82	11.38	336.79	112.77	242.88	423.61	1709.26	559.28	21.47	80.01	24.63	35.76	0.0	0.0	52.45	37.05	409.15	6.57	0.0	457.25	80.01	5.73	142.01	0.0	47.84	71.5	0.0	145.02	287.01	0.0	97.36	127.89	0.0	239.52	0.0
WDR17	176.29	55.89	178.77	115.97	88.88	53.19	77.79	108.9	74.58	1.36	161.02	186.4	4.5	0.0	0.22	29.7	3.0	53.57	10.55	55.1	57.49	21.78	21.16	74.58	11.3	8.45	40.64	26.67	44.57	12.45	17.77	36.01	5.45	6.31	11.64	20.56
WDR31	120.1	128.79	438.59	211.31	187.71	112.77	76.71	169.07	120.1	156.59	60.39	82.29	22.26	0.0	0.0	41.22	9.13	41.22	36.79	66.65	92.05	11.21	15.56	19.82	3.47	16.51	20.56	35.0	30.78	16.51	14.67	21.16	3.47	23.59	9.85	14.14
WHSC1L1	11827.67	4512.4	7749.1	1119.56	902.89	947.83	1167.14	11745.96	1286.18	7695.57	7130.55	10808.41	785.88	0.0	0.82	656.11	651.58	638.15	866.07	1008.9	616.37	703.28	1540.37	1628.26	842.36	961.07	633.73	1519.15	579.04	486.75	988.12	1662.49	1977.24	463.65	748.61	1008.9
XKR7	118.43	15.11	93.35	140.04	151.22	0.0	1.06	116.78	5.06	285.03	135.24	0.29	0.38	0.0	0.0	0.0	0.33	1.16	0.39	0.27	0.0	1.45	1.38	0.0	0.0	0.36	0.0	0.37	0.38	0.29	4.5	0.32	4.43	0.0	0.29	0.0
ZNF2	99.43	98.04	59.13	73.54	68.07	93.35	111.99	127.89	88.26	63.0	79.45	85.22	77.79	31.22	100.83	28.24	45.53	43.32	50.98	53.19	70.51	11.13	12.93	23.08	10.79	18.03	23.93	23.08	31.0	20.86	18.7	20.86	18.56	18.16	29.48	21.32
ZNF233	66.18	108.9	109.66	78.89	87.65	17.25	43.02	154.42	8.19	65.26	204.07	64.34	12.83	0.0	0.25	9.56	9.41	24.63	2.56	19.68	57.49	18.43	9.48	14.35	2.43	26.86	6.78	7.34	21.94	2.94	19.82	4.1	3.38	8.99	7.57	13.12
ZNF425	34.75	28.65	125.24	78.89	32.82	54.33	54.72	88.26	80.01	105.15	26.1	109.66	27.25	0.0	0.0	20.26	10.63	29.7	20.41	16.63	63.45	4.86	9.13	5.23	9.48	20.11	6.21	42.41	20.41	6.73	6.36	9.06	8.99	13.83	18.97	7.94
ZNF703	10154.69	4298.64	3124.78	703.28	2119.22	1583.71	748.61	5711.87	1896.65	6471.02	26800.01	13215.02	178.77	100.83	921.88	47.17	14.03	371.22	368.65	67.59	417.77	102.25	242.88	228.13	77.79	59.97	1030.12	87.65	106.63	135.24	56.28	44.25	197.09	114.36	88.26	114.36
ZNF814	320.8	551.56	483.38	909.17	579.04	412.0	299.25	743.43	211.31	206.94	540.19	320.8	281.09	0.0	0.74	154.42	100.83	409.15	142.01	318.57	277.2	159.9	104.42	195.72	159.9	279.14	96.01	305.55	137.14	64.34	441.64	234.57	146.03	211.31	82.29	215.77
ZSCAN21	212.78	361.04	348.71	301.33	212.78	271.48	234.57	329.84	285.03	381.68	236.21	384.34	217.27	0.0	0.16	124.37	123.5	212.78	140.04	166.73	236.21	56.68	46.5	78.34	55.49	68.55	100.13	97.36	103.69	70.51	43.63	77.25	101.54	72.52	72.01	71.5
