	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	GTEX.13FTX.1126.SM.5N9EN	GTEX.11ZTT.2326.SM.5EQLG	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.ZQG8.0726.SM.5P9H9	TCGA.CM.5861.01A.01R.1653.07	GTEX.13O61.1226.SM.5KM21	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.CJ.4644.01A.02R.1325.07	TCGA.BP.4763.01A.01R.1289.07	GTEX.U3ZN.0226.SM.3DB8D	TCGA.44.6148.01A.11R.1755.07	GTEX.X5EB.0426.SM.46MVY	TCGA.YL.A9WH.01A.11R.A37L.07	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.D7.8570.01A.11R.2343.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.D7.8574.01A.13R.2343.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6453.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13U4I.2526.SM.5SI8Z	GTEX.13NZ9.1126.SM.5MR37
ABCC10	215.77	178.77	214.27	199.85	167.9	209.84	202.66	231.32	221.86	171.45	246.28	181.28	265.87	178.77	251.48	205.5	178.77	187.71	107.38	137.14	361.04	371.22	518.15	563.18	156.59	122.64	85.82	426.57	733.19	279.14	571.05	780.44	759.08	392.44	279.14	426.57	595.34	381.68	329.84	483.38	463.65	273.37	514.56	511.0	392.44	307.69	412.0	373.81	376.41	392.44	285.03	348.71	165.57	295.11	309.83	507.46	748.61
AC024940.1	0.36	0.0	0.0	1.3	0.0	0.0	0.8	1.51	0.0	0.82	0.0	0.44	0.38	0.41	0.79	0.41	1.5	0.0	1.3	0.0	0.0	3.41	2.51	4.39	0.0	0.0	0.49	7.34	1.36	8.51	9.27	8.78	3.76	5.45	1.23	4.35	0.46	2.76	1.13	6.57	2.16	1.13	6.01	4.54	6.62	1.93	2.97	4.86	3.53	2.56	4.39	3.72	2.2	0.87	6.78	1.91	2.84
ACAP3	81.14	193.01	237.86	217.27	98.04	159.9	277.2	309.83	265.87	248.0	293.07	260.38	356.05	264.03	239.52	217.27	76.71	178.77	151.22	80.57	432.53	1030.12	1277.29	2451.44	143.01	122.64	59.55	387.02	791.35	854.13	543.96	371.22	638.15	579.04	291.04	660.68	808.0	638.15	466.88	511.0	332.14	540.19	909.17	738.29	543.96	902.89	480.04	392.44	341.51	521.76	435.55	466.88	176.29	361.04	389.72	1037.29	890.44
ACSF3	291.04	297.17	316.37	323.03	217.27	323.03	273.37	297.17	316.37	293.07	320.8	329.84	339.14	275.28	299.25	299.25	223.41	173.85	229.72	198.47	775.05	532.74	497.0	466.88	251.48	265.87	379.04	854.13	575.03	775.05	802.41	447.82	363.56	503.95	1277.29	638.15	529.06	620.67	341.51	723.08	414.87	480.04	356.05	842.36	995.0	753.83	748.61	642.59	748.61	890.44	684.02	674.59	521.76	463.65	575.03	954.43	591.22
AKAP17A	64.34	131.51	137.14	156.59	91.41	102.25	128.79	193.01	153.34	136.19	178.77	137.14	191.67	128.79	194.36	155.5	110.43	89.51	109.66	83.45	229.72	518.15	521.76	688.78	122.64	83.45	104.42	343.89	532.74	426.57	591.22	249.73	366.09	426.57	224.97	450.94	389.72	373.81	199.85	351.14	267.73	127.89	346.29	503.95	334.46	447.82	295.11	269.6	185.11	483.38	220.32	305.55	84.63	169.07	273.37	493.56	759.08
AMH	2.86	0.96	1.55	9.48	1.04	0.0	1.89	3.03	0.0	3.66	5.73	2.05	1.36	3.26	5.68	4.1	1.06	1.5	0.48	0.0	127.89	35.5	12.45	62.12	0.74	0.0	0.0	15.0	42.71	275.28	87.65	540.19	46.18	47.84	33.54	78.34	14.35	36.79	2.25	199.85	10.31	165.57	16.88	75.11	19.25	20.41	10.16	1.38	7.51	24.28	21.16	5.54	6.62	5.87	17.51	34.02	7.0
ANAPC2	265.87	343.89	316.37	283.05	209.84	241.19	312.0	426.57	348.71	346.29	473.41	392.44	403.5	387.02	395.18	316.37	202.66	237.86	275.28	246.28	514.56	854.13	1008.9	1313.23	348.71	180.02	256.78	651.58	1457.23	1135.2	1066.48	802.41	753.83	723.08	703.28	743.43	708.18	830.75	486.75	769.69	660.68	473.41	995.0	825.0	713.11	842.36	688.78	518.15	536.45	791.35	642.59	679.29	204.07	532.74	583.07	915.51	1008.9
ANKRD13D	212.78	353.59	267.73	273.37	141.02	181.28	212.78	339.14	361.04	305.55	444.72	341.51	414.87	325.29	400.71	287.01	198.47	183.82	205.5	152.28	463.65	961.07	1066.48	1322.37	154.42	201.25	88.26	884.29	1407.55	1350.18	1268.46	497.0	921.88	988.12	371.22	743.43	551.56	583.07	703.28	665.29	591.22	647.07	961.07	1175.27	454.09	1127.35	483.38	351.14	303.44	1111.82	457.25	486.75	285.03	361.04	708.18	1167.14	1467.37
ARHGEF1	285.03	836.53	872.1	647.07	371.22	536.45	703.28	961.07	830.75	728.11	1111.82	674.59	1135.2	764.36	909.17	723.08	417.77	392.44	808.0	656.11	2855.44	2004.85	2520.38	3395.89	674.59	387.02	305.55	1651.0	7642.41	1322.37	6792.79	3901.01	2573.36	3928.15	2271.4	3081.75	2777.33	2075.59	1388.16	2240.11	1651.0	1870.53	3103.19	4358.66	1447.15	1745.2	1427.22	1175.27	1051.79	2796.65	1594.73	1457.23	463.65	988.12	2255.7	3419.52	6294.04
BRD1	186.4	285.03	301.33	283.05	236.21	271.48	297.17	366.09	279.14	307.69	325.29	307.69	332.14	279.14	307.69	336.79	258.57	164.42	309.83	234.57	447.82	595.34	599.49	599.49	153.34	186.4	111.99	486.75	830.75	414.87	511.0	320.8	599.49	536.45	470.14	346.29	438.59	371.22	379.04	435.55	281.09	361.04	497.0	599.49	444.72	583.07	460.44	339.14	341.51	368.65	373.81	281.09	100.13	244.57	289.02	397.93	518.15
