	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.E9.A226.01A.21R.A157.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.AN.A0XN.01A.21R.A109.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.CN.6016.01A.11R.1686.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.44.6774.01A.21R.1858.07	TCGA.85.6175.01A.11R.1820.07
ABCE1	587.13	514.56	567.1	1081.39	1167.14	674.59	988.12	1369.04	571.05	753.83	988.12	612.11	647.07	525.39	1572.76	1073.91	1447.15	728.11	563.18	748.61	854.13	214.27	728.11	748.61	836.53	579.04	466.88	435.55	921.88	500.46	583.07	121.79	189.02	264.03	733.19	684.02
ANKIB1	151.22	368.65	297.17	642.59	629.35	307.69	723.08	563.18	454.09	476.71	441.64	343.89	551.56	151.22	476.71	688.78	842.36	412.0	281.09	395.18	490.14	105.89	403.5	599.49	503.95	303.44	312.0	256.78	371.22	307.69	1023.0	108.14	164.42	65.72	473.41	476.71
ANKRD13C	153.34	214.27	186.4	392.44	341.51	273.37	371.22	361.04	323.03	307.69	166.73	214.27	299.25	162.14	301.33	309.83	295.11	193.01	289.02	195.72	318.57	92.7	244.57	295.11	176.29	226.54	170.25	111.21	283.05	234.57	182.55	55.1	60.82	125.24	223.41	187.71
APOOL	21.01	63.0	34.26	115.97	157.68	117.6	195.72	178.77	112.77	241.19	71.5	89.51	141.02	43.02	169.07	208.38	239.52	54.72	120.1	108.14	165.57	21.47	73.54	161.02	134.3	52.45	60.39	38.4	47.17	37.59	102.25	31.45	23.76	49.56	94.01	112.77
ARL5A	438.59	412.0	547.75	909.17	1051.79	583.07	802.41	1183.45	775.05	759.08	842.36	507.46	764.36	246.28	1037.29	866.07	921.88	414.87	551.56	540.19	743.43	197.09	738.29	830.75	583.07	356.05	473.41	204.07	529.06	329.84	490.14	145.02	256.78	217.27	733.19	642.59
ATF2	255.0	371.22	320.8	703.28	693.58	555.41	688.78	981.29	567.1	775.05	571.05	457.25	514.56	197.09	1119.56	796.86	842.36	438.59	429.54	555.41	543.96	98.04	607.87	693.58	397.93	624.99	309.83	255.0	483.38	371.22	457.25	123.5	190.34	204.07	426.57	612.11
ATG4C	92.05	122.64	117.6	161.02	231.32	194.36	242.88	253.23	198.47	186.4	95.34	134.3	167.9	155.5	251.48	318.57	273.37	162.14	181.28	178.77	241.19	48.87	206.94	334.46	246.28	248.0	90.77	94.67	204.07	190.34	131.51	46.84	95.34	81.71	133.36	204.07
ATP6V1A	348.71	503.95	470.14	1832.01	1286.18	703.28	1088.92	1104.13	651.58	1519.15	780.44	660.68	902.89	587.13	974.5	1529.73	1233.75	674.59	638.15	753.83	748.61	262.2	785.88	1066.48	769.69	543.96	842.36	567.1	642.59	457.25	540.19	1001.93	543.96	325.29	536.45	728.11
ATRX	117.6	249.73	201.25	432.53	624.99	356.05	693.58	532.74	343.89	603.67	273.37	312.0	371.22	143.01	341.51	591.22	665.29	320.8	223.41	283.05	454.09	63.0	409.15	547.75	368.65	334.46	231.32	165.57	231.32	236.21	392.44	25.35	50.63	76.71	281.09	493.56
BIRC6	275.28	414.87	438.59	748.61	860.08	587.13	928.3	1159.07	525.39	902.89	624.99	438.59	660.68	277.2	591.22	703.28	1111.82	457.25	389.72	497.0	669.92	255.0	624.99	915.51	567.1	500.46	423.61	387.02	507.46	336.79	525.39	204.07	194.36	220.32	638.15	713.11
BRCC3	135.24	256.78	248.0	624.99	529.06	353.59	423.61	470.14	395.18	638.15	353.59	314.17	872.1	191.67	511.0	842.36	674.59	249.73	460.44	454.09	361.04	167.9	368.65	587.13	438.59	197.09	181.28	185.11	170.25	269.6	265.87	59.13	76.17	123.5	295.11	314.17
C2orf69	148.09	105.15	120.1	279.14	277.2	187.71	269.6	463.65	166.73	297.17	173.85	177.53	248.0	57.89	463.65	287.01	318.57	125.24	153.34	182.55	195.72	45.85	258.57	187.71	138.1	128.79	108.9	100.83	169.07	103.69	136.19	19.68	30.56	68.07	159.9	130.6
CCDC43	221.86	220.32	223.41	384.34	423.61	599.49	314.17	591.22	314.17	547.75	397.93	366.09	480.04	256.78	521.76	583.07	547.75	361.04	387.02	309.83	376.41	214.27	460.44	559.28	551.56	314.17	295.11	229.72	262.2	239.52	307.69	150.17	267.73	109.66	403.5	332.14
CCSER2	234.57	368.65	249.73	361.04	660.68	624.99	708.18	629.35	785.88	738.29	591.22	466.88	480.04	189.02	819.3	460.44	603.67	417.77	460.44	483.38	759.08	163.28	616.37	921.88	575.03	361.04	563.18	275.28	275.28	301.33	497.0	86.43	87.03	119.26	563.18	521.76
CELF1	332.14	599.49	599.49	1447.15	1051.79	748.61	941.27	1119.56	785.88	896.64	669.92	669.92	780.44	497.0	1015.93	1183.45	1447.15	738.29	555.41	633.73	909.17	287.01	674.59	1208.34	775.05	633.73	764.36	441.64	583.07	420.68	1059.11	376.41	389.72	312.0	890.44	872.1
COL1A2	223512.12	258533.99	116501.39	118127.7	81244.48	215898.44	159145.95	59887.86	318292.9	171754.88	200048.85	140478.49	280957.98	88291.3	123144.13	112532.89	77934.88	189257.69	267651.2	189257.69	187950.38	12244.81	182810.84	102836.01	296977.71	506427.83	159145.95	119776.72	214407.12	434801.29	234624.45	2609.3	5219.6	1369.04	146444.06	170568.48
CPSF2	202.66	327.56	332.14	708.18	785.88	420.68	555.41	860.08	473.41	738.29	612.11	269.6	525.39	262.2	620.67	819.3	575.03	473.41	438.59	551.56	529.06	130.6	587.13	540.19	529.06	334.46	368.65	253.23	341.51	277.2	567.1	44.25	144.01	142.01	525.39	514.56
CREB1	214.27	293.07	277.2	780.44	848.22	392.44	656.11	785.88	441.64	669.92	420.68	532.74	514.56	159.9	759.08	802.41	872.1	323.03	309.83	368.65	642.59	98.04	441.64	647.07	417.77	412.0	346.29	176.29	339.14	228.13	470.14	67.12	94.01	112.77	389.72	629.35
CRLF3	105.15	100.83	151.22	133.36	323.03	186.4	231.32	303.44	177.53	241.19	150.17	186.4	191.67	108.14	229.72	287.01	318.57	189.02	177.53	176.29	197.09	81.14	305.55	329.84	154.42	170.25	140.04	76.17	105.15	157.68	107.38	61.25	102.25	29.91	171.45	228.13
CTDSPL2	96.01	182.55	163.28	567.1	723.08	346.29	540.19	612.11	346.29	395.18	392.44	316.37	376.41	190.34	392.44	470.14	493.56	239.52	229.72	264.03	441.64	71.5	358.54	567.1	255.0	332.14	175.07	108.9	194.36	114.36	339.14	24.46	71.5	50.98	237.86	358.54
CUL2	275.28	450.94	486.75	703.28	748.61	587.13	647.07	909.17	457.25	791.35	486.75	397.93	638.15	275.28	718.08	563.18	718.08	460.44	583.07	551.56	543.96	143.01	591.22	743.43	511.0	412.0	420.68	226.54	490.14	253.23	435.55	43.63	86.43	195.72	376.41	511.0
CXorf23	70.01	98.04	69.52	199.85	289.02	143.01	175.07	138.1	102.25	149.12	120.94	98.04	115.97	76.17	120.94	231.32	161.02	93.35	81.71	114.36	129.69	27.25	139.07	194.36	120.94	45.85	36.79	40.07	59.13	75.64	88.88	20.71	25.54	26.47	74.58	137.14
DCAF17	52.82	96.68	98.73	323.03	287.01	169.07	223.41	334.46	144.01	269.6	201.25	112.77	154.42	39.22	327.56	293.07	297.17	125.24	117.6	171.45	201.25	48.52	181.28	320.8	191.67	139.07	95.34	88.88	80.01	78.34	141.02	40.36	53.57	33.78	149.12	191.67
DCK	149.12	195.72	232.94	514.56	503.95	318.57	395.18	633.73	202.66	493.56	316.37	273.37	297.17	125.24	409.15	483.38	532.74	277.2	218.79	283.05	336.79	112.77	599.49	329.84	251.48	253.23	163.28	105.15	208.38	209.84	183.82	143.01	165.57	56.68	285.03	277.2
DDX52	189.02	223.41	400.71	265.87	314.17	309.83	376.41	493.56	231.32	366.09	283.05	275.28	309.83	209.84	412.0	432.53	591.22	287.01	232.94	214.27	275.28	114.36	327.56	583.07	473.41	273.37	212.78	145.02	165.57	195.72	241.19	46.84	147.06	107.38	303.44	267.73
DNAJB14	123.5	176.29	146.03	366.09	551.56	281.09	441.64	486.75	287.01	332.14	258.57	242.88	301.33	91.41	309.83	403.5	450.94	271.48	242.88	208.38	327.56	59.97	358.54	429.54	177.53	180.02	178.77	135.24	158.79	162.14	185.11	27.84	65.72	67.12	218.79	293.07
EIF2AK1	718.08	1295.13	1540.37	4066.71	3060.45	3081.75	2335.28	2956.17	1769.57	1977.24	1991.0	1572.76	2287.2	1015.93	2090.03	3716.2	2417.67	1191.69	2855.44	1745.2	1991.0	1407.55	1794.29	3716.2	2303.12	1467.37	1378.57	1769.57	1757.34	1709.26	1832.01	974.5	1662.49	1111.82	1733.13	1628.26
