	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.BJ.A291.01A.11R.A16R.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.BJ.A0ZF.01A.11R.A10U.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.KS.A41J.11A.12R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.ZZPU.1326.SM.5GZWS	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.1128S.0126.SM.5H12S	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7
AC021860.1	2.56	0.0	0.0	0.0	0.0	0.0	2.53	2.56	1.95	1.83	5.32	8.38	6.57	2.39	2.58	20.71	20.41	3.23	4.35	3.17	75.11	94.01	15.0	55.49	15.8	28.04	29.48	24.11	19.25	10.71	21.47	35.25	134.3	45.53	23.59	48.18	54.33	52.08	47.5	65.72	69.03	25.72	70.51	7.88	21.16	12.55	43.32	38.67	38.95	147.06	25.72	15.8	113.56	146.03	35.0	43.63	24.81	6.11	30.34	33.06	52.08	5.63	128.79	37.32	41.81	7.57	21.63	68.55	19.53	8.58	65.72	12.74	171.45	16.27	120.94	66.18	122.64	41.81	12.0	102.25	15.56	25.91	1.31	24.99	31.22	28.86	38.12	41.22	59.97	65.72	13.42	29.48	56.68	22.43	37.59
ANAPC4	189.02	146.03	172.65	104.42	147.06	171.45	260.38	273.37	255.0	183.82	356.05	343.89	262.2	301.33	162.14	392.44	384.34	255.0	275.28	251.48	575.03	571.05	368.65	780.44	307.69	381.68	473.41	314.17	603.67	457.25	358.54	389.72	633.73	514.56	438.59	412.0	297.17	660.68	400.71	521.76	559.28	438.59	409.15	470.14	403.5	351.14	429.54	376.41	429.54	591.22	457.25	409.15	616.37	633.73	406.31	426.57	368.65	361.04	371.22	624.99	540.19	363.56	559.28	518.15	647.07	414.87	438.59	389.72	532.74	277.2	575.03	356.05	624.99	450.94	567.1	348.71	660.68	432.53	373.81	483.38	438.59	432.53	334.46	429.54	281.09	587.13	503.95	371.22	651.58	624.99	341.51	353.59	536.45	339.14	450.94
ANKAR	15.22	16.39	14.14	8.58	33.06	23.08	31.0	62.12	44.25	28.04	85.22	63.0	46.5	49.56	67.59	71.0	52.45	44.89	41.22	24.28	197.09	140.04	63.0	189.02	120.94	88.88	114.36	46.5	114.36	87.03	72.01	135.24	135.24	146.03	122.64	109.66	54.33	177.53	75.11	137.14	183.82	92.7	153.34	116.78	46.5	62.12	136.19	90.14	93.35	178.77	123.5	102.97	135.24	134.3	96.68	95.34	82.87	45.21	122.64	152.28	136.19	77.79	155.5	114.36	167.9	82.29	150.17	93.35	181.28	63.45	152.28	91.41	171.45	129.69	140.04	111.99	142.01	65.26	45.85	142.01	80.01	89.51	38.95	86.43	69.03	145.02	120.94	93.35	133.36	126.12	87.03	102.25	102.97	110.43	87.65
ANKHD1	466.88	529.06	559.28	289.02	423.61	693.58	684.02	1127.35	1378.57	633.73	836.53	974.5	759.08	921.88	941.27	1191.69	1135.2	1388.16	1225.22	954.43	2319.15	1794.29	1605.83	2255.7	1259.69	1447.15	1757.34	1388.16	2193.99	1709.26	1427.22	1322.37	2119.22	1844.76	1870.53	1250.98	1709.26	2417.67	1529.73	2032.85	1806.78	1794.29	1950.0	1457.23	1950.0	1286.18	1407.55	1540.37	1561.89	2682.69	1697.45	1745.2	2018.8	1936.53	1844.76	1359.57	1551.09	1467.37	1369.04	1781.89	1819.35	1295.13	2209.26	1519.15	2104.58	1143.1	1447.15	1733.13	1487.87	1662.49	1806.78	947.83	1832.01	1477.58	1857.6	1936.53	1883.54	1617.0	1183.45	1745.2	1950.0	1896.65	1216.75	1561.89	1135.2	1936.53	1963.57	1561.89	1819.35	1757.34	1183.45	1096.5	1594.73	1487.87	1923.14
ANKRA2	144.01	144.01	161.02	90.14	134.3	145.02	199.85	414.87	329.84	246.28	295.11	412.0	348.71	316.37	366.09	571.05	595.34	373.81	389.72	406.31	872.1	842.36	447.82	836.53	417.77	514.56	743.43	555.41	915.51	656.11	521.76	551.56	647.07	909.17	583.07	540.19	961.07	1044.52	629.35	1127.35	656.11	612.11	825.0	647.07	915.51	400.71	547.75	547.75	764.36	872.1	764.36	514.56	769.69	684.02	753.83	607.87	511.0	447.82	629.35	802.41	642.59	493.56	848.22	607.87	703.28	412.0	420.68	647.07	684.02	384.34	738.29	514.56	780.44	480.04	780.44	638.15	836.53	698.41	480.04	759.08	460.44	884.29	466.88	878.17	429.54	1111.82	638.15	579.04	718.08	633.73	536.45	525.39	563.18	470.14	780.44
ANKRD36	21.63	17.51	19.97	5.36	39.5	11.55	24.46	26.28	46.18	44.57	71.0	96.01	26.1	49.56	19.97	66.65	111.21	31.22	57.49	18.97	244.57	218.79	55.49	301.33	118.43	103.69	77.25	72.01	127.89	90.77	59.97	118.43	244.57	101.54	125.24	93.35	163.28	195.72	114.36	182.55	191.67	172.65	115.97	73.03	74.58	69.52	155.5	156.59	146.03	166.73	123.5	164.42	166.73	190.34	199.85	162.14	62.56	60.82	183.82	171.45	153.34	47.5	327.56	141.02	205.5	96.01	156.59	86.43	180.02	58.3	101.54	74.58	232.94	71.5	208.38	78.89	221.86	91.41	62.12	236.21	58.3	88.26	81.14	115.16	38.95	217.27	106.63	106.63	157.68	147.06	123.5	109.66	111.99	134.3	78.89
ANKRD36C	1.81	2.78	0.49	1.53	4.58	1.36	3.47	5.02	2.16	2.32	7.34	2.39	3.76	5.36	3.08	8.85	7.82	4.06	10.08	1.95	56.68	43.02	8.99	52.08	27.44	32.36	18.03	12.18	37.05	14.78	18.43	29.06	59.97	25.91	23.59	26.86	34.75	84.04	19.53	33.54	39.5	22.75	39.5	14.14	20.86	21.32	28.65	37.59	29.06	57.89	25.72	34.02	36.79	51.35	24.99	47.17	16.39	14.24	39.79	37.05	32.59	12.93	81.14	30.78	53.57	12.55	29.27	22.43	23.42	8.58	41.81	2.34	58.3	15.45	43.94	30.12	49.21	21.78	14.24	64.8	36.01	18.03	4.1	30.34	10.0	36.79	20.56	22.92	25.72	30.56	24.11	16.27	26.28	30.12	22.43
ARHGAP32	43.63	47.84	63.45	15.91	39.5	18.84	93.35	43.32	41.81	44.57	82.87	40.07	31.45	40.64	39.79	50.98	26.67	53.19	32.13	16.15	133.36	103.69	75.11	149.12	49.21	79.45	110.43	47.5	99.43	72.01	80.01	49.21	132.44	120.94	92.7	39.5	246.28	164.42	101.54	145.02	66.18	130.6	116.78	50.27	96.68	55.89	59.55	76.71	90.14	103.69	77.79	79.45	64.34	74.06	79.45	94.67	62.12	52.45	78.34	100.13	142.01	55.49	176.29	88.88	101.54	57.89	67.59	111.99	70.51	44.89	127.89	40.07	127.0	48.18	167.9	98.04	142.01	101.54	53.95	119.26	85.22	107.38	45.21	75.64	44.57	96.68	128.79	94.67	125.24	88.26	48.87	44.25	48.52	74.58	68.55
ATAD2B	20.56	20.26	17.9	12.64	13.22	26.67	33.3	62.12	39.79	45.21	74.58	63.45	53.19	77.25	62.56	79.45	71.5	67.59	72.52	29.27	163.28	155.5	91.41	176.29	93.35	104.42	116.78	83.45	180.02	121.79	100.83	106.63	146.03	111.99	125.24	95.34	106.63	199.85	83.45	114.36	133.36	127.0	148.09	129.69	115.16	69.52	116.78	113.56	141.02	186.4	147.06	105.89	164.42	169.07	131.51	133.36	82.29	126.12	100.13	161.02	189.02	67.59	199.85	163.28	166.73	91.41	90.14	96.68	128.79	94.01	171.45	79.45	170.25	93.35	182.55	100.83	211.31	98.73	70.51	172.65	102.25	134.3	81.71	111.99	77.79	172.65	129.69	114.36	135.24	159.9	81.14	65.26	116.78	110.43	106.63
ATG2B	55.89	62.56	68.55	44.25	32.59	38.67	92.7	130.6	107.38	96.68	149.12	108.14	120.1	91.41	96.68	148.09	120.1	165.57	115.16	69.03	339.14	301.33	178.77	392.44	142.01	187.71	197.09	176.29	318.57	221.86	242.88	191.67	368.65	269.6	226.54	161.02	406.31	441.64	214.27	497.0	242.88	285.03	249.73	175.07	237.86	212.78	165.57	236.21	231.32	384.34	244.57	159.9	249.73	295.11	215.77	211.31	194.36	189.02	163.28	314.17	295.11	189.02	336.79	248.0	231.32	154.42	155.5	253.23	153.34	153.34	264.03	147.06	314.17	211.31	343.89	183.82	336.79	241.19	165.57	305.55	234.57	329.84	144.01	236.21	121.79	301.33	287.01	229.72	291.04	269.6	176.29	152.28	201.25	169.07	228.13
