	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11EM3.0926.SM.5A5KK	GTEX.13O21.0726.SM.5L3EG	GTEX.V955.1226.SM.4JBI9	GTEX.12WSK.1326.SM.5CVNM	GTEX.RU72.0726.SM.46MUW	GTEX.13FHO.1726.SM.5IFGM	GTEX.12696.1326.SM.5FQTJ	GTEX.YFC4.1226.SM.5LU9R	GTEX.RTLS.1126.SM.46MUQ	GTEX.13FLV.1126.SM.5J2NO	GTEX.13X6K.2126.SM.5O9D4	GTEX.ZYT6.1126.SM.5GZYR	GTEX.Y3IK.1226.SM.4WWEK	GTEX.ZXES.1226.SM.5NQ8G	GTEX.OXRK.1426.SM.3NB19	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AASS	244.57	231.32	226.54	934.76	665.29	1104.13	1119.56	129.69	297.17	316.37	102.97	309.83	242.88	363.56	180.02	312.0	1008.9	371.22	20.11	38.4	26.1	28.45	46.5
ABCC9	81.14	10.71	19.82	525.39	368.65	217.27	246.28	23.08	51.35	32.36	12.09	96.01	48.87	66.65	37.59	283.05	316.37	206.94	103.69	21.63	17.0	11.21	10.79
ACOT2	327.56	143.01	190.34	1498.22	1896.65	1250.98	1583.71	285.03	242.88	403.5	158.79	454.09	262.2	463.65	341.51	1781.89	1794.29	1135.2	426.57	99.43	201.25	285.03	151.22
AGBL5	409.15	361.04	379.04	438.59	808.0	665.29	842.36	327.56	371.22	450.94	197.09	409.15	295.11	381.68	303.44	947.83	825.0	629.35	154.42	158.79	267.73	229.72	138.1
AKAP6	88.26	76.17	94.67	575.03	277.2	228.13	339.14	44.25	86.43	38.67	23.08	76.17	57.08	83.45	41.81	211.31	262.2	236.21	21.32	12.45	40.93	39.22	6.94
AKT3	150.17	53.57	102.97	934.76	497.0	660.68	884.29	70.51	161.02	112.77	56.68	249.73	191.67	191.67	106.63	518.15	1104.13	738.29	81.14	26.47	15.68	14.45	21.94
APP	4210.15	2664.15	1733.13	8247.98	6840.04	5872.48	8598.28	2816.11	4512.4	3257.52	2047.0	4639.29	3325.99	4095.0	3349.13	8191.0	10225.32	8134.41	2720.15	1191.69	1295.13	3419.52	1407.55
C10orf11	47.17	17.77	21.47	176.29	189.02	156.59	140.04	56.28	103.69	76.17	34.02	90.77	74.58	137.14	47.5	208.38	209.84	150.17	78.34	25.17	11.91	53.19	10.39
CCDC104	395.18	301.33	273.37	1487.87	1350.18	1350.18	1605.83	633.73	791.35	679.29	438.59	796.86	507.46	854.13	669.92	1359.57	1572.76	1508.65	638.15	387.02	215.77	182.55	376.41
CCDC149	63.89	29.27	22.75	320.8	332.14	417.77	525.39	88.88	194.36	114.36	64.34	155.5	115.16	163.28	135.24	314.17	457.25	358.54	53.95	23.08	23.76	40.36	22.1
CCNB1IP1	753.83	591.22	836.53	1617.0	1233.75	1388.16	2148.82	660.68	954.43	802.41	647.07	1001.93	941.27	988.12	764.36	981.29	1340.84	1073.91	607.87	226.54	406.31	312.0	551.56
CEP112	61.68	52.82	57.08	134.3	214.27	208.38	363.56	57.08	89.51	64.8	38.67	198.47	117.6	114.36	84.04	356.05	403.5	208.38	53.95	101.54	60.39	20.56	46.18
CHIC1	32.36	30.56	21.63	163.28	137.14	120.1	161.02	49.21	92.7	46.5	30.34	78.89	46.84	82.87	61.68	156.59	167.9	126.12	14.45	17.0	14.03	28.45	5.96
CLIC4	947.83	466.88	457.25	7485.11	4769.75	4639.29	7130.55	532.74	1447.15	866.07	540.19	1963.57	1250.98	1806.78	988.12	4298.64	5672.41	6294.04	1313.23	262.2	314.17	392.44	334.46
CLMP	217.27	28.24	98.04	733.19	567.1	733.19	1159.07	81.71	175.07	125.24	20.11	246.28	95.34	145.02	56.28	896.64	1561.89	1030.12	111.99	9.13	20.71	8.92	18.29
CLSTN2	18.84	13.42	10.63	36.53	43.63	92.7	63.89	13.03	70.01	31.67	3.35	37.59	26.1	48.52	17.13	48.18	37.85	88.88	33.78	16.27	6.01	9.2	10.47
CNRIP1	244.57	82.87	130.6	567.1	559.28	743.43	764.36	105.89	209.84	142.01	48.18	301.33	183.82	255.0	166.73	656.11	500.46	500.46	323.03	70.01	39.22	32.36	64.34
CPE	769.69	406.31	507.46	4038.61	3564.78	2367.9	2758.13	336.79	1540.37	764.36	295.11	1417.35	830.75	872.1	836.53	5112.16	2664.15	3146.52	412.0	191.67	62.56	234.57	112.77
CRNN	2171106.91	2805836.45	4107985.47	16.15	0.0	2.39	7.17	26431.04	67377.47	107203.06	62865.33	78476.96	60723.88	46986.85	80683.28	85.82	4.74	15.34	3336720.86	4851500.88	6183532.28	4558095.38	5534416.31
CTSL	909.17	444.72	358.54	2816.11	2796.65	2018.8	2032.85	279.14	723.08	500.46	231.32	780.44	612.11	723.08	493.56	2720.15	2178.83	1991.0	2555.58	117.6	173.85	387.02	381.68
DCBLD2	127.89	115.97	143.01	567.1	423.61	457.25	500.46	124.37	198.47	165.57	76.17	181.28	101.54	199.85	127.89	447.82	555.41	423.61	70.01	28.04	36.27	56.28	14.24
DPY19L2	38.95	32.59	29.48	497.0	295.11	208.38	251.48	35.5	133.36	35.0	28.04	144.01	47.84	137.14	91.41	144.01	127.0	111.99	0.01	7.69	3.35	3.26	1.23
EFCAB2	80.01	80.01	37.85	341.51	423.61	323.03	595.34	50.63	191.67	53.19	47.84	185.11	107.38	185.11	136.19	384.34	403.5	239.52	56.28	38.12	61.68	24.46	84.63
FBXL2	59.13	81.14	35.0	154.42	228.13	171.45	253.23	46.5	141.02	45.21	19.53	95.34	72.52	112.77	89.51	251.48	206.94	181.28	4.86	11.82	10.0	13.12	4.58
FBXO30	86.43	100.13	70.01	423.61	361.04	297.17	579.04	78.34	90.14	89.51	72.01	120.1	88.88	109.66	82.29	285.03	733.19	339.14	127.89	31.67	37.32	52.82	74.58
FGF2	43.02	9.41	14.03	267.73	281.09	232.94	348.71	22.43	58.71	37.05	13.83	87.03	53.57	71.0	50.27	211.31	242.88	234.57	13.93	16.27	6.89	2.63	6.52
GNS	532.74	307.69	281.09	1119.56	1088.92	1295.13	1233.75	507.46	511.0	444.72	271.48	591.22	395.18	595.34	384.34	1259.69	1551.09	1088.92	808.0	246.28	327.56	603.67	248.0
GPRASP1	63.89	34.26	53.95	703.28	543.96	325.29	476.71	62.12	114.36	70.01	32.59	158.79	102.97	152.28	95.34	426.57	366.09	209.84	1.35	5.45	8.85	8.99	4.24
GRIK3	11.82	4.13	6.01	102.25	107.38	34.26	47.84	10.31	26.47	21.16	2.94	33.3	11.04	23.42	25.72	110.43	45.85	65.26	0.92	5.32	1.91	2.56	0.78
IFT81	121.79	97.36	77.25	389.72	409.15	312.0	563.18	148.09	269.6	148.09	60.39	199.85	127.0	205.5	147.06	435.55	325.29	289.02	40.93	39.79	41.52	40.36	42.41
IGFBP7	7130.55	1745.2	1685.71	11992.79	14262.1	13872.08	11827.67	2119.22	3146.52	2520.38	1073.91	5112.16	4181.07	3665.02	3124.78	21026.65	10659.59	14765.09	4328.55	1457.23	1487.87	713.11	1322.37
JAM3	358.54	79.45	130.6	1159.07	1242.34	1066.48	1674.06	154.42	301.33	191.67	77.79	507.46	486.75	384.34	291.04	1583.71	1286.18	1477.58	58.71	45.85	30.56	27.44	33.06
KIAA1324L	139.07	73.54	105.15	348.71	253.23	211.31	303.44	46.5	112.77	92.7	39.79	84.63	94.67	141.02	108.14	267.73	463.65	231.32	15.22	25.35	8.58	25.72	15.11
LAMC1	860.08	287.01	371.22	3280.18	3874.05	3303.0	3589.58	493.56	921.88	961.07	193.01	1487.87	1175.27	1059.11	620.67	2400.97	4607.24	3103.19	575.03	387.02	264.03	299.25	323.03
LGI4	473.41	137.14	215.77	2417.67	1350.18	1519.15	1519.15	194.36	633.73	389.72	53.57	1023.0	387.02	579.04	334.46	1519.15	1111.82	988.12	9.85	32.82	20.71	20.11	51.35
LRCH2	12.64	5.02	4.94	82.87	94.01	83.45	124.37	6.52	25.17	17.9	4.7	31.22	19.39	24.28	15.56	92.7	97.36	75.64	6.73	4.82	0.82	0.0	0.93
LRP12	43.32	39.79	38.95	309.83	108.9	153.34	204.07	50.98	86.43	52.45	41.22	94.01	48.52	71.0	62.12	163.28	176.29	166.73	103.69	21.16	78.89	43.94	25.17
LTBP1	551.56	121.79	190.34	2271.4	2104.58	1529.73	1540.37	208.38	373.81	371.22	130.6	476.71	493.56	307.69	267.73	1498.22	3212.66	1322.37	587.13	205.5	142.01	172.65	55.1
MAP7D3	173.85	108.9	84.04	395.18	387.02	303.44	497.0	93.35	111.99	111.99	61.68	145.02	106.63	150.17	135.24	435.55	332.14	293.07	84.63	68.07	56.68	59.97	96.01
MAP9	10.16	5.54	8.13	299.25	224.97	82.29	183.82	26.67	43.32	24.81	12.83	46.5	15.56	34.75	26.47	158.79	154.42	132.44	13.03	0.59	1.06	6.52	0.05
