	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.EW.A1IX.01A.12R.A144.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.E2.A3DX.01A.21R.A213.07	TCGA.4H.AAAK.01A.12R.A41B.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A1AM.01A.41R.A22K.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.4740.01A.01R.1436.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.18.3417.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.85.6175.01A.11R.1820.07
AC139100.2	17.9	50.27	94.67	91.41	34.26	63.0	75.11	48.52	21.32	66.18	109.66	122.64	75.64	24.11	75.11	31.0	126.12	21.78	52.08	72.52	63.0	164.42	129.69	27.44	11.38	11.91	7.51	19.11	17.51	14.78	16.39	0.0	0.22	9.48	6.67	21.01
ADCY6	283.05	476.71	1104.13	928.3	246.28	967.76	830.75	638.15	232.94	961.07	283.05	587.13	1313.23	400.71	612.11	244.57	1233.75	316.37	825.0	575.03	339.14	1350.18	1167.14	571.05	46.18	109.66	212.78	190.34	237.86	206.94	87.65	0.0	0.91	139.07	4.9	395.18
AGAP5	24.28	75.11	96.68	105.15	70.51	108.9	96.68	57.89	31.22	155.5	32.36	52.45	150.17	66.18	118.43	44.57	122.64	70.51	64.8	105.15	81.14	195.72	89.51	66.18	6.41	4.94	25.17	55.49	29.91	28.04	12.55	0.0	0.83	6.78	0.0	88.88
ANKMY1	107.38	186.4	341.51	358.54	181.28	316.37	417.77	156.59	100.13	332.14	279.14	90.77	450.94	129.69	255.0	87.65	379.04	97.36	258.57	180.02	172.65	381.68	165.57	193.01	44.25	49.56	73.54	110.43	66.65	81.71	102.97	0.0	0.34	38.95	24.11	138.1
AP1G2	629.35	1427.22	1651.0	2240.11	1037.29	1721.16	2664.15	921.88	713.11	2163.77	1697.45	974.5	2319.15	698.41	1583.71	1583.71	2555.58	921.88	813.63	1685.71	1183.45	1745.2	1008.9	540.19	536.45	595.34	138.1	1037.29	607.87	738.29	995.0	0.0	1.33	748.61	1277.29	1551.09
BRD8	366.09	571.05	995.0	1073.91	995.0	884.29	1037.29	759.08	595.34	1225.22	514.56	432.53	1073.91	660.68	836.53	660.68	1111.82	854.13	813.63	1037.29	842.36	1437.15	708.18	909.17	152.28	256.78	299.25	314.17	417.77	525.39	414.87	0.0	0.65	229.72	212.78	785.88
BSDC1	718.08	921.88	1529.73	1757.34	1594.73	1870.53	1487.87	1923.14	1331.57	1407.55	733.19	1295.13	1540.37	1127.35	1519.15	1023.0	1757.34	1268.46	1088.92	1883.54	1208.34	1896.65	1651.0	1191.69	896.64	802.41	2303.12	1250.98	1277.29	738.29	1277.29	0.0	0.72	928.3	341.51	1044.52
BZRAP1	142.01	241.19	511.0	525.39	191.67	503.95	1015.93	583.07	74.06	543.96	16.03	165.57	753.83	135.24	234.57	142.01	693.58	253.23	228.13	373.81	146.03	813.63	287.01	275.28	2.36	7.22	99.43	244.57	72.01	35.76	9.34	0.0	0.82	58.3	3.29	134.3
C2CD5	178.77	285.03	503.95	529.06	420.68	486.75	420.68	490.14	303.44	679.29	279.14	387.02	514.56	279.14	387.02	332.14	493.56	358.54	463.65	381.68	376.41	890.44	441.64	473.41	163.28	110.43	148.09	175.07	251.48	231.32	153.34	0.0	0.26	218.79	77.25	293.07
CAMKK2	616.37	612.11	934.76	733.19	493.56	825.0	647.07	796.86	555.41	753.83	395.18	738.29	769.69	486.75	567.1	356.05	698.41	389.72	713.11	525.39	529.06	791.35	1015.93	775.05	389.72	417.77	429.54	466.88	563.18	603.67	457.25	0.0	0.62	414.87	206.94	575.03
