	GTEX.1122O.1226.SM.5H113	GTEX.S32W.1526.SM.4AD6Z	GTEX.S32W.1626.SM.4AD6G	GTEX.12WSJ.1426.SM.5GCON	TCGA.B0.5121.01A.02R.1420.07	TCGA.ED.A627.01A.12R.A311.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.BG.A2AD.11A.11R.A16F.07	GTEX.ZVT2.0426.SM.5E44S	GTEX.Y3IK.2126.SM.4YCDS	GTEX.131XG.2026.SM.5GCN5	GTEX.11DXX.1526.SM.5H115	GTEX.OHPL.2026.SM.3TW8R	GTEX.11I78.2126.SM.5A5K8	GTEX.S32W.1426.SM.4AD66	GTEX.QCQG.1326.SM.48U24	GTEX.XYKS.1626.SM.4BRUQ
SSBP4	718.08	3690.52	3372.43	1685.71	1225.22	1088.92	332.14	215.77	303.44	507.46	353.59	974.5	323.03	483.38	262.2	327.56	205.5	264.03	358.54	507.46	327.56	281.09	567.1	3168.41	2004.85	3103.19	1936.53	1870.53	5517.27	3168.41	4328.55	5441.3	4328.55
SSRP1	2133.97	2935.74	2485.67	2163.77	1662.49	1183.45	995.0	967.76	753.83	988.12	981.29	1242.34	1225.22	896.64	1135.2	1208.34	1111.82	1183.45	633.73	961.07	1331.57	780.44	825.0	2032.85	2520.38	2384.37	3515.68	3419.52	5594.3	4481.23	3325.99	3212.66	2895.31
SURF6	486.75	1066.48	1008.9	511.0	426.57	414.87	253.23	244.57	228.13	248.0	271.48	348.71	486.75	253.23	316.37	224.97	309.83	271.48	348.71	212.78	417.77	151.22	277.2	624.99	470.14	660.68	624.99	703.28	1369.04	961.07	1127.35	543.96	872.1
TATDN2	660.68	688.78	583.07	426.57	348.71	334.46	251.48	167.9	258.57	189.02	133.36	267.73	226.54	242.88	170.25	182.55	256.78	297.17	183.82	195.72	201.25	109.66	264.03	514.56	599.49	595.34	780.44	595.34	890.44	921.88	802.41	603.67	466.88
TBL2	620.67	1037.29	1059.11	620.67	444.72	450.94	420.68	476.71	366.09	307.69	376.41	373.81	514.56	327.56	366.09	341.51	460.44	429.54	212.78	379.04	607.87	166.73	249.73	854.13	665.29	703.28	660.68	872.1	1233.75	1388.16	1073.91	713.11	1322.37
TCOF1	376.41	620.67	518.15	547.75	450.94	271.48	136.19	77.25	131.51	141.02	122.64	251.48	147.06	112.77	115.97	146.03	164.42	158.79	101.54	120.94	159.9	56.68	164.42	483.38	480.04	476.71	753.83	579.04	1259.69	674.59	896.64	1151.06	703.28
TCTN3	791.35	1487.87	1268.46	599.49	842.36	532.74	511.0	703.28	624.99	486.75	624.99	426.57	514.56	555.41	525.39	392.44	486.75	595.34	358.54	438.59	665.29	358.54	514.56	902.89	954.43	1059.11	1208.34	1447.15	2319.15	902.89	1331.57	1519.15	1277.29
TFAP4	153.34	368.65	368.65	116.78	217.27	133.36	69.03	24.63	71.5	92.05	60.39	71.0	154.42	94.67	140.04	162.14	80.57	83.45	48.18	94.01	77.25	36.01	118.43	351.14	133.36	490.14	417.77	403.5	555.41	476.71	748.61	733.19	718.08
TP53	896.64	1991.0	1467.37	642.59	748.61	624.99	363.56	172.65	255.0	320.8	529.06	785.88	551.56	264.03	444.72	1159.07	417.77	454.09	366.09	332.14	1268.46	81.14	234.57	854.13	890.44	1216.75	1551.09	1674.06	3081.75	2004.85	2240.11	3303.0	2520.38
TPBGL	3.92	27.25	8.99	9.13	10.71	5.87	7.57	2.12	4.06	0.06	0.67	2.32	1.22	1.35	2.56	0.04	0.1	9.63	1.2	3.56	0.59	0.0	1.1	19.39	10.16	17.64	43.02	16.39	46.18	37.85	31.22	41.22	49.56
TRMT1	563.18	1313.23	947.83	703.28	555.41	651.58	346.29	164.42	295.11	236.21	169.07	450.94	571.05	228.13	256.78	320.8	190.34	283.05	343.89	267.73	371.22	117.6	271.48	624.99	728.11	1313.23	669.92	1073.91	1572.76	902.89	1674.06	1709.26	836.53
TUSC3	599.49	1467.37	1001.93	493.56	476.71	366.09	295.11	82.29	231.32	624.99	45.85	229.72	100.13	139.07	212.78	78.89	103.69	45.85	47.5	23.08	55.1	77.25	129.69	884.29	2645.74	1378.57	1651.0	2224.63	6471.02	896.64	2148.82	2287.2	1697.45
UBE2O	297.17	651.58	454.09	273.37	220.32	177.53	92.7	72.01	110.43	89.51	98.04	146.03	143.01	102.97	94.67	111.21	105.89	96.01	88.26	122.64	132.44	46.5	96.01	295.11	236.21	384.34	409.15	332.14	438.59	473.41	679.29	470.14	432.53
UTP11L	825.0	1208.34	1304.15	1008.9	669.92	616.37	466.88	629.35	429.54	423.61	387.02	638.15	493.56	348.71	607.87	403.5	470.14	575.03	412.0	327.56	660.68	209.84	397.93	967.76	1066.48	921.88	1051.79	1059.11	1233.75	1340.84	1313.23	1143.1	1199.98
WARS	2555.58	10883.59	11992.79	3235.01	2485.67	2090.03	1051.79	1167.14	1001.93	764.36	890.44	1857.6	1437.15	633.73	872.1	1104.13	1870.53	981.29	529.06	669.92	1977.24	212.78	629.35	2935.74	2485.67	3039.3	3540.14	3690.52	21919.61	2104.58	6561.36	2816.11	8963.45
WDR46	1088.92	2319.15	1447.15	1183.45	896.64	947.83	902.89	518.15	665.29	547.75	518.15	1044.52	1242.34	414.87	708.18	830.75	842.36	836.53	575.03	486.75	866.07	316.37	633.73	1259.69	1143.1	1135.2	1561.89	2018.8	3168.41	1388.16	2148.82	1651.0	1923.14
WDR5	620.67	753.83	603.67	473.41	423.61	426.57	314.17	215.77	277.2	264.03	275.28	486.75	423.61	287.01	351.14	409.15	409.15	327.56	316.37	258.57	366.09	161.02	269.6	665.29	547.75	567.1	607.87	738.29	1159.07	1051.79	1151.06	796.86	842.36
ZNF239	73.03	320.8	264.03	68.55	40.64	34.26	12.27	0.3	4.86	11.91	25.54	66.18	18.29	9.34	3.23	31.0	7.75	0.0	28.24	0.0	28.86	0.0	19.53	111.21	157.68	189.02	104.42	277.2	356.05	258.57	1119.56	223.41	612.11
