	GTEX.1122O.1226.SM.5H113	GTEX.S32W.1526.SM.4AD6Z	GTEX.S32W.1626.SM.4AD6G	GTEX.12WSJ.1426.SM.5GCON	TCGA.B0.5121.01A.02R.1420.07	TCGA.ED.A627.01A.12R.A311.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.BG.A2AD.11A.11R.A16F.07	GTEX.ZVT2.0426.SM.5E44S	GTEX.Y3IK.2126.SM.4YCDS	GTEX.131XG.2026.SM.5GCN5	GTEX.11DXX.1526.SM.5H115	GTEX.OHPL.2026.SM.3TW8R	GTEX.11I78.2126.SM.5A5K8	GTEX.S32W.1426.SM.4AD66	GTEX.QCQG.1326.SM.48U24	GTEX.XYKS.1626.SM.4BRUQ
MORN4	156.59	208.38	206.94	102.97	228.13	67.59	79.45	4.82	84.63	61.68	72.52	47.5	16.03	105.15	34.75	34.51	181.28	31.45	78.34	42.71	39.5	47.84	69.52	215.77	183.82	708.18	100.13	309.83	473.41	234.57	323.03	753.83	2434.5
MRTO4	633.73	1259.69	1001.93	802.41	575.03	423.61	307.69	206.94	336.79	248.0	249.73	279.14	860.08	143.01	368.65	356.05	285.03	395.18	251.48	368.65	559.28	132.44	176.29	551.56	616.37	629.35	884.29	1151.06	1896.65	878.17	1286.18	1175.27	1175.27
MTHFD1L	171.45	571.05	540.19	303.44	228.13	381.68	64.8	36.01	17.0	42.11	37.32	190.34	148.09	17.9	60.39	102.25	52.45	93.35	68.07	51.71	164.42	53.57	54.33	483.38	262.2	277.2	291.04	228.13	1322.37	260.38	497.0	521.76	1119.56
MYBBP1A	612.11	2287.2	1268.46	934.76	511.0	688.78	397.93	363.56	353.59	269.6	264.03	529.06	1135.2	241.19	341.51	476.71	420.68	540.19	346.29	279.14	656.11	155.5	305.55	813.63	921.88	981.29	1127.35	1183.45	2591.27	842.36	1857.6	1583.71	1519.15
NCOA5	656.11	733.19	890.44	599.49	432.53	297.17	143.01	178.77	126.12	165.57	148.09	376.41	153.34	163.28	256.78	127.89	171.45	167.9	121.79	177.53	228.13	31.45	175.07	665.29	723.08	536.45	409.15	842.36	878.17	1175.27	1015.93	802.41	723.08
NHP2	3018.3	9344.14	8022.41	4210.15	3257.52	2645.74	2400.97	1745.2	1628.26	1685.71	1519.15	2384.37	2777.33	1397.83	1781.89	2004.85	1769.57	2855.44	1794.29	1639.59	3742.05	1697.45	1104.13	3491.39	4937.99	4328.55	4704.07	7589.61	12502.12	4607.24	8134.41	7857.29	4575.41
NOB1	1199.98	2047.0	2047.0	1119.56	1111.82	830.75	551.56	708.18	438.59	612.11	819.3	974.5	1617.0	444.72	775.05	791.35	633.73	1088.92	429.54	813.63	1583.71	346.29	486.75	1519.15	1487.87	2468.49	1605.83	1487.87	2997.45	1950.0	2133.97	2720.15	3690.52
NPM3	620.67	2682.69	1745.2	1175.27	363.56	647.07	258.57	185.11	281.09	242.88	242.88	981.29	343.89	120.94	161.02	255.0	287.01	202.66	291.04	271.48	441.64	176.29	170.25	1015.93	1143.1	1322.37	1551.09	1175.27	5183.54	1322.37	2451.44	2537.92	3257.52
NR2C2AP	454.09	1135.2	1051.79	521.76	532.74	403.5	260.38	83.45	129.69	145.02	122.64	303.44	205.5	119.26	158.79	255.0	201.25	241.19	211.31	94.01	198.47	72.52	151.22	607.87	500.46	507.46	414.87	791.35	1250.98	579.04	2032.85	718.08	1104.13
NRSN2	563.18	1437.15	1277.29	603.67	1277.29	316.37	159.9	52.45	61.68	111.99	70.01	376.41	44.57	77.25	164.42	14.14	94.67	35.0	40.93	26.28	21.16	19.11	28.24	1199.98	1397.83	1936.53	2061.24	1583.71	2645.74	1662.49	1605.83	2555.58	2739.08
ODC1	693.58	4095.0	4543.8	1991.0	878.17	1508.65	1709.26	1721.16	665.29	457.25	532.74	2133.97	2351.53	713.11	1304.15	813.63	1096.5	1950.0	1519.15	848.22	2997.45	981.29	417.77	1407.55	1437.15	3280.18	1572.76	3874.05	8538.88	1806.78	7130.55	7537.18	7433.4
ORAI2	193.01	616.37	387.02	189.02	264.03	152.28	47.17	63.45	40.07	57.49	156.59	88.88	40.64	20.41	52.08	49.56	90.77	42.11	10.08	17.64	55.49	7.28	31.45	267.73	447.82	435.55	629.35	532.74	1030.12	759.08	738.29	221.86	651.58
PDCD2L	133.36	329.84	301.33	242.88	137.14	157.68	154.42	70.51	148.09	95.34	118.43	129.69	194.36	185.11	127.0	156.59	141.02	163.28	137.14	114.36	293.07	70.51	144.01	255.0	182.55	242.88	194.36	285.03	356.05	647.07	532.74	256.78	348.71
PES1	1397.83	2935.74	2351.53	1697.45	1662.49	1259.69	1008.9	780.44	718.08	684.02	698.41	1268.46	2032.85	684.02	1127.35	1023.0	1015.93	1529.73	884.29	571.05	1378.57	529.06	642.59	1508.65	1417.35	1662.49	2520.38	2367.9	4268.94	1883.54	2875.3	3124.78	2645.74
PFAS	320.8	540.19	316.37	327.56	185.11	255.0	186.4	92.7	133.36	114.36	111.99	108.9	320.8	92.05	100.13	220.32	115.16	126.12	101.54	133.36	253.23	47.17	134.3	209.84	417.77	348.71	796.86	775.05	1023.0	583.07	796.86	1111.82	728.11
PHF23	607.87	1259.69	1295.13	497.0	802.41	688.78	483.38	314.17	532.74	607.87	470.14	1561.89	438.59	529.06	909.17	454.09	507.46	371.22	376.41	277.2	307.69	316.37	583.07	1023.0	647.07	830.75	967.76	866.07	1151.06	1529.73	1397.83	703.28	1477.58
PLEKHA4	1008.9	2520.38	2739.08	1331.57	583.07	688.78	417.77	323.03	287.01	379.04	214.27	1250.98	808.0	470.14	420.68	214.27	303.44	400.71	466.88	656.11	232.94	164.42	547.75	2032.85	567.1	1870.53	1540.37	988.12	7433.4	1594.73	1662.49	2133.97	2351.53
PPP1R42	0.0	31.22	58.3	0.0	5.06	0.85	0.0	0.0	2.68	0.0	0.0	0.0	0.0	0.0	6.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.43	9.2	22.92	95.34	20.56	114.36	39.22	12.09	91.41	49.56
PRMT1	1561.89	8963.45	6079.61	3419.52	2434.5	1977.24	743.43	808.0	830.75	1111.82	967.76	3146.52	1286.18	981.29	1088.92	890.44	1233.75	915.51	723.08	708.18	1119.56	392.44	941.27	4095.0	4210.15	6207.38	6699.25	6471.02	9215.48	9409.14	9876.98	8840.04	7180.15
PRR3	256.78	708.18	521.76	211.31	368.65	169.07	70.01	79.45	111.21	66.65	86.43	111.21	80.01	78.89	90.77	63.0	62.12	76.17	55.89	73.03	87.65	33.06	97.36	368.65	351.14	738.29	316.37	432.53	698.41	915.51	988.12	1498.22	1268.46
PRRC2A	1977.24	4704.07	3349.13	2956.17	3146.52	1923.14	1111.82	688.78	1359.57	928.3	1044.52	1628.26	1008.9	1051.79	1096.5	759.08	860.08	769.69	1295.13	967.76	915.51	551.56	1268.46	3190.46	3491.39	3124.78	3081.75	3716.2	6079.61	4836.35	5403.7	8022.41	5479.15
PTP4A3	457.25	3190.46	4937.99	1044.52	1561.89	329.84	379.04	101.54	80.01	81.71	35.5	218.79	78.89	89.51	80.01	31.9	88.88	28.04	27.44	26.1	79.45	20.26	75.64	1628.26	1259.69	2018.8	1991.0	1806.78	5147.73	429.54	2351.53	988.12	2485.67
PYCR2	909.17	3325.99	2997.45	1427.22	1417.35	1081.39	813.63	616.37	738.29	642.59	693.58	1369.04	974.5	738.29	819.3	842.36	825.0	738.29	947.83	688.78	848.22	497.0	941.27	1697.45	1883.54	2468.49	2303.12	2367.9	3257.52	2664.15	4512.4	3820.7	4512.4
RAB34	1769.57	5292.48	3589.58	1709.26	1963.57	563.18	579.04	158.79	208.38	229.72	172.65	325.29	173.85	289.02	417.77	123.5	366.09	220.32	84.63	52.45	125.24	53.19	127.89	4268.94	2816.11	3955.48	4671.57	4298.64	4328.55	6121.9	3540.14	4066.71	5041.77
RNF216	547.75	332.14	346.29	384.34	269.6	224.97	136.19	208.38	186.4	195.72	152.28	170.25	148.09	209.84	154.42	167.9	187.71	175.07	109.66	171.45	212.78	100.13	211.31	579.04	540.19	420.68	743.43	559.28	559.28	703.28	460.44	463.65	525.39
RNPS1	2976.74	5791.62	4607.24	3564.78	2400.97	2209.26	921.88	723.08	915.51	921.88	896.64	1806.78	1417.35	854.13	1135.2	1001.93	825.0	1088.92	1037.29	836.53	1104.13	629.35	1127.35	4010.71	3716.2	3443.31	3614.55	4095.0	6516.03	6250.56	6079.61	5255.91	5219.6
RPIA	293.07	1104.13	878.17	387.02	287.01	201.25	71.5	62.56	72.52	155.5	96.01	152.28	115.16	127.89	66.65	77.25	65.72	88.88	101.54	68.55	119.26	50.63	116.78	376.41	334.46	547.75	587.13	521.76	802.41	480.04	921.88	629.35	896.64
