	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.D6.6826.01A.11R.1915.07	TCGA.KU.A66T.01A.11R.A30B.07	TCGA.CR.7388.01A.11R.2016.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.144GM.1326.SM.5LU5E	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.05.4434.01A.01R.1206.07	TCGA.22.1016.01A.01R.0692.07	TCGA.56.A62T.01A.11R.A405.07	TCGA.22.4596.01A.01R.1201.07	TCGA.60.2715.01A.01R.0851.07	TCGA.60.2725.01A.01R.1201.07
AC112715.2	5.15	0.0	51.35	12.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.24	4.39	0.0	0.0	10.79	4.94
ARFIP1	713.11	571.05	356.05	486.75	165.57	131.51	183.82	206.94	212.78	157.68	158.79	136.19	403.5	153.34	158.79	135.24	214.27	195.72	363.56	417.77	503.95	629.35	432.53	503.95
ATMIN	780.44	620.67	733.19	878.17	209.84	135.24	384.34	251.48	285.03	287.01	293.07	447.82	202.66	384.34	169.07	166.73	242.88	236.21	555.41	688.78	679.29	503.95	638.15	371.22
ATP6V1H	1313.23	967.76	6699.25	1119.56	417.77	567.1	231.32	674.59	183.82	420.68	432.53	454.09	555.41	389.72	309.83	878.17	723.08	423.61	802.41	1023.0	1519.15	1175.27	884.29	1044.52
C12orf66	127.0	251.48	813.63	156.59	87.03	110.43	87.03	121.79	75.64	152.28	93.35	186.4	93.35	251.48	83.45	161.02	102.97	151.22	144.01	130.6	194.36	111.99	107.38	152.28
C1orf143	6.73	0.78	4.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	5.63	0.89	2.27	0.66	2.12
C4orf27	1037.29	503.95	532.74	466.88	273.37	118.43	612.11	384.34	249.73	366.09	248.0	325.29	339.14	279.14	309.83	215.77	363.56	366.09	414.87	379.04	503.95	403.5	583.07	961.07
CAND1	1923.14	3794.3	7857.29	1639.59	325.29	265.87	616.37	412.0	525.39	738.29	587.13	656.11	316.37	878.17	339.14	208.38	669.92	435.55	1388.16	1721.16	1295.13	954.43	1167.14	1617.0
CCDC43	414.87	371.22	490.14	400.71	81.14	68.55	156.59	142.01	129.69	155.5	202.66	218.79	72.52	204.07	117.6	52.45	182.55	120.1	348.71	414.87	447.82	312.0	409.15	392.44
CDH8	58.71	23.76	536.45	52.45	0.0	0.0	0.0	0.46	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0	11.91	0.0	4.31	4.46	273.37	0.47	29.48	36.27
CENPK	612.11	293.07	713.11	135.24	6.46	1.13	11.73	29.06	1.51	22.92	10.31	11.64	0.68	0.0	4.46	2.14	3.63	21.01	260.38	194.36	255.0	253.23	93.35	356.05
CEP44	346.29	224.97	163.28	182.55	43.02	13.32	37.05	57.08	29.48	88.88	66.18	47.17	53.95	44.89	71.5	29.48	67.59	66.65	143.01	144.01	285.03	191.67	183.82	239.52
CLEC17A	9.06	6.01	183.82	15.56	0.47	1.36	5.87	2.07	6.52	2.01	3.11	0.6	1.3	0.0	1.2	0.0	0.0	1.87	41.52	13.03	3.0	28.65	20.86	27.64
CLEC2A	30.78	1.38	156.59	8.65	0.0	0.0	2.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27	0.0	0.0	0.0	1.0
CLOCK	115.97	287.01	135.24	241.19	59.97	14.67	92.05	65.26	45.21	98.04	94.67	96.01	53.19	153.34	71.5	44.89	59.13	82.87	133.36	206.94	147.06	256.78	236.21	127.0
CST11	16.88	3.03	30.34	3.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	2.46	1.6	6.36
CTC-534A2.2	69.52	31.9	76.71	57.89	24.63	7.51	16.03	17.51	24.81	18.97	14.56	21.78	29.06	17.64	22.43	15.22	8.78	35.0	52.08	67.59	62.12	97.36	50.63	48.87
CWC27	395.18	348.71	872.1	409.15	144.01	43.02	204.07	155.5	98.73	131.51	122.64	123.5	236.21	187.71	143.01	91.41	134.3	199.85	297.17	348.71	438.59	329.84	265.87	293.07
DDX60	412.0	934.76	2573.36	291.04	76.71	54.72	289.02	229.72	43.02	142.01	149.12	201.25	48.87	85.82	195.72	79.45	211.31	147.06	693.58	334.46	497.0	703.28	599.49	429.54
DNAJC10	660.68	1313.23	4736.79	934.76	183.82	109.66	878.17	356.05	1008.9	368.65	547.75	392.44	166.73	647.07	518.15	65.26	256.78	142.01	796.86	1175.27	848.22	1295.13	728.11	854.13
DUSP19	32.82	26.28	231.32	21.94	11.04	15.34	8.06	9.93	3.96	14.14	12.74	12.74	16.03	10.24	18.97	11.64	6.89	15.34	22.75	26.1	26.86	20.56	43.02	33.78
DYRK2	265.87	679.29	1806.78	316.37	26.1	27.25	57.89	57.08	54.72	80.57	64.34	32.36	25.72	88.88	22.75	22.26	32.13	52.82	279.14	500.46	371.22	237.86	348.71	283.05
ERBB2IP	450.94	802.41	1008.9	759.08	232.94	89.51	397.93	229.72	320.8	432.53	309.83	309.83	202.66	371.22	205.5	189.02	417.77	314.17	599.49	525.39	460.44	647.07	417.77	395.18
FBN2	40.93	62.56	1199.98	87.65	0.0	0.55	5.87	0.84	0.27	0.82	2.97	1.81	3.76	1.95	0.24	0.32	0.27	2.36	102.97	14.78	109.66	10.63	19.82	74.58
FBXO45	435.55	281.09	503.95	334.46	73.54	39.5	84.04	63.89	91.41	66.18	50.98	80.57	66.65	77.79	55.1	28.45	64.34	82.29	189.02	305.55	371.22	167.9	190.34	307.69
FBXW7	507.46	358.54	283.05	334.46	115.97	56.68	135.24	164.42	195.72	138.1	183.82	111.21	156.59	153.34	143.01	75.64	132.44	117.6	214.27	329.84	480.04	327.56	305.55	231.32
FNTA	2468.49	1896.65	13968.57	890.44	559.28	293.07	684.02	612.11	796.86	595.34	392.44	486.75	854.13	476.71	450.94	264.03	587.13	884.29	1286.18	1594.73	842.36	1950.0	1268.46	2178.83
GGTLC3	4.13	0.0	37.59	0.93	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.0	0.0	0.0	1.57	0.0	0.0	19.68	18.16	10.31	22.1	11.73	12.93
GPR137B	332.14	438.59	1427.22	559.28	127.0	171.45	473.41	265.87	432.53	185.11	253.23	260.38	134.3	117.6	119.26	37.32	265.87	256.78	441.64	941.27	373.81	575.03	684.02	723.08
HEATR1	529.06	493.56	525.39	389.72	37.59	32.13	98.73	68.07	165.57	110.43	67.59	123.5	33.78	128.79	55.49	15.45	78.34	48.52	198.47	339.14	293.07	182.55	221.86	262.2
HNRNPD	6121.9	5366.37	5954.47	6250.56	2119.22	2047.0	2935.74	2417.67	3395.89	2935.74	2609.3	3280.18	2104.58	3443.31	2555.58	1350.18	1936.53	2075.59	5479.15	5791.62	4972.34	3257.52	5913.33	5791.62
IFI44	3280.18	1498.22	4298.64	669.92	165.57	67.12	332.14	373.81	117.6	197.09	262.2	612.11	109.66	194.36	529.06	102.97	232.94	351.14	1268.46	3235.01	1066.48	902.89	1378.57	1388.16
IGFBP6	3589.58	11664.82	28923.41	921.88	124.37	191.67	50.98	1870.53	189.02	343.89	536.45	536.45	387.02	334.46	48.87	679.29	669.92	137.14	1697.45	563.18	30785.28	941.27	591.22	358.54
IGFL2	66.65	81.71	3847.29	164.42	0.0	0.0	0.0	0.0	0.62	0.0	6.52	2.29	0.09	0.0	0.06	0.0	0.0	0.0	47.84	802.41	133.36	277.2	87.03	199.85
ING2	1378.57	483.38	563.18	438.59	214.27	149.12	423.61	269.6	223.41	329.84	309.83	223.41	175.07	173.85	182.55	211.31	253.23	389.72	271.48	529.06	571.05	412.0	400.71	441.64
KATNA1	591.22	271.48	567.1	435.55	162.14	73.03	141.02	148.09	81.71	141.02	153.34	214.27	122.64	164.42	93.35	65.26	204.07	127.89	381.68	435.55	389.72	325.29	323.03	420.68
KCNV1	3.08	0.0	13.03	0.39	0.0	0.0	0.0	0.0	0.0	0.0	1.57	1.22	0.0	0.0	1.19	0.0	0.0	0.0	1.57	0.39	4.24	0.4	0.4	0.38
KIF2C	1857.6	620.67	753.83	441.64	4.46	2.81	8.25	4.28	4.98	5.11	4.31	4.17	1.83	4.54	0.92	1.25	5.06	7.51	334.46	432.53	497.0	193.01	211.31	638.15
LEMD3	361.04	909.17	1225.22	343.89	77.79	63.89	173.85	144.01	93.35	111.21	73.54	194.36	71.5	138.1	86.43	60.39	94.67	128.79	244.57	371.22	281.09	264.03	242.88	400.71
LETM2	59.97	295.11	2303.12	69.03	17.25	7.57	18.56	22.75	66.18	0.0	2.07	7.06	13.22	13.42	1.41	2.43	7.75	3.76	400.71	72.01	54.72	157.68	37.59	53.57
LLPH	878.17	2271.4	5672.41	753.83	366.09	253.23	450.94	529.06	559.28	463.65	497.0	599.49	460.44	647.07	373.81	283.05	493.56	457.25	988.12	921.88	854.13	665.29	693.58	1008.9
LYST	287.01	267.73	698.41	264.03	94.01	58.3	146.03	82.87	87.03	111.21	101.54	132.44	113.56	153.34	117.6	145.02	49.21	111.99	198.47	249.73	190.34	348.71	185.11	167.9
MAST4	563.18	902.89	796.86	728.11	75.64	218.79	198.47	214.27	536.45	132.44	94.01	118.43	166.73	190.34	133.36	60.39	397.93	66.18	275.28	246.28	395.18	244.57	258.57	198.47
MOB1B	144.01	246.28	118.43	176.29	38.67	17.25	76.17	50.63	108.14	50.63	28.04	49.56	35.76	62.56	32.13	47.17	60.39	82.29	129.69	241.19	134.3	215.77	147.06	115.97
MON2	579.04	400.71	1199.98	299.25	218.79	158.79	249.73	236.21	193.01	211.31	264.03	177.53	244.57	194.36	277.2	195.72	262.2	220.32	307.69	463.65	305.55	293.07	314.17	329.84
MPHOSPH6	1119.56	1277.29	1397.83	1286.18	189.02	108.14	198.47	387.02	217.27	262.2	229.72	312.0	291.04	358.54	264.03	133.36	287.01	232.94	540.19	599.49	1143.1	490.14	909.17	764.36
MYRFL	3.5	2.2	50.98	1.55	1.91	0.0	0.0	2.14	0.4	6.84	0.0	0.0	2.71	3.44	0.92	0.15	0.0	2.86	7.63	5.54	2.03	10.47	10.31	6.31
NCKAP1	2720.15	1844.76	18950.18	2061.24	305.55	303.44	551.56	429.54	490.14	665.29	559.28	620.67	381.68	470.14	371.22	309.83	563.18	656.11	1216.75	1721.16	1477.58	1583.71	1066.48	1508.65
NEK1	120.1	115.16	53.95	125.24	36.01	19.53	42.41	29.91	23.42	33.3	43.63	41.22	36.27	58.3	32.59	42.11	31.22	44.57	65.26	86.43	129.69	75.64	159.9	73.54
NUP35	651.58	194.36	2255.7	217.27	167.9	109.66	201.25	173.85	232.94	265.87	220.32	305.55	237.86	373.81	148.09	132.44	173.85	144.01	269.6	363.56	343.89	262.2	177.53	267.73
ORM1	1.27	14.56	2.97	8.19	1264380.15	434801.29	3676749.88	3070409.25	4165330.83	5572911.22	8505707.6	4051429.61	4282434.24	6183532.28	4433454.0	4433454.0	3832885.91	3859545.74	26.86	559.28	1.27	764.36	656.11	283.05
PLRG1	1721.16	1225.22	1259.69	1159.07	579.04	595.34	819.3	981.29	1143.1	878.17	785.88	878.17	651.58	813.63	718.08	246.28	928.3	764.36	780.44	860.08	2133.97	1066.48	995.0	1216.75
PMAIP1	1721.16	236.21	2133.97	275.28	2.97	2.43	10.0	5.45	8.78	6.11	11.91	9.06	8.71	29.7	7.88	2.46	6.06	13.03	351.14	346.29	514.56	780.44	244.57	1769.57
PPFIA1	2367.9	1437.15	5366.37	1685.71	265.87	134.3	295.11	215.77	457.25	312.0	346.29	392.44	244.57	275.28	172.65	149.12	264.03	236.21	457.25	934.76	507.46	583.07	1745.2	1685.71
PPME1	769.69	780.44	2956.17	1378.57	241.19	244.57	246.28	265.87	497.0	244.57	223.41	265.87	244.57	316.37	208.38	146.03	228.13	237.86	703.28	703.28	1199.98	954.43	902.89	633.73
PPWD1	713.11	555.41	934.76	432.53	163.28	79.45	185.11	193.01	116.78	155.5	183.82	183.82	180.02	175.07	206.94	62.12	241.19	194.36	529.06	543.96	669.92	473.41	438.59	400.71
PTPRR	5.28	11.91	191.67	14.24	0.43	1.27	0.0	2.01	1.93	0.0	8.92	0.0	0.0	0.0	5.36	10.31	0.0	0.0	117.6	13.42	21.01	13.93	18.16	47.5
