	TCGA.IZ.8196.01A.11R.2404.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.DZ.6132.11A.01R.1965.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.CH.5771.01A.21R.1580.07	GTEX.11TT1.1126.SM.5P9GV
ABI3BP	4298.64	5147.73	11189.6	4869.99	5791.62	2193.99	5329.3	2537.92	2335.28	1044.52	563.18	47.5	124.37	56.68	503.95	239.52	279.14	33.54	113.56	60.82	27.44	226.54	0.0	325.29	2855.44
ABR	2720.15	1519.15	2075.59	3039.3	2520.38	2148.82	1991.0	1769.57	1909.85	1008.9	532.74	106.63	52.82	164.42	348.71	201.25	205.5	129.69	214.27	125.24	142.01	102.25	0.0	1350.18	406.31
AC005609.1	13.93	41.22	19.25	58.71	43.94	23.93	42.41	6.73	32.13	14.67	0.96	0.0	0.99	0.0	2.68	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	3.89	8.51
AC110771.1	20.41	37.85	49.91	26.47	23.08	47.17	45.21	29.27	27.84	16.27	12.83	0.0	3.89	7.82	6.52	8.25	7.4	2.92	6.94	9.85	5.87	13.72	0.0	9.48	12.0
APOH	1.3	2.53	17.38	1.58	0.66	12.36	1.6	8.13	1.0	92.7	817012.28	1578364.61	7456151.83	2247670.86	3359929.59	2442622.37	1221310.69	1246973.04	2904784.09	2039804.27	951601.81	1929772.37	0.0	0.0	1.2
ATP10A	395.18	190.34	239.52	186.4	198.47	212.78	237.86	98.73	100.83	134.3	16.63	1.51	17.25	8.51	10.55	5.32	2.12	2.36	3.59	1.85	2.07	0.78	0.0	75.11	55.49
BAZ1B	1819.35	836.53	1081.39	1191.69	1135.2	1322.37	995.0	1037.29	1066.48	567.1	435.55	379.04	638.15	521.76	420.68	447.82	356.05	490.14	432.53	420.68	265.87	412.0	583.07	743.43	633.73
BCL2	785.88	693.58	890.44	825.0	967.76	954.43	808.0	629.35	503.95	301.33	118.43	19.39	18.16	13.32	34.26	18.97	30.78	13.83	19.68	87.65	23.59	11.04	0.0	186.4	567.1
C17orf59	234.57	320.8	412.0	327.56	387.02	368.65	346.29	314.17	368.65	325.29	171.45	209.84	63.0	101.54	101.54	117.6	142.01	115.97	108.14	100.13	182.55	163.28	0.0	256.78	305.55
C20orf195	27.05	45.85	36.27	60.39	84.04	36.01	40.93	31.22	49.21	12.0	1.89	0.0	1.5	0.0	1.08	1.1	5.68	1.03	0.0	0.0	0.0	1.22	0.0	12.45	14.14
C9orf50	46.84	36.53	45.53	32.59	12.64	12.55	32.82	30.34	65.72	18.7	0.68	0.0	0.0	0.0	0.0	0.0	2.48	0.0	0.0	0.0	0.0	0.56	0.0	3.56	3.41
