	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.DD.AAE2.01A.11R.A41C.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.DD.A4NI.01A.11R.A27V.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.2Y.A9H6.01A.11R.A39D.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10X.11A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11GSP.0626.SM.5986T	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.R53T.0326.SM.48FEC	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DE.A0XZ.01A.11R.A180.07	GTEX.13NZ9.1126.SM.5MR37
KRI1	426.57	579.04	363.56	483.38	432.53	713.11	595.34	332.14	629.35	435.55	409.15	688.78	373.81	470.14	620.67	486.75	358.54	217.27	231.32	332.14	211.31	127.89	159.9	157.68	218.79	332.14	163.28	186.4	242.88	358.54	202.66	249.73	135.24	224.97	173.85	88.88	297.17	212.78	571.05	860.08	1159.07
MAST3	244.57	417.77	138.1	316.37	166.73	199.85	490.14	215.77	283.05	297.17	409.15	629.35	260.38	180.02	271.48	373.81	175.07	47.5	129.69	229.72	44.25	31.67	105.89	80.57	77.79	182.55	155.5	149.12	110.43	104.42	96.68	85.82	75.64	126.12	120.94	35.25	14.03	57.89	214.27	353.59	314.17
MCRS1	497.0	1104.13	830.75	1259.69	1199.98	1457.23	1721.16	718.08	1322.37	974.5	1250.98	1639.59	759.08	1096.5	1457.23	769.69	819.3	454.09	454.09	540.19	332.14	361.04	450.94	318.57	397.93	638.15	420.68	503.95	486.75	348.71	397.93	476.71	511.0	457.25	435.55	177.53	483.38	318.57	1388.16	1594.73	1594.73
MED26	121.79	161.02	156.59	127.0	151.22	106.63	218.79	104.42	172.65	155.5	112.77	155.5	115.97	149.12	170.25	135.24	93.35	77.25	63.89	60.82	57.89	88.88	81.71	79.45	66.65	96.01	138.1	63.45	63.45	80.57	135.24	96.68	85.82	85.22	96.01	58.71	114.36	63.0	163.28	164.42	172.65
MKNK2	2664.15	4419.52	2075.59	2682.69	3665.02	2627.46	2133.97	2061.24	1819.35	2935.74	2209.26	1781.89	2627.46	2682.69	2148.82	2163.77	1651.0	1467.37	1832.01	2061.24	743.43	934.76	1487.87	1397.83	1594.73	1519.15	1417.35	1757.34	1191.69	2018.8	1721.16	1378.57	1733.13	1674.06	1769.57	2090.03	1277.29	1844.76	2777.33	3103.19	3103.19
NDST1	540.19	1662.49	490.14	954.43	435.55	748.61	981.29	463.65	507.46	928.3	1073.91	775.05	540.19	603.67	1674.06	830.75	323.03	253.23	172.65	191.67	195.72	289.02	120.1	373.81	205.5	231.32	201.25	307.69	220.32	251.48	297.17	253.23	212.78	279.14	255.0	361.04	301.33	348.71	764.36	679.29	860.08
NPIPA1	698.41	902.89	423.61	759.08	1167.14	1073.91	3491.39	638.15	1950.0	1277.29	1268.46	954.43	603.67	1081.39	1437.15	738.29	624.99	368.65	348.71	796.86	218.79	198.47	275.28	376.41	194.36	633.73	343.89	511.0	571.05	361.04	303.44	379.04	356.05	429.54	316.37	104.42	289.02	384.34	1498.22	2502.97	2875.3
PI4KB	915.51	1208.34	764.36	1037.29	1447.15	1135.2	1950.0	633.73	1397.83	1331.57	1225.22	2075.59	780.44	693.58	1617.0	1081.39	638.15	314.17	343.89	603.67	258.57	189.02	334.46	400.71	368.65	842.36	285.03	633.73	728.11	395.18	351.14	503.95	395.18	529.06	346.29	177.53	279.14	269.6	1498.22	1709.26	1745.2
PLVAP	2163.77	2417.67	2997.45	1594.73	2240.11	1923.14	1583.71	1674.06	1757.34	2417.67	2976.74	1477.58	1498.22	1111.82	2739.08	2255.7	529.06	195.72	332.14	289.02	186.4	108.14	180.02	76.71	132.44	169.07	162.14	215.77	125.24	171.45	158.79	309.83	454.09	267.73	120.1	81.14	41.52	129.69	9540.5	8963.45	4704.07
PRKRIP1	297.17	507.46	480.04	470.14	500.46	1794.29	854.13	412.0	642.59	389.72	638.15	638.15	500.46	432.53	679.29	529.06	381.68	218.79	255.0	363.56	112.77	131.51	218.79	232.94	157.68	356.05	220.32	295.11	249.73	253.23	190.34	258.57	239.52	204.07	258.57	119.26	327.56	148.09	791.35	915.51	961.07
