	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.Y3IK.0526.SM.4WWE3	GTEX.147GR.0726.SM.5S2PL	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.TKQ1.0126.SM.33HB3	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
AAAS	0.0	0.48	1583.71	1242.34	890.44	1572.76	802.41	967.76	674.59	1216.75	813.63	954.43	1447.15	1030.12	1233.75	974.5	1135.2	961.07	780.44	1088.92	808.0	1369.04	1259.69	1651.0	1651.0	1617.0	1259.69	1397.83	1167.14	1259.69	1037.29	813.63	1519.15	1340.84	1628.26	1304.15	909.17	961.07	909.17	1286.18	1119.56	842.36	764.36	934.76	878.17	884.29	1508.65	660.68	1051.79	896.64	713.11	902.89	1397.83	967.76	1378.57	1008.9	1529.73	860.08
ABHD16B	0.0	0.36	353.59	201.25	94.01	199.85	107.38	133.36	102.25	108.14	98.73	139.07	164.42	120.94	198.47	115.16	140.04	201.25	90.77	115.97	92.7	145.02	251.48	175.07	186.4	248.0	124.37	148.09	126.12	154.42	140.04	130.6	193.01	228.13	186.4	181.28	126.12	63.0	140.04	198.47	91.41	112.77	80.01	94.67	147.06	111.21	267.73	61.25	129.69	43.63	103.69	93.35	139.07	108.9	169.07	82.87	158.79	84.04
ACBD4	0.0	0.48	1583.71	884.29	713.11	995.0	423.61	460.44	397.93	713.11	392.44	595.34	836.53	511.0	769.69	356.05	748.61	665.29	438.59	450.94	316.37	708.18	909.17	1059.11	1088.92	1127.35	1066.48	703.28	579.04	842.36	571.05	417.77	723.08	780.44	954.43	967.76	547.75	500.46	412.0	1088.92	669.92	555.41	384.34	463.65	423.61	397.93	769.69	406.31	591.22	420.68	384.34	351.14	728.11	759.08	961.07	470.14	872.1	373.81
ACD	0.0	0.61	791.35	575.03	389.72	718.08	363.56	329.84	417.77	366.09	316.37	441.64	603.67	463.65	612.11	332.14	450.94	392.44	291.04	409.15	291.04	684.02	525.39	753.83	872.1	713.11	698.41	514.56	503.95	500.46	454.09	318.57	536.45	638.15	769.69	575.03	318.57	414.87	325.29	612.11	563.18	346.29	353.59	341.51	339.14	400.71	780.44	241.19	463.65	336.79	309.83	353.59	555.41	420.68	620.67	351.14	476.71	287.01
ADCY6	0.0	0.91	651.58	688.78	441.64	642.59	376.41	414.87	423.61	397.93	429.54	514.56	624.99	693.58	567.1	381.68	633.73	412.0	351.14	540.19	395.18	660.68	591.22	723.08	620.67	703.28	579.04	583.07	651.58	525.39	381.68	305.55	575.03	665.29	733.19	616.37	409.15	409.15	444.72	603.67	450.94	454.09	361.04	417.77	199.85	454.09	466.88	309.83	397.93	295.11	264.03	368.65	529.06	503.95	518.15	351.14	567.1	309.83
AIFM3	0.0	0.51	34.51	39.79	37.85	70.01	21.16	12.93	30.56	21.16	19.53	24.99	21.01	21.47	23.08	17.9	21.01	13.42	13.52	31.9	16.88	46.84	36.01	44.25	46.5	35.25	55.49	32.13	20.11	32.13	13.62	19.25	46.5	38.67	40.07	24.11	6.57	10.47	20.11	36.53	22.1	11.55	18.56	14.24	8.71	23.25	66.65	30.78	36.79	22.26	2.61	17.77	71.0	23.25	49.56	8.65	43.32	19.53
AK9	0.0	0.26	191.67	140.04	166.73	205.5	78.34	114.36	92.05	197.09	95.34	108.9	211.31	115.97	115.97	67.59	173.85	156.59	94.01	116.78	96.68	172.65	183.82	132.44	173.85	186.4	144.01	150.17	156.59	163.28	124.37	112.77	148.09	189.02	154.42	152.28	130.6	118.43	140.04	201.25	115.97	132.44	101.54	155.5	98.73	107.38	158.79	107.38	120.1	135.24	87.65	158.79	141.02	115.16	144.01	170.25	153.34	125.24
ALKBH7	0.0	0.48	3794.3	4152.18	3168.41	3716.2	2133.97	2351.53	2434.5	3395.89	1950.0	2520.38	3768.09	2537.92	2915.45	2400.97	3540.14	3280.18	1909.85	2434.5	1936.53	2645.74	3665.02	3768.09	3039.3	3349.13	4358.66	3190.46	2224.63	4358.66	2104.58	2720.15	2451.44	3146.52	3060.45	4239.45	2209.26	1639.59	2537.92	2520.38	2720.15	2090.03	1870.53	2367.9	4010.71	2319.15	2816.11	1477.58	2400.97	2104.58	2047.0	2591.27	2367.9	3467.27	3212.66	2287.2	3874.05	2400.97
ANKRD18B	0.0	0.15	10.16	31.0	26.1	26.47	8.45	6.78	4.46	11.47	2.43	15.56	18.29	10.0	28.65	10.55	4.13	16.88	5.32	15.8	9.56	1.83	15.0	28.86	23.25	25.91	27.84	18.56	18.84	22.75	6.94	0.38	27.05	39.22	30.56	26.86	8.51	13.12	14.78	0.82	0.0	7.57	9.41	18.16	10.88	11.73	23.93	4.17	4.24	15.0	0.0	3.38	11.91	22.75	28.65	7.82	24.46	10.24
ANKS3	0.0	0.78	1008.9	802.41	429.54	753.83	403.5	403.5	409.15	529.06	258.57	463.65	785.88	423.61	583.07	336.79	591.22	432.53	307.69	376.41	279.14	514.56	607.87	703.28	669.92	698.41	579.04	567.1	503.95	483.38	406.31	314.17	708.18	603.67	785.88	679.29	341.51	341.51	426.57	733.19	426.57	312.0	267.73	381.68	351.14	320.8	902.89	214.27	460.44	277.2	281.09	314.17	607.87	454.09	780.44	409.15	808.0	309.83
