	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.ZF.A9RE.01A.11R.A38B.07	TCGA.XF.A8HB.01A.11R.A36F.07	TCGA.CU.A3QU.01A.11R.A22U.07	TCGA.VS.A957.01A.11R.A42T.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.EK.A2PL.01A.11R.A18M.07	TCGA.VS.A8EK.01A.12R.A37O.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.LN.A9FO.01A.11R.A38D.31	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13113.1026.SM.5LZWM	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.8369.01A.11R.2343.13	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.FP.8209.01A.11R.2343.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	TCGA.HU.A4GP.11A.21R.A251.31	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.S341.0226.SM.5S2VG	GTEX.QV31.0726.SM.3GAEG	GTEX.Y5LM.0626.SM.4V6G4	GTEX.13QBU.0626.SM.5J2OG	GTEX.13O61.0226.SM.5KM52	GTEX.PWN1.2626.SM.2I3FH	GTEX.P4QT.2626.SM.2I3FM	GTEX.Q2AI.0326.SM.2I3EK	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.TKQ1.0126.SM.33HB3	GTEX.YF7O.0726.SM.4W213	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.T8EM.0226.SM.3DB7C	GTEX.Z9EW.0226.SM.5CVM7
AADACL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.74	16.15	0.0	9.06	0.0	0.0	0.0	0.77	2.36	0.42	0.69	2.18	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA9	3.5	0.34	1.0	0.32	0.3	9.93	4.06	2.53	1.69	2.63	5.06	162.14	185.11	212.78	1088.92	633.73	5.32	0.0	0.28	78.34	239.52	197.09	36.53	134.3	395.18	289.02	269.6	63.89	54.72	52.82	72.52	167.9	130.6	26.67	228.13	150.17	45.21	25.54	39.5	48.52	98.73	58.3	139.07	77.25	22.59	14.03	8.99	38.95	7.46	96.01	55.49	88.26
ABCC9	1.46	1.55	3.89	10.0	2.73	1.57	6.21	1.71	2.66	4.98	3.41	175.07	59.97	38.95	281.09	204.07	1.71	0.0	0.28	236.21	1008.9	529.06	161.02	521.76	764.36	642.59	902.89	62.12	38.95	35.5	86.43	224.97	97.36	78.34	113.56	173.85	132.44	35.5	42.71	31.22	28.24	80.01	34.02	88.88	12.83	32.36	24.28	26.28	35.25	80.57	59.97	109.66
ABRA	0.85	0.6	0.32	0.28	0.27	0.65	0.0	0.0	0.34	0.0	0.72	8.51	11.38	25.54	5.11	1.22	0.29	0.0	0.0	11.91	8.25	2.14	8.19	15.22	7.63	5.96	4.21	1.89	2.78	0.0	0.68	4.39	0.0	1.53	0.0	2.41	3.41	0.48	0.51	0.0	0.85	1.87	1.31	1.55	0.33	0.52	0.93	0.73	0.0	0.0	0.77	2.94
AC069547.2	0.57	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69	2.14	6.06	1.48	0.0	0.0	0.0	0.0	0.97	0.69	0.34	0.58	2.94	0.0	0.35	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC140481.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.07	7.94	4.03	7.63	0.0	0.0	0.0	6.11	11.04	3.03	3.11	7.94	2.89	2.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACSM4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	3.35	5.82	0.0	0.0	0.0	0.0	0.0	1.99	1.81	1.81	1.81	0.83	0.0	6.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTL7B	0.28	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78	0.58	10.31	0.67	0.0	0.0	0.0	0.0	2.05	4.66	1.64	0.45	2.43	2.51	1.69	1.23	1.31	0.79	0.6	0.0	0.21	0.41	0.0	0.0	0.0	0.0	0.57	0.39	0.0	0.0	0.2	0.0	0.59	0.39	1.11	0.74	0.43	0.59	0.0	0.19	0.0
ADAMTS10	8.45	10.79	29.7	8.13	8.25	20.86	78.34	26.47	36.27	22.59	48.18	543.96	224.97	244.57	656.11	536.45	7.94	0.0	0.96	348.71	423.61	435.55	214.27	563.18	466.88	289.02	334.46	77.79	116.78	128.79	60.82	122.64	131.51	65.72	129.69	134.3	126.12	120.1	90.77	98.73	98.73	147.06	186.4	127.89	56.68	100.13	51.35	92.05	108.9	265.87	90.14	137.14
ADAMTS19	2.29	0.0	0.33	0.3	0.82	0.0	0.0	0.0	0.0	0.0	0.0	10.47	26.67	67.12	71.0	17.25	0.0	0.0	0.01	1.22	1.66	0.99	5.11	3.89	1.57	1.45	6.41	1.93	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.34	0.0	0.0	0.0	0.0	0.0	1.68	0.0	0.0	0.0	0.0	0.0	0.33	0.33	0.0	0.0
