	TCGA.B6.A1KF.01A.11R.A13Q.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0BJ.11A.23R.A089.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0B7.11A.34R.A115.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.ZC5H.2626.SM.5J2MG	GTEX.Y3IK.2326.SM.4WWDT	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.DM.A1HB.01A.21R.A180.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSL.2126.SM.5GCNG	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.T8EM.1226.SM.4DM5J
ABHD14B	2255.7	1977.24	2384.37	2351.53	2400.97	2303.12	2720.15	2400.97	1896.65	2319.15	2287.2	2468.49	3280.18	4239.45	3419.52	3716.2	2701.35	1151.06	2835.7	4575.41	896.64	2555.58	1487.87	1605.83	1135.2	1870.53	1104.13	1127.35	902.89	842.36	921.88	1216.75	981.29	947.83	0.0	0.56	1457.23	2335.28	1721.16	1508.65	1909.85	2004.85	1378.57	1350.18	2319.15	1119.56	1350.18	1487.87	1832.01	1950.0
AC007461.1	19.11	108.9	176.29	104.42	214.27	248.0	209.84	217.27	88.88	258.57	117.6	63.0	122.64	106.63	112.77	55.89	152.28	0.0	0.0	0.0	1.16	0.0	0.83	0.0	4.9	1.71	0.42	3.08	2.53	2.1	1.25	2.43	1.91	0.0	0.0	0.0	6.36	5.15	0.0	2.25	0.0	1.57	0.0	1.73	9.27	0.0	1.31	0.0	1.45	9.13
ADHFE1	212.78	529.06	351.14	129.69	371.22	376.41	480.04	348.71	204.07	275.28	414.87	723.08	325.29	193.01	379.04	603.67	77.25	36.01	65.72	748.61	60.39	5.87	11.47	37.05	30.34	52.45	11.73	9.13	48.18	63.0	39.22	20.56	52.08	47.84	0.0	0.46	84.04	117.6	16.88	21.94	83.45	42.71	26.47	34.26	45.21	44.57	66.18	12.18	9.78	320.8
ARHGAP20	10.63	93.35	81.71	165.57	128.79	172.65	93.35	126.12	113.56	88.88	102.25	237.86	104.42	31.0	180.02	242.88	43.32	8.25	92.7	139.07	2.41	0.6	0.97	8.45	17.25	3.29	8.71	5.11	8.51	11.64	6.84	5.59	19.53	20.11	0.0	0.32	9.93	14.35	2.86	1.97	23.93	2.29	7.06	1.75	6.36	5.68	7.34	2.01	3.26	27.84
ARMCX1	264.03	928.3	981.29	713.11	813.63	780.44	915.51	915.51	559.28	743.43	1745.2	1605.83	934.76	764.36	909.17	854.13	1350.18	26.67	73.03	915.51	94.01	14.56	16.27	137.14	111.99	17.9	44.57	32.13	77.79	62.12	143.01	44.25	71.0	117.6	0.0	0.59	150.17	316.37	38.95	20.71	218.79	72.01	57.89	58.3	69.52	35.0	155.5	24.46	22.43	194.36
C1orf115	1143.1	1662.49	1119.56	1051.79	1617.0	1167.14	1277.29	890.44	848.22	1199.98	2163.77	3190.46	3349.13	1498.22	1340.84	1044.52	934.76	80.57	103.69	543.96	155.5	273.37	48.18	161.02	151.22	130.6	134.3	186.4	256.78	150.17	153.34	136.19	88.88	111.21	0.0	0.44	182.55	336.79	318.57	293.07	127.89	429.54	10.16	149.12	277.2	202.66	248.0	181.28	80.57	217.27
C1orf226	660.68	395.18	934.76	738.29	688.78	909.17	967.76	802.41	423.61	967.76	1388.16	1350.18	1127.35	1487.87	860.08	543.96	764.36	63.89	229.72	172.65	149.12	279.14	149.12	153.34	154.42	172.65	132.44	226.54	368.65	149.12	120.94	115.16	84.63	190.34	0.0	0.25	813.63	148.09	283.05	444.72	55.49	450.94	208.38	127.0	156.59	249.73	287.01	251.48	320.8	138.1
C21orf91	295.11	334.46	287.01	536.45	264.03	312.0	323.03	490.14	301.33	312.0	303.44	293.07	426.57	698.41	708.18	293.07	426.57	217.27	87.65	134.3	151.22	65.72	48.87	94.01	108.14	128.79	129.69	83.45	83.45	109.66	58.71	115.16	114.36	122.64	0.0	0.39	441.64	251.48	59.55	71.5	85.22	118.43	151.22	84.04	87.03	93.35	93.35	35.76	57.08	141.02
C5orf30	698.41	258.57	490.14	251.48	285.03	289.02	169.07	387.02	190.34	320.8	177.53	432.53	521.76	376.41	371.22	493.56	265.87	113.56	55.1	127.89	81.14	101.54	71.5	35.0	88.88	48.18	95.34	113.56	71.5	123.5	54.72	90.14	84.63	275.28	0.0	0.32	64.8	141.02	130.6	112.77	111.99	75.11	178.77	237.86	327.56	144.01	77.25	201.25	178.77	361.04
CCL28	3060.45	2645.74	3540.14	4152.18	3467.27	5076.84	4607.24	4802.93	3443.31	3955.48	7485.11	2240.11	4836.35	6887.62	3349.13	1950.0	3039.3	182.55	371.22	426.57	684.02	218.79	343.89	1295.13	201.25	679.29	148.09	211.31	351.14	363.56	123.5	329.84	112.77	532.74	0.0	0.36	1104.13	563.18	718.08	2133.97	387.02	183.82	172.65	698.41	409.15	175.07	255.0	55.89	988.12	1583.71
CD163L1	743.43	148.09	307.69	373.81	193.01	146.03	279.14	346.29	214.27	356.05	507.46	624.99	620.67	181.28	279.14	500.46	543.96	27.64	26.28	34.51	6.89	5.41	10.47	21.78	129.69	10.39	58.3	37.05	59.55	51.71	5.82	112.77	77.79	118.43	0.0	0.36	48.18	35.5	24.28	20.26	158.79	7.69	28.86	53.95	13.72	43.94	32.59	28.65	21.78	152.28
CNTN4	175.07	110.43	114.36	231.32	187.71	130.6	198.47	204.07	161.02	104.42	172.65	463.65	212.78	366.09	187.71	248.0	138.1	1.04	74.58	314.17	10.31	0.83	6.67	24.28	32.13	6.84	9.34	5.96	23.76	24.11	9.13	21.16	20.71	45.21	0.0	0.28	49.56	87.03	8.06	15.56	82.29	8.71	16.51	21.32	28.65	34.02	26.67	13.72	13.42	108.14
CPQ	3395.89	1119.56	872.1	1286.18	1167.14	941.27	981.29	1088.92	1350.18	796.86	1498.22	2047.0	1467.37	1745.2	1233.75	1519.15	1572.76	28.65	490.14	1662.49	72.52	46.5	147.06	371.22	279.14	180.02	376.41	48.52	197.09	189.02	246.28	121.79	106.63	186.4	0.0	0.61	151.22	718.08	392.44	486.75	753.83	277.2	348.71	166.73	363.56	312.0	802.41	312.0	158.79	563.18
CRMP1	591.22	186.4	122.64	212.78	171.45	226.54	198.47	175.07	154.42	141.02	341.51	651.58	293.07	303.44	135.24	183.82	148.09	14.78	61.68	158.79	28.86	20.86	22.75	74.06	113.56	65.72	90.77	37.59	83.45	89.51	69.03	35.25	78.34	205.5	0.0	0.59	129.69	153.34	131.51	34.75	84.63	32.13	32.82	46.18	148.09	98.73	104.42	30.34	75.11	64.34
CTSO	490.14	1015.93	981.29	995.0	947.83	860.08	967.76	1051.79	878.17	967.76	1225.22	1561.89	1119.56	1051.79	1159.07	1268.46	1340.84	101.54	432.53	921.88	141.02	158.79	151.22	438.59	389.72	111.21	248.0	137.14	262.2	171.45	23.93	94.01	265.87	256.78	0.0	0.36	209.84	423.61	84.04	241.19	708.18	148.09	341.51	246.28	273.37	285.03	212.78	155.5	41.52	603.67
CYYR1	633.73	854.13	759.08	988.12	718.08	718.08	651.58	921.88	785.88	759.08	567.1	785.88	1286.18	967.76	967.76	2004.85	1508.65	34.51	89.51	748.61	75.11	17.77	52.08	136.19	130.6	36.27	75.64	38.4	71.0	67.59	48.52	98.73	110.43	191.67	0.0	0.17	117.6	211.31	183.82	70.01	314.17	40.64	129.69	256.78	169.07	86.43	89.51	39.5	84.63	251.48
DDX19B	981.29	890.44	1059.11	954.43	693.58	753.83	860.08	860.08	947.83	764.36	842.36	1175.27	1073.91	1417.35	718.08	928.3	1030.12	429.54	988.12	703.28	684.02	764.36	500.46	583.07	466.88	476.71	490.14	414.87	379.04	518.15	454.09	612.11	511.0	511.0	0.0	0.65	693.58	1175.27	361.04	438.59	571.05	665.29	660.68	283.05	1001.93	603.67	356.05	205.5	406.31	759.08
DHRS12	567.1	896.64	802.41	738.29	748.61	688.78	759.08	603.67	547.75	629.35	848.22	1242.34	941.27	555.41	825.0	447.82	629.35	255.0	555.41	769.69	389.72	373.81	73.54	305.55	329.84	334.46	332.14	307.69	341.51	208.38	299.25	348.71	336.79	277.2	0.0	0.3	285.03	441.64	244.57	279.14	242.88	198.47	156.59	309.83	414.87	167.9	155.5	251.48	229.72	518.15
DSEL	15.68	78.34	69.52	85.82	81.14	113.56	92.05	88.88	91.41	71.0	73.54	232.94	141.02	48.52	96.01	148.09	64.34	1.11	29.91	43.63	3.2	1.38	3.11	10.39	4.98	3.14	3.99	2.63	5.59	7.0	4.17	5.59	6.26	17.77	10.31	39.22	12.0	11.3	5.28	3.47	43.63	2.86	5.02	6.78	7.63	3.63	11.64	6.36	3.11	34.75
EIF4EBP3	1674.06	1175.27	1498.22	1277.29	1191.69	1183.45	1819.35	1208.34	1313.23	1208.34	1397.83	796.86	1286.18	1242.34	896.64	1111.82	884.29	1037.29	4388.98	2816.11	819.3	1519.15	599.49	493.56	532.74	334.46	323.03	281.09	316.37	346.29	289.02	414.87	379.04	297.17	0.0	0.57	1135.2	1662.49	656.11	212.78	1457.23	198.47	204.07	1059.11	884.29	325.29	341.51	679.29	172.65	1225.22
FAM180B	38.95	26.1	14.78	10.47	11.38	8.06	4.5	10.71	36.53	8.51	18.43	33.06	26.86	16.75	11.38	72.01	25.54	0.0	7.17	1.39	0.96	0.0	0.0	0.3	2.76	0.0	5.11	0.15	1.46	0.19	0.12	0.87	0.0	0.0	0.0	0.0	2.71	5.11	0.96	0.11	0.0	0.0	0.03	0.0	1.0	0.39	0.1	0.33	0.06	4.62
FAM198A	187.71	143.01	157.68	109.66	98.73	125.24	86.43	119.26	249.73	181.28	141.02	281.09	64.34	154.42	154.42	71.0	147.06	0.0	39.22	80.57	43.02	1.62	1.64	29.27	64.34	45.53	5.96	4.46	7.17	33.54	5.15	17.38	22.26	17.38	0.0	0.42	45.85	176.29	16.15	3.32	141.02	12.36	5.45	3.56	73.54	123.5	41.81	2.89	16.15	43.63
FAM218A	28.65	42.41	32.13	24.99	25.35	29.06	45.21	38.12	41.22	41.52	39.5	22.92	38.67	30.34	66.65	40.93	19.39	4.03	36.79	63.45	0.71	0.0	0.0	3.69	2.94	1.46	2.03	0.0	1.58	4.66	1.51	1.62	1.6	1.62	0.0	0.04	1.97	2.61	0.67	2.07	7.17	0.64	1.66	1.08	2.71	0.0	13.83	1.39	0.0	5.28
