	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.W5X1.2326.SM.3GIL6	GTEX.TMMY.0726.SM.33HBE	GTEX.146FH.0826.SM.5SI8T	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.R53T.0326.SM.48FEC	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A2Q9.01A.21R.A18C.07
ACSL4	674.59	679.29	698.41	679.29	915.51	1388.16	595.34	39.5	75.64	13.72	102.25	78.89	84.63	120.1	37.32	69.52	454.09	872.1
ACTR2	3874.05	2758.13	2701.35	2758.13	3820.7	2104.58	3564.78	559.28	775.05	743.43	1572.76	1191.69	1208.34	1183.45	698.41	1242.34	1199.98	3665.02
ACTR3	4802.93	1870.53	2935.74	1870.53	3847.29	2148.82	3928.15	466.88	995.0	518.15	1417.35	1295.13	1519.15	1359.57	693.58	1551.09	1175.27	4388.98
ADRBK2	312.0	555.41	457.25	555.41	154.42	265.87	518.15	15.0	34.02	8.32	28.65	57.49	52.08	21.63	28.65	4.35	58.3	189.02
AMMECR1	137.14	96.01	125.24	96.01	108.9	127.89	107.38	39.79	43.32	59.97	50.63	37.85	82.29	26.1	73.54	47.84	77.25	164.42
AP4E1	149.12	108.9	199.85	108.9	234.57	253.23	135.24	15.56	16.51	44.89	47.17	39.79	24.28	39.79	33.78	37.59	56.28	173.85
APPL1	647.07	559.28	1073.91	559.28	1950.0	902.89	703.28	44.25	120.1	81.14	214.27	163.28	120.94	158.79	69.03	165.57	232.94	420.68
ARMC1	525.39	591.22	728.11	591.22	1457.23	693.58	698.41	90.14	164.42	187.71	336.79	273.37	267.73	223.41	190.34	327.56	224.97	438.59
BCL10	379.04	228.13	514.56	228.13	500.46	269.6	406.31	81.71	72.01	73.03	149.12	120.94	115.16	115.97	89.51	156.59	170.25	343.89
BMP2K	748.61	305.55	748.61	305.55	1350.18	633.73	733.19	53.57	148.09	99.43	118.43	152.28	77.79	205.5	159.9	61.68	140.04	457.25
BMS1	356.05	246.28	312.0	246.28	376.41	438.59	236.21	66.18	96.68	96.68	119.26	129.69	103.69	120.1	102.97	106.63	167.9	325.29
BOD1L1	825.0	476.71	708.18	476.71	1685.71	764.36	551.56	31.9	70.51	100.13	139.07	135.24	125.24	153.34	100.13	109.66	356.05	540.19
C10orf88	185.11	139.07	231.32	139.07	414.87	211.31	161.02	43.32	38.12	53.19	38.95	34.02	29.06	54.33	49.56	47.84	88.26	204.07
C1orf109	454.09	417.77	406.31	417.77	866.07	575.03	316.37	61.25	124.37	120.94	201.25	165.57	167.9	172.65	97.36	166.73	241.19	325.29
C21orf91	563.18	246.28	525.39	246.28	693.58	813.63	191.67	28.45	55.1	47.84	81.14	76.17	59.13	170.25	118.43	109.66	103.69	229.72
C7orf60	195.72	106.63	303.44	106.63	368.65	320.8	144.01	8.99	18.16	27.84	36.79	18.7	21.78	24.46	26.86	37.59	110.43	191.67
CAPZA1	2400.97	1519.15	1844.76	1519.15	1936.53	1819.35	2303.12	384.34	599.49	470.14	642.59	738.29	665.29	684.02	688.78	575.03	1286.18	2537.92
CBL	293.07	118.43	289.02	118.43	346.29	229.72	239.52	10.96	24.99	14.67	45.53	37.59	28.24	44.25	25.35	30.34	114.36	226.54
CCDC132	400.71	271.48	555.41	271.48	738.29	486.75	559.28	47.84	77.79	61.68	105.15	122.64	131.51	100.13	92.7	156.59	180.02	248.0
CDC23	525.39	470.14	813.63	470.14	854.13	620.67	514.56	208.38	373.81	162.14	348.71	307.69	363.56	264.03	166.73	353.59	366.09	447.82
CEP97	112.77	69.52	147.06	69.52	135.24	120.94	88.26	3.66	17.0	9.2	26.28	43.63	17.77	11.91	13.12	47.5	44.25	76.71
CKAP5	854.13	802.41	860.08	802.41	1628.26	961.07	1096.5	334.46	454.09	708.18	503.95	400.71	571.05	540.19	599.49	373.81	353.59	688.78
CNEP1R1	295.11	241.19	332.14	241.19	836.53	511.0	503.95	76.17	98.73	100.83	165.57	154.42	130.6	137.14	127.0	141.02	171.45	267.73
DCAF12	780.44	607.87	842.36	607.87	995.0	791.35	703.28	251.48	265.87	215.77	559.28	460.44	381.68	351.14	201.25	466.88	281.09	563.18
DCLRE1B	148.09	119.26	124.37	119.26	269.6	141.02	186.4	18.56	34.75	19.39	34.02	17.64	15.68	49.21	19.82	21.47	57.89	102.25
ELK4	463.65	299.25	435.55	299.25	713.11	387.02	336.79	59.97	64.8	126.12	127.89	128.79	78.89	105.15	202.66	130.6	154.42	299.25
ETNK1	591.22	384.34	854.13	384.34	748.61	591.22	454.09	139.07	140.04	156.59	204.07	234.57	142.01	211.31	229.72	228.13	351.14	444.72
EXOC1	624.99	536.45	819.3	536.45	1066.48	698.41	775.05	44.57	148.09	110.43	127.89	122.64	90.77	161.02	127.89	105.15	460.44	571.05
GDI2	5292.48	3820.7	6792.79	3820.7	8658.09	6699.25	6250.56	2701.35	3372.43	2682.69	4181.07	3235.01	3467.27	3349.13	2303.12	3540.14	2178.83	5183.54
GGNBP2	1447.15	1216.75	1662.49	1216.75	1896.65	2335.28	1331.57	253.23	493.56	669.92	514.56	651.58	473.41	583.07	764.36	483.38	884.29	1151.06
GNAI3	1135.2	961.07	1487.87	961.07	2047.0	1143.1	1561.89	384.34	612.11	417.77	708.18	647.07	684.02	665.29	336.79	629.35	483.38	1378.57
GNPAT	967.76	802.41	1008.9	802.41	1639.59	1127.35	1427.22	327.56	450.94	607.87	441.64	429.54	432.53	351.14	414.87	708.18	543.96	796.86
GRM7	8.32	5.36	8.65	5.36	35.76	3.2	22.92	0.0	0.0	1.53	0.89	0.89	0.19	0.22	0.0	0.0	1.6	5.06
HAUS3	299.25	178.77	379.04	178.77	397.93	291.04	217.27	20.26	52.08	45.85	69.52	63.89	31.0	72.01	54.33	44.57	119.26	202.66
HECA	624.99	417.77	819.3	417.77	684.02	921.88	454.09	90.77	61.68	71.0	128.79	148.09	133.36	190.34	132.44	141.02	150.17	423.61
HRH2	29.27	21.63	4.62	21.63	39.22	6.06	81.71	0.0	2.27	0.37	0.95	2.03	2.61	2.16	0.82	5.59	1.48	31.9
ITGA4	497.0	36.79	260.38	36.79	137.14	189.02	132.44	11.38	17.25	13.93	38.67	44.57	19.68	44.25	60.39	16.03	29.27	279.14
