	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.KN.8436.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8430.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.13OVL.1826.SM.5KLZR	TCGA.CZ.5453.11A.01R.1503.07	TCGA.CJ.5672.11A.01R.1541.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B0.5711.11A.01R.1672.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CW.6088.11A.01R.1672.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.B8.5549.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.P4.A5ED.11A.11R.A28H.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.GL.A9DE.11A.11R.A37K.07	TCGA.BQ.5887.11A.01R.1965.07
AIP	559.28	603.67	785.88	384.34	2451.44	1757.34	2400.97	1896.65	2090.03	2758.13	2739.08	1427.22	2468.49	1397.83	2075.59	1685.71	1487.87	1832.01	1378.57	1583.71	1304.15	1697.45	1870.53	1651.0	1417.35	1857.6	1447.15	1151.06	733.19	1487.87	1487.87	1685.71	2119.22	1295.13	2319.15	2090.03	1963.57	2240.11	1709.26
ARFGAP1	379.04	376.41	381.68	400.71	884.29	708.18	941.27	603.67	753.83	571.05	529.06	620.67	785.88	785.88	579.04	466.88	483.38	483.38	447.82	490.14	368.65	575.03	497.0	684.02	444.72	543.96	547.75	466.88	384.34	500.46	540.19	460.44	698.41	336.79	1183.45	791.35	688.78	1023.0	633.73
B3GAT3	156.59	211.31	215.77	164.42	1216.75	1286.18	1295.13	967.76	954.43	1143.1	1073.91	819.3	1051.79	713.11	753.83	698.41	633.73	769.69	599.49	575.03	406.31	708.18	607.87	688.78	567.1	947.83	525.39	483.38	540.19	563.18	633.73	764.36	1151.06	460.44	1437.15	1073.91	1023.0	1233.75	1023.0
BAD	825.0	830.75	878.17	525.39	2591.27	2193.99	2997.45	2468.49	2434.5	3280.18	3325.99	1806.78	3103.19	1819.35	2351.53	1963.57	1447.15	1769.57	1487.87	1561.89	842.36	2104.58	1819.35	1529.73	1467.37	1757.34	1208.34	1378.57	642.59	1388.16	1277.29	1498.22	2573.36	1295.13	3018.3	2701.35	2351.53	2163.77	2163.77
C21orf2	108.9	136.19	226.54	87.65	1096.5	791.35	1044.52	1001.93	1127.35	1208.34	1388.16	638.15	1819.35	532.74	808.0	441.64	438.59	536.45	309.83	603.67	215.77	698.41	470.14	656.11	435.55	532.74	470.14	470.14	148.09	521.76	532.74	518.15	842.36	348.71	1304.15	988.12	1073.91	1561.89	878.17
CCDC124	444.72	473.41	518.15	206.94	2400.97	2193.99	2591.27	1991.0	2119.22	2384.37	1832.01	1909.85	1639.59	1322.37	1628.26	1304.15	1467.37	1437.15	866.07	1104.13	698.41	1697.45	1397.83	1508.65	1119.56	1733.13	941.27	785.88	708.18	1388.16	1313.23	1467.37	2434.5	1096.5	2255.7	2090.03	1936.53	2555.58	2018.8
CDC37	1757.34	1639.59	1757.34	1023.0	4010.71	3372.43	3639.7	2682.69	3515.68	4038.61	3060.45	2502.97	3372.43	2573.36	3039.3	2417.67	2537.92	2739.08	1628.26	2090.03	1769.57	2682.69	2417.67	2451.44	2367.9	2915.45	2209.26	1745.2	1769.57	2555.58	2701.35	2875.3	3212.66	2224.63	4298.64	3419.52	2915.45	4639.29	3018.3
CHMP1A	688.78	583.07	698.41	551.56	1697.45	1508.65	1594.73	1529.73	1721.16	1594.73	1286.18	1313.23	1721.16	1540.37	1359.57	1417.35	1286.18	1397.83	1127.35	1208.34	1051.79	1498.22	1519.15	1286.18	1331.57	1551.09	1304.15	1199.98	1001.93	1242.34	1378.57	1388.16	1529.73	1066.48	1909.85	1605.83	1769.57	1857.6	1572.76
CUEDC2	688.78	629.35	791.35	420.68	1844.76	1721.16	1909.85	1674.06	1832.01	2240.11	2682.69	1844.76	2240.11	1651.0	1909.85	1697.45	1447.15	1721.16	1378.57	1540.37	1437.15	1617.0	1709.26	1508.65	1417.35	1685.71	1369.04	1111.82	954.43	1427.22	1487.87	1685.71	1896.65	1437.15	1909.85	1909.85	1745.2	1832.01	1529.73
DDX39A	392.44	460.44	412.0	395.18	1066.48	896.64	848.22	624.99	884.29	1277.29	915.51	748.61	866.07	703.28	607.87	547.75	414.87	559.28	665.29	540.19	409.15	616.37	507.46	595.34	540.19	656.11	595.34	514.56	480.04	480.04	547.75	571.05	796.86	490.14	1259.69	928.3	674.59	954.43	679.29
