	TCGA.38.4625.01A.01R.1206.07.1	TCGA.KK.A8I9.01A.11R.A36G.07	TCGA.D7.6524.01A.11R.1802.13	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3T0.01A.22R.A22L.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.OIZG.0226.SM.2TC5L	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.RNOR.0926.SM.2TF56	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.1192W.0126.SM.5EGGS	GTEX.1212Z.0426.SM.5FQT6	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
AC010441.1	0.6	511.0	629.35	738.29	329.84	775.05	842.36	872.1	1427.22	647.07	660.68	490.14	830.75	638.15	490.14	454.09	514.56	813.63	511.0	1051.79	444.72	371.22	221.86	483.38	325.29	363.56	387.02	318.57	325.29	178.77	483.38	343.89	327.56	466.88	248.0	387.02	178.77	323.03	466.88	215.77	368.65	177.53	295.11	397.93	299.25	273.37	412.0	260.38	176.29	279.14	400.71	229.72	521.76	532.74	343.89	503.95	525.39	239.52	353.59	262.2	285.03
ADAM15	1001.93	6250.56	3081.75	3768.09	2224.63	2875.3	3124.78	4450.27	5006.93	4358.66	2997.45	1794.29	3955.48	4095.0	2075.59	2193.99	2075.59	2627.46	2335.28	2400.97	1519.15	660.68	1359.57	813.63	1639.59	1199.98	1127.35	830.75	988.12	981.29	1127.35	764.36	1286.18	1369.04	981.29	1457.23	1733.13	1001.93	1322.37	769.69	1143.1	1159.07	633.73	1781.89	1051.79	1143.1	1359.57	890.44	1268.46	1066.48	1467.37	1059.11	1733.13	995.0	1104.13	1639.59	2178.83	1617.0	909.17	1617.0	1378.57
ADCY3	0.89	836.53	1447.15	698.41	698.41	1008.9	1397.83	915.51	1096.5	1322.37	854.13	836.53	813.63	1119.56	718.08	638.15	1037.29	1104.13	764.36	785.88	616.37	214.27	454.09	275.28	316.37	616.37	599.49	199.85	441.64	175.07	329.84	830.75	353.59	633.73	575.03	412.0	312.0	253.23	406.31	444.72	283.05	271.48	163.28	447.82	406.31	269.6	371.22	318.57	258.57	202.66	420.68	236.21	536.45	575.03	316.37	353.59	320.8	293.07	223.41	470.14	236.21
AGPAT2	656.11	1583.71	2739.08	2758.13	1794.29	1923.14	2061.24	1857.6	2451.44	2104.58	2520.38	1991.0	2976.74	2720.15	2032.85	1721.16	1745.2	2682.69	1605.83	1883.54	1733.13	583.07	633.73	1242.34	2537.92	1417.35	1832.01	1233.75	1331.57	796.86	1127.35	2451.44	1427.22	1407.55	1540.37	1721.16	1313.23	1015.93	1651.0	1417.35	2178.83	1059.11	723.08	1498.22	1096.5	1331.57	1709.26	1183.45	1819.35	1066.48	2061.24	1651.0	2335.28	1167.14	1508.65	2720.15	1857.6	1313.23	1208.34	1268.46	1286.18
AP2S1	0.47	6561.36	3146.52	2319.15	1950.0	2502.97	2061.24	2178.83	2976.74	2591.27	2956.17	2335.28	2555.58	2224.63	2061.24	1819.35	2075.59	2255.7	1639.59	2384.37	1844.76	1417.35	1388.16	1721.16	1896.65	1721.16	1769.57	1487.87	1757.34	1096.5	1674.06	1268.46	1651.0	1651.0	1721.16	1662.49	1540.37	1551.09	1674.06	1617.0	1487.87	1639.59	988.12	1331.57	1104.13	1437.15	1963.57	1508.65	1250.98	1437.15	2555.58	1819.35	2271.4	961.07	1427.22	1651.0	2018.8	1529.73	1467.37	1662.49	1639.59
ATG4D	0.97	860.08	599.49	674.59	674.59	718.08	780.44	555.41	743.43	775.05	813.63	642.59	748.61	769.69	579.04	599.49	1143.1	684.02	587.13	674.59	616.37	265.87	361.04	376.41	629.35	759.08	651.58	473.41	389.72	412.0	460.44	540.19	473.41	708.18	679.29	540.19	514.56	336.79	490.14	511.0	543.96	563.18	318.57	454.09	444.72	441.64	819.3	381.68	559.28	518.15	713.11	540.19	665.29	356.05	532.74	703.28	543.96	493.56	429.54	674.59	616.37
AXIN1	0.79	616.37	587.13	500.46	417.77	389.72	493.56	483.38	587.13	511.0	493.56	368.65	559.28	620.67	463.65	426.57	493.56	540.19	409.15	507.46	470.14	201.25	244.57	334.46	432.53	384.34	454.09	387.02	417.77	403.5	348.71	547.75	356.05	368.65	351.14	400.71	420.68	303.44	414.87	417.77	387.02	356.05	249.73	429.54	309.83	379.04	325.29	334.46	473.41	323.03	334.46	334.46	412.0	285.03	417.77	480.04	547.75	432.53	341.51	429.54	363.56
B3GAT3	0.93	1936.53	769.69	1519.15	1277.29	1119.56	1151.06	1044.52	1467.37	1259.69	1508.65	1159.07	1529.73	1233.75	1208.34	1001.93	1359.57	1008.9	1051.79	1250.98	921.88	299.25	500.46	647.07	1023.0	860.08	947.83	830.75	780.44	769.69	684.02	559.28	819.3	890.44	866.07	842.36	967.76	674.59	679.29	813.63	890.44	1059.11	543.96	708.18	791.35	713.11	1023.0	830.75	866.07	684.02	1183.45	642.59	1015.93	559.28	836.53	1073.91	1225.22	738.29	759.08	1001.93	842.36
BAX	0.47	2701.35	2720.15	4972.34	3540.14	4095.0	3372.43	3303.0	6337.83	4972.34	6079.61	3103.19	4388.98	3901.01	2520.38	2468.49	2520.38	4769.75	2835.7	5006.93	2271.4	1233.75	1467.37	1909.85	1857.6	1896.65	2163.77	1617.0	1819.35	1259.69	1583.71	1417.35	1721.16	1923.14	2645.74	1551.09	1359.57	1277.29	1662.49	1806.78	1662.49	1697.45	642.59	1304.15	1015.93	921.88	2193.99	1191.69	1340.84	1529.73	2855.44	1572.76	2018.8	1617.0	1350.18	1870.53	2018.8	1685.71	1322.37	1304.15	1304.15
C11orf84	0.58	616.37	412.0	332.14	329.84	361.04	395.18	444.72	490.14	514.56	409.15	314.17	612.11	363.56	381.68	255.0	665.29	417.77	373.81	395.18	348.71	95.34	199.85	239.52	287.01	241.19	242.88	242.88	258.57	223.41	269.6	285.03	255.0	303.44	236.21	215.77	248.0	242.88	232.94	332.14	242.88	303.44	169.07	255.0	223.41	248.0	244.57	269.6	293.07	363.56	206.94	224.97	299.25	231.32	244.57	332.14	353.59	267.73	258.57	297.17	269.6
